# Monthly average temperature data for Afghanistan.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1848,5,1848.375,13.723,2.037
1848,6,1848.458,13.224,2.136
1848,7,1848.542,13.907,1.937
1848,8,1848.625,13.558,1.937
1848,9,1848.708,12.748,1.865
1848,10,1848.792,13.086,1.880
1848,11,1848.875,13.251,1.835
1848,12,1848.958,12.178,2.034
1849,1,1849.042,13.925,2.550
1849,2,1849.125,13.460,2.098
1849,3,1849.208,13.653,2.068
1849,4,1849.292,12.979,2.307
1849,5,1849.375,13.593,1.894
1849,6,1849.458,13.004,1.976
1849,7,1849.542,14.032,2.050
1849,8,1849.625,13.879,1.952
1849,9,1849.708,12.589,1.843
1849,10,1849.792,13.436,1.845
1849,11,1849.875,13.040,2.247
1849,12,1849.958,12.264,2.012
1850,1,1850.042,12.046,2.264
1850,2,1850.125,13.679,2.455
1850,3,1850.208,13.970,2.216
1850,4,1850.292,12.891,1.849
1850,5,1850.375,12.925,1.825
1850,6,1850.458,13.029,1.885
1850,7,1850.542,14.471,1.824
1850,8,1850.625,13.749,1.844
1850,9,1850.708,13.494,1.872
1850,10,1850.792,12.505,1.827
1850,11,1850.875,13.420,2.226
1850,12,1850.958,13.137,2.196
1851,1,1851.042,13.146,1.926
1851,2,1851.125,13.510,1.927
1851,3,1851.208,13.252,2.057
1851,4,1851.292,12.601,1.857
1851,5,1851.375,14.792,1.926
1851,6,1851.458,14.533,1.877
1851,7,1851.542,13.682,1.798
1851,8,1851.625,13.772,1.748
1851,9,1851.708,13.473,1.894
1851,10,1851.792,13.291,2.025
1851,11,1851.875,12.998,1.950
1851,12,1851.958,13.450,1.971
1875,1,1875.042,13.908,1.463
1875,2,1875.125,13.869,1.631
1875,3,1875.208,15.521,1.922
1875,4,1875.292,14.760,1.492
1875,5,1875.375,14.288,1.840
1875,6,1875.458,14.239,1.569
1875,7,1875.542,13.999,1.509
1875,8,1875.625,13.577,1.827
1875,9,1875.708,13.355,1.782
1875,10,1875.792,12.659,1.679
1875,11,1875.875,14.526,1.834
1875,12,1875.958,14.649,1.713
1876,1,1876.042,14.652,2.676
1876,2,1876.125,12.215,1.275
1876,3,1876.208,13.521,1.801
1876,4,1876.292,13.236,1.263
1876,5,1876.375,14.917,1.393
1876,6,1876.458,13.893,1.488
1876,7,1876.542,13.860,1.158
1876,8,1876.625,14.070,1.431
1876,9,1876.708,13.419,1.232
1876,10,1876.792,12.929,1.239
1876,11,1876.875,12.993,1.115
1876,12,1876.958,14.167,1.173
