# Monthly average temperature data for Albania.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1750,1,1750.042,11.440,1.901
1750,2,1750.125,11.395,2.115
1750,4,1750.292,13.252,1.786
1750,5,1750.375,11.239,1.809
1750,6,1750.458,12.885,1.857
1750,7,1750.542,13.416,1.895
1750,8,1750.625,13.496,1.821
1750,10,1750.792,12.160,1.781
1750,11,1750.875,9.030,1.829
1750,12,1750.958,9.933,1.930
1751,1,1751.042,10.842,1.942
1751,2,1751.125,9.723,1.916
1751,3,1751.208,13.796,1.816
1751,4,1751.292,11.326,1.778
1751,5,1751.375,11.900,1.822
1751,6,1751.458,12.149,1.861
1751,7,1751.542,14.301,1.877
1751,8,1751.625,13.834,1.784
1751,9,1751.708,12.676,1.756
1751,10,1751.792,11.489,1.817
1751,11,1751.875,9.316,1.853
1751,12,1751.958,10.181,2.103
1752,1,1752.042,10.801,2.060
1752,2,1752.125,14.344,1.907
1752,3,1752.208,13.235,1.760
1752,4,1752.292,11.695,1.797
1752,5,1752.375,12.262,1.782
1752,6,1752.458,14.279,1.751
1752,7,1752.542,13.746,1.827
1752,8,1752.625,11.628,1.930
1752,10,1752.792,12.487,1.793
1752,11,1752.875,12.264,1.832
1752,12,1752.958,11.267,1.988
1753,1,1753.042,11.433,1.869
1753,2,1753.125,11.239,1.793
1753,3,1753.208,13.804,1.739
1753,4,1753.292,13.013,1.827
1753,5,1753.375,13.102,1.696
1753,6,1753.458,13.795,1.837
1753,7,1753.542,13.481,1.876
1753,8,1753.625,12.142,1.761
1753,9,1753.708,12.155,1.728
1753,10,1753.792,12.586,1.730
1753,11,1753.875,11.096,1.747
1753,12,1753.958,10.172,2.169
1754,1,1754.042,11.751,1.827
1754,2,1754.125,9.815,1.778
1754,3,1754.208,10.398,1.693
1754,4,1754.292,14.648,1.860
1754,5,1754.375,13.671,1.756
