# Monthly average temperature data for Algeria.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1791,5,1791.375,22.459,1.595
1791,6,1791.458,22.451,2.447
1791,7,1791.542,22.763,2.046
1791,8,1791.625,23.537,1.881
1791,9,1791.708,22.950,1.798
1791,10,1791.792,22.615,1.625
1791,11,1791.875,23.626,2.120
1791,12,1791.958,23.127,1.697
1792,1,1792.042,22.093,2.834
1792,2,1792.125,23.551,3.352
1793,3,1793.208,23.339,1.834
1793,4,1793.292,23.581,2.682
1793,5,1793.375,23.116,1.554
1793,8,1793.625,22.841,2.191
1793,11,1793.875,22.511,3.183
1793,12,1793.958,22.357,1.700
1794,1,1794.042,23.439,2.447
1794,3,1794.208,23.976,1.588
1794,4,1794.292,24.403,2.428
1794,5,1794.375,23.914,1.803
1794,6,1794.458,21.303,2.065
1794,7,1794.542,21.918,2.991
1794,8,1794.625,22.793,1.718
1794,9,1794.708,23.200,1.881
1794,10,1794.792,23.482,1.528
1794,11,1794.875,23.164,1.940
1794,12,1794.958,22.744,3.112
1795,1,1795.042,24.147,1.897
1795,2,1795.125,24.226,2.599
1795,3,1795.208,23.944,1.651
1795,4,1795.292,24.210,3.139
1799,1,1799.042,22.871,1.750
1799,2,1799.125,22.632,1.684
1799,3,1799.208,22.537,3.145
1799,4,1799.292,23.467,1.779
1799,5,1799.375,23.129,1.562
1799,6,1799.458,22.907,2.255
1799,7,1799.542,23.509,1.889
1799,8,1799.625,22.788,2.008
1800,1,1800.042,23.041,1.511
1800,2,1800.125,23.522,2.987
1800,3,1800.208,22.823,1.778
1800,4,1800.292,24.110,1.642
1800,5,1800.375,22.755,1.596
1800,6,1800.458,22.830,1.565
1800,7,1800.542,23.387,1.980
1800,8,1800.625,22.875,1.784
1800,9,1800.708,22.214,1.653
1800,10,1800.792,23.947,1.637
1800,11,1800.875,23.073,1.956
1800,12,1800.958,23.209,1.682
1801,1,1801.042,23.444,2.155
1801,2,1801.125,23.163,2.981
1801,3,1801.208,24.513,1.482
1801,4,1801.292,23.298,1.544
1801,5,1801.375,24.150,2.213
1801,6,1801.458,22.971,2.375
1801,7,1801.542,23.603,2.194
1801,8,1801.625,22.088,1.848
1802,11,1802.875,23.124,1.983
1802,12,1802.958,23.063,1.579
1803,1,1803.042,22.668,2.205
1803,2,1803.125,20.727,2.474
1803,11,1803.875,23.252,2.133
1803,12,1803.958,22.389,2.096
1804,1,1804.042,22.624,2.786
1804,2,1804.125,21.284,2.060
1804,3,1804.208,22.969,1.755
1804,5,1804.375,24.285,2.020
1804,6,1804.458,24.252,1.937
1804,10,1804.792,23.273,1.528
1804,11,1804.875,24.361,2.147
1805,2,1805.125,22.547,1.588
1805,3,1805.208,23.572,1.517
1805,4,1805.292,23.124,1.779
1805,5,1805.375,23.220,1.854
1805,6,1805.458,23.906,1.632
1805,7,1805.542,23.225,1.848
1805,8,1805.625,24.161,2.064
1805,9,1805.708,22.893,2.259
1805,10,1805.792,22.686,1.676
1805,11,1805.875,22.211,3.076
1805,12,1805.958,22.640,1.975
1806,1,1806.042,22.115,2.655
1806,2,1806.125,22.357,2.282
1806,3,1806.208,23.118,1.868
1806,5,1806.375,23.217,1.665
1806,6,1806.458,22.642,1.691
1806,7,1806.542,23.293,1.804
1806,8,1806.625,23.661,1.806
1806,9,1806.708,22.794,2.557
1806,10,1806.792,23.061,1.904
1806,11,1806.875,22.401,2.074
1806,12,1806.958,23.087,2.397
1807,1,1807.042,21.326,3.126
1807,2,1807.125,22.464,1.638
1807,4,1807.292,22.181,2.145
1807,6,1807.458,23.449,2.278
1807,7,1807.542,23.154,1.585
1807,8,1807.625,22.625,2.133
1807,9,1807.708,24.317,1.579
1807,10,1807.792,23.835,1.479
1807,11,1807.875,23.053,1.645
1807,12,1807.958,23.191,1.469
1808,1,1808.042,21.268,5.985
1808,2,1808.125,20.794,2.217
1808,3,1808.208,22.778,2.628
1808,4,1808.292,22.757,1.953
1808,5,1808.375,22.134,2.018
1808,6,1808.458,22.807,2.116
1808,7,1808.542,23.824,2.002
1808,8,1808.625,22.253,1.539
1816,9,1816.708,21.470,1.869
1816,10,1816.792,21.131,5.437
1816,11,1816.875,22.044,5.190
1816,12,1816.958,22.025,2.061
1817,1,1817.042,22.527,3.966
1817,2,1817.125,23.680,4.149
1817,3,1817.208,23.852,2.767
1818,3,1818.208,24.613,2.452
1818,4,1818.292,24.682,1.796
1818,5,1818.375,23.174,5.635
1818,6,1818.458,22.671,5.725
1818,7,1818.542,22.347,2.219
1818,8,1818.625,22.188,2.312
1818,9,1818.708,22.028,1.791
1818,10,1818.792,21.930,4.154
1818,11,1818.875,23.317,2.661
1818,12,1818.958,22.953,1.840
1819,1,1819.042,21.486,2.753
1819,2,1819.125,21.922,4.329
1819,3,1819.208,22.143,5.457
1819,4,1819.292,22.913,2.049
1819,5,1819.375,23.255,2.735
1819,6,1819.458,22.711,3.583
1819,7,1819.542,22.364,1.977
1819,8,1819.625,22.200,2.575
1819,9,1819.708,21.836,1.854
1819,10,1819.792,23.373,2.002
1819,11,1819.875,22.787,1.692
1819,12,1819.958,21.945,2.331
1820,10,1820.792,21.933,2.070
1820,12,1820.958,21.607,1.575
1821,1,1821.042,23.569,2.832
1821,2,1821.125,22.162,3.748
1821,3,1821.208,23.228,2.938
1821,4,1821.292,22.748,1.423
1821,5,1821.375,24.185,2.463
1821,6,1821.458,22.430,2.607
1821,7,1821.542,22.197,2.622
1821,8,1821.625,22.230,1.604
1821,9,1821.708,22.290,1.953
1821,10,1821.792,22.376,1.600
1821,11,1821.875,21.517,1.834
1821,12,1821.958,22.714,1.625
1823,5,1823.375,23.456,2.048
1823,6,1823.458,22.660,2.148
1823,8,1823.625,22.647,1.756
1832,8,1832.625,22.377,2.377
1832,9,1832.708,22.212,1.728
1837,6,1837.458,22.925,1.804
1837,7,1837.542,23.262,1.832
1838,6,1838.458,22.848,1.573
1838,7,1838.542,23.574,1.605
1838,8,1838.625,23.167,1.786
1838,9,1838.708,22.249,1.847
1839,8,1839.625,23.762,2.125
1839,9,1839.708,22.222,1.720
1849,1,1849.042,22.593,1.836
1849,2,1849.125,22.303,2.244
1849,3,1849.208,22.755,1.929
1849,6,1849.458,23.447,1.589
1849,7,1849.542,23.692,1.509
1849,8,1849.625,22.995,1.658
1849,9,1849.708,22.772,1.519
1849,10,1849.792,23.617,1.507
1849,11,1849.875,22.277,1.742
