# Monthly average temperature data for American Samoa.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1876,9,1876.708,26.105,0.687
1890,1,1890.042,25.791,0.571
1890,2,1890.125,25.861,0.629
1890,3,1890.208,26.049,1.123
1890,4,1890.292,25.651,0.955
1890,5,1890.375,26.271,0.942
1890,6,1890.458,26.430,0.905
1890,7,1890.542,25.968,1.074
1890,8,1890.625,26.300,0.591
1890,9,1890.708,27.110,2.032
1890,10,1890.792,26.712,0.674
1890,11,1890.875,26.292,1.731
1890,12,1890.958,26.271,1.077
1891,1,1891.042,26.252,1.021
1891,2,1891.125,25.779,0.818
1891,3,1891.208,26.280,0.648
1891,4,1891.292,26.172,0.637
1891,5,1891.375,26.380,0.650
1891,6,1891.458,26.408,0.560
1891,7,1891.542,25.956,1.053
1891,8,1891.625,26.358,0.654
1891,9,1891.708,26.222,0.488
1891,10,1891.792,26.591,0.925
1891,11,1891.875,26.175,0.872
1891,12,1891.958,26.227,0.572
1892,1,1892.042,25.734,0.603
1892,2,1892.125,26.202,0.705
1892,3,1892.208,26.433,1.737
1892,4,1892.292,26.305,1.027
1892,5,1892.375,26.087,0.479
1892,6,1892.458,26.607,0.835
1892,7,1892.542,26.176,0.464
1892,8,1892.625,26.521,0.650
1892,9,1892.708,26.093,0.493
1892,10,1892.792,25.847,1.316
1892,11,1892.875,25.626,0.832
1892,12,1892.958,25.672,0.662
1893,1,1893.042,25.118,0.618
1893,2,1893.125,25.307,0.656
1893,3,1893.208,25.796,0.625
1893,4,1893.292,25.226,1.465
1893,5,1893.375,25.652,1.481
1893,6,1893.458,26.507,0.582
1893,7,1893.542,26.172,0.955
1893,8,1893.625,26.271,0.542
1893,9,1893.708,26.146,1.354
1893,10,1893.792,25.796,0.684
1893,11,1893.875,25.987,0.942
1893,12,1893.958,25.842,0.971
1894,1,1894.042,25.466,0.545
1894,2,1894.125,25.638,1.530
1894,3,1894.208,25.955,1.135
1894,4,1894.292,26.246,0.672
1894,5,1894.375,26.172,0.766
1894,6,1894.458,26.346,0.539
1894,7,1894.542,26.302,1.342
1894,8,1894.625,26.963,0.632
1894,9,1894.708,26.869,0.708
1894,10,1894.792,26.920,0.597
1894,11,1894.875,26.004,0.715
1894,12,1894.958,25.925,0.719
1895,1,1895.042,25.430,0.487
1895,2,1895.125,24.901,1.802
1895,3,1895.208,25.774,1.050
1895,4,1895.292,26.153,0.973
1895,5,1895.375,26.860,0.557
1895,6,1895.458,26.449,0.484
1895,7,1895.542,26.522,0.396
1895,8,1895.625,26.503,0.471
1895,9,1895.708,26.138,0.627
1895,10,1895.792,26.298,0.742
1895,11,1895.875,26.016,1.300
1895,12,1895.958,26.446,0.581
1896,1,1896.042,25.991,1.588
1896,2,1896.125,26.287,0.732
1896,3,1896.208,25.968,0.396
1896,4,1896.292,26.016,0.566
1896,5,1896.375,26.470,0.436
1896,6,1896.458,26.096,1.250
1896,7,1896.542,26.593,0.805
1896,8,1896.625,26.364,0.969
1896,9,1896.708,26.616,0.442
1896,10,1896.792,26.959,0.535
1896,11,1896.875,26.082,0.888
1896,12,1896.958,26.622,0.489
1897,1,1897.042,26.150,0.631
1897,2,1897.125,26.120,0.834
1897,3,1897.208,26.763,0.895
1897,4,1897.292,26.722,0.455
1897,5,1897.375,26.659,0.980
1897,6,1897.458,27.089,0.571
1897,7,1897.542,26.813,0.688
1897,8,1897.625,27.072,0.594
1897,9,1897.708,26.612,0.683
1897,10,1897.792,26.766,0.524
1897,11,1897.875,26.480,0.624
1897,12,1897.958,26.639,0.898
1898,1,1898.042,26.149,0.758
1898,2,1898.125,25.918,0.424
1898,3,1898.208,25.880,0.423
1898,4,1898.292,26.366,0.575
1898,5,1898.375,26.556,0.484
1898,6,1898.458,26.486,0.506
1898,7,1898.542,27.374,0.912
1898,8,1898.625,26.962,0.850
1898,9,1898.708,27.179,0.869
1898,10,1898.792,26.653,0.537
1898,11,1898.875,26.286,0.613
1898,12,1898.958,26.475,0.346
1899,1,1899.042,26.020,1.896
1899,2,1899.125,26.079,0.427
