# Monthly average temperature data for Andorra.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1750,1,1750.042,9.134,1.957
1750,2,1750.125,10.572,2.116
1750,4,1750.292,11.469,1.799
1750,5,1750.375,9.995,1.810
1750,6,1750.458,11.317,1.880
1750,7,1750.542,11.659,1.895
1750,8,1750.625,11.724,1.812
1750,10,1750.792,10.127,1.803
1750,11,1750.875,8.463,1.828
1750,12,1750.958,8.814,1.917
1751,1,1751.042,9.558,1.981
1751,2,1751.125,8.609,1.940
1751,3,1751.208,11.848,1.820
1751,4,1751.292,9.878,1.796
1751,5,1751.375,10.090,1.853
1751,6,1751.458,10.839,1.889
1751,7,1751.542,11.946,1.875
1751,8,1751.625,12.007,1.791
1751,9,1751.708,10.459,1.771
1751,10,1751.792,9.503,1.865
1751,11,1751.875,8.253,1.903
1751,12,1751.958,8.848,2.135
1752,1,1752.042,9.593,1.974
1752,2,1752.125,12.673,1.969
1752,3,1752.208,11.243,1.807
1752,4,1752.292,10.024,1.798
1752,5,1752.375,10.512,1.832
1752,6,1752.458,12.876,1.790
1752,7,1752.542,11.374,1.867
1752,8,1752.625,10.187,1.957
1752,10,1752.792,10.345,1.828
1752,11,1752.875,11.107,1.885
1752,12,1752.958,9.995,2.026
1753,1,1753.042,8.319,2.105
1753,2,1753.125,10.123,2.779
1753,3,1753.208,12.034,2.084
1753,4,1753.292,10.917,1.809
1753,5,1753.375,11.301,1.582
1753,6,1753.458,13.546,1.808
1753,7,1753.542,12.103,1.682
1753,8,1753.625,10.369,1.987
1753,9,1753.708,10.943,1.527
1753,10,1753.792,10.872,1.704
1753,11,1753.875,9.718,1.858
1753,12,1753.958,10.647,4.241
1754,1,1754.042,9.457,2.610
1754,2,1754.125,8.041,2.745
1754,3,1754.208,8.038,1.514
1754,4,1754.292,11.695,1.847
1754,5,1754.375,11.824,1.685
1754,6,1754.458,12.075,1.702
1754,7,1754.542,10.767,1.677
1754,8,1754.625,11.757,1.739
1754,9,1754.708,10.699,2.005
1754,10,1754.792,12.217,1.872
1754,11,1754.875,12.478,2.455
1754,12,1754.958,10.857,1.887
1755,1,1755.042,6.622,1.724
1755,2,1755.125,8.047,1.762
1755,3,1755.208,10.445,1.615
1755,4,1755.292,14.649,2.154
1755,5,1755.375,11.029,1.668
1755,6,1755.458,13.646,2.108
1755,7,1755.542,10.665,2.638
1755,8,1755.625,9.864,1.756
1755,9,1755.708,10.153,1.640
1755,10,1755.792,10.856,1.625
1755,11,1755.875,10.318,2.475
1755,12,1755.958,10.376,1.683
1756,1,1756.042,11.407,2.243
1756,2,1756.125,12.652,4.129
1756,3,1756.208,11.015,3.101
1756,4,1756.292,10.722,2.596
1756,5,1756.375,11.763,4.101
1756,6,1756.458,12.513,2.078
1756,7,1756.542,10.515,7.332
1756,8,1756.625,10.801,3.264
1756,9,1756.708,11.571,1.626
1756,10,1756.792,9.427,9.571
1756,11,1756.875,8.498,1.813
1756,12,1756.958,8.857,2.486
1757,1,1757.042,7.592,1.938
1757,2,1757.125,10.544,3.029
1757,3,1757.208,10.157,3.117
1757,4,1757.292,10.970,1.793
1757,5,1757.375,12.280,1.793
1757,6,1757.458,13.276,1.876
1757,7,1757.542,13.391,3.187
1757,8,1757.625,12.703,4.458
1757,9,1757.708,10.577,5.988
1757,10,1757.792,8.131,6.066
1757,11,1757.875,9.490,8.297
1757,12,1757.958,8.955,1.907
1758,1,1758.042,7.393,6.467
1758,2,1758.125,9.981,4.377
1758,3,1758.208,11.061,1.758
1758,4,1758.292,10.273,2.785
1758,5,1758.375,10.743,5.921
1758,6,1758.458,11.871,4.022
