# Monthly average temperature data for Angola.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1879,1,1879.042,20.966,0.829
1879,2,1879.125,21.072,0.747
1879,3,1879.208,20.956,0.963
1879,4,1879.292,20.861,0.848
1879,5,1879.375,21.460,0.704
1879,6,1879.458,21.367,1.086
1879,7,1879.542,20.871,1.616
1879,11,1879.875,20.938,0.881
1879,12,1879.958,20.220,1.176
1880,1,1880.042,19.921,1.671
1880,2,1880.125,19.862,1.092
1880,3,1880.208,19.772,1.912
1880,4,1880.292,19.919,1.783
1880,5,1880.375,20.441,2.378
1880,6,1880.458,20.988,1.569
1880,7,1880.542,21.725,0.744
1880,8,1880.625,21.364,1.036
1880,9,1880.708,21.055,0.808
1880,10,1880.792,21.116,0.978
1880,11,1880.875,21.501,0.762
1880,12,1880.958,21.128,0.722
1881,1,1881.042,20.646,1.898
1881,2,1881.125,20.931,1.025
1881,3,1881.208,20.547,2.017
1881,4,1881.292,20.707,1.584
1881,5,1881.375,20.862,1.809
1881,6,1881.458,20.380,2.014
1881,7,1881.542,20.526,1.798
1881,10,1881.792,21.183,1.517
1881,11,1881.875,21.562,0.847
1881,12,1881.958,21.541,1.053
1882,1,1882.042,22.169,0.852
1882,2,1882.125,22.386,1.124
1882,3,1882.208,21.390,0.822
1882,4,1882.292,21.418,0.996
1882,5,1882.375,21.587,0.745
1882,6,1882.458,21.442,0.544
1882,7,1882.542,21.180,0.697
1882,8,1882.625,21.385,0.971
1882,9,1882.708,21.438,0.787
1882,10,1882.792,21.169,0.547
1882,11,1882.875,21.713,1.343
1882,12,1882.958,20.960,1.168
1883,1,1883.042,20.734,0.566
1883,2,1883.125,21.421,1.384
1883,3,1883.208,21.227,1.044
1883,4,1883.292,21.626,0.565
1883,5,1883.375,21.817,0.556
1883,6,1883.458,22.010,0.699
1883,7,1883.542,21.921,0.652
1883,8,1883.625,21.446,0.611
1883,9,1883.708,21.457,0.709
1883,10,1883.792,21.414,0.909
1883,11,1883.875,21.299,0.609
1883,12,1883.958,21.493,0.718
1884,1,1884.042,21.075,0.741
1884,2,1884.125,21.619,0.645
1884,3,1884.208,20.615,0.691
1884,4,1884.292,21.269,1.066
1884,5,1884.375,21.215,0.593
1884,6,1884.458,21.404,0.818
1884,7,1884.542,21.073,0.636
1884,8,1884.625,21.691,0.620
1884,9,1884.708,21.508,1.058
1884,10,1884.792,21.318,0.583
1884,11,1884.875,21.114,0.549
1884,12,1884.958,21.385,0.640
1885,1,1885.042,20.927,0.936
1885,2,1885.125,21.726,1.227
1885,3,1885.208,21.373,0.816
1885,4,1885.292,21.462,1.331
1885,5,1885.375,22.624,2.782
1885,6,1885.458,22.649,2.106
1885,7,1885.542,22.824,1.701
1885,8,1885.625,22.281,1.382
1885,9,1885.708,21.529,0.602
1885,10,1885.792,21.310,0.717
1885,11,1885.875,21.036,0.965
1885,12,1885.958,21.117,1.692
1886,1,1886.042,20.800,0.904
1886,2,1886.125,21.644,1.372
1886,3,1886.208,21.434,1.150
1886,4,1886.292,21.492,0.743
1886,5,1886.375,22.556,0.799
1886,6,1886.458,22.940,0.961
1886,7,1886.542,22.336,1.009
1886,8,1886.625,22.098,0.989
1886,9,1886.708,21.880,0.546
1886,10,1886.792,21.508,0.700
1886,11,1886.875,21.547,0.914
1886,12,1886.958,21.176,1.121
1887,1,1887.042,20.786,1.042
1887,2,1887.125,21.454,1.254
1887,3,1887.208,20.700,1.303
1887,4,1887.292,22.198,1.171
1887,5,1887.375,21.266,1.817
1887,6,1887.458,20.980,0.863
1887,7,1887.542,21.020,1.992
1887,8,1887.625,21.088,1.140
1887,9,1887.708,21.530,0.658
1887,10,1887.792,21.638,0.704
1887,11,1887.875,22.297,1.505
1887,12,1887.958,20.729,0.640
1888,1,1888.042,21.189,0.715
1888,2,1888.125,21.579,1.165
1888,3,1888.208,21.802,1.355
1888,4,1888.292,21.458,0.641
1888,5,1888.375,20.707,1.119
1888,6,1888.458,21.301,0.823
1888,7,1888.542,21.048,1.378
1888,8,1888.625,21.300,0.693
1888,10,1888.792,21.523,1.131
