# Monthly average temperature data for Anguilla.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1824,1,1824.042,26.548,0.617
1824,2,1824.125,25.991,2.429
1824,3,1824.208,26.706,1.058
1824,4,1824.292,26.987,2.214
1824,5,1824.375,26.496,1.572
1824,7,1824.542,27.110,1.313
1824,8,1824.625,26.028,2.180
1824,9,1824.708,25.931,1.886
1824,10,1824.792,25.613,0.690
1824,11,1824.875,26.501,1.681
1824,12,1824.958,26.936,2.669
1825,1,1825.042,26.823,2.295
1825,2,1825.125,26.551,1.581
1825,3,1825.208,27.162,1.693
1825,4,1825.292,27.348,1.993
1825,5,1825.375,26.802,1.490
1825,6,1825.458,26.976,0.715
1825,7,1825.542,26.975,2.811
1825,8,1825.625,26.373,2.266
1825,9,1825.708,25.791,1.313
1825,10,1825.792,25.886,1.268
1825,11,1825.875,26.811,2.920
1825,12,1825.958,26.564,1.510
1826,2,1826.125,25.780,1.598
1826,3,1826.208,25.900,1.407
1826,4,1826.292,26.673,1.984
1826,5,1826.375,26.936,1.030
1826,7,1826.542,26.748,0.998
1826,8,1826.625,25.892,1.436
1826,9,1826.708,25.621,1.825
1826,10,1826.792,25.739,2.162
1826,11,1826.875,26.815,1.119
1826,12,1826.958,27.521,1.564
1827,1,1827.042,26.718,2.400
1827,2,1827.125,27.142,2.348
1827,3,1827.208,27.254,1.852
1827,4,1827.292,27.556,1.891
1827,5,1827.375,26.981,1.636
1827,7,1827.542,27.012,0.762
1827,8,1827.625,26.066,1.413
1827,9,1827.708,25.560,0.901
1827,10,1827.792,25.792,1.023
1827,11,1827.875,26.950,0.781
1827,12,1827.958,26.521,2.707
1828,1,1828.042,26.126,2.215
1828,2,1828.125,26.274,1.020
1828,3,1828.208,26.618,0.907
1828,4,1828.292,26.728,1.992
1828,5,1828.375,26.842,1.886
1828,6,1828.458,27.193,1.865
1828,7,1828.542,26.913,0.771
1828,8,1828.625,26.687,1.048
1828,9,1828.708,25.535,1.306
1828,11,1828.875,27.064,2.127
1828,12,1828.958,26.737,4.155
1829,1,1829.042,26.051,2.849
1829,2,1829.125,25.736,2.499
1829,3,1829.208,26.386,1.055
1829,4,1829.292,26.603,1.403
1829,5,1829.375,26.688,2.683
1829,7,1829.542,26.740,0.987
1829,8,1829.625,26.279,1.456
1829,9,1829.708,25.743,1.071
1829,11,1829.875,26.167,1.668
1829,12,1829.958,26.299,3.075
1845,1,1845.042,26.496,1.275
1845,2,1845.125,25.075,1.491
1845,3,1845.208,25.911,0.852
1845,4,1845.292,26.202,0.919
1845,5,1845.375,25.890,0.718
1845,6,1845.458,26.070,0.835
1845,7,1845.542,26.765,0.923
1845,8,1845.625,26.212,0.829
1845,9,1845.708,25.860,0.945
1846,1,1846.042,27.106,3.090
1846,2,1846.125,26.754,1.677
1846,3,1846.208,27.317,0.862
1846,4,1846.292,25.606,1.794
1846,5,1846.375,26.253,0.843
1846,6,1846.458,26.643,0.970
1846,7,1846.542,26.955,0.797
1846,8,1846.625,26.631,0.789
1846,9,1846.708,26.321,0.845
1846,10,1846.792,25.741,0.962
1846,11,1846.875,25.694,1.149
1846,12,1846.958,26.572,1.285
1847,1,1847.042,27.092,1.035
1847,2,1847.125,26.641,1.472
1847,3,1847.208,25.557,1.773
1847,4,1847.292,26.201,0.930
1847,5,1847.375,25.430,0.906
1847,6,1847.458,26.302,1.002
1847,7,1847.542,26.390,0.942
1847,8,1847.625,26.287,0.925
1847,9,1847.708,26.242,1.041
1847,10,1847.792,26.059,0.892
1847,11,1847.875,26.266,1.138
1847,12,1847.958,25.034,1.319
1848,1,1848.042,25.110,1.115
1848,2,1848.125,26.482,1.232
1848,3,1848.208,25.881,0.825
1848,4,1848.292,26.215,0.997
1848,5,1848.375,25.616,1.163
1848,6,1848.458,26.150,1.443
1848,7,1848.542,26.844,1.174
1848,8,1848.625,25.949,0.916
1848,9,1848.708,26.010,1.040
1848,10,1848.792,26.117,0.988
1848,11,1848.875,25.811,0.997
1848,12,1848.958,26.150,0.933
1849,1,1849.042,26.427,1.222
1849,2,1849.125,25.963,1.334
1849,3,1849.208,26.459,1.246
1849,4,1849.292,25.392,1.505
1849,5,1849.375,25.610,1.009
1849,6,1849.458,26.006,1.216
1849,7,1849.542,26.622,1.211
1849,8,1849.625,26.344,0.949
1849,9,1849.708,25.930,1.205
1849,10,1849.792,26.446,0.977
1849,11,1849.875,25.993,1.152
1849,12,1849.958,25.965,1.153
1850,1,1850.042,25.589,1.109
1850,2,1850.125,26.406,1.297
1850,3,1850.208,26.331,0.987
1850,4,1850.292,25.716,1.265
1850,5,1850.375,25.589,1.038
1850,6,1850.458,26.068,1.015
1850,7,1850.542,26.734,0.805
1850,8,1850.625,26.575,0.873
1850,9,1850.708,26.534,0.787
1850,10,1850.792,25.831,1.215
1850,11,1850.875,25.664,1.379
1850,12,1850.958,26.064,1.175
1851,1,1851.042,26.492,0.888
1851,2,1851.125,26.063,1.029
1851,3,1851.208,25.582,0.879
1851,4,1851.292,25.877,1.426
1851,5,1851.375,26.017,1.149
1851,6,1851.458,26.342,1.046
1851,7,1851.542,27.169,0.730
1851,8,1851.625,26.428,0.970
1851,9,1851.708,25.985,0.851
1851,10,1851.792,26.411,1.277
1851,11,1851.875,25.954,1.718
1851,12,1851.958,26.033,0.985
1852,1,1852.042,25.811,1.453
1852,2,1852.125,25.763,1.292
1852,3,1852.208,25.169,1.019
1852,4,1852.292,25.757,0.985
1852,5,1852.375,26.535,1.341
1852,6,1852.458,26.404,1.151
1852,7,1852.542,26.422,0.640
1852,8,1852.625,26.216,1.030
1852,9,1852.708,26.132,0.734
1852,10,1852.792,25.876,0.847
1852,11,1852.875,25.793,0.873
1852,12,1852.958,26.289,1.590
1853,1,1853.042,26.330,1.352
1853,2,1853.125,25.229,3.280
1853,3,1853.208,26.158,1.121
1853,4,1853.292,26.259,1.880
1853,5,1853.375,26.104,1.169
1853,6,1853.458,26.250,0.917
1853,7,1853.542,26.683,0.661
1853,8,1853.625,26.019,0.934
1853,9,1853.708,25.957,0.650
1853,10,1853.792,26.023,1.377
1853,11,1853.875,26.224,1.279
1853,12,1853.958,26.536,1.097
1854,1,1854.042,26.146,1.051
1854,2,1854.125,25.547,0.813
1854,3,1854.208,25.924,0.903
1854,4,1854.292,25.507,0.771
1854,5,1854.375,26.184,0.760
1854,6,1854.458,26.049,0.933
1854,7,1854.542,26.672,0.972
1854,8,1854.625,26.114,0.758
1854,9,1854.708,25.895,0.832
1854,10,1854.792,26.591,1.537
1854,11,1854.875,25.922,0.945
1854,12,1854.958,26.212,1.446
1855,1,1855.042,26.080,1.401
1855,2,1855.125,26.046,1.742
1855,3,1855.208,25.975,1.064
1855,4,1855.292,25.985,0.983
1855,5,1855.375,25.931,1.347
1855,6,1855.458,26.534,0.992
1855,7,1855.542,26.074,0.599
1855,8,1855.625,26.509,1.223
1855,9,1855.708,25.942,0.668
1855,10,1855.792,25.965,0.931
1855,11,1855.875,26.525,0.724
1855,12,1855.958,26.515,1.474
1856,1,1856.042,27.088,0.758
1856,2,1856.125,26.284,2.766
1856,3,1856.208,26.207,1.752
1856,4,1856.292,26.060,0.781
1856,5,1856.375,26.226,0.989
1856,6,1856.458,26.316,0.901
1856,7,1856.542,26.798,0.914
1856,8,1856.625,26.233,0.955
1856,9,1856.708,25.868,0.903
1856,10,1856.792,26.294,0.834
1856,11,1856.875,26.255,1.110
1856,12,1856.958,26.138,1.645
1857,1,1857.042,25.386,0.703
1857,2,1857.125,25.268,1.088
1857,3,1857.208,25.821,0.590
1857,4,1857.292,25.370,0.955
1857,5,1857.375,25.633,1.015
1857,6,1857.458,26.223,0.710
1857,7,1857.542,26.292,0.829
1857,8,1857.625,25.912,0.690
1857,9,1857.708,25.486,0.694
1857,10,1857.792,25.450,0.992
1857,11,1857.875,25.742,0.893
1857,12,1857.958,26.021,0.979
1858,1,1858.042,25.426,1.320
1858,2,1858.125,26.031,1.841
1858,3,1858.208,25.416,0.792
1858,4,1858.292,25.639,0.809
1858,5,1858.375,25.712,1.271
1858,6,1858.458,25.424,1.339
1858,7,1858.542,26.298,0.890
1858,8,1858.625,26.099,0.826
1858,9,1858.708,25.693,0.752
1858,10,1858.792,25.715,0.570
1858,11,1858.875,26.101,0.883
1858,12,1858.958,25.505,0.898
1859,1,1859.042,25.920,1.225
1859,2,1859.125,25.386,1.477
1859,3,1859.208,25.257,1.029
1859,4,1859.292,25.770,1.262
1859,5,1859.375,26.148,1.125
1859,6,1859.458,25.974,0.756
1859,7,1859.542,25.948,0.674
1859,8,1859.625,25.732,0.721
1859,9,1859.708,25.936,0.731
1859,10,1859.792,26.038,1.096
1859,11,1859.875,25.759,1.447
1859,12,1859.958,26.271,1.520
1860,1,1860.042,26.391,0.973
1860,2,1860.125,25.766,0.999
1860,3,1860.208,25.564,1.254
1860,4,1860.292,25.961,0.566
1860,5,1860.375,25.778,0.934
1860,6,1860.458,25.707,1.407
1860,7,1860.542,26.715,0.978
1860,8,1860.625,25.829,0.927
1860,9,1860.708,25.689,1.331
1860,10,1860.792,26.073,0.932
1860,11,1860.875,25.802,1.140
1860,12,1860.958,25.836,1.137
1861,1,1861.042,25.197,1.859
1861,2,1861.125,25.887,0.993
1861,3,1861.208,25.838,0.684
1861,4,1861.292,25.897,1.081
1861,5,1861.375,25.997,0.633
1861,6,1861.458,25.525,0.812
1861,7,1861.542,26.524,0.625
1861,8,1861.625,26.471,0.557
