# Monthly average temperature data for Antarctica.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1956,1,1956.042,-24.512,1.384
1956,2,1956.125,-24.358,1.165
1956,3,1956.208,-25.095,1.423
1956,4,1956.292,-25.080,1.667
1956,5,1956.375,-25.421,1.056
1956,6,1956.458,-24.735,1.000
1956,7,1956.542,-24.551,1.178
1956,8,1956.625,-26.981,1.340
1956,9,1956.708,-23.205,1.178
1956,10,1956.792,-25.434,0.936
1956,11,1956.875,-24.375,1.113
1956,12,1956.958,-23.273,1.079
1957,1,1957.042,-24.687,0.948
1957,2,1957.125,-24.658,1.024
1957,3,1957.208,-25.237,0.747
1957,4,1957.292,-24.152,0.730
1957,5,1957.375,-24.698,1.044
1957,6,1957.458,-24.738,1.017
1957,7,1957.542,-26.956,0.809
1957,8,1957.625,-24.513,0.878
1957,9,1957.708,-23.894,0.997
1957,10,1957.792,-23.866,0.819
1957,11,1957.875,-24.317,1.262
1957,12,1957.958,-24.169,1.209
1958,1,1958.042,-24.975,1.146
1958,2,1958.125,-24.910,0.848
1958,3,1958.208,-24.840,0.575
1958,4,1958.292,-24.026,0.703
1958,5,1958.375,-24.597,0.845
1958,6,1958.458,-28.139,0.882
1958,7,1958.542,-25.810,1.462
1958,8,1958.625,-27.182,1.515
1958,9,1958.708,-27.461,0.713
1958,10,1958.792,-25.441,0.547
1958,11,1958.875,-24.854,1.053
1958,12,1958.958,-26.284,0.931
1959,1,1959.042,-25.798,1.164
1959,2,1959.125,-25.684,0.666
1959,3,1959.208,-24.301,0.871
1959,4,1959.292,-23.998,1.283
1959,5,1959.375,-24.480,0.687
1959,6,1959.458,-25.435,0.773
1959,7,1959.542,-25.402,1.049
1959,8,1959.625,-25.767,1.058
1959,9,1959.708,-27.762,0.833
1959,10,1959.792,-25.400,0.891
1959,11,1959.875,-26.441,0.713
1959,12,1959.958,-24.730,0.655
1960,1,1960.042,-26.237,0.818
1960,2,1960.125,-25.752,0.926
1960,3,1960.208,-27.764,0.737
1960,4,1960.292,-26.182,0.780
1960,5,1960.375,-26.362,0.741
1960,6,1960.458,-26.749,0.848
1960,7,1960.542,-27.157,0.837
1960,8,1960.625,-24.793,0.950
1960,9,1960.708,-25.304,0.792
1960,10,1960.792,-24.507,0.640
1960,11,1960.875,-25.693,0.751
1960,12,1960.958,-25.824,1.023
1961,1,1961.042,-25.315,0.834
1961,2,1961.125,-24.414,0.749
1961,3,1961.208,-25.080,0.796
1961,4,1961.292,-24.540,1.003
1961,5,1961.375,-23.301,0.863
1961,6,1961.458,-24.705,0.966
1961,7,1961.542,-24.754,0.815
1961,8,1961.625,-24.799,0.990
1961,9,1961.708,-23.433,0.861
1961,10,1961.792,-25.059,1.130
1961,11,1961.875,-24.998,0.794
1961,12,1961.958,-26.260,0.665
1962,1,1962.042,-26.343,0.866
1962,2,1962.125,-25.190,0.755
1962,3,1962.208,-25.848,0.680
1962,4,1962.292,-25.896,1.223
1962,5,1962.375,-26.913,0.934
1962,6,1962.458,-24.647,1.365
1962,7,1962.542,-26.940,0.753
1962,8,1962.625,-25.980,0.779
1962,9,1962.708,-25.669,0.982
1962,10,1962.792,-25.723,0.769
1962,11,1962.875,-25.805,0.678
1962,12,1962.958,-26.049,1.159
1963,1,1963.042,-25.155,0.929
1963,2,1963.125,-25.988,0.683
1963,3,1963.208,-26.284,0.918
1963,4,1963.292,-26.832,0.737
1963,5,1963.375,-26.470,0.687
1963,6,1963.458,-24.372,0.727
1963,7,1963.542,-24.736,0.822
1963,8,1963.625,-22.930,0.996
1963,9,1963.708,-23.122,0.919
1963,10,1963.792,-26.769,0.815
1963,11,1963.875,-25.634,0.668
1963,12,1963.958,-25.759,0.584
1964,1,1964.042,-25.605,0.740
1964,2,1964.125,-25.731,0.616
1964,3,1964.208,-25.614,0.701
1964,4,1964.292,-27.334,0.942
