# Monthly average temperature data for Antigua And Barbuda.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1824,1,1824.042,26.345,1.433
1824,2,1824.125,25.828,2.689
1824,3,1824.208,26.332,0.981
1824,4,1824.292,26.885,1.223
1824,5,1824.375,26.305,1.157
1824,6,1824.458,26.211,2.212
1824,7,1824.542,26.408,1.688
1824,8,1824.625,25.573,1.075
1824,9,1824.708,25.590,2.439
1824,10,1824.792,25.242,0.700
1824,11,1824.875,26.107,0.743
1824,12,1824.958,26.317,2.561
1825,1,1825.042,26.546,1.977
1825,2,1825.125,26.369,1.052
1825,3,1825.208,26.660,1.439
1825,4,1825.292,27.083,0.861
1825,5,1825.375,26.646,1.275
1825,6,1825.458,26.445,1.199
1825,7,1825.542,26.316,2.035
1825,8,1825.625,25.892,2.019
1825,9,1825.708,25.484,1.875
1825,10,1825.792,25.480,1.015
1825,11,1825.875,26.285,2.181
1825,12,1825.958,26.166,1.137
1826,1,1826.042,26.356,1.144
1826,2,1826.125,25.611,1.491
1826,3,1826.208,25.509,1.933
1826,4,1826.292,26.341,1.497
1826,5,1826.375,26.503,1.133
1826,6,1826.458,26.049,1.620
1826,7,1826.542,26.335,1.665
1826,8,1826.625,25.630,1.395
1826,9,1826.708,25.534,1.030
1826,10,1826.792,25.629,1.145
1826,11,1826.875,26.406,1.713
1826,12,1826.958,27.185,1.820
1827,1,1827.042,26.676,3.214
1827,2,1827.125,26.468,2.658
1827,3,1827.208,26.755,1.847
1827,4,1827.292,27.064,2.136
1827,5,1827.375,26.752,1.680
1827,7,1827.542,26.613,1.315
1827,8,1827.625,25.735,1.952
1827,9,1827.708,25.431,1.490
1827,10,1827.792,25.574,1.916
1827,11,1827.875,26.490,1.055
1827,12,1827.958,26.158,1.714
1828,1,1828.042,25.564,1.395
1828,2,1828.125,25.489,1.693
1828,3,1828.208,26.239,1.397
1828,4,1828.292,26.528,2.254
1828,5,1828.375,26.549,1.560
1828,6,1828.458,26.421,1.749
1828,7,1828.542,26.390,1.483
1828,8,1828.625,26.339,0.752
1828,9,1828.708,25.330,1.306
1828,11,1828.875,26.471,1.208
1828,12,1828.958,25.982,2.565
1829,1,1829.042,25.658,1.694
1829,2,1829.125,25.652,1.633
1829,3,1829.208,26.239,1.047
1829,4,1829.292,26.500,1.213
1829,5,1829.375,26.478,1.594
1829,6,1829.458,25.897,1.498
1829,7,1829.542,26.411,1.070
1829,8,1829.625,26.053,1.031
1829,9,1829.708,25.629,0.912
1829,11,1829.875,26.009,1.277
1829,12,1829.958,25.726,1.519
1849,8,1849.625,25.875,0.936
1849,9,1849.708,25.648,0.770
1849,10,1849.792,25.921,0.833
1850,8,1850.625,26.427,0.893
1850,9,1850.708,26.206,0.795
1850,10,1850.792,25.610,1.307
1850,11,1850.875,25.395,2.082
1850,12,1850.958,26.223,1.487
1851,1,1851.042,26.424,0.857
1851,2,1851.125,25.796,1.252
1851,3,1851.208,25.566,0.812
1851,4,1851.292,25.806,1.207
1851,5,1851.375,25.922,1.049
1851,6,1851.458,26.101,0.818
1851,7,1851.542,26.937,0.714
1851,8,1851.625,26.256,0.744
1851,9,1851.708,25.850,0.887
1851,10,1851.792,26.144,1.093
1851,11,1851.875,25.612,1.203
1851,12,1851.958,25.878,1.313
1852,1,1852.042,25.901,1.094
1852,2,1852.125,25.446,1.272
1852,3,1852.208,24.954,0.951
1852,4,1852.292,25.867,0.873
1852,5,1852.375,26.400,0.808
1852,6,1852.458,26.200,0.730
1852,7,1852.542,26.186,0.860
1852,8,1852.625,26.153,1.107
1852,9,1852.708,25.958,0.781
1852,10,1852.792,25.598,0.827
1852,11,1852.875,25.547,1.016
1852,12,1852.958,25.800,1.421
1853,1,1853.042,26.406,1.730
1853,2,1853.125,25.097,1.270
1853,3,1853.208,26.081,1.907
1853,4,1853.292,26.312,1.208
1853,5,1853.375,26.037,0.759
1853,6,1853.458,26.191,0.850
1853,7,1853.542,26.597,0.840
1853,8,1853.625,25.931,1.380
1853,9,1853.708,25.744,0.607
1853,10,1853.792,25.819,0.571
1853,11,1853.875,26.084,2.172
1853,12,1853.958,26.574,1.890
1854,1,1854.042,26.134,1.708
1854,2,1854.125,25.391,0.941
1854,3,1854.208,26.020,0.589
1854,4,1854.292,25.595,0.891
1854,5,1854.375,25.952,0.655
1854,6,1854.458,25.899,0.799
1854,7,1854.542,26.380,0.837
1854,8,1854.625,25.943,0.911
1854,9,1854.708,25.570,0.687
1854,10,1854.792,26.419,0.905
1854,11,1854.875,25.753,0.652
1854,12,1854.958,26.165,2.516
1855,1,1855.042,26.204,0.892
1855,2,1855.125,26.126,1.677
1855,3,1855.208,26.012,1.304
1855,4,1855.292,25.852,0.730
1855,5,1855.375,25.938,0.750
1855,6,1855.458,26.446,0.903
1855,7,1855.542,26.071,0.574
1855,8,1855.625,26.388,0.737
1855,9,1855.708,25.765,0.524
1855,10,1855.792,25.863,1.477
1855,11,1855.875,26.260,0.881
1855,12,1855.958,26.392,1.583
1856,1,1856.042,27.176,1.158
1856,2,1856.125,26.227,1.394
1856,3,1856.208,26.123,1.112
1856,4,1856.292,26.041,0.558
1856,5,1856.375,26.237,0.528
1856,6,1856.458,26.274,1.146
1856,7,1856.542,26.741,1.019
1856,8,1856.625,26.160,0.954
1856,9,1856.708,25.716,0.916
1856,10,1856.792,26.020,0.621
1856,11,1856.875,25.999,0.649
