# Monthly average temperature data for Argentina.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1855,5,1855.375,14.273,1.509
1855,6,1855.458,13.681,1.874
1855,7,1855.542,13.629,1.550
1855,8,1855.625,14.186,1.445
1855,9,1855.708,13.779,1.437
1855,10,1855.792,13.373,1.485
1855,11,1855.875,13.664,1.443
1855,12,1855.958,12.259,1.758
1856,1,1856.042,14.650,1.259
1856,2,1856.125,13.366,1.680
1856,3,1856.208,13.366,1.847
1856,4,1856.292,14.161,1.711
1856,5,1856.375,13.056,1.605
1856,6,1856.458,15.376,1.655
1856,7,1856.542,14.462,1.591
1856,8,1856.625,13.687,1.695
1856,9,1856.708,13.609,1.504
1856,10,1856.792,13.703,1.343
1856,11,1856.875,14.568,1.444
1856,12,1856.958,14.163,1.430
1857,1,1857.042,14.237,1.688
1857,2,1857.125,13.523,1.532
1857,3,1857.208,14.597,2.424
1857,4,1857.292,13.037,1.965
1857,5,1857.375,13.727,1.761
1857,6,1857.458,15.751,2.026
1857,7,1857.542,15.043,2.084
1857,8,1857.625,14.117,2.196
1857,9,1857.708,14.051,2.253
1857,10,1857.792,13.356,2.022
1857,11,1857.875,15.165,1.591
1857,12,1857.958,13.827,1.364
1858,1,1858.042,14.959,2.504
1858,2,1858.125,14.591,1.865
1858,3,1858.208,14.180,1.255
1858,4,1858.292,15.348,1.312
1858,5,1858.375,13.604,1.310
1858,6,1858.458,14.038,1.285
1858,7,1858.542,13.051,1.671
1858,8,1858.625,14.884,1.574
1858,9,1858.708,14.813,1.973
1858,10,1858.792,13.102,1.814
1858,11,1858.875,13.089,2.265
1858,12,1858.958,12.589,1.618
1859,1,1859.042,12.983,1.758
1859,2,1859.125,13.370,2.203
1859,3,1859.208,14.276,1.847
1859,4,1859.292,15.169,1.521
1859,5,1859.375,14.666,1.383
1859,6,1859.458,15.451,1.373
1859,7,1859.542,15.521,1.706
1859,8,1859.625,14.290,1.442
1859,9,1859.708,13.942,1.212
1859,10,1859.792,15.304,2.357
1859,11,1859.875,13.901,1.480
1859,12,1859.958,14.330,1.434
1860,1,1860.042,14.807,1.436
1860,2,1860.125,14.286,1.043
1860,3,1860.208,12.884,1.606
1860,4,1860.292,14.272,1.977
1860,5,1860.375,13.145,1.600
1860,6,1860.458,14.082,1.171
1860,7,1860.542,15.088,1.458
1860,8,1860.625,15.350,1.729
1860,9,1860.708,14.946,1.448
1860,10,1860.792,14.283,1.519
1860,11,1860.875,13.412,1.017
1860,12,1860.958,12.853,1.237
1861,1,1861.042,13.185,1.862
1861,2,1861.125,14.186,1.466
1861,3,1861.208,14.042,1.856
1861,4,1861.292,15.254,1.857
1861,5,1861.375,12.831,1.222
1861,6,1861.458,14.072,1.210
1861,7,1861.542,13.572,1.389
1861,8,1861.625,15.852,1.497
1861,9,1861.708,14.197,0.985
1861,10,1861.792,12.686,0.891
1861,11,1861.875,13.988,1.299
1861,12,1861.958,14.510,2.276
1862,1,1862.042,14.257,2.330
1862,2,1862.125,13.540,1.385
1862,3,1862.208,14.646,1.467
1862,4,1862.292,15.358,2.036
1862,5,1862.375,14.715,1.225
1862,6,1862.458,15.280,1.494
1862,7,1862.542,13.104,1.138
1862,8,1862.625,12.811,1.117
1862,9,1862.708,13.139,0.878
1862,10,1862.792,13.583,1.359
1862,11,1862.875,13.279,1.408
1862,12,1862.958,13.368,1.946
1863,1,1863.042,13.598,1.554
1863,2,1863.125,13.784,2.285
1863,3,1863.208,12.920,1.389
1863,4,1863.292,14.080,1.310
1863,5,1863.375,12.696,1.008
1863,6,1863.458,13.727,1.712
1863,7,1863.542,13.231,1.344
1863,8,1863.625,13.341,1.093
1863,9,1863.708,13.788,1.144
1863,10,1863.792,13.778,1.036
1863,11,1863.875,14.115,1.147
1863,12,1863.958,14.410,2.370
1864,1,1864.042,12.997,1.711
1864,2,1864.125,14.017,1.945
1864,3,1864.208,14.317,1.429
1864,4,1864.292,13.993,1.943
1864,5,1864.375,14.330,1.763
1864,6,1864.458,15.348,1.503
1864,7,1864.542,14.143,1.487
1864,8,1864.625,13.575,1.765
