# Monthly average temperature data for Armenia.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1819,1,1819.042,6.366,3.107
1819,2,1819.125,7.227,2.161
1819,3,1819.208,7.032,7.130
1819,5,1819.375,6.370,3.023
1819,6,1819.458,5.881,2.640
1819,7,1819.542,5.415,2.136
1819,8,1819.625,5.932,2.137
1820,3,1820.208,8.373,2.513
1820,5,1820.375,6.933,2.491
1820,7,1820.542,6.768,2.217
1820,8,1820.625,6.092,2.624
1820,10,1820.792,4.522,3.378
1820,11,1820.875,6.981,2.562
1821,2,1821.125,8.886,4.246
1821,3,1821.208,9.213,3.322
1821,6,1821.458,5.993,3.582
1821,7,1821.542,5.496,3.048
1821,8,1821.625,5.894,2.233
1821,11,1821.875,6.816,2.776
1821,12,1821.958,7.409,2.559
1831,6,1831.458,7.913,2.813
1831,11,1831.875,6.323,2.946
1831,12,1831.958,6.393,2.649
1832,1,1832.042,6.312,2.710
1832,2,1832.125,5.389,3.260
1832,3,1832.208,5.237,2.586
1832,4,1832.292,5.689,2.383
1832,5,1832.375,7.209,2.340
1832,6,1832.458,7.208,2.360
1832,7,1832.542,6.284,2.614
1832,8,1832.625,5.683,2.363
1832,9,1832.708,6.047,2.269
1832,10,1832.792,6.028,2.441
1832,11,1832.875,3.908,2.629
1832,12,1832.958,4.380,2.905
1833,1,1833.042,5.443,3.366
1833,2,1833.125,7.775,2.293
1833,3,1833.208,6.526,2.895
1833,4,1833.292,7.257,2.214
1833,5,1833.375,6.886,2.348
1833,6,1833.458,8.720,2.316
1833,7,1833.542,8.064,2.436
1833,8,1833.625,6.528,2.399
1833,9,1833.708,7.273,2.581
1833,10,1833.792,5.639,2.324
1833,11,1833.875,6.954,3.113
1833,12,1833.958,7.071,2.586
1834,1,1834.042,6.414,2.611
1834,2,1834.125,4.490,2.385
1834,3,1834.208,8.546,2.185
1834,4,1834.292,6.123,2.481
1834,5,1834.375,7.940,2.152
1834,6,1834.458,7.701,2.249
1834,7,1834.542,6.489,2.320
1834,8,1834.625,6.805,2.299
1834,9,1834.708,7.518,2.334
1834,10,1834.792,6.577,2.415
1834,11,1834.875,7.608,2.333
1834,12,1834.958,6.534,2.477
1835,7,1835.542,6.585,2.506
1835,8,1835.625,5.277,2.265
1835,9,1835.708,4.777,2.333
