# Monthly average temperature data for Aruba.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1824,1,1824.042,27.947,0.734
1824,2,1824.125,27.428,2.212
1824,3,1824.208,28.178,1.019
1824,4,1824.292,28.407,1.914
1824,5,1824.375,27.999,1.459
1824,7,1824.542,28.709,1.250
1824,8,1824.625,27.627,2.033
1824,9,1824.708,27.336,1.668
1824,10,1824.792,27.089,0.809
1824,11,1824.875,27.847,1.636
1824,12,1824.958,28.540,2.257
1825,1,1825.042,28.291,2.058
1825,2,1825.125,27.979,1.451
1825,3,1825.208,28.382,1.511
1825,4,1825.292,29.030,1.844
1825,5,1825.375,28.282,1.289
1825,6,1825.458,28.584,0.804
1825,7,1825.542,28.333,2.520
1825,8,1825.625,27.721,2.042
1825,9,1825.708,27.060,1.216
1825,10,1825.792,27.223,1.289
1825,11,1825.875,28.257,2.658
1825,12,1825.958,27.727,1.352
1826,2,1826.125,27.233,1.265
1826,3,1826.208,27.746,1.334
1826,4,1826.292,28.440,1.754
1826,5,1826.375,28.539,1.000
1826,7,1826.542,28.411,1.062
1826,8,1826.625,27.328,1.375
1826,9,1826.708,27.059,1.546
1826,10,1826.792,27.391,2.009
1826,11,1826.875,28.391,1.075
1826,12,1826.958,28.954,1.489
1827,1,1827.042,28.561,2.163
1827,2,1827.125,28.953,2.032
1827,3,1827.208,28.864,1.644
1827,4,1827.292,29.204,1.733
1827,5,1827.375,28.602,1.447
1827,7,1827.542,28.588,0.840
1827,8,1827.625,27.747,1.383
1827,9,1827.708,26.948,0.916
1827,10,1827.792,27.260,0.905
1827,11,1827.875,28.515,0.842
1827,12,1827.958,27.935,2.357
1828,1,1828.042,27.246,1.780
1828,2,1828.125,27.309,0.868
1828,3,1828.208,28.048,0.925
1828,4,1828.292,28.456,1.830
1828,5,1828.375,28.180,1.736
1828,6,1828.458,28.570,1.921
1828,7,1828.542,28.356,0.906
1828,8,1828.625,27.944,1.177
1828,9,1828.708,26.492,1.169
1828,11,1828.875,28.171,1.862
1828,12,1828.958,28.050,3.838
1829,1,1829.042,27.572,2.459
1829,2,1829.125,27.211,1.916
1829,3,1829.208,27.726,1.201
1829,4,1829.292,28.081,1.368
1829,5,1829.375,28.342,2.332
1829,7,1829.542,28.235,1.029
1829,8,1829.625,27.683,1.380
1829,9,1829.708,26.904,1.069
1829,11,1829.875,27.213,1.470
1829,12,1829.958,27.581,2.842
1845,1,1845.042,27.815,1.290
1845,2,1845.125,26.484,1.384
1845,3,1845.208,27.453,0.933
1845,4,1845.292,27.721,0.986
1845,5,1845.375,27.325,0.865
1845,6,1845.458,27.511,0.918
1845,7,1845.542,28.102,1.013
1845,8,1845.625,27.610,0.950
1845,9,1845.708,27.040,1.035
1846,1,1846.042,28.455,3.124
1846,2,1846.125,28.280,1.692
1846,3,1846.208,28.704,0.992
1846,4,1846.292,27.292,1.808
1846,5,1846.375,27.851,0.924
1846,6,1846.458,28.436,1.129
