# Monthly average temperature data for Australia.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1876,2,1876.125,21.310,1.455
1876,3,1876.208,21.823,1.504
1876,4,1876.292,20.971,1.114
1876,5,1876.375,21.546,0.945
1876,6,1876.458,20.742,0.950
1876,7,1876.542,21.050,0.964
1876,8,1876.625,21.315,0.979
1876,9,1876.708,21.376,0.954
1876,10,1876.792,21.611,0.949
1876,11,1876.875,21.145,1.149
1876,12,1876.958,21.425,1.048
1877,1,1877.042,21.385,1.347
1877,2,1877.125,21.950,1.356
1877,3,1877.208,21.324,1.258
1877,4,1877.292,21.581,1.026
1877,5,1877.375,21.951,1.050
1877,6,1877.458,21.218,1.268
1877,7,1877.542,22.358,0.958
1877,8,1877.625,22.780,1.034
1877,9,1877.708,21.598,1.147
1877,10,1877.792,21.982,1.380
1877,11,1877.875,22.765,1.090
1877,12,1877.958,21.489,1.095
1878,1,1878.042,22.883,1.759
1878,2,1878.125,22.324,1.151
1878,3,1878.208,22.868,0.930
1878,4,1878.292,22.533,1.118
1878,5,1878.375,22.325,1.050
1878,6,1878.458,20.969,0.873
1878,7,1878.542,23.307,1.825
1878,8,1878.625,22.592,0.769
1878,9,1878.708,23.085,0.981
1878,10,1878.792,23.314,1.245
1878,11,1878.875,22.434,1.112
1878,12,1878.958,22.135,0.886
1879,1,1879.042,22.943,1.013
1879,2,1879.125,21.421,0.982
1879,3,1879.208,20.860,1.038
1879,4,1879.292,20.900,0.793
1879,5,1879.375,20.419,1.345
1879,6,1879.458,21.107,0.941
1879,7,1879.542,21.368,0.813
1879,8,1879.625,21.615,0.770
1879,9,1879.708,20.913,1.156
1879,10,1879.792,20.908,0.917
1879,11,1879.875,21.625,0.971
1879,12,1879.958,21.938,1.771
1880,1,1880.042,21.711,1.111
1880,2,1880.125,21.298,1.284
1880,3,1880.208,22.041,2.160
1880,4,1880.292,21.295,1.174
1880,5,1880.375,21.692,1.030
1880,6,1880.458,20.637,0.838
1880,7,1880.542,20.799,0.828
1880,8,1880.625,23.200,1.669
1880,9,1880.708,21.832,0.842
1880,10,1880.792,21.050,0.904
1880,11,1880.875,22.383,1.140
1880,12,1880.958,22.017,0.910
1881,1,1881.042,21.936,1.656
1881,2,1881.125,21.700,1.043
1881,3,1881.208,21.446,1.076
1881,4,1881.292,22.207,1.294
1881,5,1881.375,23.292,2.001
1881,6,1881.458,20.604,0.826
