# Monthly average temperature data for Austria.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1750,1,1750.042,4.815,1.464
1750,2,1750.125,6.114,2.078
1750,3,1750.208,8.390,2.573
1750,4,1750.292,6.578,1.187
1750,5,1750.375,5.003,1.228
1750,6,1750.458,6.467,1.277
1750,7,1750.542,6.804,1.483
1750,8,1750.625,6.715,1.166
1750,9,1750.708,5.903,1.954
1750,10,1750.792,5.130,1.059
1750,11,1750.875,2.560,1.185
1750,12,1750.958,3.851,1.464
1751,1,1751.042,4.348,1.524
1751,2,1751.125,2.978,1.460
1751,3,1751.208,7.269,1.211
1751,4,1751.292,4.369,1.089
1751,5,1751.375,5.424,1.232
1751,6,1751.458,5.723,1.306
1751,7,1751.542,7.154,1.348
1751,8,1751.625,7.384,1.014
1751,9,1751.708,5.882,0.975
1751,10,1751.792,5.040,1.198
1751,11,1751.875,2.918,1.323
1751,12,1751.958,3.985,1.922
1752,1,1752.042,5.248,1.589
1752,2,1752.125,7.000,1.405
1752,3,1752.208,6.316,1.066
1752,4,1752.292,5.147,1.242
1752,5,1752.375,5.375,1.122
1752,6,1752.458,7.964,0.992
1752,7,1752.542,6.777,1.187
1752,8,1752.625,5.344,1.474
1752,10,1752.792,5.870,1.146
1752,11,1752.875,5.781,1.269
1752,12,1752.958,5.106,1.666
1753,1,1753.042,4.077,1.429
1753,2,1753.125,5.130,1.584
1753,3,1753.208,7.146,1.098
1753,4,1753.292,6.625,1.484
1753,5,1753.375,6.492,0.768
1753,6,1753.458,7.299,1.431
1753,7,1753.542,6.688,1.356
1753,8,1753.625,5.336,1.034
1753,9,1753.708,5.662,0.944
1753,10,1753.792,5.884,0.980
1753,11,1753.875,4.331,0.975
1753,12,1753.958,4.594,2.792
1754,1,1754.042,5.129,1.437
1754,2,1754.125,3.799,1.493
1754,3,1754.208,2.627,0.775
1754,4,1754.292,6.214,1.234
1754,5,1754.375,7.285,0.965
1754,6,1754.458,6.971,1.135
1754,7,1754.542,5.640,1.497
1754,8,1754.625,6.414,1.217
1754,9,1754.708,5.374,1.186
1754,10,1754.792,7.034,1.266
1754,11,1754.875,6.672,2.166
1754,12,1754.958,5.839,1.279
1755,1,1755.042,2.100,1.461
1755,2,1755.125,1.689,2.007
1755,3,1755.208,5.174,1.153
1755,4,1755.292,9.401,1.827
1755,5,1755.375,6.373,0.982
1755,6,1755.458,8.626,1.769
1755,7,1755.542,6.597,2.480
1755,8,1755.625,4.980,1.258
1755,9,1755.708,4.615,0.946
1755,10,1755.792,5.946,0.775
1755,11,1755.875,4.557,2.369
1755,12,1755.958,6.420,1.457
1756,1,1756.042,7.123,2.008
1756,2,1756.125,7.446,5.013
1756,3,1756.208,6.605,3.018
1756,4,1756.292,5.326,2.378
1756,5,1756.375,6.010,5.650
1756,6,1756.458,8.112,2.037
1756,7,1756.542,6.612,8.150
1756,8,1756.625,6.542,1.839
1756,9,1756.708,6.240,1.504
1756,10,1756.792,5.625,9.035
1756,11,1756.875,3.473,0.888
1756,12,1756.958,4.096,1.402
1757,1,1757.042,3.946,1.473
1757,2,1757.125,6.346,2.816
1757,3,1757.208,5.644,4.367
1757,4,1757.292,7.267,1.911
1757,5,1757.375,7.047,1.949
1757,6,1757.458,7.992,1.746
1757,7,1757.542,9.272,3.195
1757,8,1757.625,7.455,4.434
1757,9,1757.708,4.802,6.575
1757,10,1757.792,2.199,6.308
1757,11,1757.875,5.132,8.611
1757,12,1757.958,4.430,1.383
1758,1,1758.042,2.168,6.890
1758,2,1758.125,3.794,2.321
1758,3,1758.208,5.782,1.411
1758,4,1758.292,5.626,3.712
1758,5,1758.375,6.521,5.515
1758,6,1758.458,7.074,4.135
1758,7,1758.542,4.309,4.086
1758,8,1758.625,5.519,6.366
1758,9,1758.708,3.980,2.181
1758,10,1758.792,3.583,0.937
1758,11,1758.875,5.499,1.444
1758,12,1758.958,6.280,1.270
1759,1,1759.042,7.827,1.497
1759,2,1759.125,7.640,6.592
1759,3,1759.208,6.443,4.125
1759,4,1759.292,6.290,5.624
1759,5,1759.375,5.448,4.157
1759,6,1759.458,6.938,4.484
1759,7,1759.542,7.691,4.878
1759,8,1759.625,6.164,1.316
1759,9,1759.708,5.772,2.494
1759,10,1759.792,6.152,6.159
1759,11,1759.875,2.215,7.000
1759,12,1759.958,4.020,2.660
1760,1,1760.042,4.750,6.358
1760,2,1760.125,4.700,8.853
1760,3,1760.208,4.470,3.127
1760,4,1760.292,7.527,1.127
1760,5,1760.375,6.773,2.992
1760,6,1760.458,7.107,1.557
1760,7,1760.542,6.447,1.417
1760,8,1760.625,5.668,6.620
1760,9,1760.708,5.642,1.838
1760,10,1760.792,5.983,1.676
1760,11,1760.875,5.670,7.024
1760,12,1760.958,6.738,3.670
1761,1,1761.042,4.680,1.497
1761,2,1761.125,6.263,4.548
1761,3,1761.208,7.626,1.470
1761,4,1761.292,6.116,1.228
1761,5,1761.375,7.964,2.358
1761,6,1761.458,7.478,2.420
1761,7,1761.542,7.324,1.104
1761,8,1761.625,7.190,3.102
1761,9,1761.708,7.265,3.313
1761,10,1761.792,3.678,2.806
1761,11,1761.875,5.052,9.158
1761,12,1761.958,2.588,1.592
1762,1,1762.042,6.688,9.886
1762,2,1762.125,5.301,2.779
1762,3,1762.208,3.185,6.427
1762,4,1762.292,8.408,2.923
1762,5,1762.375,7.431,4.761
1762,6,1762.458,6.013,3.250
1762,7,1762.542,7.068,3.326
1762,8,1762.625,5.788,2.765
1762,9,1762.708,5.614,3.851
1762,10,1762.792,4.320,5.069
1762,11,1762.875,5.124,1.948
1762,12,1762.958,2.357,2.858
1763,1,1763.042,1.814,7.278
1763,2,1763.125,7.487,7.543
1763,3,1763.208,4.523,3.661
1763,4,1763.292,5.610,4.105
1763,5,1763.375,4.837,5.373
1763,6,1763.458,5.646,7.003
1763,7,1763.542,6.904,1.720
1763,8,1763.625,7.282,4.947
1763,9,1763.708,4.781,4.812
1763,10,1763.792,3.854,1.479
1763,11,1763.875,4.496,3.876
1763,12,1763.958,6.975,2.853
1764,1,1764.042,7.487,2.902
1764,2,1764.125,8.273,2.785
1764,3,1764.208,4.278,2.621
1764,4,1764.292,5.321,7.555
1764,5,1764.375,8.047,1.639
1764,6,1764.458,6.006,5.149
1764,7,1764.542,6.891,5.250
1764,8,1764.625,4.691,1.356
1764,9,1764.708,4.231,5.434
1764,10,1764.792,4.301,2.950
1764,11,1764.875,4.617,4.150
1764,12,1764.958,6.357,3.758
1765,1,1765.042,8.886,10.608
1765,2,1765.125,3.716,3.965
1765,3,1765.208,7.349,3.006
1765,4,1765.292,6.767,1.671
1765,5,1765.375,5.316,1.707
1765,6,1765.458,6.244,4.406
1765,7,1765.542,4.163,5.106
1765,8,1765.625,5.802,2.816
1765,9,1765.708,5.283,1.267
1765,10,1765.792,5.978,1.391
1765,11,1765.875,5.399,3.240
1765,12,1765.958,4.252,2.012
1766,1,1766.042,1.951,8.567
1766,2,1766.125,3.966,2.976
1766,3,1766.208,6.072,2.348
1766,4,1766.292,7.040,4.221
1766,5,1766.375,7.017,3.322
1766,6,1766.458,6.784,8.470
1766,7,1766.542,4.949,5.059
1766,8,1766.625,5.902,3.669
1766,9,1766.708,5.702,2.947
1766,10,1766.792,4.989,2.958
1766,11,1766.875,6.693,4.128
1766,12,1766.958,4.291,4.242
1767,1,1767.042,-0.968,7.228
1767,2,1767.125,7.536,9.147
1767,3,1767.208,5.829,8.134
1767,4,1767.292,3.998,7.000
1767,5,1767.375,4.782,2.347
1767,6,1767.458,5.296,4.564
1767,7,1767.542,6.412,5.399
1767,8,1767.625,5.841,2.453
1767,9,1767.708,5.442,3.878
1767,10,1767.792,5.666,3.721
1767,11,1767.875,7.573,10.770
1767,12,1767.958,2.822,4.887
1768,1,1768.042,1.092,5.471
1768,2,1768.125,3.166,7.046
1768,3,1768.208,4.267,5.233
1768,4,1768.292,5.814,1.970
1768,5,1768.375,5.899,2.928
1768,6,1768.458,5.133,2.200
1768,7,1768.542,6.551,2.737
1768,8,1768.625,6.204,2.115
1768,9,1768.708,4.322,3.165
1768,10,1768.792,4.722,2.547
1768,11,1768.875,5.135,5.440
1768,12,1768.958,4.308,8.942
1769,1,1769.042,7.322,7.960
1769,2,1769.125,5.083,5.473
1769,3,1769.208,5.091,5.878
1769,4,1769.292,6.436,5.517
1769,5,1769.375,5.615,6.222
1769,6,1769.458,5.818,2.668
1769,7,1769.542,5.914,2.513
1769,8,1769.625,5.150,4.199
1769,9,1769.708,5.805,0.958
1769,10,1769.792,1.327,2.723
1769,11,1769.875,5.756,1.397
1769,12,1769.958,5.286,3.984
1770,1,1770.042,4.730,7.026
1770,2,1770.125,5.453,2.944
1770,3,1770.208,3.273,1.624
1770,4,1770.292,4.532,6.942
1770,5,1770.375,5.719,1.576
1770,6,1770.458,5.170,5.356
1770,7,1770.542,5.015,2.500
1770,8,1770.625,5.517,5.283
1770,9,1770.708,6.524,1.930
1770,10,1770.792,5.640,3.481
1770,11,1770.875,5.929,8.062
1770,12,1770.958,6.949,4.656
1771,1,1771.042,6.198,2.084
1771,2,1771.125,2.899,1.561
1771,3,1771.208,3.039,3.465
1771,4,1771.292,2.621,4.524
1771,5,1771.375,8.351,8.598
1771,6,1771.458,5.024,2.384
1771,7,1771.542,5.772,1.374
1771,8,1771.625,5.191,2.115
1771,9,1771.708,5.786,1.927
1771,10,1771.792,5.533,1.200
1771,11,1771.875,2.516,1.891
1771,12,1771.958,6.165,3.144
1772,1,1772.042,7.278,8.994
1772,2,1772.125,8.379,11.622
1772,3,1772.208,7.419,2.941
1772,4,1772.292,6.060,3.244
1772,5,1772.375,4.456,1.294
1772,6,1772.458,7.577,6.911
1772,7,1772.542,6.743,3.649
1772,8,1772.625,6.197,4.555
1772,9,1772.708,6.680,3.422
1772,10,1772.792,6.556,1.772
1772,11,1772.875,7.771,6.573
1772,12,1772.958,6.580,3.580
1773,1,1773.042,7.263,2.464
1773,2,1773.125,4.471,3.701
1773,3,1773.208,4.723,2.305
1773,4,1773.292,5.848,2.279
1773,5,1773.375,7.646,2.671
1773,6,1773.458,5.245,2.091
1773,7,1773.542,4.788,2.236
1773,8,1773.625,5.204,2.049
1773,9,1773.708,6.605,2.331
1773,10,1773.792,7.071,2.176
1773,11,1773.875,5.307,7.608
1773,12,1773.958,8.433,5.177
1774,1,1774.042,5.587,6.989
1774,2,1774.125,6.253,7.658
1774,3,1774.208,7.143,2.631
1774,4,1774.292,8.295,6.524
1774,5,1774.375,7.148,2.017
1774,6,1774.458,6.963,10.128
1774,7,1774.542,6.287,9.531
1774,8,1774.625,7.066,2.640
1774,9,1774.708,4.952,2.115
1774,10,1774.792,4.843,6.869
1774,11,1774.875,1.431,4.693
1774,12,1774.958,2.770,6.820
1775,1,1775.042,5.325,6.875
1775,2,1775.125,8.644,1.638
1775,3,1775.208,7.132,1.237
1775,4,1775.292,4.724,3.664
1775,5,1775.375,4.835,6.805
1775,6,1775.458,7.764,6.471
1775,7,1775.542,6.854,3.620
1775,8,1775.625,7.624,5.341
1775,9,1775.708,7.068,4.971
1775,10,1775.792,6.565,2.399
1775,11,1775.875,5.854,2.618
1775,12,1775.958,4.647,2.444
1776,1,1776.042,1.390,1.976
1776,2,1776.125,7.406,4.878
1776,3,1776.208,7.285,3.078
1776,4,1776.292,6.037,3.390
1776,5,1776.375,4.423,5.478
1776,6,1776.458,6.035,1.835
1776,7,1776.542,6.183,4.565
1776,8,1776.625,6.536,3.158
1776,9,1776.708,4.670,3.909
1776,10,1776.792,4.314,5.381
1776,11,1776.875,4.363,3.121
1776,12,1776.958,3.767,3.755
1777,1,1777.042,3.828,6.504
1777,2,1777.125,4.977,2.983
1777,3,1777.208,7.497,2.235
1777,4,1777.292,4.456,4.147
1777,5,1777.375,6.224,2.479
1777,6,1777.458,5.753,3.870
1777,7,1777.542,4.946,2.739
1777,8,1777.625,6.886,2.184
1777,9,1777.708,5.025,5.509
1777,10,1777.792,5.511,4.921
1777,11,1777.875,6.019,3.717
1777,12,1777.958,3.710,1.967
1778,1,1778.042,7.046,5.115
1778,2,1778.125,4.890,3.811
1778,3,1778.208,6.639,2.855
1778,4,1778.292,8.446,3.250
1778,5,1778.375,7.824,2.395
1778,6,1778.458,5.734,7.995
1778,7,1778.542,8.317,3.073
1778,8,1778.625,7.108,5.037
1778,9,1778.708,4.208,1.874
1778,10,1778.792,4.435,4.957
1778,11,1778.875,6.174,5.920
1778,12,1778.958,8.264,2.088
1779,1,1779.042,2.071,9.222
1779,2,1779.125,7.850,11.643
1779,3,1779.208,7.459,3.183
1779,4,1779.292,9.338,4.967
1779,5,1779.375,8.738,2.695
1779,6,1779.458,4.598,5.154
1779,7,1779.542,5.632,2.064
1779,8,1779.625,6.559,2.791
1779,9,1779.708,7.080,2.360
1779,10,1779.792,7.378,4.784
1779,11,1779.875,6.118,3.703
1779,12,1779.958,8.724,5.168
1780,1,1780.042,2.875,6.527
1780,2,1780.125,3.034,7.237
1780,3,1780.208,8.795,2.870
1780,4,1780.292,4.889,1.754
1780,5,1780.375,7.560,4.413
1780,6,1780.458,6.469,7.615
1780,7,1780.542,6.254,5.798
1780,8,1780.625,6.757,7.635
1780,9,1780.708,5.189,4.175
1780,10,1780.792,6.946,1.639
1780,11,1780.875,4.980,1.954
1780,12,1780.958,3.600,3.668
1781,1,1781.042,5.508,6.827
1781,2,1781.125,6.155,9.488
1781,3,1781.208,6.951,1.427
1781,4,1781.292,8.041,4.355
1781,5,1781.375,7.568,3.710
1781,6,1781.458,7.445,1.673
1781,7,1781.542,7.019,1.896
1781,8,1781.625,8.453,1.644
1781,9,1781.708,7.531,5.143
1781,10,1781.792,3.958,1.224
1781,11,1781.875,6.323,3.045
1781,12,1781.958,6.263,6.394
1782,1,1782.042,7.037,3.699
1782,2,1782.125,1.983,6.835
1782,3,1782.208,5.190,6.579
1782,4,1782.292,5.119,2.332
1782,5,1782.375,5.875,2.013
1782,6,1782.458,7.662,1.911
1782,7,1782.542,8.418,2.797
1782,8,1782.625,6.627,2.399
1782,9,1782.708,5.248,2.118
1782,10,1782.792,3.640,5.387
1782,11,1782.875,2.240,4.726
1782,12,1782.958,5.269,5.093
1783,1,1783.042,8.360,3.532
1783,2,1783.125,8.375,2.856
1783,3,1783.208,5.178,2.185
1783,4,1783.292,6.394,2.035
1783,5,1783.375,7.487,5.408
1783,6,1783.458,6.636,6.026
1783,7,1783.542,7.462,2.362
1783,8,1783.625,6.731,2.222
1783,9,1783.708,6.766,5.314
1783,10,1783.792,6.567,5.867
1783,11,1783.875,4.986,6.562
1783,12,1783.958,2.837,2.141
1784,1,1784.042,1.301,9.486
1784,2,1784.125,2.132,9.069
1784,3,1784.208,4.474,4.857
1784,4,1784.292,3.349,2.733
1784,5,1784.375,8.553,1.657
1784,6,1784.458,6.559,3.534
1784,7,1784.542,6.602,3.414
1784,8,1784.625,6.204,4.019
1784,9,1784.708,7.642,5.152
1784,10,1784.792,2.331,1.550
1784,11,1784.875,5.509,5.755
1784,12,1784.958,4.182,3.294
1785,1,1785.042,5.087,2.756
1785,2,1785.125,3.078,6.887
1785,3,1785.208,-0.837,6.152
