# Monthly average temperature data for Azerbaijan.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1819,1,1819.042,9.930,2.941
1819,2,1819.125,10.471,2.245
1819,3,1819.208,10.194,6.468
1819,6,1819.458,9.480,2.575
1819,7,1819.542,9.155,2.135
1819,8,1819.625,9.430,2.142
1820,3,1820.208,11.871,2.393
1820,5,1820.375,10.494,2.366
1820,7,1820.542,10.528,2.216
1820,10,1820.792,8.211,3.038
1820,11,1820.875,10.308,2.474
1832,1,1832.042,9.881,2.618
1832,2,1832.125,9.124,3.163
1832,3,1832.208,8.964,2.508
1832,4,1832.292,9.455,2.298
1832,5,1832.375,10.814,2.238
1832,6,1832.458,10.838,2.241
1832,7,1832.542,10.242,2.444
1832,10,1832.792,9.735,2.361
1832,11,1832.875,7.549,2.607
1832,12,1832.958,7.777,2.838
1833,1,1833.042,9.217,3.133
1833,2,1833.125,11.165,2.287
1833,3,1833.208,10.086,2.790
1833,4,1833.292,10.826,2.163
1833,11,1833.875,10.836,3.018
1833,12,1833.958,10.596,2.606
1834,5,1834.375,11.179,2.111
1836,7,1836.542,9.307,2.348
1836,8,1836.625,8.909,3.482
1836,9,1836.708,10.115,2.721
1836,10,1836.792,12.004,3.202
1836,11,1836.875,10.074,3.189
1836,12,1836.958,11.890,2.271
1837,1,1837.042,11.885,2.597
1837,2,1837.125,9.315,3.090
1837,3,1837.208,11.447,2.207
1837,4,1837.292,10.881,2.438
1837,5,1837.375,10.445,3.166
1837,6,1837.458,10.658,2.174
1837,7,1837.542,9.459,2.437
1837,8,1837.625,10.102,2.332
1837,9,1837.708,11.532,1.967
1837,10,1837.792,8.371,2.341
1837,11,1837.875,9.262,2.650
1837,12,1837.958,8.878,2.635
1838,1,1838.042,5.584,3.094
1838,2,1838.125,11.209,2.006
1838,3,1838.208,9.941,2.814
1838,4,1838.292,9.479,2.712
1838,5,1838.375,10.577,2.121
1838,6,1838.458,9.674,1.993
1838,7,1838.542,9.736,2.180
1838,8,1838.625,10.483,2.163
1838,9,1838.708,10.843,2.401
1838,10,1838.792,9.840,2.565
1838,11,1838.875,11.626,2.724
1838,12,1838.958,10.313,2.044
1839,1,1839.042,12.334,2.572
1839,2,1839.125,13.111,2.711
1839,3,1839.208,8.033,2.393
1839,4,1839.292,9.103,2.443
1839,5,1839.375,9.299,2.111
1839,6,1839.458,10.152,2.005
1839,7,1839.542,11.372,2.166
1839,8,1839.625,12.539,2.362
1839,9,1839.708,10.328,2.430
1839,10,1839.792,10.042,2.591
1839,11,1839.875,10.094,2.058
1839,12,1839.958,6.932,2.331
1840,1,1840.042,10.093,2.356
1840,2,1840.125,8.356,2.201
1840,3,1840.208,8.776,2.500
1840,4,1840.292,8.765,2.074
1840,5,1840.375,9.328,2.289
1840,6,1840.458,10.691,2.005
1840,7,1840.542,13.049,1.929
1840,8,1840.625,10.926,2.014
1840,9,1840.708,10.640,1.869
1840,10,1840.792,10.966,1.866
1840,11,1840.875,11.384,2.194
1840,12,1840.958,8.337,2.309
1841,1,1841.042,9.385,2.614
1841,2,1841.125,8.822,2.362
1841,3,1841.208,7.308,2.172
1841,4,1841.292,9.590,2.876
1841,5,1841.375,10.095,1.986
1841,6,1841.458,11.748,1.948
1841,7,1841.542,12.426,2.048
1841,8,1841.625,10.779,2.005
1841,9,1841.708,11.328,1.952
1841,10,1841.792,12.379,1.954
1841,11,1841.875,10.019,2.209
1841,12,1841.958,9.986,2.732
1842,1,1842.042,9.445,2.721
1842,2,1842.125,11.892,2.088
1842,3,1842.208,12.131,2.080
1842,4,1842.292,10.666,2.003
1842,5,1842.375,10.044,2.015
1842,6,1842.458,11.032,2.290
1842,7,1842.542,9.624,2.201
1842,8,1842.625,10.424,2.018
1842,9,1842.708,10.049,2.141
1842,10,1842.792,10.263,2.343
1842,11,1842.875,11.915,2.165
1842,12,1842.958,11.469,2.241
1843,1,1843.042,11.994,1.847
1843,2,1843.125,14.453,2.336
1843,3,1843.208,11.749,1.933
1843,4,1843.292,10.498,2.030
1843,5,1843.375,9.501,1.959
1843,6,1843.458,11.097,1.831
1843,7,1843.542,10.553,1.748
1843,8,1843.625,9.761,1.816
1843,9,1843.708,10.253,1.958
1843,10,1843.792,11.740,2.111
1843,11,1843.875,10.198,1.760
1843,12,1843.958,10.182,2.388
1844,1,1844.042,12.410,2.035
1844,2,1844.125,13.939,2.044
1844,3,1844.208,11.916,2.296
1844,4,1844.292,8.145,2.209
1844,5,1844.375,9.882,1.564
1844,6,1844.458,10.109,1.871
1844,7,1844.542,11.740,1.582
1844,8,1844.625,10.992,1.554
1844,9,1844.708,10.665,1.580
1844,10,1844.792,10.173,1.488
1844,11,1844.875,8.989,1.661
1844,12,1844.958,6.582,1.841
1845,1,1845.042,8.421,3.388
1845,2,1845.125,9.639,2.737
1845,3,1845.208,11.898,1.413
1845,4,1845.292,11.140,1.695
1845,5,1845.375,11.342,1.820
1845,6,1845.458,10.902,1.555
1845,7,1845.542,11.109,1.589
1845,8,1845.625,11.082,1.572
1845,9,1845.708,9.678,2.149
1845,10,1845.792,10.943,1.982
1845,11,1845.875,9.809,2.333
1845,12,1845.958,10.344,2.818
1846,1,1846.042,12.090,4.416
1846,2,1846.125,13.127,2.193
1846,3,1846.208,11.223,1.403
1846,4,1846.292,10.575,2.335
1846,5,1846.375,10.175,1.491
1846,6,1846.458,10.158,2.196
1846,7,1846.542,11.278,1.976
1846,8,1846.625,11.225,1.432
1846,9,1846.708,11.498,1.476
1846,10,1846.792,11.110,2.742
1846,11,1846.875,8.388,2.058
1846,12,1846.958,13.128,1.692
1847,1,1847.042,9.708,2.248
1847,2,1847.125,13.455,2.548
1847,3,1847.208,9.817,2.769
1847,4,1847.292,11.397,1.701
1847,5,1847.375,9.985,1.505
1847,6,1847.458,11.508,2.039
1847,7,1847.542,12.534,2.421
1847,8,1847.625,11.155,1.876
1847,9,1847.708,12.913,2.021
1847,10,1847.792,10.938,1.904
1847,11,1847.875,10.525,2.079
1847,12,1847.958,5.911,2.616
1848,1,1848.042,7.297,1.886
1848,2,1848.125,9.996,2.555
1848,3,1848.208,11.553,1.186
1848,4,1848.292,11.659,2.394
1848,5,1848.375,10.905,2.092
1848,6,1848.458,12.276,1.211
1848,7,1848.542,12.122,1.184
1848,8,1848.625,11.740,1.098
1848,9,1848.708,10.701,1.104
1848,10,1848.792,11.464,1.323
1848,11,1848.875,11.971,1.580
1848,12,1848.958,7.767,1.948
1849,1,1849.042,10.764,2.334
1849,2,1849.125,11.774,1.883
1849,3,1849.208,10.380,1.702
1849,4,1849.292,10.509,2.372
1849,5,1849.375,10.976,1.034
1849,6,1849.458,11.147,1.405
1849,7,1849.542,11.658,1.794
1849,8,1849.625,11.314,1.216
1849,9,1849.708,10.622,1.853
1849,10,1849.792,11.911,1.084
1849,11,1849.875,10.678,2.220
1849,12,1849.958,10.569,2.157
1850,1,1850.042,9.302,1.498
1850,2,1850.125,11.136,2.525
1850,3,1850.208,10.522,1.739
1850,4,1850.292,9.004,1.346
1850,5,1850.375,9.178,1.180
1850,6,1850.458,10.666,2.129
1850,7,1850.542,11.917,1.249
1850,8,1850.625,11.117,1.653
1850,9,1850.708,10.960,1.355
1850,10,1850.792,10.689,1.484
1850,11,1850.875,11.158,2.897
1850,12,1850.958,10.067,1.851
1851,1,1851.042,10.075,1.642
1851,2,1851.125,10.750,1.770
1851,3,1851.208,10.880,1.190
1851,4,1851.292,10.731,1.309
1851,5,1851.375,14.379,1.906
1851,6,1851.458,12.650,1.127
1851,7,1851.542,11.400,1.287
1851,8,1851.625,12.272,1.368
1851,9,1851.708,12.675,1.374
1851,10,1851.792,11.016,1.698
1851,11,1851.875,11.730,2.356
1851,12,1851.958,10.556,2.513
1852,1,1852.042,10.481,1.643
1852,2,1852.125,10.771,1.580
1852,3,1852.208,10.067,1.454
1852,4,1852.292,9.939,1.360
1852,5,1852.375,10.309,1.538
1852,6,1852.458,11.643,1.438
1852,7,1852.542,10.719,0.984
1852,8,1852.625,11.277,1.193
1852,9,1852.708,11.207,0.887
1852,10,1852.792,12.571,1.343
1852,11,1852.875,11.385,1.543
1852,12,1852.958,11.470,1.527
1853,1,1853.042,11.582,1.473
1853,2,1853.125,11.358,2.274
1853,3,1853.208,12.782,1.803
1853,4,1853.292,11.104,0.900
1853,5,1853.375,11.399,1.507
1853,6,1853.458,11.331,1.479
1853,7,1853.542,11.214,1.460
1853,8,1853.625,12.530,0.888
1853,9,1853.708,10.343,1.000
1853,10,1853.792,12.408,1.629
1853,11,1853.875,9.491,1.297
1853,12,1853.958,9.395,1.253
1854,1,1854.042,10.112,1.386
1854,2,1854.125,10.820,1.045
1854,3,1854.208,8.562,1.156
1854,4,1854.292,6.700,1.295
1854,5,1854.375,10.876,1.284
1854,6,1854.458,10.270,1.302
1854,7,1854.542,10.117,1.441
1854,8,1854.625,9.622,1.185
1854,9,1854.708,10.235,1.029
1854,10,1854.792,13.098,1.547
1854,11,1854.875,12.469,1.525
1854,12,1854.958,13.615,3.124
1855,1,1855.042,11.186,1.684
1855,2,1855.125,12.873,2.247
1855,3,1855.208,13.122,1.253
1855,4,1855.292,11.559,1.444
1855,5,1855.375,12.528,1.181
1855,6,1855.458,12.340,1.351
1855,7,1855.542,11.307,1.038
1855,8,1855.625,11.662,1.081
1855,9,1855.708,9.006,1.226
1855,10,1855.792,11.361,1.537
1855,11,1855.875,9.367,0.928
1855,12,1855.958,9.939,2.123
1856,1,1856.042,11.736,1.187
1856,2,1856.125,11.350,1.853
1856,3,1856.208,8.385,1.611
1856,4,1856.292,8.559,0.948
1856,5,1856.375,11.478,0.988
1856,6,1856.458,12.168,1.762
1856,7,1856.542,11.583,1.514
1856,8,1856.625,11.540,1.382
1856,9,1856.708,11.614,1.243
1856,10,1856.792,9.271,1.599
1856,11,1856.875,9.810,1.158
1856,12,1856.958,12.744,1.812
1857,1,1857.042,13.729,1.361
