# Monthly average temperature data for Bahamas.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1758,3,1758.208,23.183,3.075
1758,4,1758.292,23.125,2.542
1758,5,1758.375,22.814,2.148
1758,6,1758.458,24.449,2.395
1758,7,1758.542,24.090,4.385
1758,8,1758.625,22.215,2.438
1758,9,1758.708,22.268,1.943
1758,11,1758.875,24.879,5.875
1758,12,1758.958,23.551,2.730
1759,1,1759.042,26.532,3.005
1759,2,1759.125,26.196,4.333
1759,3,1759.208,24.096,1.973
1759,4,1759.292,22.087,3.471
1759,5,1759.375,23.403,1.886
1759,6,1759.458,24.653,2.501
1759,7,1759.542,22.675,2.267
1759,8,1759.625,24.638,3.521
1759,9,1759.708,24.609,3.327
1759,10,1759.792,23.491,2.674
1759,11,1759.875,22.648,3.284
1759,12,1759.958,21.033,6.040
1760,1,1760.042,21.744,2.421
1768,1,1768.042,21.172,3.971
1768,2,1768.125,23.248,4.890
1768,3,1768.208,21.768,2.984
1768,4,1768.292,23.570,1.422
1768,5,1768.375,23.179,2.273
1768,6,1768.458,24.182,2.344
1768,7,1768.542,24.753,2.066
1768,8,1768.625,24.145,2.200
1768,9,1768.708,23.996,2.172
1768,10,1768.792,23.498,2.512
1768,11,1768.875,23.691,3.088
1768,12,1768.958,24.431,4.458
1769,1,1769.042,25.424,4.451
1769,2,1769.125,24.584,2.502
1769,3,1769.208,24.482,3.118
1769,4,1769.292,25.401,4.147
1769,5,1769.375,26.481,4.202
1769,6,1769.458,26.913,1.888
1769,7,1769.542,25.284,2.825
1769,8,1769.625,25.149,2.784
1769,11,1769.875,21.792,1.840
1769,12,1769.958,21.179,2.325
1770,1,1770.042,24.450,3.920
1770,2,1770.125,26.008,3.000
1770,3,1770.208,21.457,1.665
1770,4,1770.292,26.191,5.044
1770,5,1770.375,24.141,1.632
1770,6,1770.458,23.694,2.818
1770,7,1770.542,22.724,4.341
1770,8,1770.625,23.406,3.136
1770,9,1770.708,24.068,1.931
1770,10,1770.792,24.173,1.771
1770,11,1770.875,24.808,4.285
1770,12,1770.958,25.788,1.973
1771,1,1771.042,28.030,2.136
1771,2,1771.125,21.937,1.961
1771,3,1771.208,22.931,2.775
1771,4,1771.292,23.208,3.339
1771,5,1771.375,23.872,4.975
1771,6,1771.458,25.962,1.539
1771,7,1771.542,24.893,2.061
1771,8,1771.625,26.189,1.493
1771,9,1771.708,24.804,1.765
1771,10,1771.792,26.535,1.465
1771,11,1771.875,24.605,1.620
1771,12,1771.958,24.408,2.737
1773,1,1773.042,22.815,1.609
1773,2,1773.125,23.031,2.292
1773,3,1773.208,23.944,1.475
1773,4,1773.292,26.101,3.057
1773,5,1773.375,26.526,1.639
1773,6,1773.458,24.746,1.667
1773,7,1773.542,25.578,1.453
1773,8,1773.625,25.169,2.371
1773,10,1773.792,25.013,2.065
1775,1,1775.042,27.021,3.956
1775,2,1775.125,28.442,3.771
1775,3,1775.208,26.952,1.745
1775,4,1775.292,24.444,1.529
1775,5,1775.375,25.556,1.777
1775,6,1775.458,23.765,3.915
1775,7,1775.542,25.385,1.907
1775,8,1775.625,25.710,4.551
1775,9,1775.708,24.112,3.107
1775,10,1775.792,25.744,2.116
1775,11,1775.875,26.735,3.050
1776,6,1776.458,25.951,2.000
1776,7,1776.542,24.861,1.840
1776,9,1776.708,23.888,1.925
1776,10,1776.792,24.024,1.658
1776,11,1776.875,24.683,4.509
1776,12,1776.958,26.311,1.852
1777,6,1777.458,23.840,2.862
1777,8,1777.625,24.069,1.492
1777,12,1777.958,24.442,3.713
1792,7,1792.542,25.079,1.517
1792,8,1792.625,23.876,1.863
1792,9,1792.708,25.311,1.666
1792,10,1792.792,24.205,1.632
1792,11,1792.875,24.294,2.323
1792,12,1792.958,24.729,2.129
1793,1,1793.042,23.984,2.431
1793,2,1793.125,26.872,2.444
1793,3,1793.208,25.107,2.205
1793,4,1793.292,25.735,2.116
1793,5,1793.375,25.343,1.814
1793,6,1793.458,25.304,2.094
1793,7,1793.542,25.445,3.102
1793,8,1793.625,24.797,2.171
1793,9,1793.708,25.341,2.399
1793,10,1793.792,24.176,1.665
1793,11,1793.875,24.514,4.150
1793,12,1793.958,23.666,2.694
1794,1,1794.042,26.377,4.004
1794,2,1794.125,25.579,6.208
1794,3,1794.208,25.544,1.981
1794,4,1794.292,26.065,2.129
1794,5,1794.375,26.410,1.798
1794,6,1794.458,24.009,1.925
1794,7,1794.542,23.864,2.271
1794,8,1794.625,25.095,1.716
1794,9,1794.708,25.334,2.213
1794,10,1794.792,24.668,1.577
1794,11,1794.875,24.115,2.403
1794,12,1794.958,25.161,2.086
1795,1,1795.042,25.685,2.462
1795,2,1795.125,26.766,2.941
1795,3,1795.208,25.519,1.768
1795,4,1795.292,25.669,1.990
1796,1,1796.042,25.728,2.025
1796,2,1796.125,25.143,1.484
1796,3,1796.208,23.371,1.644
1796,4,1796.292,24.974,2.092
1796,5,1796.375,25.219,1.570
1798,1,1798.042,25.603,2.437
1798,2,1798.125,25.443,2.107
1798,3,1798.208,26.831,3.013
1798,4,1798.292,25.181,2.142
1798,5,1798.375,26.133,2.483
1798,6,1798.458,25.690,1.710
1798,7,1798.542,26.116,1.843
1798,8,1798.625,26.994,3.197
1798,9,1798.708,25.031,2.605
1798,10,1798.792,24.903,2.033
1798,11,1798.875,24.627,3.300
1798,12,1798.958,23.521,2.652
1799,1,1799.042,25.198,2.254
1799,2,1799.125,24.821,5.712
1799,3,1799.208,23.879,1.795
1799,4,1799.292,25.761,1.528
1799,5,1799.375,25.396,1.332
1799,6,1799.458,25.902,1.979
1799,7,1799.542,26.051,1.660
1799,8,1799.625,25.686,1.773
1799,9,1799.708,25.572,1.964
1799,10,1799.792,25.338,1.668
1799,11,1799.875,25.327,2.174
1799,12,1799.958,25.032,2.616
1800,1,1800.042,25.671,2.053
1800,2,1800.125,25.931,2.839
1800,3,1800.208,24.481,3.091
1800,4,1800.292,26.164,1.733
1800,5,1800.375,25.109,1.322
1800,6,1800.458,25.745,1.409
1800,7,1800.542,25.098,1.415
1800,8,1800.625,25.200,1.363
1800,9,1800.708,24.179,1.691
1800,10,1800.792,25.221,1.720
1800,11,1800.875,24.112,1.606
1800,12,1800.958,25.502,1.680
1801,1,1801.042,25.503,1.598
1801,2,1801.125,25.721,2.985
1801,3,1801.208,26.534,1.779
1801,4,1801.292,24.233,1.888
1801,5,1801.375,26.171,2.998
1801,6,1801.458,24.715,1.815
1801,7,1801.542,25.832,2.023
1801,8,1801.625,24.764,1.823
1801,9,1801.708,25.056,1.522
1801,10,1801.792,25.019,1.714
1801,11,1801.875,24.432,1.450
1801,12,1801.958,26.053,2.345
1802,1,1802.042,27.292,1.989
1802,2,1802.125,25.415,2.246
1802,3,1802.208,25.251,2.253
1802,4,1802.292,24.769,2.949
1802,5,1802.375,24.606,2.085
1802,6,1802.458,26.466,1.557
1802,7,1802.542,25.672,1.733
1802,8,1802.625,25.646,1.820
1802,9,1802.708,25.139,2.429
1802,10,1802.792,25.805,2.161
1802,11,1802.875,24.628,1.712
1802,12,1802.958,24.354,1.995
1803,1,1803.042,23.892,1.800
1803,2,1803.125,24.486,2.697
1803,3,1803.208,24.953,1.579
1803,4,1803.292,26.175,1.574
1803,5,1803.375,25.498,1.638
1803,6,1803.458,25.977,1.396
1803,7,1803.542,26.370,1.449
1803,8,1803.625,26.846,1.645
1803,9,1803.708,25.566,1.670
1803,10,1803.792,25.133,2.006
1803,11,1803.875,24.662,2.147
1803,12,1803.958,24.559,2.305
1804,1,1804.042,25.007,3.283
1804,2,1804.125,24.729,1.805
1804,3,1804.208,24.265,1.915
1804,4,1804.292,26.632,1.508
1804,5,1804.375,26.211,1.699
1804,6,1804.458,25.772,1.948
1804,7,1804.542,26.719,2.254
1804,8,1804.625,26.227,1.587
1804,9,1804.708,26.137,2.470
1804,10,1804.792,25.248,1.639
1804,11,1804.875,26.088,2.867
1804,12,1804.958,23.813,2.947
1805,1,1805.042,25.307,2.232
1805,2,1805.125,25.353,1.803
1805,3,1805.208,25.994,1.543
1805,4,1805.292,25.408,1.887
1805,5,1805.375,25.314,1.484
1805,6,1805.458,26.144,2.248
1805,7,1805.542,25.891,2.315
1805,8,1805.625,26.960,1.723
1805,9,1805.708,25.560,2.404
1805,10,1805.792,23.682,2.016
1805,11,1805.875,23.775,2.327
1805,12,1805.958,26.365,1.886
1806,1,1806.042,25.584,2.215
1806,2,1806.125,25.820,2.127
1806,3,1806.208,24.264,1.501
1806,4,1806.292,24.615,2.742
1806,5,1806.375,25.608,2.017
1806,6,1806.458,24.754,1.654
1806,7,1806.542,24.958,1.850
1806,8,1806.625,25.869,1.527
1806,9,1806.708,25.794,2.128
1806,10,1806.792,24.336,1.559
1806,11,1806.875,24.229,1.913
1806,12,1806.958,25.305,1.942
1807,1,1807.042,23.955,2.405
1807,2,1807.125,25.782,2.815
1807,3,1807.208,24.517,2.028
