# Monthly average temperature data for Bahrain.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1876,4,1876.292,26.554,1.511
1876,5,1876.375,26.988,1.591
1876,6,1876.458,26.109,1.482
1876,7,1876.542,26.377,1.425
1876,8,1876.625,25.954,1.530
1876,9,1876.708,26.006,1.615
1876,10,1876.792,25.923,1.473
1876,11,1876.875,25.456,1.635
1876,12,1876.958,26.515,1.597
1877,1,1877.042,25.828,1.582
1877,2,1877.125,25.733,1.576
1877,3,1877.208,26.886,1.502
1877,4,1877.292,27.600,1.647
1877,5,1877.375,27.127,1.580
1877,6,1877.458,26.232,1.570
1877,11,1877.875,25.997,1.454
1877,12,1877.958,25.044,1.552
1878,1,1878.042,24.650,1.533
1878,2,1878.125,24.762,1.469
1878,3,1878.208,26.785,1.416
1878,4,1878.292,26.960,1.454
1878,5,1878.375,26.671,1.709
1878,6,1878.458,26.790,1.542
1878,7,1878.542,27.894,1.445
1878,8,1878.625,26.898,1.624
1878,9,1878.708,26.917,1.688
1878,10,1878.792,26.214,1.539
1878,11,1878.875,25.849,1.466
1878,12,1878.958,26.355,1.799
1879,1,1879.042,27.383,1.425
1879,2,1879.125,25.602,1.495
1879,3,1879.208,25.089,1.457
1879,4,1879.292,26.571,1.605
1879,5,1879.375,25.921,1.447
1879,6,1879.458,26.557,1.618
1879,7,1879.542,26.429,1.532
1879,8,1879.625,25.853,1.437
1879,9,1879.708,25.521,1.569
1879,10,1879.792,26.014,1.542
1879,11,1879.875,25.514,1.467
1879,12,1879.958,26.874,1.485
1880,1,1880.042,26.013,1.633
1880,3,1880.208,25.611,1.661
1880,4,1880.292,25.670,1.511
1880,5,1880.375,25.775,1.513
1880,6,1880.458,26.094,1.530
1880,7,1880.542,25.943,1.549
1880,8,1880.625,25.669,1.389
1880,9,1880.708,26.064,1.424
1880,10,1880.792,25.990,1.247
1880,11,1880.875,25.873,1.057
1880,12,1880.958,26.016,1.382
1881,1,1881.042,27.246,1.165
1881,2,1881.125,26.597,1.115
1881,3,1881.208,26.493,1.293
