# Monthly average temperature data for Baker Island.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1825,1,1825.042,26.558,2.321
1825,2,1825.125,26.037,1.260
1825,3,1825.208,26.252,1.317
1825,4,1825.292,26.900,1.984
1825,5,1825.375,26.114,1.011
1825,6,1825.458,26.855,0.825
1825,7,1825.542,26.619,2.531
1825,8,1825.625,25.995,2.168
1825,9,1825.708,25.724,1.177
1825,10,1825.792,25.435,1.376
1825,11,1825.875,26.276,2.622
1825,12,1825.958,25.642,1.338
1839,4,1839.292,25.720,0.835
1839,5,1839.375,25.234,1.004
1839,6,1839.458,25.547,1.077
1839,7,1839.542,26.334,0.827
1839,8,1839.625,26.254,0.959
1839,9,1839.708,25.170,1.279
1839,10,1839.792,25.308,1.171
1839,11,1839.875,24.313,1.383
1839,12,1839.958,24.184,2.148
1840,1,1840.042,26.079,1.611
1840,2,1840.125,25.239,1.506
1840,3,1840.208,25.153,1.725
1840,11,1840.875,24.877,1.794
1841,1,1841.042,24.624,1.554
1841,2,1841.125,25.707,1.170
1850,1,1850.042,24.811,1.062
1850,2,1850.125,26.150,1.331
1850,3,1850.208,26.012,1.120
1850,4,1850.292,25.402,1.324
1850,5,1850.375,25.192,1.204
1850,6,1850.458,26.110,0.988
1850,7,1850.542,26.639,0.883
1850,8,1850.625,26.482,0.877
1850,9,1850.708,25.765,0.835
1850,10,1850.792,25.298,1.184
1850,11,1850.875,25.029,1.147
1850,12,1850.958,25.183,1.078
1851,1,1851.042,26.142,0.917
1851,2,1851.125,25.749,0.988
1851,3,1851.208,25.345,0.920
1851,4,1851.292,25.391,1.272
1851,5,1851.375,26.041,1.162
1851,6,1851.458,26.333,0.991
1851,7,1851.542,26.610,0.899
1851,8,1851.625,26.275,0.945
1851,9,1851.708,25.932,0.936
1851,10,1851.792,26.086,1.240
1851,11,1851.875,25.174,1.455
1851,12,1851.958,25.811,1.142
1852,1,1852.042,25.968,1.514
1852,2,1852.125,25.712,1.296
1852,3,1852.208,25.060,1.333
1852,4,1852.292,25.583,1.143
1852,5,1852.375,26.077,1.166
1852,6,1852.458,26.168,1.164
1852,7,1852.542,26.626,0.899
1852,8,1852.625,25.901,0.915
1852,9,1852.708,25.883,0.921
1852,10,1852.792,25.853,0.873
1852,11,1852.875,24.954,1.084
1852,12,1852.958,26.097,1.359
1853,1,1853.042,25.451,1.317
1853,2,1853.125,25.323,2.204
1853,3,1853.208,25.652,1.151
1853,4,1853.292,25.962,1.291
1853,5,1853.375,26.195,0.939
1853,6,1853.458,26.356,0.886
1853,7,1853.542,26.663,0.835
1853,8,1853.625,26.589,0.810
1853,12,1853.958,25.652,1.054
1854,1,1854.042,25.540,1.298
1854,2,1854.125,25.316,1.143
1854,4,1854.292,25.604,0.946
1854,5,1854.375,25.979,0.925
1854,6,1854.458,26.103,0.882
1854,7,1854.542,27.029,0.822
1854,8,1854.625,26.406,0.748
1854,9,1854.708,25.740,0.892
1854,10,1854.792,26.132,0.987
1854,11,1854.875,25.661,1.018
1854,12,1854.958,25.872,1.415
1855,1,1855.042,26.257,1.305
1855,2,1855.125,26.018,1.537
1855,3,1855.208,25.735,1.006
1855,4,1855.292,26.445,1.123
1855,5,1855.375,26.176,0.975
1855,6,1855.458,25.890,1.015
1855,7,1855.542,26.098,0.827
1855,8,1855.625,26.185,0.823
1855,9,1855.708,25.585,0.902
1855,10,1855.792,24.912,1.005
1855,11,1855.875,25.336,0.830
1855,12,1855.958,25.019,1.065
1856,1,1856.042,26.287,1.001
1856,2,1856.125,25.505,1.842
1856,3,1856.208,25.666,1.057
1856,4,1856.292,25.594,0.934
1856,5,1856.375,25.448,0.976
1856,6,1856.458,26.575,1.171
1856,7,1856.542,26.094,0.915
1856,8,1856.625,25.698,1.173
1856,9,1856.708,25.435,0.901
1856,10,1856.792,25.088,0.825
1856,11,1856.875,25.244,0.882
1856,12,1856.958,25.575,1.282
1858,1,1858.042,26.475,0.972
1858,2,1858.125,25.510,0.990
1858,3,1858.208,25.836,0.838
1858,4,1858.292,26.158,0.960
1858,5,1858.375,25.684,1.090
1858,10,1858.792,25.997,0.948
1858,11,1858.875,26.104,0.982
1858,12,1858.958,25.244,1.103
1859,1,1859.042,25.713,1.163
1859,3,1859.208,25.731,1.098
1859,4,1859.292,26.377,0.996
1859,5,1859.375,26.489,0.833
1859,6,1859.458,26.270,0.989
1859,7,1859.542,26.060,0.967
1859,8,1859.625,25.900,0.859
1859,9,1859.708,25.518,0.817
1859,10,1859.792,26.024,1.060
1859,11,1859.875,25.979,0.993
1859,12,1859.958,25.802,1.323
1860,1,1860.042,25.954,1.097
1860,2,1860.125,25.993,0.964
1860,3,1860.208,25.005,1.010
1860,4,1860.292,25.597,0.872
1860,5,1860.375,25.864,0.908
1860,6,1860.458,26.185,0.850
1860,7,1860.542,26.339,0.989
1860,8,1860.625,26.432,0.979
1860,9,1860.708,26.129,0.898
1860,10,1860.792,25.911,0.957
1860,11,1860.875,25.353,0.969
1860,12,1860.958,24.757,0.994
1861,1,1861.042,24.763,1.354
1861,2,1861.125,25.075,0.988
1861,3,1861.208,25.396,0.945
1861,4,1861.292,25.337,1.157
1861,5,1861.375,25.366,0.832
1861,6,1861.458,25.962,0.840
1861,7,1861.542,25.980,0.874
1861,8,1861.625,26.242,0.960
1861,9,1861.708,25.804,0.852
1861,10,1861.792,25.618,0.910
1861,11,1861.875,26.122,1.007
1861,12,1861.958,25.453,1.101
1865,1,1865.042,26.715,1.039
1865,2,1865.125,25.811,1.038
1865,3,1865.208,25.384,0.923
1865,4,1865.292,25.326,1.207
1865,5,1865.375,25.911,0.865
1865,6,1865.458,26.283,0.909
1865,8,1865.625,26.324,0.986
1865,9,1865.708,26.112,0.847
1865,10,1865.792,26.232,0.850
1865,11,1865.875,26.181,0.947
1865,12,1865.958,25.285,1.132
1866,1,1866.042,26.318,1.136
1866,2,1866.125,25.511,1.274
1866,3,1866.208,25.583,1.004
1866,4,1866.292,25.781,0.787
1866,5,1866.375,25.978,0.698
1866,6,1866.458,25.851,0.736
1866,7,1866.542,26.551,0.782
1866,8,1866.625,26.417,0.826
1866,9,1866.708,26.061,0.745
1866,10,1866.792,25.492,0.697
1866,11,1866.875,25.845,0.785
1866,12,1866.958,25.817,1.056
1867,1,1867.042,25.701,0.825
1867,2,1867.125,25.782,1.141
1867,3,1867.208,25.776,0.827
1867,4,1867.292,26.172,0.933
1867,5,1867.375,25.885,0.635
1867,6,1867.458,26.314,0.704
1867,7,1867.542,26.401,1.027
1867,8,1867.625,26.037,0.739
1867,9,1867.708,26.197,0.686
1867,10,1867.792,26.128,0.802
1867,11,1867.875,26.328,2.187
1867,12,1867.958,25.873,1.975
1868,1,1868.042,26.067,1.052
1868,2,1868.125,25.987,1.113
1868,3,1868.208,25.862,0.785
1868,4,1868.292,26.213,1.293
1868,5,1868.375,26.226,0.922
1868,6,1868.458,26.280,0.677
1868,7,1868.542,26.558,0.819
1868,8,1868.625,26.420,0.751
1868,9,1868.708,26.283,0.744
1868,10,1868.792,26.607,0.715
1868,11,1868.875,25.818,0.894
1868,12,1868.958,26.268,0.840
1869,1,1869.042,25.919,1.139
1869,2,1869.125,26.782,2.307
1869,3,1869.208,25.898,0.822
1869,4,1869.292,25.866,1.199
1869,5,1869.375,26.102,0.806
1869,6,1869.458,26.520,1.513
1869,7,1869.542,26.732,1.019
1869,8,1869.625,26.424,0.993
1869,9,1869.708,26.416,0.868
1869,10,1869.792,25.968,1.020
1869,11,1869.875,25.382,0.757
1869,12,1869.958,25.324,0.732
1870,1,1870.042,25.686,0.758
1870,2,1870.125,25.310,0.985
1870,3,1870.208,25.970,0.852
1870,4,1870.292,26.357,1.036
1870,5,1870.375,26.076,0.697
1870,6,1870.458,26.497,0.906
1870,7,1870.542,26.626,0.817
1870,8,1870.625,25.865,0.649
1870,9,1870.708,25.706,0.748
1870,10,1870.792,25.606,0.851
1870,11,1870.875,25.403,1.007
1870,12,1870.958,24.943,0.724
1871,1,1871.042,25.430,0.809
1871,2,1871.125,25.273,0.918
1871,3,1871.208,25.599,0.973
1871,4,1871.292,26.433,0.663
1871,5,1871.375,25.973,0.862
1871,6,1871.458,25.710,0.719
1871,7,1871.542,25.922,1.085
1871,8,1871.625,26.134,0.804
1871,9,1871.708,25.650,1.089
1871,10,1871.792,25.614,0.763
1871,11,1871.875,25.001,1.099
1871,12,1871.958,25.097,0.802
1872,1,1872.042,25.008,1.292
1872,2,1872.125,24.789,0.944
1872,3,1872.208,25.579,1.380
1872,4,1872.292,26.481,0.881
1872,5,1872.375,26.521,0.694
1872,6,1872.458,26.447,1.236
1872,7,1872.542,26.315,0.796
1872,8,1872.625,26.340,0.684
1872,9,1872.708,26.387,0.728
1872,10,1872.792,26.133,0.705
1872,11,1872.875,25.697,1.082
1872,12,1872.958,25.462,1.195
1873,1,1873.042,25.558,0.951
1873,2,1873.125,25.942,0.857
1873,3,1873.208,25.787,0.654
1873,4,1873.292,25.503,0.871
1873,5,1873.375,25.808,0.744
1873,6,1873.458,26.431,1.169
1873,7,1873.542,26.178,0.735
1873,8,1873.625,26.177,0.815
1873,9,1873.708,26.163,0.961
1873,10,1873.792,26.039,0.729
1873,11,1873.875,26.125,0.708
1873,12,1873.958,26.083,0.776
1874,1,1874.042,26.132,1.690
1874,2,1874.125,26.383,1.267
1874,3,1874.208,26.076,1.609
1874,4,1874.292,26.123,0.855
1874,5,1874.375,26.458,1.122
1874,6,1874.458,26.366,0.977
1874,7,1874.542,26.220,0.863
1874,8,1874.625,26.149,0.821
1874,9,1874.708,26.171,0.834
1874,10,1874.792,26.152,0.936
1874,11,1874.875,25.535,0.697
1874,12,1874.958,25.753,1.072
1875,1,1875.042,25.089,0.726
1875,2,1875.125,25.482,0.956
1875,3,1875.208,25.587,0.975
1875,4,1875.292,25.596,0.709
1875,5,1875.375,25.781,0.839
1875,6,1875.458,26.206,0.732
1875,7,1875.542,26.226,0.797
1875,8,1875.625,26.359,0.755
1875,9,1875.708,26.009,0.831
1875,10,1875.792,25.701,0.785
1875,11,1875.875,25.142,0.836
1875,12,1875.958,24.872,0.773
1876,1,1876.042,25.367,0.772
1876,2,1876.125,25.654,0.790
1876,3,1876.208,25.577,0.825
1876,4,1876.292,25.963,0.774
1876,5,1876.375,25.684,0.769
1876,6,1876.458,26.243,0.650
1876,7,1876.542,26.284,0.705
1876,8,1876.625,25.969,0.708
1876,9,1876.708,25.857,0.760
1876,10,1876.792,25.689,0.701
1876,11,1876.875,25.277,0.809
1876,12,1876.958,24.765,0.706
1877,1,1877.042,25.920,0.825
1877,2,1877.125,25.590,0.869
1877,3,1877.208,25.989,0.688
1877,4,1877.292,25.740,0.868
1877,5,1877.375,26.036,0.812
1877,6,1877.458,26.272,0.712
1877,7,1877.542,26.679,0.835
1877,8,1877.625,26.825,1.184
1877,9,1877.708,26.526,0.856
1877,10,1877.792,26.553,0.916
1877,11,1877.875,26.951,0.789
1877,12,1877.958,26.237,1.134
1878,1,1878.042,25.876,0.858
1878,2,1878.125,26.361,1.012
1878,3,1878.208,27.052,0.809
1878,4,1878.292,26.970,0.817
1878,5,1878.375,26.327,0.757
1878,6,1878.458,26.792,0.891
1878,7,1878.542,26.996,0.737
1878,8,1878.625,26.453,0.737
1878,9,1878.708,26.774,0.721
1878,10,1878.792,26.657,0.748
1878,11,1878.875,26.438,0.748
1878,12,1878.958,25.649,0.738
1879,1,1879.042,25.661,0.880
1879,2,1879.125,25.908,0.718
1879,3,1879.208,25.639,0.773
1879,4,1879.292,25.786,0.782
1879,5,1879.375,26.065,0.944
1879,6,1879.458,26.029,0.884
1879,7,1879.542,26.120,0.751
1879,8,1879.625,25.693,0.763
1879,9,1879.708,25.812,0.786
1879,10,1879.792,25.928,0.868
1879,11,1879.875,25.427,0.730
1879,12,1879.958,25.462,0.788
1880,1,1880.042,25.150,0.607
1880,2,1880.125,26.118,1.374
1880,3,1880.208,25.695,0.663
1880,4,1880.292,25.347,0.456
1880,5,1880.375,25.966,0.768
1880,6,1880.458,25.670,0.504
1880,7,1880.542,26.201,1.022
1880,8,1880.625,26.468,0.938
1880,9,1880.708,26.002,0.793
1880,10,1880.792,26.138,0.882
1880,11,1880.875,25.511,0.563
1880,12,1880.958,24.929,1.358
1881,1,1881.042,25.279,1.837
1881,2,1881.125,25.373,1.940
1881,3,1881.208,25.321,0.971
1881,4,1881.292,25.199,2.240
1881,5,1881.375,25.708,1.037
1881,6,1881.458,25.649,0.601
1881,7,1881.542,26.142,0.738
1881,8,1881.625,25.725,0.965
1881,9,1881.708,26.086,0.806
1881,10,1881.792,26.067,0.872
1881,11,1881.875,25.853,0.941
1881,12,1881.958,26.076,0.877
1882,1,1882.042,26.692,0.742
1882,2,1882.125,26.104,0.795
1882,3,1882.208,25.834,0.703
1882,4,1882.292,26.022,0.944
1882,5,1882.375,26.026,1.181
1882,6,1882.458,25.981,0.835
1882,7,1882.542,26.181,0.712
1882,8,1882.625,26.234,0.794
1882,9,1882.708,26.427,1.131
1882,10,1882.792,26.144,1.230
1882,11,1882.875,25.729,1.523
1882,12,1882.958,25.790,1.875
1883,1,1883.042,26.005,1.296
1883,2,1883.125,25.815,2.030
1883,3,1883.208,26.190,0.944
1883,4,1883.292,25.924,1.025
1883,5,1883.375,25.934,0.373
1883,6,1883.458,26.137,0.736
1883,7,1883.542,26.653,1.333
1883,8,1883.625,26.264,1.215
1883,9,1883.708,26.050,1.120
1883,10,1883.792,25.801,0.477
1883,11,1883.875,25.739,1.450
1883,12,1883.958,25.124,0.768
1884,1,1884.042,25.287,1.508
1884,2,1884.125,25.437,0.441
1884,3,1884.208,25.459,1.017
1884,4,1884.292,25.351,0.584
1884,5,1884.375,25.201,0.559
1884,6,1884.458,25.337,0.426
1884,7,1884.542,25.611,0.635
1884,8,1884.625,25.861,0.640
1884,9,1884.708,25.422,0.609
1884,10,1884.792,25.627,0.455
1884,11,1884.875,25.657,1.105
1884,12,1884.958,25.263,0.378
1885,1,1885.042,26.157,2.104
1885,2,1885.125,25.676,1.576
1885,3,1885.208,25.883,0.719
1885,4,1885.292,26.404,1.578
1885,5,1885.375,26.394,1.602
1885,6,1885.458,25.925,0.539
1885,7,1885.542,26.085,0.503
1885,8,1885.625,26.007,0.566
1885,9,1885.708,25.823,0.502
1885,10,1885.792,25.874,0.405
1885,11,1885.875,25.660,0.767
1885,12,1885.958,25.621,0.786
1886,1,1886.042,24.838,0.944
1886,2,1886.125,24.908,0.473
1886,3,1886.208,25.142,0.354
1886,4,1886.292,25.381,0.528
1886,5,1886.375,25.538,0.758
1886,6,1886.458,25.988,0.707
1886,7,1886.542,26.553,1.430
1886,8,1886.625,26.271,0.387
1886,9,1886.708,26.376,0.304
1886,10,1886.792,26.372,0.819
1886,11,1886.875,25.316,0.458
1886,12,1886.958,24.615,0.583
1887,1,1887.042,25.128,0.462
1887,2,1887.125,25.043,0.522
1887,3,1887.208,24.867,1.214
1887,4,1887.292,24.884,1.031
1887,5,1887.375,25.206,0.515
1887,6,1887.458,25.305,0.782
1887,7,1887.542,26.046,0.529
1887,8,1887.625,25.533,0.384
1887,9,1887.708,25.705,0.530
1887,10,1887.792,25.585,0.373
1887,11,1887.875,25.598,0.451
