# Monthly average temperature data for Bangladesh.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1816,3,1816.208,24.683,2.374
1816,4,1816.292,23.774,1.992
1816,5,1816.375,24.656,1.370
1816,6,1816.458,24.258,1.727
1816,7,1816.542,23.080,2.058
1816,8,1816.625,23.784,1.085
1816,9,1816.708,22.646,1.251
1816,10,1816.792,22.010,5.421
1816,11,1816.875,22.673,5.568
1816,12,1816.958,23.287,2.206
1817,1,1817.042,24.314,4.236
1817,2,1817.125,24.190,4.435
1817,3,1817.208,23.452,2.845
1817,4,1817.292,24.826,1.762
1817,5,1817.375,23.038,2.198
1817,6,1817.458,22.743,1.294
1817,7,1817.542,23.373,2.669
1817,8,1817.625,24.051,1.359
1817,9,1817.708,22.128,2.695
1817,10,1817.792,22.810,3.318
1817,11,1817.875,23.709,1.965
1817,12,1817.958,23.306,3.377
1818,1,1818.042,24.143,1.665
1818,2,1818.125,23.817,1.892
1818,3,1818.208,24.036,2.097
1818,4,1818.292,24.650,2.847
1818,5,1818.375,24.533,5.916
1818,6,1818.458,24.130,6.653
1818,7,1818.542,23.297,2.347
1818,8,1818.625,23.866,2.359
1818,9,1818.708,22.065,1.676
1818,10,1818.792,22.671,3.885
1818,11,1818.875,23.259,2.922
1818,12,1818.958,23.473,1.713
1819,1,1819.042,22.060,3.244
1819,2,1819.125,23.132,3.974
1819,3,1819.208,23.973,6.608
1819,4,1819.292,22.866,1.655
1819,5,1819.375,23.650,2.637
1819,6,1819.458,23.715,3.904
1819,7,1819.542,23.738,1.598
1819,8,1819.625,23.571,2.371
1819,9,1819.708,23.259,2.336
1819,10,1819.792,23.231,2.484
1819,11,1819.875,23.801,1.681
1819,12,1819.958,22.866,2.030
1820,1,1820.042,21.039,3.147
1820,2,1820.125,22.491,2.886
1820,3,1820.208,24.181,1.545
1820,4,1820.292,24.601,1.795
1820,5,1820.375,24.416,1.223
1820,6,1820.458,24.052,1.256
1820,7,1820.542,24.082,1.547
1820,8,1820.625,23.942,1.727
1820,9,1820.708,23.740,1.960
1820,10,1820.792,23.131,1.198
1820,11,1820.875,23.633,1.360
1820,12,1820.958,23.270,1.270
1821,1,1821.042,24.907,2.980
1821,2,1821.125,25.880,4.079
1821,3,1821.208,24.888,2.334
1821,4,1821.292,24.920,1.375
1821,5,1821.375,24.710,2.329
1821,6,1821.458,24.833,2.595
1821,7,1821.542,24.356,2.298
1821,8,1821.625,24.203,0.982
1821,9,1821.708,22.878,1.777
1821,10,1821.792,23.276,1.466
1821,11,1821.875,24.329,2.407
1821,12,1821.958,24.638,1.456
1822,1,1822.042,26.081,2.709
1822,2,1822.125,26.790,1.660
1822,3,1822.208,27.134,2.828
1822,4,1822.292,24.250,2.047
1822,5,1822.375,25.052,1.388
1822,6,1822.458,24.474,1.058
1822,7,1822.542,24.525,0.909
1822,8,1822.625,24.130,0.975
