# Monthly average temperature data for Barbados.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1824,1,1824.042,25.983,1.641
1824,2,1824.125,25.798,2.851
1824,3,1824.208,26.097,1.007
1824,4,1824.292,26.852,1.444
1824,5,1824.375,25.989,1.254
1824,6,1824.458,26.082,2.362
1824,7,1824.542,26.263,1.850
1824,8,1824.625,25.492,1.018
1824,9,1824.708,25.542,2.538
1824,10,1824.792,25.124,0.655
1824,11,1824.875,25.879,0.801
1824,12,1824.958,26.070,2.913
1825,1,1825.042,26.285,2.096
1825,2,1825.125,26.130,1.188
1825,3,1825.208,26.784,1.669
1825,4,1825.292,27.300,0.866
1825,5,1825.375,26.679,1.552
1825,6,1825.458,26.563,1.175
1825,7,1825.542,26.402,2.308
1825,8,1825.625,26.053,2.085
1825,9,1825.708,25.393,1.843
1825,10,1825.792,25.546,1.133
1825,11,1825.875,26.177,2.391
1825,12,1825.958,26.360,1.478
1826,1,1826.042,26.661,1.372
1826,2,1826.125,25.369,1.567
1826,3,1826.208,25.199,1.838
1826,4,1826.292,26.180,1.585
1826,5,1826.375,26.497,1.124
1826,6,1826.458,26.146,1.773
1826,7,1826.542,26.183,1.727
1826,8,1826.625,25.500,1.368
1826,9,1826.708,25.175,1.174
1826,10,1826.792,25.500,1.299
1826,11,1826.875,26.490,1.867
1826,12,1826.958,27.065,2.018
1827,1,1827.042,26.532,3.575
1827,2,1827.125,26.191,2.631
1827,3,1827.208,26.635,1.837
1827,4,1827.292,27.058,2.298
1827,5,1827.375,26.459,1.660
1827,7,1827.542,26.321,1.414
1827,8,1827.625,25.444,2.096
1827,9,1827.708,25.289,1.537
1827,10,1827.792,25.298,1.958
1827,11,1827.875,26.454,0.932
1827,12,1827.958,26.187,1.857
1828,1,1828.042,25.339,1.557
1828,2,1828.125,25.236,1.709
1828,3,1828.208,26.147,1.556
1828,4,1828.292,26.501,2.213
1828,5,1828.375,26.523,1.449
1828,6,1828.458,26.470,1.687
1828,7,1828.542,26.275,1.474
1828,8,1828.625,26.138,0.831
1828,9,1828.708,25.157,1.552
1828,11,1828.875,26.493,1.206
1828,12,1828.958,25.836,2.806
1829,1,1829.042,25.689,1.606
1829,2,1829.125,25.527,1.779
1829,3,1829.208,26.321,1.006
1829,4,1829.292,26.513,1.492
1829,5,1829.375,26.545,1.522
1829,6,1829.458,25.952,1.496
1829,7,1829.542,26.204,1.173
1829,8,1829.625,25.703,0.940
1829,9,1829.708,25.404,0.865
1829,11,1829.875,25.980,1.233
1829,12,1829.958,25.965,1.614
1846,1,1846.042,27.068,3.188
1846,2,1846.125,26.763,1.547
1846,3,1846.208,26.970,0.797
1846,4,1846.292,25.885,1.612
1846,5,1846.375,26.324,1.117
1846,6,1846.458,26.586,1.302
1846,7,1846.542,26.696,1.152
1846,8,1846.625,26.347,0.689
1846,9,1846.708,26.102,0.780
1846,10,1846.792,25.507,1.261
1846,11,1846.875,25.480,1.293
1846,12,1846.958,26.217,1.427
1847,1,1847.042,26.576,1.710
1847,2,1847.125,26.195,1.683
1847,3,1847.208,25.322,1.367
1847,4,1847.292,25.869,1.280
1847,5,1847.375,25.420,0.816
1847,6,1847.458,25.835,1.083
1847,7,1847.542,26.219,1.146
1847,8,1847.625,25.908,0.891
1847,9,1847.708,25.900,0.785
1847,10,1847.792,25.639,0.771
1847,11,1847.875,25.993,0.882
1847,12,1847.958,25.038,1.693
1848,1,1848.042,25.232,1.762
1848,2,1848.125,26.376,1.105
1848,3,1848.208,25.611,0.649
1848,4,1848.292,25.971,0.916
1848,5,1848.375,25.541,1.056
1848,6,1848.458,25.992,1.136
1848,7,1848.542,26.568,0.966
1848,8,1848.625,25.810,0.839
1848,9,1848.708,25.619,0.770
1848,10,1848.792,25.903,0.949
1848,11,1848.875,25.893,0.876
1848,12,1848.958,25.599,1.360
1849,1,1849.042,26.143,1.481
1849,2,1849.125,25.925,1.250
1849,3,1849.208,26.145,1.342
1849,4,1849.292,25.386,1.035
1849,5,1849.375,25.434,0.839
1849,6,1849.458,25.875,0.891
1849,7,1849.542,26.263,0.713
1849,8,1849.625,25.798,0.902
1849,9,1849.708,25.667,0.682
1849,10,1849.792,25.841,0.737
1849,11,1849.875,25.615,1.383
1849,12,1849.958,25.386,0.860
1850,1,1850.042,25.268,1.246
1850,2,1850.125,26.130,1.508
1850,3,1850.208,25.920,1.187
1850,4,1850.292,25.565,1.045
1850,5,1850.375,25.391,0.773
1850,6,1850.458,26.220,0.776
1850,7,1850.542,26.651,0.774
1850,8,1850.625,26.249,0.961
1850,9,1850.708,26.145,0.807
1850,10,1850.792,25.754,1.381
1850,11,1850.875,25.539,2.262
1850,12,1850.958,26.066,1.703
1851,1,1851.042,26.235,0.764
1851,2,1851.125,25.785,1.153
1851,3,1851.208,25.489,0.770
1851,4,1851.292,25.595,1.277
1851,5,1851.375,25.745,1.077
1851,6,1851.458,26.028,0.869
1851,7,1851.542,26.727,0.642
1851,8,1851.625,26.112,0.718
1851,9,1851.708,25.858,0.887
1851,10,1851.792,25.961,1.195
1851,11,1851.875,25.499,1.174
1851,12,1851.958,25.906,1.305
1852,1,1852.042,25.909,1.043
1852,2,1852.125,25.583,1.399
1852,3,1852.208,25.017,1.099
1852,4,1852.292,25.854,1.069
1852,5,1852.375,26.240,0.852
1852,6,1852.458,26.071,0.736
1852,7,1852.542,26.268,0.723
1852,8,1852.625,26.216,1.086
1852,9,1852.708,26.130,0.770
1852,10,1852.792,25.754,0.652
1852,11,1852.875,25.549,1.140
1852,12,1852.958,25.619,1.453
1853,1,1853.042,26.385,2.222
1853,2,1853.125,25.584,1.075
1853,3,1853.208,25.916,2.127
1853,4,1853.292,26.243,1.323
1853,5,1853.375,26.119,0.904
1853,6,1853.458,26.395,0.838
1853,7,1853.542,26.477,0.897
1853,8,1853.625,25.872,1.373
1853,9,1853.708,25.601,0.756
1853,10,1853.792,25.566,0.533
1853,11,1853.875,26.193,2.614
1853,12,1853.958,26.656,2.040
1854,1,1854.042,26.083,2.027
1854,2,1854.125,25.426,1.031
1854,3,1854.208,25.727,0.492
1854,4,1854.292,25.580,0.882
1854,5,1854.375,25.909,0.620
1854,6,1854.458,25.975,0.886
1854,7,1854.542,26.418,0.845
1854,8,1854.625,26.013,0.920
1854,9,1854.708,25.759,0.636
1854,10,1854.792,26.280,1.408
1854,11,1854.875,25.780,0.601
1854,12,1854.958,26.206,2.533
1855,1,1855.042,26.374,0.967
1855,2,1855.125,26.216,1.830
1855,3,1855.208,26.077,1.289
1855,4,1855.292,26.023,0.775
1855,5,1855.375,25.965,0.710
1855,6,1855.458,26.282,0.869
1855,7,1855.542,26.113,0.687
1855,8,1855.625,26.008,0.751
1855,9,1855.708,25.741,0.443
1855,10,1855.792,25.692,1.385
1855,11,1855.875,26.058,0.774
1855,12,1855.958,26.147,1.618
1856,1,1856.042,26.640,1.729
1856,2,1856.125,26.171,1.442
1856,3,1856.208,25.982,0.984
1856,4,1856.292,26.116,0.472
1856,5,1856.375,26.112,0.466
1856,6,1856.458,26.020,1.239
1856,7,1856.542,26.356,1.092
1856,8,1856.625,25.902,0.910
1856,9,1856.708,25.664,0.909
1856,10,1856.792,25.992,0.574
1856,11,1856.875,25.633,0.778
1856,12,1856.958,25.840,1.832
1857,1,1857.042,25.698,1.199
1857,2,1857.125,25.325,0.862
1857,3,1857.208,25.587,0.901
1857,4,1857.292,25.661,0.543
1857,5,1857.375,25.563,0.769
1857,6,1857.458,25.906,0.569
1857,7,1857.542,25.953,0.700
1857,8,1857.625,25.711,0.574
1857,9,1857.708,25.322,0.784
1857,10,1857.792,25.694,0.971
1857,11,1857.875,25.370,0.818
1857,12,1857.958,25.528,1.013
1858,1,1858.042,25.369,1.601
1858,2,1858.125,25.472,1.223
1858,3,1858.208,25.428,0.795
1858,4,1858.292,25.797,1.030
1858,5,1858.375,25.738,0.864
1858,6,1858.458,25.480,1.264
1858,7,1858.542,26.182,0.676
1858,8,1858.625,26.039,0.739
1858,9,1858.708,25.703,0.951
1858,10,1858.792,25.678,0.716
1858,11,1858.875,25.793,1.125
1858,12,1858.958,25.349,0.735
1859,1,1859.042,25.475,0.932
1859,2,1859.125,25.179,0.746
1859,3,1859.208,25.011,0.603
1859,4,1859.292,25.539,1.869
1859,5,1859.375,26.068,1.332
1859,6,1859.458,26.027,0.899
1859,7,1859.542,26.018,0.958
1859,8,1859.625,25.843,0.461
1859,9,1859.708,26.044,0.901
1859,10,1859.792,25.762,1.480
1859,11,1859.875,25.316,1.030
1859,12,1859.958,25.659,1.586
1860,1,1860.042,25.930,0.943
1860,2,1860.125,25.358,0.632
1860,3,1860.208,25.332,2.575
1860,4,1860.292,25.899,0.717
1860,5,1860.375,26.232,0.818
1860,6,1860.458,26.214,0.548
1860,7,1860.542,26.805,1.288
1860,8,1860.625,26.109,0.782
1860,9,1860.708,25.739,0.773
1860,10,1860.792,25.611,0.671
1860,11,1860.875,25.762,1.180
1860,12,1860.958,25.951,1.686
1861,1,1861.042,24.911,1.877
1861,2,1861.125,25.825,1.943
1861,3,1861.208,25.896,2.201
1861,4,1861.292,26.132,1.736
1861,5,1861.375,25.882,0.910
1861,6,1861.458,25.474,1.021
1861,7,1861.542,26.275,0.523
1861,8,1861.625,26.421,0.586
1861,9,1861.708,26.231,0.951
1861,10,1861.792,25.936,0.541
1861,11,1861.875,26.449,0.771
1861,12,1861.958,25.965,0.928
1862,1,1862.042,25.250,2.515
1862,2,1862.125,25.643,1.009
1862,3,1862.208,25.722,1.646
1862,4,1862.292,25.387,1.830
1862,5,1862.375,26.281,0.572
1862,6,1862.458,25.888,0.874
1862,7,1862.542,26.203,0.568
1862,8,1862.625,25.726,0.712
1862,9,1862.708,25.860,0.568
1862,10,1862.792,25.920,0.834
1862,11,1862.875,25.409,1.113
1862,12,1862.958,25.458,1.880
1863,1,1863.042,25.526,1.210
1863,2,1863.125,25.818,2.323
1863,3,1863.208,25.213,0.946
1863,4,1863.292,25.460,0.651
1863,5,1863.375,26.052,0.639
1863,6,1863.458,26.103,0.644
1863,7,1863.542,25.754,0.802
1863,8,1863.625,25.840,0.797
1863,9,1863.708,25.717,1.045
1863,10,1863.792,25.739,0.558
1863,11,1863.875,25.709,0.780
1863,12,1863.958,25.356,2.137
1864,1,1864.042,25.324,1.269
1864,2,1864.125,25.080,1.616
1864,3,1864.208,25.353,1.404
1864,4,1864.292,25.872,1.696
1864,5,1864.375,26.232,0.688
1864,6,1864.458,26.122,1.146
1864,7,1864.542,26.048,1.276
1864,8,1864.625,25.721,0.883
1864,9,1864.708,26.318,0.629
1864,10,1864.792,26.449,0.895
1864,11,1864.875,26.028,1.251
1864,12,1864.958,25.798,0.607
1865,1,1865.042,26.371,0.977
1865,2,1865.125,25.809,0.660
1865,3,1865.208,25.595,0.640
1865,4,1865.292,25.985,1.613
1865,5,1865.375,26.343,0.797
1865,6,1865.458,26.159,0.801
1865,7,1865.542,26.310,1.121
1865,8,1865.625,26.319,0.936
1865,9,1865.708,26.322,1.131
1865,10,1865.792,26.108,0.725
1865,11,1865.875,25.897,0.626
1865,12,1865.958,25.922,1.129
1866,1,1866.042,25.948,1.135
1866,2,1866.125,25.526,1.717
1866,3,1866.208,25.357,1.638
1866,4,1866.292,26.158,1.328
1866,5,1866.375,26.127,0.661
1866,6,1866.458,26.418,0.781
1866,7,1866.542,26.385,1.012
1866,8,1866.625,26.095,0.648
1866,9,1866.708,26.462,0.743
1866,10,1866.792,26.191,0.757
1866,11,1866.875,25.961,0.435
1866,12,1866.958,26.171,0.719
1867,1,1867.042,25.863,1.145
