# Monthly average temperature data for Belarus.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1750,1,1750.042,8.020,2.480
1750,2,1750.125,7.663,2.948
1750,3,1750.208,8.322,3.182
1750,4,1750.292,6.713,2.386
1750,5,1750.375,4.715,2.352
1750,6,1750.458,5.898,2.366
1750,7,1750.542,6.874,2.459
1750,8,1750.625,7.004,2.388
1750,9,1750.708,5.384,2.650
1750,10,1750.792,2.825,2.337
1750,11,1750.875,-0.044,2.424
1750,12,1750.958,2.390,2.536
1751,1,1751.042,5.208,2.506
1751,2,1751.125,2.385,2.606
1751,3,1751.208,7.914,2.464
1751,4,1751.292,5.197,2.315
1751,5,1751.375,5.149,2.318
1751,6,1751.458,4.759,2.380
1751,7,1751.542,7.017,2.436
1751,8,1751.625,6.453,2.316
1751,9,1751.708,5.462,2.297
1751,10,1751.792,3.816,1.991
1751,11,1751.875,2.969,1.992
1751,12,1751.958,4.839,2.280
1752,1,1752.042,4.397,2.229
1752,2,1752.125,7.692,2.150
1752,3,1752.208,7.767,1.937
1752,4,1752.292,5.572,2.041
1752,5,1752.375,5.594,1.882
1752,6,1752.458,6.107,1.828
1752,7,1752.542,7.915,1.941
1752,8,1752.625,6.216,2.107
1752,10,1752.792,5.319,1.941
1752,11,1752.875,6.315,1.954
1752,12,1752.958,5.854,2.118
1753,1,1753.042,5.981,2.137
1753,2,1753.125,5.343,2.348
1753,3,1753.208,8.269,2.202
1753,4,1753.292,6.259,2.350
1753,5,1753.375,5.987,1.834
1753,6,1753.458,5.258,2.140
1753,7,1753.542,5.658,2.177
1753,8,1753.625,5.218,1.993
1753,9,1753.708,5.771,1.901
1753,10,1753.792,6.159,1.942
1753,11,1753.875,4.888,1.904
1753,12,1753.958,0.449,2.502
1754,1,1754.042,5.891,2.145
1754,2,1754.125,4.018,2.355
1754,3,1754.208,4.916,1.965
1754,4,1754.292,7.733,2.013
1754,5,1754.375,6.673,1.968
1754,6,1754.458,6.505,2.015
1754,7,1754.542,5.472,2.296
1754,8,1754.625,4.536,2.129
1754,9,1754.708,4.753,1.937
1754,10,1754.792,5.993,2.051
1754,11,1754.875,5.245,2.660
1754,12,1754.958,6.028,2.054
1755,1,1755.042,4.400,2.330
1755,2,1755.125,2.464,2.789
1755,3,1755.208,5.215,2.212
1755,4,1755.292,6.692,2.154
1755,5,1755.375,6.775,1.961
1755,6,1755.458,7.585,2.221
1755,7,1755.542,7.216,2.577
1755,8,1755.625,4.311,2.048
1755,9,1755.708,4.921,1.864
1755,10,1755.792,6.595,1.857
1755,11,1755.875,5.228,2.343
1755,12,1755.958,4.680,2.217
1756,1,1756.042,8.494,2.346
1756,2,1756.125,10.076,3.061
1756,3,1756.208,6.979,2.926
1756,4,1756.292,5.892,2.756
1756,5,1756.375,5.075,4.786
1756,6,1756.458,7.283,2.173
1756,7,1756.542,6.580,6.108
1756,8,1756.625,4.321,3.468
1756,9,1756.708,5.575,2.020
1756,10,1756.792,5.335,7.309
1756,11,1756.875,3.333,1.952
1756,12,1756.958,3.054,2.114
1757,1,1757.042,4.167,2.150
1757,2,1757.125,8.468,2.863
1757,3,1757.208,6.611,3.610
1757,4,1757.292,7.743,2.441
1757,5,1757.375,6.128,2.513
1757,6,1757.458,8.552,2.178
1757,7,1757.542,9.803,2.236
1757,8,1757.625,7.268,3.744
1757,9,1757.708,6.487,5.098
1757,10,1757.792,0.966,3.967
1757,11,1757.875,5.278,6.302
1757,12,1757.958,2.584,3.718
1758,1,1758.042,1.489,3.817
1758,2,1758.125,3.966,3.134
1758,3,1758.208,5.268,2.204
1758,4,1758.292,4.693,3.275
1758,5,1758.375,4.842,4.816
1758,6,1758.458,5.477,3.731
1758,7,1758.542,5.241,4.057
1758,8,1758.625,4.280,5.054
1758,9,1758.708,3.606,2.337
1758,10,1758.792,2.507,1.944
1758,11,1758.875,4.734,2.096
1758,12,1758.958,4.232,2.029
1759,1,1759.042,9.093,2.470
1759,2,1759.125,8.572,5.012
1759,3,1759.208,6.833,3.237
1759,4,1759.292,4.813,4.087
1759,5,1759.375,3.502,3.455
1759,6,1759.458,6.762,3.638
1759,7,1759.542,5.857,4.289
1759,8,1759.625,6.730,2.087
1759,9,1759.708,5.124,2.895
1759,10,1759.792,4.102,5.207
1759,11,1759.875,2.520,5.593
1759,12,1759.958,0.222,2.557
1760,1,1760.042,0.999,3.249
1760,2,1760.125,6.117,6.844
1760,3,1760.208,3.774,2.277
1760,4,1760.292,4.009,2.113
1760,5,1760.375,5.462,2.704
1760,6,1760.458,5.664,2.028
1760,7,1760.542,5.148,2.018
1760,8,1760.625,4.954,5.237
1760,9,1760.708,5.832,2.313
