# Monthly average temperature data for Belgium.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1750,1,1750.042,7.985,1.639
1750,2,1750.125,11.222,2.201
1750,3,1750.208,11.878,2.717
1750,4,1750.292,9.770,1.316
1750,5,1750.375,9.141,1.244
1750,6,1750.458,9.470,1.378
1750,7,1750.542,10.557,1.493
1750,8,1750.625,9.327,1.237
1750,9,1750.708,9.546,2.048
1750,10,1750.792,7.290,1.175
1750,11,1750.875,6.244,1.264
1750,12,1750.958,7.723,1.508
1751,1,1751.042,8.697,1.635
1751,2,1751.125,6.467,1.719
1751,3,1751.208,10.376,1.423
1751,4,1751.292,8.400,1.195
1751,5,1751.375,8.399,1.343
1751,6,1751.458,9.218,1.404
1751,7,1751.542,9.540,1.464
1751,8,1751.625,9.524,1.113
1751,9,1751.708,8.181,1.059
1751,10,1751.792,7.784,1.402
1751,11,1751.875,6.763,1.478
1751,12,1751.958,8.174,1.944
1752,1,1752.042,9.243,1.460
1752,2,1752.125,9.637,1.679
1752,3,1752.208,9.533,1.311
1752,4,1752.292,8.672,1.284
1752,5,1752.375,8.475,1.303
1752,6,1752.458,10.889,1.159
1752,7,1752.542,9.598,1.362
1752,8,1752.625,8.948,1.554
1752,10,1752.792,8.586,1.313
1752,11,1752.875,9.541,1.420
1752,12,1752.958,9.330,1.717
1753,1,1753.042,6.355,1.994
1753,2,1753.125,9.157,2.431
1753,3,1753.208,10.630,1.630
1753,4,1753.292,9.602,1.578
1753,5,1753.375,9.494,0.970
1753,6,1753.458,10.893,1.557
1753,7,1753.542,9.769,1.513
1753,8,1753.625,8.124,1.413
1753,9,1753.708,9.248,0.980
1753,10,1753.792,9.150,1.122
1753,11,1753.875,7.696,1.253
1753,12,1753.958,8.971,5.046
1754,1,1754.042,8.670,2.087
1754,2,1754.125,7.660,2.293
1754,3,1754.208,5.925,1.033
1754,4,1754.292,8.630,1.368
1754,5,1754.375,10.389,1.122
1754,6,1754.458,9.394,1.329
1754,7,1754.542,8.279,1.557
1754,8,1754.625,9.516,1.436
1754,9,1754.708,8.698,1.584
1754,10,1754.792,9.804,1.349
1754,11,1754.875,9.756,2.415
1754,12,1754.958,8.818,1.518
1755,1,1755.042,5.053,1.545
1755,2,1755.125,5.546,2.092
1755,3,1755.208,7.917,1.474
1755,4,1755.292,12.437,1.690
1755,5,1755.375,8.672,1.164
1755,6,1755.458,11.800,2.048
1755,7,1755.542,9.582,2.705
1755,8,1755.625,7.909,1.382
1755,9,1755.708,7.950,1.160
1755,10,1755.792,8.385,0.779
1755,11,1755.875,8.791,2.723
1755,12,1755.958,9.542,1.328
1756,1,1756.042,11.589,2.122
1756,2,1756.125,10.869,5.183
1756,3,1756.208,9.314,2.816
1756,4,1756.292,8.011,2.508
1756,5,1756.375,8.355,5.493
1756,6,1756.458,11.104,2.217
1756,7,1756.542,10.246,7.517
1756,8,1756.625,8.697,3.223
1756,9,1756.708,9.934,1.253
1756,10,1756.792,8.225,10.822
1756,11,1756.875,7.003,0.996
1756,12,1756.958,5.998,1.908
1757,1,1757.042,6.295,1.891
1757,2,1757.125,8.737,4.523
1757,3,1757.208,8.781,4.320
1757,4,1757.292,10.157,1.266
1757,5,1757.375,9.393,1.143
1757,6,1757.458,10.482,2.335
1757,7,1757.542,12.621,3.275
1757,8,1757.625,9.958,5.149
1757,9,1757.708,8.127,6.147
1757,10,1757.792,5.622,8.045
1757,11,1757.875,9.764,8.241
1757,12,1757.958,7.837,1.515
1758,1,1758.042,5.923,7.800
1758,2,1758.125,8.939,5.493
1758,3,1758.208,9.336,1.730
1758,4,1758.292,8.410,3.059
1758,5,1758.375,11.278,8.008
1758,6,1758.458,10.299,4.458
1758,7,1758.542,7.308,5.248
1758,8,1758.625,9.523,7.957
1758,9,1758.708,7.624,3.505
1758,10,1758.792,7.276,1.448
1758,11,1758.875,8.560,2.078
1758,12,1758.958,9.232,1.503
1759,1,1759.042,11.089,2.449
1759,2,1759.125,11.103,6.625
1759,3,1759.208,10.024,4.632
1759,4,1759.292,9.897,4.774
1759,5,1759.375,9.117,4.812
1759,6,1759.458,9.965,5.001
1759,7,1759.542,11.591,5.498
1759,8,1759.625,9.615,1.401
1759,9,1759.708,9.144,3.182
1759,10,1759.792,9.782,7.291
1759,11,1759.875,6.099,8.105
1759,12,1759.958,6.165,3.706
1760,1,1760.042,6.854,4.824
1760,2,1760.125,8.338,10.486
1760,3,1760.208,7.901,3.302
1760,4,1760.292,10.421,1.156
1760,5,1760.375,9.452,2.135
1760,6,1760.458,10.275,1.370
1760,7,1760.542,9.416,1.585
1760,8,1760.625,8.489,6.999
1760,9,1760.708,9.539,1.839
1760,10,1760.792,8.416,1.537
1760,11,1760.875,9.189,7.851
1760,12,1760.958,11.270,3.955
1761,1,1761.042,8.131,1.953
1761,2,1761.125,11.089,3.069
1761,3,1761.208,11.104,1.662
1761,4,1761.292,9.400,1.737
1761,5,1761.375,10.647,2.822
1761,6,1761.458,10.264,2.674
1761,7,1761.542,9.390,1.239
1761,8,1761.625,10.420,3.252
1761,9,1761.708,9.867,2.451
1761,10,1761.792,6.326,2.517
1761,11,1761.875,8.513,11.334
1761,12,1761.958,5.757,1.784
1762,1,1762.042,10.530,10.007
1762,2,1762.125,8.652,2.773
1762,3,1762.208,6.270,7.022
1762,4,1762.292,12.026,2.786
1762,5,1762.375,10.613,4.735
1762,6,1762.458,9.574,3.166
1762,7,1762.542,10.262,4.166
1762,8,1762.625,7.814,4.471
1762,9,1762.708,8.305,3.062
1762,10,1762.792,5.907,7.428
1762,11,1762.875,7.358,2.200
1762,12,1762.958,5.388,2.139
1763,1,1763.042,3.947,7.846
1763,2,1763.125,11.282,7.988
1763,3,1763.208,7.878,3.834
1763,4,1763.292,8.836,4.768
1763,5,1763.375,7.671,5.699
1763,6,1763.458,9.087,7.396
1763,7,1763.542,9.025,1.937
1763,8,1763.625,9.774,4.610
1763,9,1763.708,7.763,6.067
1763,10,1763.792,6.689,1.608
1763,11,1763.875,8.408,4.418
1763,12,1763.958,10.569,3.379
1764,1,1764.042,11.904,3.453
1764,2,1764.125,11.317,3.097
1764,3,1764.208,7.653,3.157
1764,4,1764.292,8.786,8.552
1764,5,1764.375,10.981,1.348
1764,6,1764.458,8.938,6.251
1764,7,1764.542,10.288,5.491
1764,8,1764.625,8.032,1.068
1764,9,1764.708,7.124,5.601
1764,10,1764.792,6.819,3.345
1764,11,1764.875,8.044,4.526
1764,12,1764.958,8.128,4.414
1765,1,1765.042,10.796,10.995
1765,2,1765.125,6.061,4.035
1765,3,1765.208,10.501,2.899
1765,4,1765.292,9.894,2.106
1765,5,1765.375,8.916,1.599
1765,6,1765.458,9.947,4.602
1765,7,1765.542,7.875,5.461
1765,8,1765.625,9.344,2.837
1765,9,1765.708,8.385,1.101
1765,10,1765.792,9.123,1.272
1765,11,1765.875,7.810,3.179
1765,12,1765.958,6.815,2.100
1766,1,1766.042,5.620,9.890
1766,2,1766.125,7.326,2.894
1766,3,1766.208,8.685,2.382
1766,4,1766.292,10.793,4.723
1766,5,1766.375,9.382,3.796
1766,6,1766.458,9.407,9.175
1766,7,1766.542,8.883,5.372
1766,8,1766.625,9.554,3.703
1766,9,1766.708,9.438,3.047
1766,10,1766.792,8.487,3.401
1766,11,1766.875,8.996,4.190
1766,12,1766.958,7.193,4.457
1767,1,1767.042,3.541,7.413
1767,2,1767.125,12.224,10.409
1767,3,1767.208,9.113,8.289
1767,4,1767.292,7.949,7.515
1767,5,1767.375,7.900,2.488
1767,6,1767.458,7.878,4.449
1767,7,1767.542,8.462,5.519
1767,8,1767.625,9.372,2.431
1767,9,1767.708,9.351,3.975
1767,10,1767.792,8.530,3.796
1767,11,1767.875,10.828,11.717
1767,12,1767.958,6.679,5.962
1768,1,1768.042,5.915,6.283
1768,2,1768.125,9.534,8.064
1768,3,1768.208,7.444,6.211
1768,4,1768.292,9.297,2.558
1768,5,1768.375,9.448,3.113
1768,6,1768.458,8.990,1.998
1768,7,1768.542,9.302,2.856
1768,8,1768.625,9.259,1.992
1768,9,1768.708,7.538,4.049
1768,10,1768.792,8.221,3.376
1768,11,1768.875,9.292,6.624
1768,12,1768.958,8.994,10.102
1769,1,1769.042,9.551,8.963
1769,2,1769.125,8.987,6.108
1769,3,1769.208,8.509,6.050
1769,4,1769.292,9.645,5.671
1769,5,1769.375,9.056,6.516
1769,6,1769.458,7.935,2.684
1769,7,1769.542,9.278,2.111
1769,8,1769.625,8.499,4.362
1769,9,1769.708,8.655,0.964
1769,10,1769.792,5.194,3.019
1769,11,1769.875,9.456,1.519
1769,12,1769.958,9.489,4.311
1770,1,1770.042,8.504,7.040
1770,2,1770.125,9.021,3.973
1770,3,1770.208,6.689,2.632
1770,4,1770.292,7.149,7.298
1770,5,1770.375,8.971,1.792
1770,6,1770.458,8.264,6.245
1770,7,1770.542,8.360,2.114
1770,8,1770.625,9.826,5.711
1770,9,1770.708,10.219,3.005
1770,10,1770.792,7.937,3.654
1770,11,1770.875,8.991,9.313
1770,12,1770.958,10.075,5.700
1771,1,1771.042,7.576,2.493
1771,2,1771.125,7.490,2.354
1771,3,1771.208,6.230,3.533
1771,4,1771.292,6.019,4.821
1771,5,1771.375,11.358,9.198
1771,6,1771.458,8.689,2.563
1771,7,1771.542,9.184,1.327
1771,8,1771.625,7.937,3.488
1771,9,1771.708,8.489,2.357
1771,10,1771.792,8.616,1.332
1771,11,1771.875,7.677,3.061
1771,12,1771.958,10.391,4.308
1772,1,1772.042,7.719,9.541
1772,2,1772.125,9.709,12.150
1772,3,1772.208,9.347,3.045
1772,4,1772.292,8.240,3.417
1772,5,1772.375,7.580,1.124
1772,6,1772.458,10.851,7.117
1772,7,1772.542,9.481,4.000
1772,8,1772.625,9.422,5.051
1772,9,1772.708,9.640,3.704
1772,10,1772.792,10.593,2.458
1772,11,1772.875,10.674,6.824
1772,12,1772.958,9.673,4.649
1773,1,1773.042,10.825,2.402
1773,2,1773.125,7.454,3.739
1773,3,1773.208,8.995,2.924
1773,4,1773.292,9.430,2.692
1773,5,1773.375,9.084,2.454
1773,6,1773.458,9.160,2.456
1773,7,1773.542,8.704,2.230
1773,8,1773.625,9.808,2.482
1773,9,1773.708,9.095,2.472
1773,10,1773.792,9.521,2.726
1773,11,1773.875,9.316,8.402
1773,12,1773.958,10.178,5.324
1774,1,1774.042,8.062,7.267
1774,2,1774.125,9.975,7.783
1774,3,1774.208,10.754,3.079
1774,4,1774.292,10.563,6.284
1774,5,1774.375,9.669,1.452
1774,6,1774.458,9.979,10.552
1774,7,1774.542,9.069,9.906
1774,8,1774.625,10.063,2.714
1774,9,1774.708,7.983,2.276
1774,10,1774.792,8.308,7.098
1774,11,1774.875,5.936,5.472
1774,12,1774.958,7.002,6.506
1775,1,1775.042,9.569,7.547
1775,2,1775.125,12.218,1.521
1775,3,1775.208,10.077,1.144
1775,4,1775.292,9.750,4.122
1775,5,1775.375,9.050,6.495
1775,6,1775.458,11.550,6.470
1775,7,1775.542,10.134,3.405
1775,8,1775.625,9.618,5.577
1775,9,1775.708,10.401,5.016
1775,10,1775.792,8.674,2.154
1775,11,1775.875,7.324,2.261
1775,12,1775.958,9.011,2.925
1776,1,1776.042,3.278,2.716
1776,2,1776.125,10.578,5.567
1776,3,1776.208,10.485,3.031
1776,4,1776.292,10.194,3.774
1776,5,1776.375,7.769,5.675
1776,6,1776.458,9.819,1.760
1776,7,1776.542,10.386,5.066
1776,8,1776.625,9.433,3.413
1776,9,1776.708,8.119,4.293
1776,10,1776.792,8.880,5.558
1776,11,1776.875,8.449,3.055
1776,12,1776.958,8.482,4.651
1777,1,1777.042,7.449,7.262
1777,2,1777.125,7.089,3.240
1777,3,1777.208,10.363,2.114
1777,4,1777.292,8.026,4.372
1777,5,1777.375,9.250,2.869
1777,6,1777.458,8.657,4.097
1777,7,1777.542,8.670,3.188
1777,8,1777.625,10.002,2.464
1777,9,1777.708,9.075,5.618
1777,10,1777.792,9.303,4.614
1777,11,1777.875,9.977,3.892
1777,12,1777.958,7.151,2.042
1778,1,1778.042,7.836,4.711
1778,2,1778.125,7.778,4.345
1778,3,1778.208,8.792,2.459
1778,4,1778.292,10.623,3.436
1778,5,1778.375,10.631,2.053
1778,6,1778.458,9.868,8.692
1778,7,1778.542,11.747,2.710
1778,8,1778.625,10.545,5.678
1778,9,1778.708,7.159,2.307
1778,10,1778.792,6.854,4.996
1778,11,1778.875,9.878,5.934
1778,12,1778.958,11.633,2.530
1779,1,1779.042,6.077,9.580
1779,2,1779.125,11.556,11.937
1779,3,1779.208,10.734,3.419
1779,4,1779.292,11.729,5.031
1779,5,1779.375,10.788,2.396
