# Monthly average temperature data for Belize.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1849,10,1849.792,24.904,1.297
1850,7,1850.542,25.845,1.562
1850,8,1850.625,25.345,1.608
1850,9,1850.708,24.977,1.175
1850,10,1850.792,24.178,1.589
1850,11,1850.875,23.882,2.571
1850,12,1850.958,24.484,1.464
1851,1,1851.042,25.437,1.469
1851,2,1851.125,25.299,1.821
1851,3,1851.208,24.396,1.434
1851,4,1851.292,25.034,1.260
1851,5,1851.375,24.971,1.223
1851,6,1851.458,24.903,1.173
1851,7,1851.542,24.813,1.183
1851,8,1851.625,25.017,1.041
1851,9,1851.708,24.019,1.299
1851,10,1851.792,25.155,1.715
1851,11,1851.875,24.049,1.409
1851,12,1851.958,24.503,1.470
1852,1,1852.042,22.324,1.793
1852,2,1852.125,25.502,1.863
1852,3,1852.208,24.778,1.246
1852,4,1852.292,25.276,1.391
1852,7,1852.542,25.022,1.466
1852,8,1852.625,25.030,1.300
1852,9,1852.708,24.681,1.150
1852,10,1852.792,24.532,1.463
1852,11,1852.875,24.873,1.347
1852,12,1852.958,26.065,1.212
1853,1,1853.042,23.402,1.567
1853,2,1853.125,24.410,2.234
1853,3,1853.208,24.323,1.311
1853,4,1853.292,24.888,1.242
1853,5,1853.375,25.168,1.224
1853,6,1853.458,24.552,1.330
1853,7,1853.542,25.448,1.516
1853,8,1853.625,24.670,1.320
1853,9,1853.708,24.523,0.935
1853,10,1853.792,24.884,1.221
1853,11,1853.875,24.228,2.046
1853,12,1853.958,23.822,1.413
1854,1,1854.042,24.069,1.518
1854,2,1854.125,24.182,1.298
1854,3,1854.208,25.482,1.055
1854,4,1854.292,23.843,1.450
1854,5,1854.375,25.127,1.075
1854,6,1854.458,24.708,1.189
1854,7,1854.542,24.307,1.287
1854,8,1854.625,24.009,1.250
1854,9,1854.708,24.330,1.028
1854,10,1854.792,24.944,1.114
1854,11,1854.875,23.997,1.225
1854,12,1854.958,23.658,2.886
1855,1,1855.042,24.546,1.790
1855,2,1855.125,23.613,1.708
1855,3,1855.208,23.847,1.428
1855,4,1855.292,24.697,1.455
1855,5,1855.375,25.270,1.198
1855,6,1855.458,24.778,1.136
1855,7,1855.542,24.015,1.113
1855,8,1855.625,24.283,1.054
1855,9,1855.708,24.221,0.954
1855,10,1855.792,23.589,1.499
1855,11,1855.875,24.838,1.095
1855,12,1855.958,24.981,1.819
1856,1,1856.042,23.649,1.546
1856,2,1856.125,24.266,1.573
1856,3,1856.208,24.751,1.267
1856,4,1856.292,24.647,1.047
1856,5,1856.375,24.860,1.103
1856,6,1856.458,25.240,1.669
1856,7,1856.542,24.804,1.131
1856,8,1856.625,25.081,1.041
1856,9,1856.708,24.200,1.221
1856,10,1856.792,24.134,1.177
1856,11,1856.875,24.674,1.230
1856,12,1856.958,25.171,1.408
1857,1,1857.042,24.240,1.395
1857,2,1857.125,24.966,2.022
1857,3,1857.208,23.198,1.431
1857,4,1857.292,24.143,2.950
1857,5,1857.375,24.316,1.727
1857,6,1857.458,25.086,1.793
1857,7,1857.542,24.908,1.022
1857,8,1857.625,24.568,0.777
1857,9,1857.708,24.294,0.912
1857,10,1857.792,25.167,1.574
1857,11,1857.875,24.896,1.047
1857,12,1857.958,24.747,1.629
1858,1,1858.042,26.555,1.923
1858,2,1858.125,24.732,1.529
1858,3,1858.208,23.306,2.184
1858,4,1858.292,24.525,1.272
1858,5,1858.375,25.627,1.520
1858,6,1858.458,25.320,2.004
1858,7,1858.542,24.470,0.879
1858,8,1858.625,24.445,1.149
1858,9,1858.708,25.216,2.242
1858,10,1858.792,25.400,0.894
1858,11,1858.875,24.014,1.683
1858,12,1858.958,25.106,1.013
1859,1,1859.042,24.473,1.041
1859,2,1859.125,25.727,1.544
1859,3,1859.208,25.534,1.087
1859,4,1859.292,25.261,1.268
1859,5,1859.375,25.064,1.002
1859,6,1859.458,24.747,0.722
1859,7,1859.542,25.108,0.972
1859,8,1859.625,25.013,0.871
1859,9,1859.708,24.637,0.556
1859,10,1859.792,24.920,0.914
1859,11,1859.875,23.902,1.266
1859,12,1859.958,23.973,1.357
1860,1,1860.042,24.420,0.959
1860,2,1860.125,24.620,1.006
1860,3,1860.208,22.986,1.798
1860,4,1860.292,24.953,0.998
1860,5,1860.375,24.016,1.855
1860,6,1860.458,25.761,0.922
1860,7,1860.542,25.172,1.431
1860,8,1860.625,24.778,1.013
1860,9,1860.708,24.964,0.772
1860,10,1860.792,24.267,1.122
1860,11,1860.875,24.968,1.072
1860,12,1860.958,24.511,1.285
1861,1,1861.042,24.856,1.661
1861,2,1861.125,25.007,1.722
1861,3,1861.208,24.335,1.893
1861,4,1861.292,24.562,1.653
1861,5,1861.375,24.400,1.248
1861,6,1861.458,25.050,1.554
1861,7,1861.542,25.205,1.439
1861,8,1861.625,24.686,1.553
1861,9,1861.708,24.555,1.585
1863,1,1863.042,24.659,1.081
1863,2,1863.125,25.812,3.227
1863,3,1863.208,24.944,1.376
1863,4,1863.292,24.232,1.812
1863,5,1863.375,24.462,1.923
1863,6,1863.458,25.132,1.324
1863,7,1863.542,24.830,0.710
1863,8,1863.625,24.457,1.527
1863,9,1863.708,24.169,1.479
1863,10,1863.792,24.206,1.418
1863,11,1863.875,24.372,0.962
1863,12,1863.958,23.741,2.211
1864,1,1864.042,24.515,1.598
1864,2,1864.125,25.235,2.316
1864,3,1864.208,23.379,1.826
1864,4,1864.292,23.701,1.472
1864,5,1864.375,23.559,1.198
1864,6,1864.458,24.503,1.317
1864,7,1864.542,24.779,1.403
1864,8,1864.625,24.136,1.386
1864,10,1864.792,24.087,1.216
1864,11,1864.875,24.017,1.716
1864,12,1864.958,24.611,1.217
1865,1,1865.042,24.114,1.377
1865,2,1865.125,24.868,1.093
1865,3,1865.208,24.330,1.205
1865,5,1865.375,24.742,1.141
1865,6,1865.458,25.101,1.066
1865,9,1865.708,24.715,1.254
1865,11,1865.875,24.791,1.570
1866,3,1866.208,24.179,1.574
1866,4,1866.292,24.187,1.020
1866,5,1866.375,24.758,0.909
1866,7,1866.542,24.629,0.919
1866,8,1866.625,24.546,1.100
1866,9,1866.708,24.819,0.677
1866,10,1866.792,24.107,0.712
1866,11,1866.875,24.011,0.654
1866,12,1866.958,25.194,1.005
1867,1,1867.042,25.385,1.132
1867,2,1867.125,25.503,1.375
1867,3,1867.208,25.858,1.086
1867,4,1867.292,24.814,0.760
1867,5,1867.375,24.883,0.733
1867,6,1867.458,25.209,0.566
1867,7,1867.542,25.026,0.988
1867,8,1867.625,24.960,1.043
1867,9,1867.708,24.825,0.711
1867,10,1867.792,24.661,0.770
1867,11,1867.875,23.633,1.393
1867,12,1867.958,25.164,1.378
1868,1,1868.042,25.448,1.145
1868,2,1868.125,23.721,1.429
1868,3,1868.208,24.820,1.255
1868,4,1868.292,24.131,0.939
1868,5,1868.375,24.140,0.960
1868,6,1868.458,24.550,0.769
1868,7,1868.542,24.912,0.715
1868,8,1868.625,24.630,0.756
1868,9,1868.708,24.325,0.835
1868,10,1868.792,24.798,1.102
1868,11,1868.875,23.554,0.976
1868,12,1868.958,24.053,1.404
1869,1,1869.042,26.746,1.474
1869,2,1869.125,27.313,1.746
1869,3,1869.208,25.787,1.349
1869,4,1869.292,26.316,1.270
1869,5,1869.375,25.420,0.817
1869,8,1869.625,25.270,1.066
1869,9,1869.708,25.459,1.090
1869,10,1869.792,24.325,1.159
1869,11,1869.875,24.749,1.073
1869,12,1869.958,23.670,1.242
1870,1,1870.042,24.732,1.036
1870,2,1870.125,23.986,1.127
1870,3,1870.208,24.446,0.988
1870,4,1870.292,24.191,1.135
1870,5,1870.375,24.603,1.243
1870,6,1870.458,25.908,1.118
1870,7,1870.542,25.724,1.220
1870,8,1870.625,25.382,1.094
1870,9,1870.708,25.842,1.399
1870,10,1870.792,24.425,1.208
1870,11,1870.875,23.638,1.005
1870,12,1870.958,23.413,1.525
1871,1,1871.042,23.889,1.018
1871,2,1871.125,25.371,1.748
1871,3,1871.208,25.024,1.282
1871,4,1871.292,25.351,1.102
1871,5,1871.375,24.635,1.049
1871,6,1871.458,25.333,1.029
1871,7,1871.542,25.250,1.219
1871,8,1871.625,25.664,1.178
1871,9,1871.708,24.827,1.007
1871,10,1871.792,24.517,1.001
1871,11,1871.875,24.245,1.533
1871,12,1871.958,23.953,1.254
1872,1,1872.042,23.974,1.136
1872,2,1872.125,25.037,1.643
1872,3,1872.208,24.522,1.463
1872,4,1872.292,26.105,1.635
1872,5,1872.375,25.481,1.284
1872,6,1872.458,25.720,1.439
1872,7,1872.542,25.506,1.462
1872,8,1872.625,25.369,1.610
1872,9,1872.708,25.749,1.402
1872,10,1872.792,24.740,1.001
1872,11,1872.875,23.788,1.151
1872,12,1872.958,23.226,1.252
1873,1,1873.042,23.496,1.233
1873,2,1873.125,25.992,1.098
1873,3,1873.208,24.109,0.990
1873,4,1873.292,24.087,1.381
1873,5,1873.375,25.268,1.166
1873,6,1873.458,25.305,1.424
1873,7,1873.542,25.115,1.281
1873,8,1873.625,24.681,0.993
1873,9,1873.708,23.987,1.126
1873,10,1873.792,23.954,1.310
1873,11,1873.875,23.156,1.104
1873,12,1873.958,25.373,1.037
1874,1,1874.042,24.873,1.023
1874,2,1874.125,26.130,1.106
1874,3,1874.208,25.613,1.139
