# Monthly average temperature data for Benin.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1873,7,1873.542,27.638,1.366
1873,8,1873.625,27.281,0.975
1873,9,1873.708,27.287,1.104
1873,10,1873.792,26.822,0.941
1873,12,1873.958,27.237,0.870
1874,1,1874.042,26.970,0.923
1874,2,1874.125,26.719,0.905
1874,3,1874.208,26.294,1.014
1874,4,1874.292,27.148,0.771
1874,5,1874.375,26.811,1.134
1874,7,1874.542,27.012,0.799
1874,8,1874.625,26.760,0.788
1874,9,1874.708,27.205,0.812
1874,10,1874.792,26.906,0.981
1874,11,1874.875,26.511,0.879
1874,12,1874.958,26.655,0.903
1875,1,1875.042,26.131,0.826
1875,2,1875.125,26.368,1.152
1875,3,1875.208,26.461,0.906
1875,4,1875.292,26.710,0.901
1875,5,1875.375,26.810,1.049
1875,6,1875.458,27.009,1.064
1875,7,1875.542,27.204,1.061
1875,8,1875.625,26.828,0.999
1875,9,1875.708,26.630,0.996
1875,10,1875.792,26.280,0.762
1875,11,1875.875,25.816,1.194
1875,12,1875.958,26.335,0.810
1876,1,1876.042,26.130,1.090
1876,2,1876.125,25.865,1.186
1876,3,1876.208,26.358,1.381
1876,5,1876.375,26.599,0.826
1876,6,1876.458,27.135,0.765
1876,10,1876.792,26.943,1.053
1876,11,1876.875,26.480,1.188
1876,12,1876.958,26.282,1.500
1877,1,1877.042,26.585,1.131
1877,2,1877.125,26.509,0.854
1877,3,1877.208,27.012,0.860
1877,4,1877.292,26.947,0.741
1877,5,1877.375,27.036,0.760
1877,6,1877.458,27.387,0.978
1877,7,1877.542,27.629,0.817
1877,8,1877.625,27.630,0.816
1877,9,1877.708,27.330,0.863
1877,10,1877.792,27.166,0.799
1877,11,1877.875,27.242,0.885
1877,12,1877.958,26.931,1.074
1878,1,1878.042,26.691,0.995
1878,2,1878.125,27.279,0.890
1878,3,1878.208,28.102,1.029
1878,4,1878.292,27.527,1.009
1878,5,1878.375,27.017,0.866
1878,6,1878.458,27.780,0.894
1878,7,1878.542,27.327,1.252
1878,8,1878.625,26.972,1.166
1878,9,1878.708,27.016,0.972
1878,10,1878.792,27.072,0.986
1878,11,1878.875,27.203,1.088
1878,12,1878.958,27.028,1.160
1879,1,1879.042,26.445,1.413
1879,2,1879.125,26.825,0.876
1879,3,1879.208,26.466,0.955
1879,4,1879.292,26.528,0.807
1879,5,1879.375,26.478,0.845
1879,6,1879.458,27.192,1.028
1879,7,1879.542,26.385,0.966
1879,8,1879.625,26.005,0.782
1879,9,1879.708,26.554,0.728
1879,10,1879.792,26.998,0.947
1879,11,1879.875,26.747,0.760
1879,12,1879.958,26.506,0.940
1880,1,1880.042,26.378,0.977
1880,2,1880.125,25.943,0.914
1880,3,1880.208,26.302,1.013
1880,4,1880.292,26.512,0.842
1880,5,1880.375,27.001,0.871
1880,6,1880.458,26.785,0.999
1880,7,1880.542,27.390,0.964
1880,8,1880.625,27.427,0.953
1880,9,1880.708,26.834,0.860
1880,10,1880.792,27.147,1.015
1880,11,1880.875,27.135,0.876
1880,12,1880.958,27.241,0.920
1881,1,1881.042,27.446,0.874
1881,2,1881.125,27.004,1.286
1881,3,1881.208,27.725,1.305
1881,4,1881.292,27.558,1.038
1881,5,1881.375,27.562,0.881
1881,7,1881.542,27.640,1.007
1881,9,1881.708,27.171,0.895
1881,10,1881.792,26.958,1.113
1881,11,1881.875,26.668,0.898
1881,12,1881.958,27.103,1.076
1882,1,1882.042,27.201,0.907
1882,2,1882.125,26.793,1.060
1882,3,1882.208,26.793,0.968
1882,4,1882.292,26.418,1.014
1882,5,1882.375,26.880,0.929
1882,7,1882.542,26.905,0.874
1882,8,1882.625,26.758,1.041
1882,9,1882.708,27.058,0.880
1882,10,1882.792,27.068,0.775
1882,11,1882.875,26.468,0.988
1883,3,1883.208,27.352,1.288
1883,4,1883.292,27.558,1.128
1883,5,1883.375,27.114,0.905
1883,6,1883.458,27.804,0.828
1883,10,1883.792,27.314,0.886
1883,11,1883.875,26.812,1.318
1884,2,1884.125,27.280,1.122
1884,3,1884.208,26.910,1.457
1884,4,1884.292,26.871,1.218
1884,5,1884.375,26.587,1.235
1886,1,1886.042,26.715,0.868
1886,2,1886.125,26.669,0.673
1886,3,1886.208,27.236,1.052
1886,4,1886.292,27.217,0.749
1886,5,1886.375,27.065,0.496
1886,6,1886.458,26.970,1.296
1886,7,1886.542,27.249,0.663
1886,8,1886.625,27.237,0.642
1886,9,1886.708,26.916,0.571
1886,10,1886.792,26.695,0.674
1886,11,1886.875,26.869,0.667
1886,12,1886.958,25.757,1.214
