# Monthly average temperature data for Bhutan.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1816,3,1816.208,11.465,2.183
1816,4,1816.292,10.823,1.942
1816,5,1816.375,11.772,1.389
1816,6,1816.458,10.848,1.644
1816,7,1816.542,10.143,1.979
1816,8,1816.625,10.914,1.270
1816,9,1816.708,9.620,1.361
1816,10,1816.792,8.891,4.958
1816,11,1816.875,9.784,5.076
1816,12,1816.958,10.278,2.107
1817,1,1817.042,11.633,3.824
1817,2,1817.125,11.621,4.032
1817,3,1817.208,10.777,2.668
1817,4,1817.292,11.950,1.858
1817,5,1817.375,10.197,2.057
1817,6,1817.458,9.488,1.398
1817,7,1817.542,10.335,2.505
1817,8,1817.625,11.229,1.435
1817,9,1817.708,8.740,2.533
1817,10,1817.792,9.801,3.073
1817,11,1817.875,10.865,1.925
1817,12,1817.958,9.946,3.071
1818,1,1818.042,11.487,1.697
1818,2,1818.125,10.633,1.822
1818,3,1818.208,11.482,1.866
1818,4,1818.292,12.211,2.338
1818,5,1818.375,11.847,5.364
1818,6,1818.458,11.293,5.969
1818,7,1818.542,10.688,2.267
1818,8,1818.625,11.209,2.282
1818,9,1818.708,9.095,1.598
1818,10,1818.792,9.760,3.603
1818,11,1818.875,10.706,2.590
1818,12,1818.958,10.580,1.675
1819,1,1819.042,9.718,2.816
1819,2,1819.125,10.315,3.701
1819,3,1819.208,10.612,5.771
1819,4,1819.292,9.937,1.703
1819,5,1819.375,10.867,2.490
1819,6,1819.458,10.586,3.541
1819,7,1819.542,10.841,1.623
1819,8,1819.625,10.642,2.262
1819,9,1819.708,10.325,2.184
1819,10,1819.792,10.621,2.227
1819,11,1819.875,10.913,1.627
1819,12,1819.958,9.813,1.913
1820,1,1820.042,8.467,2.854
1820,2,1820.125,9.793,2.499
1820,3,1820.208,11.247,1.651
1820,4,1820.292,11.897,1.768
1820,5,1820.375,11.863,1.337
1820,6,1820.458,11.086,1.348
1820,7,1820.542,11.321,1.612
1820,8,1820.625,10.904,1.743
1820,9,1820.708,10.722,1.895
1820,10,1820.792,10.236,1.340
1820,11,1820.875,10.626,1.435
1820,12,1820.958,10.098,1.404
1821,1,1821.042,12.326,2.679
1821,2,1821.125,12.932,3.651
1821,3,1821.208,11.916,2.233
1821,4,1821.292,11.827,1.327
1821,5,1821.375,11.942,2.169
1821,6,1821.458,11.456,2.328
1821,7,1821.542,11.373,2.194
1821,8,1821.625,11.252,1.171
1821,9,1821.708,9.703,1.743
1821,10,1821.792,10.520,1.466
1821,11,1821.875,11.366,2.242
1821,12,1821.958,11.437,1.462
1822,1,1822.042,13.154,2.319
1822,2,1822.125,13.664,1.556
1822,3,1822.208,14.208,2.609
1822,4,1822.292,11.327,1.933
1822,5,1822.375,12.084,1.361
1822,6,1822.458,11.373,1.195
1822,7,1822.542,11.701,1.092
1822,8,1822.625,11.328,1.146
1822,9,1822.708,10.299,1.756
1822,10,1822.792,10.322,1.516
1822,11,1822.875,10.445,1.579
1822,12,1822.958,10.124,2.179
1823,1,1823.042,12.188,1.776
1823,2,1823.125,12.306,2.071
1823,3,1823.208,11.757,1.825
1823,4,1823.292,12.412,2.450
1823,5,1823.375,11.615,1.649
1823,6,1823.458,11.481,1.743
1823,7,1823.542,11.455,1.461
1823,8,1823.625,10.792,1.363
1823,9,1823.708,9.798,1.439
1823,10,1823.792,10.802,1.586
1823,11,1823.875,10.418,2.265
1833,1,1833.042,11.715,2.004
1833,2,1833.125,11.675,1.186
1833,3,1833.208,11.730,2.377
1833,4,1833.292,10.876,1.219
1833,5,1833.375,10.634,1.967
1833,6,1833.458,12.042,1.557
1833,7,1833.542,11.756,1.478
1833,8,1833.625,11.480,1.331
1833,9,1833.708,11.113,1.230
1833,10,1833.792,11.067,1.330
1833,11,1833.875,12.126,1.890
1833,12,1833.958,11.101,1.777
1834,1,1834.042,10.211,1.733
1834,2,1834.125,11.558,1.174
1834,3,1834.208,12.017,1.202
1834,4,1834.292,11.182,1.701
1834,5,1834.375,12.080,1.127
1834,6,1834.458,10.802,1.437
1834,7,1834.542,12.001,1.244
1834,8,1834.625,11.425,1.344
1834,9,1834.708,10.877,1.349
1834,10,1834.792,10.610,1.832
1834,11,1834.875,11.691,1.963
1834,12,1834.958,11.363,1.243
1835,1,1835.042,11.611,2.353
1835,2,1835.125,11.670,2.067
1835,3,1835.208,10.457,2.309
1835,4,1835.292,10.478,1.489
1835,5,1835.375,10.124,2.282
1835,6,1835.458,10.210,1.537
1835,7,1835.542,10.496,1.422
1835,8,1835.625,10.419,1.138
1835,9,1835.708,9.655,1.336
1835,10,1835.792,10.441,1.461
1835,11,1835.875,9.749,2.225
1835,12,1835.958,9.531,2.575
1836,1,1836.042,10.968,2.047
1836,2,1836.125,11.117,1.547
1836,3,1836.208,11.622,1.097
1836,4,1836.292,10.993,1.665
1836,6,1836.458,11.330,1.239
1836,7,1836.542,11.435,1.069
1836,8,1836.625,11.520,2.582
1836,9,1836.708,10.970,1.670
1836,10,1836.792,11.610,2.090
1836,11,1836.875,10.597,2.279
1836,12,1836.958,11.703,1.409
1837,5,1837.375,12.044,2.736
1837,7,1837.542,11.398,1.506
1837,8,1837.625,11.341,1.387
1837,9,1837.708,11.184,1.348
1837,10,1837.792,11.103,1.629
1837,11,1837.875,10.934,1.749
1837,12,1837.958,11.575,2.435
1838,1,1838.042,10.771,3.479
1838,4,1838.292,11.698,2.064
1838,6,1838.458,11.480,1.144
1838,7,1838.542,12.045,1.400
1838,8,1838.625,11.758,1.339
1838,9,1838.708,11.061,1.342
1838,10,1838.792,11.623,1.475
1838,11,1838.875,11.650,1.864
1840,1,1840.042,12.791,1.521
1840,2,1840.125,12.128,2.185
1840,3,1840.208,11.616,2.945
1840,4,1840.292,11.420,1.029
1840,5,1840.375,11.339,1.843
1840,6,1840.458,10.955,1.932
1840,7,1840.542,12.493,1.233
1840,8,1840.625,11.223,1.317
1840,9,1840.708,10.869,1.104
1840,11,1840.875,10.865,2.344
1840,12,1840.958,10.982,1.204
1841,1,1841.042,12.007,2.897
1841,3,1841.208,10.511,1.406
1841,4,1841.292,10.617,1.754
1841,5,1841.375,11.422,1.012
1841,6,1841.458,11.671,1.607
1841,7,1841.542,12.048,1.350
1841,8,1841.625,11.867,1.026
1841,9,1841.708,11.159,1.451
1841,12,1841.958,11.078,1.574
1842,2,1842.125,12.857,3.025
1842,3,1842.208,11.525,1.714
1842,4,1842.292,11.416,1.260
1842,5,1842.375,11.889,1.393
1842,7,1842.542,11.611,1.284
1842,8,1842.625,11.223,1.248
1842,9,1842.708,10.539,1.110
1842,10,1842.792,10.681,1.098
1842,11,1842.875,10.918,1.208
1842,12,1842.958,12.007,1.143
1843,1,1843.042,12.411,1.177
1843,2,1843.125,12.639,1.524
1843,3,1843.208,11.100,1.261
1843,4,1843.292,10.921,0.998
1843,5,1843.375,11.020,1.500
1843,6,1843.458,11.271,1.164
