# Monthly average temperature data for Bolivia.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1855,5,1855.375,20.702,1.113
1855,6,1855.458,19.815,1.442
1855,7,1855.542,20.132,1.121
1855,8,1855.625,20.387,1.053
1855,9,1855.708,19.679,1.044
1855,10,1855.792,19.366,1.105
1855,11,1855.875,19.738,1.082
1855,12,1855.958,18.365,1.309
1873,1,1873.042,21.152,1.536
1873,2,1873.125,20.992,1.691
1873,3,1873.208,20.261,1.368
1873,4,1873.292,20.811,2.739
1873,5,1873.375,21.691,1.852
1873,6,1873.458,22.032,2.198
1873,7,1873.542,20.888,1.239
1873,8,1873.625,21.375,1.663
1873,9,1873.708,21.224,1.663
1874,1,1874.042,19.673,1.067
1874,2,1874.125,20.160,1.122
1874,3,1874.208,19.243,2.181
1874,4,1874.292,20.435,1.986
1874,5,1874.375,20.223,1.234
1874,7,1874.542,21.278,1.563
1874,8,1874.625,20.719,1.524
1874,9,1874.708,20.694,1.986
1874,10,1874.792,20.090,1.157
1874,11,1874.875,19.664,1.606
1874,12,1874.958,19.681,1.531
1875,1,1875.042,20.202,1.724
1875,2,1875.125,20.395,1.801
1875,3,1875.208,19.581,1.131
1875,4,1875.292,20.075,1.871
1875,5,1875.375,20.085,1.068
1875,6,1875.458,19.036,2.971
1875,7,1875.542,20.241,1.178
1875,8,1875.625,19.387,1.155
1875,9,1875.708,19.362,1.126
1875,10,1875.792,19.754,1.075
1875,11,1875.875,19.789,1.401
1875,12,1875.958,20.120,1.117
1880,1,1880.042,20.307,1.206
1880,2,1880.125,20.198,1.475
1880,3,1880.208,19.868,1.064
1880,4,1880.292,20.027,1.076
1880,5,1880.375,20.716,1.143
1880,6,1880.458,21.452,1.100
1880,7,1880.542,21.362,1.069
1880,8,1880.625,21.274,1.063
1880,9,1880.708,18.584,1.535
1880,10,1880.792,19.394,1.321
1880,11,1880.875,19.805,1.368
1880,12,1880.958,19.940,1.868
1881,3,1881.208,20.233,1.139
1881,4,1881.292,20.703,1.124
1881,5,1881.375,20.852,1.081
1881,6,1881.458,20.315,1.522
1881,7,1881.542,20.267,1.044
1881,8,1881.625,20.212,1.044
1881,9,1881.708,21.544,1.252
1881,10,1881.792,20.411,1.032
1881,11,1881.875,19.656,1.325
1881,12,1881.958,21.413,1.793
1882,2,1882.125,20.573,1.335
1882,3,1882.208,20.365,1.058
1882,4,1882.292,19.657,1.437
1882,5,1882.375,20.583,1.049
1882,6,1882.458,19.939,1.106
1882,7,1882.542,19.752,1.026
1882,8,1882.625,21.013,0.990
1882,9,1882.708,20.335,1.094
1882,10,1882.792,20.249,1.450
1883,1,1883.042,20.255,1.265
1883,2,1883.125,19.929,1.088
1883,3,1883.208,20.794,1.064
1883,4,1883.292,19.676,1.093
1883,5,1883.375,20.872,2.285
1883,7,1883.542,20.250,1.081
1883,8,1883.625,19.586,1.238
1883,9,1883.708,19.872,1.164
1883,11,1883.875,19.693,1.229
1883,12,1883.958,20.217,1.343
1884,1,1884.042,20.260,1.645
1884,2,1884.125,20.436,1.040
1884,3,1884.208,20.630,1.322
1884,4,1884.292,19.915,1.031
1884,5,1884.375,19.195,1.038
1884,6,1884.458,19.161,1.088
1884,7,1884.542,20.385,1.065
1884,8,1884.625,22.432,1.275
1884,9,1884.708,19.925,0.994
1884,10,1884.792,19.321,1.614
1884,11,1884.875,20.054,1.367
1884,12,1884.958,19.819,1.401
1885,1,1885.042,19.761,1.043
1885,2,1885.125,19.969,1.141
1885,3,1885.208,19.769,1.135
1885,4,1885.292,19.836,1.106
1885,5,1885.375,19.854,1.020
1885,6,1885.458,19.598,1.442
1885,7,1885.542,20.315,1.114
1885,8,1885.625,20.217,1.250
1885,9,1885.708,20.862,1.017
1885,10,1885.792,20.393,1.208
1885,11,1885.875,20.587,1.166
1885,12,1885.958,20.876,1.064
