# Monthly average temperature data for Bonaire, Saint Eustatius And Saba.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1824,1,1824.042,27.057,0.656
1824,2,1824.125,26.615,2.314
1824,3,1824.208,27.293,1.014
1824,4,1824.292,27.624,2.042
1824,5,1824.375,27.143,1.499
1824,7,1824.542,27.806,1.243
1824,8,1824.625,26.763,2.043
1824,9,1824.708,26.507,1.745
1824,10,1824.792,26.230,0.750
1824,11,1824.875,27.053,1.628
1824,12,1824.958,27.592,2.465
1825,1,1825.042,27.438,2.119
1825,2,1825.125,27.140,1.486
1825,3,1825.208,27.660,1.612
1825,4,1825.292,28.188,1.884
1825,5,1825.375,27.523,1.429
1825,6,1825.458,27.789,0.774
1825,7,1825.542,27.585,2.624
1825,8,1825.625,26.979,2.085
1825,9,1825.708,26.289,1.211
1825,10,1825.792,26.422,1.290
1825,11,1825.875,27.423,2.721
1825,12,1825.958,27.048,1.425
1826,2,1826.125,26.366,1.404
1826,3,1826.208,26.726,1.360
1826,4,1826.292,27.470,1.795
1826,5,1826.375,27.680,1.035
1826,7,1826.542,27.523,0.991
1826,8,1826.625,26.518,1.359
1826,9,1826.708,26.201,1.641
1826,10,1826.792,26.515,2.067
1826,11,1826.875,27.550,1.096
1826,12,1826.958,28.136,1.554
1827,1,1827.042,27.654,2.317
1827,2,1827.125,27.901,2.222
1827,3,1827.208,27.964,1.738
1827,4,1827.292,28.266,1.768
1827,5,1827.375,27.720,1.483
1827,7,1827.542,27.699,0.785
1827,8,1827.625,26.810,1.401
1827,9,1827.708,26.119,0.878
1827,10,1827.792,26.381,0.963
1827,11,1827.875,27.683,0.778
1827,12,1827.958,27.117,2.527
1828,1,1828.042,26.397,1.909
1828,2,1828.125,26.420,0.924
1828,3,1828.208,27.220,0.886
1828,4,1828.292,27.567,1.887
1828,5,1828.375,27.418,1.746
1828,6,1828.458,27.776,1.939
1828,7,1828.542,27.515,0.847
1828,8,1828.625,27.156,1.115
