# Monthly average temperature data for Bosnia And Herzegovina.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1750,1,1750.042,8.629,1.844
1750,2,1750.125,8.911,2.158
1750,3,1750.208,11.812,2.651
1750,4,1750.292,10.549,1.713
1750,5,1750.375,8.553,1.724
1750,6,1750.458,10.242,1.778
1750,7,1750.542,10.698,1.831
1750,8,1750.625,10.730,1.717
1750,9,1750.708,9.801,2.335
1750,10,1750.792,9.369,1.676
1750,11,1750.875,6.329,1.744
1750,12,1750.958,7.349,1.877
1751,1,1751.042,8.078,1.891
1751,2,1751.125,6.806,1.859
1751,3,1751.208,11.066,1.733
1751,4,1751.292,8.440,1.676
1751,5,1751.375,9.182,1.732
1751,6,1751.458,9.422,1.785
1751,7,1751.542,11.459,1.790
1751,8,1751.625,11.250,1.667
1751,9,1751.708,9.981,1.643
1751,10,1751.792,8.885,1.731
1751,11,1751.875,6.529,1.773
1751,12,1751.958,7.504,2.103
1752,1,1752.042,8.519,2.016
1752,2,1752.125,11.242,1.836
1752,3,1752.208,10.329,1.648
1752,4,1752.292,9.007,1.724
1752,5,1752.375,9.392,1.679
1752,6,1752.458,11.719,1.626
1752,7,1752.542,10.943,1.716
1752,8,1752.625,8.977,1.861
1752,10,1752.792,9.775,1.694
1752,11,1752.875,9.450,1.744
1752,12,1752.958,8.617,1.950
1753,1,1753.042,8.437,1.789
1753,2,1753.125,8.558,1.717
1753,3,1753.208,10.964,1.614
1753,4,1753.292,10.462,1.787
1753,5,1753.375,10.384,1.530
1753,6,1753.458,11.117,1.752
1753,7,1753.542,10.795,1.768
1753,8,1753.625,9.377,1.612
1753,9,1753.708,9.483,1.573
1753,10,1753.792,9.750,1.589
1753,11,1753.875,8.210,1.600
1753,12,1753.958,7.880,2.286
1754,1,1754.042,8.983,1.726
1754,2,1754.125,7.185,1.680
1754,3,1754.208,7.073,1.530
1754,4,1754.292,11.202,1.760
1754,5,1754.375,11.026,1.612
1754,6,1754.458,11.101,1.653
1754,7,1754.542,10.215,1.836
1754,8,1754.625,10.133,1.678
1754,9,1754.708,9.288,1.620
1754,10,1754.792,11.039,1.784
1754,11,1754.875,10.387,2.323
1754,12,1754.958,9.686,1.771
1755,1,1755.042,6.923,1.739
1755,2,1755.125,5.962,1.978
1755,3,1755.208,9.221,1.661
1755,4,1755.292,12.978,2.186
1755,5,1755.375,10.466,1.583
1755,6,1755.458,12.271,1.914
1755,7,1755.542,10.642,2.412
