# Monthly average temperature data for Botswana.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1859,11,1859.875,21.352,1.349
1859,12,1859.958,21.440,1.617
1860,1,1860.042,20.561,1.577
1860,2,1860.125,21.485,1.350
1860,3,1860.208,20.507,1.862
1860,4,1860.292,20.916,1.393
1860,5,1860.375,21.531,1.647
1860,6,1860.458,21.760,1.451
1860,7,1860.542,21.103,1.530
1860,8,1860.625,22.070,1.802
1860,9,1860.708,20.686,1.547
1860,10,1860.792,20.941,1.608
1860,11,1860.875,20.318,1.787
1860,12,1860.958,20.067,1.947
1861,1,1861.042,19.937,1.744
1861,2,1861.125,20.048,2.377
1861,3,1861.208,20.461,2.035
1861,4,1861.292,20.735,1.700
1861,5,1861.375,21.074,1.418
1861,6,1861.458,21.664,1.326
1861,7,1861.542,21.295,1.408
1861,8,1861.625,21.629,1.273
1861,9,1861.708,21.722,1.730
1861,10,1861.792,20.775,1.499
1861,11,1861.875,21.159,1.402
1861,12,1861.958,20.970,1.469
1862,1,1862.042,19.710,1.791
1862,2,1862.125,20.543,1.453
1862,3,1862.208,20.456,1.581
1862,4,1862.292,20.543,1.806
1862,5,1862.375,21.403,1.319
1862,6,1862.458,21.349,1.452
1862,7,1862.542,21.435,1.348
1862,8,1862.625,20.724,1.478
1862,9,1862.708,20.662,1.271
1862,10,1862.792,20.408,1.488
1862,11,1862.875,20.710,1.580
1862,12,1862.958,20.739,1.775
1863,1,1863.042,21.521,1.632
1863,2,1863.125,21.416,2.225
1863,3,1863.208,20.718,1.581
1863,4,1863.292,21.187,1.349
1863,5,1863.375,21.081,1.284
1863,6,1863.458,21.585,1.501
1863,7,1863.542,21.424,1.339
1863,8,1863.625,21.020,1.287
1863,9,1863.708,20.383,1.533
1863,10,1863.792,20.609,1.276
1863,11,1863.875,20.763,1.402
1863,12,1863.958,21.024,2.210
1864,1,1864.042,20.793,1.623
1864,2,1864.125,21.066,1.909
1864,3,1864.208,20.408,1.770
1864,4,1864.292,19.952,2.070
1864,5,1864.375,21.664,1.443
1864,6,1864.458,21.478,1.497
1864,7,1864.542,21.209,1.522
1864,8,1864.625,21.441,1.506
1864,9,1864.708,21.462,1.438
1864,10,1864.792,21.162,1.327
1864,11,1864.875,21.012,1.446
1864,12,1864.958,21.175,1.657
1865,1,1865.042,21.461,1.465
1865,2,1865.125,21.020,1.254
1865,3,1865.208,21.353,1.461
1865,4,1865.292,20.941,1.554
1865,5,1865.375,21.493,1.234
1865,6,1865.458,21.592,1.358
1865,7,1865.542,22.154,1.721
1865,8,1865.625,22.108,1.404
1865,9,1865.708,21.450,1.409
1865,10,1865.792,21.813,1.419
1865,11,1865.875,21.352,1.375
1865,12,1865.958,21.110,1.567
1866,1,1866.042,21.935,1.545
1866,2,1866.125,21.238,2.084
1881,1,1881.042,20.846,1.347
1881,2,1881.125,20.891,1.167
1881,3,1881.208,20.496,1.309
1881,4,1881.292,19.681,2.127
1881,5,1881.375,20.652,1.229
1881,6,1881.458,20.259,1.762
1881,7,1881.542,19.609,2.244
1881,8,1881.625,20.831,2.014
1881,9,1881.708,21.339,1.479
1881,10,1881.792,21.992,1.815
1881,11,1881.875,21.404,1.639
1881,12,1881.958,22.422,2.906
1882,1,1882.042,22.279,1.432
1882,2,1882.125,22.518,1.812
1882,3,1882.208,20.338,2.258
1882,4,1882.292,20.432,1.588
1882,5,1882.375,20.685,1.553
1882,6,1882.458,20.834,1.187
1882,7,1882.542,20.786,1.268
1882,8,1882.625,21.404,1.304
1882,9,1882.708,21.225,1.084
1882,10,1882.792,20.200,1.223
1882,11,1882.875,21.045,1.383
1882,12,1882.958,20.759,1.302
1883,1,1883.042,20.143,1.520
1883,2,1883.125,21.599,1.486
1883,3,1883.208,20.983,1.242
1883,4,1883.292,21.209,1.162
1883,5,1883.375,21.306,1.077
1883,6,1883.458,21.555,1.084
1883,7,1883.542,20.991,1.206
1883,8,1883.625,20.191,1.672
1883,9,1883.708,21.519,1.617
1883,10,1883.792,21.220,1.094
1883,11,1883.875,21.355,1.223
1883,12,1883.958,21.121,1.208
1884,1,1884.042,20.628,1.501
1884,2,1884.125,21.249,1.146
1884,3,1884.208,20.228,1.111
1884,4,1884.292,20.300,1.385
1884,5,1884.375,21.056,1.149
1884,6,1884.458,21.548,1.988
1884,7,1884.542,19.699,1.871
1884,8,1884.625,21.339,1.163
1884,9,1884.708,20.465,1.442
1884,10,1884.792,20.834,1.027
1884,11,1884.875,20.960,1.193
1884,12,1884.958,21.841,1.283
1885,1,1885.042,20.560,1.240
1885,2,1885.125,21.592,1.062
1885,3,1885.208,20.407,1.172
1885,4,1885.292,20.131,1.192
1885,5,1885.375,21.120,1.399
1885,6,1885.458,21.925,1.142
1885,7,1885.542,21.982,1.186
1885,8,1885.625,21.767,1.020
1885,9,1885.708,21.367,1.011
1885,10,1885.792,21.241,0.968
1885,11,1885.875,21.303,1.042
1885,12,1885.958,21.567,1.323
1886,1,1886.042,20.925,1.352
1886,2,1886.125,21.911,1.387
1886,3,1886.208,21.011,1.132
1886,4,1886.292,21.198,1.022
1886,5,1886.375,22.192,1.457
1886,6,1886.458,22.457,1.004
1886,7,1886.542,21.365,1.497
1886,8,1886.625,21.423,1.182
1886,9,1886.708,21.808,1.110
1886,10,1886.792,20.967,1.085
1886,11,1886.875,20.848,1.097
1886,12,1886.958,20.615,1.211
1887,1,1887.042,20.343,1.197
1887,2,1887.125,21.017,1.153
1887,3,1887.208,20.523,1.224
1887,4,1887.292,21.378,1.750
1887,5,1887.375,21.407,1.458
1887,6,1887.458,21.147,1.002
1887,7,1887.542,20.424,2.221
