# Monthly average temperature data for Brazil.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1857,1,1857.042,24.352,0.982
1857,2,1857.125,24.049,0.906
1857,4,1857.292,23.423,0.689
1857,5,1857.375,23.800,0.735
1857,6,1857.458,24.438,0.857
1857,7,1857.542,24.908,1.173
1857,8,1857.625,24.246,0.699
1857,9,1857.708,24.033,0.850
1857,10,1857.792,24.210,1.074
1857,11,1857.875,24.773,1.090
1857,12,1857.958,24.681,0.876
1858,1,1858.042,24.667,1.264
1858,2,1858.125,24.284,0.813
1858,3,1858.208,24.459,0.668
1858,4,1858.292,24.593,1.080
1858,5,1858.375,24.655,0.840
1858,6,1858.458,24.473,0.694
1858,7,1858.542,24.423,0.749
1858,8,1858.625,24.241,0.798
1858,9,1858.708,23.473,1.074
1858,10,1858.792,23.797,0.806
1858,11,1858.875,24.356,0.933
1858,12,1858.958,23.362,1.083
1859,1,1859.042,24.011,1.031
1859,2,1859.125,24.210,1.074
1859,3,1859.208,24.757,0.872
1859,4,1859.292,25.560,0.970
1859,5,1859.375,25.119,0.867
1859,6,1859.458,24.884,0.828
1859,7,1859.542,24.843,0.692
1859,8,1859.625,24.238,0.665
1859,9,1859.708,24.090,0.722
1859,11,1859.875,24.626,0.797
1859,12,1859.958,24.517,1.181
1860,12,1860.958,23.591,1.090
1886,7,1886.542,24.343,0.861
1887,1,1887.042,23.638,0.726
1887,2,1887.125,24.128,0.680
1887,3,1887.208,23.962,0.640
1887,4,1887.292,24.362,0.654
1887,5,1887.375,24.268,0.726
1887,8,1887.625,24.641,1.028
1887,9,1887.708,24.654,0.718
1887,10,1887.792,24.725,0.696
1887,11,1887.875,24.414,0.661
1887,12,1887.958,24.687,0.639
1888,1,1888.042,24.155,0.834
1888,2,1888.125,24.363,0.693
1888,3,1888.208,24.218,0.616
1888,4,1888.292,24.346,0.672
1888,5,1888.375,24.342,0.707
1888,6,1888.458,24.464,0.779
1888,7,1888.542,25.001,0.757
1888,8,1888.625,24.877,0.651
1890,1,1890.042,24.112,0.831
1890,2,1890.125,24.313,0.683
1890,3,1890.208,24.151,0.720
1890,4,1890.292,24.140,0.648
1890,5,1890.375,24.014,0.768
1890,6,1890.458,23.860,0.642
1890,7,1890.542,24.792,0.658
1890,8,1890.625,24.137,0.686
1890,9,1890.708,24.603,0.658
1890,10,1890.792,24.477,0.762
1890,11,1890.875,24.037,0.898
1890,12,1890.958,24.355,0.690
1891,1,1891.042,23.855,0.674
1891,2,1891.125,24.087,0.723
1891,3,1891.208,24.387,0.715
1891,4,1891.292,24.535,0.548
1891,5,1891.375,24.525,0.726
1891,6,1891.458,24.798,0.766
1891,7,1891.542,24.594,0.560
1891,8,1891.625,24.515,0.641
1891,9,1891.708,24.578,0.570
1891,10,1891.792,24.561,0.601
1891,11,1891.875,24.348,0.597
1891,12,1891.958,24.417,0.674
1892,1,1892.042,24.576,0.616
1892,2,1892.125,24.495,0.607
1892,3,1892.208,24.461,0.743
1892,4,1892.292,24.432,0.584
1892,5,1892.375,24.223,0.593
1892,6,1892.458,24.660,0.619
1892,7,1892.542,24.162,0.714
1892,8,1892.625,24.143,0.612
1892,9,1892.708,24.295,0.577
1892,10,1892.792,24.451,0.570
1892,11,1892.875,23.954,0.689
1892,12,1892.958,23.879,0.873
1893,1,1893.042,23.493,0.833
1893,2,1893.125,23.487,0.764
1893,3,1893.208,24.175,0.696
1893,4,1893.292,24.209,0.700
1893,5,1893.375,24.150,0.703
1893,6,1893.458,24.260,0.798
1893,7,1893.542,24.828,0.561
1893,8,1893.625,24.060,0.516
1893,9,1893.708,23.916,0.592
1893,10,1893.792,24.208,0.576
1893,11,1893.875,23.768,0.641
1893,12,1893.958,24.240,0.930
1894,1,1894.042,24.636,0.950
1894,2,1894.125,24.637,0.852
1894,3,1894.208,24.408,0.784
1894,4,1894.292,24.197,0.677
1894,5,1894.375,24.540,0.615
1894,6,1894.458,23.905,0.624
1894,7,1894.542,24.619,0.566
1894,8,1894.625,24.480,0.558
1894,9,1894.708,24.606,0.612
1894,10,1894.792,25.031,0.655
1894,11,1894.875,24.421,0.608
1894,12,1894.958,24.329,0.799
1895,1,1895.042,24.214,0.671
1895,2,1895.125,23.922,0.591
1895,3,1895.208,24.432,0.747
1895,4,1895.292,24.828,0.552
1895,5,1895.375,24.810,0.615
1895,6,1895.458,24.956,0.602
1895,7,1895.542,25.013,0.586
1895,8,1895.625,25.113,0.528
1895,9,1895.708,24.632,0.617
1895,10,1895.792,24.677,0.499
1895,11,1895.875,24.373,0.695
1895,12,1895.958,25.020,0.818
1896,1,1896.042,24.411,0.712
1896,2,1896.125,24.735,0.822
1896,3,1896.208,24.290,0.598
1896,4,1896.292,24.226,0.655
1896,5,1896.375,24.507,0.532
1896,6,1896.458,24.525,0.778
1896,7,1896.542,25.003,0.485
1896,8,1896.625,25.150,0.515
1896,9,1896.708,25.133,0.627
1896,10,1896.792,24.939,0.540
1896,11,1896.875,24.839,0.518
1896,12,1896.958,25.141,0.555
1897,1,1897.042,24.783,0.655
1897,2,1897.125,24.537,0.714
1897,3,1897.208,24.625,0.487
1897,4,1897.292,25.396,0.572
1897,5,1897.375,25.390,0.546
1897,6,1897.458,24.309,0.820
1897,7,1897.542,23.901,0.940
1897,8,1897.625,24.373,0.699
1897,9,1897.708,24.096,0.686
1897,10,1897.792,24.871,0.626
1897,11,1897.875,24.227,0.641
1897,12,1897.958,25.015,0.637
1898,1,1898.042,25.210,0.744
1898,2,1898.125,24.697,0.523
1898,3,1898.208,24.405,0.977
1898,4,1898.292,24.700,0.596
1898,5,1898.375,24.387,0.773
1898,6,1898.458,25.052,0.851
1898,7,1898.542,24.860,0.558
1898,8,1898.625,24.428,0.678
1898,9,1898.708,24.028,0.395
1898,10,1898.792,24.203,0.527
1898,11,1898.875,24.303,0.499
1898,12,1898.958,24.134,0.590
1899,1,1899.042,24.575,0.469
1899,2,1899.125,23.916,0.954
1899,3,1899.208,24.428,0.698
1899,4,1899.292,25.002,0.810
1899,5,1899.375,25.075,0.674
1899,6,1899.458,24.040,0.607
1899,7,1899.542,24.748,0.640
1899,8,1899.625,25.176,0.817
1899,9,1899.708,24.579,0.473
1899,10,1899.792,24.602,0.629
1899,11,1899.875,24.983,0.508
1899,12,1899.958,24.586,0.629
1900,1,1900.042,24.664,0.407
1900,2,1900.125,24.861,0.805
1900,3,1900.208,25.455,0.917
1900,4,1900.292,24.904,0.905
1900,5,1900.375,25.367,0.785
1900,6,1900.458,25.218,0.708
1900,7,1900.542,25.578,0.590
1900,8,1900.625,24.984,0.450
