# Monthly average temperature data for British Virgin Islands.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1824,1,1824.042,26.377,0.645
1824,2,1824.125,25.718,2.418
1824,3,1824.208,26.533,1.091
1824,4,1824.292,26.705,2.220
1824,5,1824.375,26.323,1.597
1824,7,1824.542,26.926,1.312
1824,8,1824.625,25.820,2.224
1824,9,1824.708,25.755,1.888
1824,10,1824.792,25.436,0.703
1824,11,1824.875,26.324,1.721
1824,12,1824.958,26.742,2.631
1825,1,1825.042,26.580,2.322
1825,2,1825.125,26.313,1.618
1825,3,1825.208,26.908,1.672
1825,4,1825.292,27.045,2.015
1825,5,1825.375,26.590,1.463
1825,6,1825.458,26.739,0.735
1825,7,1825.542,26.725,2.842
1825,8,1825.625,26.132,2.289
1825,9,1825.708,25.596,1.348
1825,10,1825.792,25.715,1.276
1825,11,1825.875,26.648,2.980
1825,12,1825.958,26.315,1.488
1826,2,1826.125,25.654,1.554
1826,3,1826.208,25.774,1.432
1826,4,1826.292,26.495,2.045
1826,5,1826.375,26.725,1.047
1826,7,1826.542,26.541,1.026
1826,8,1826.625,25.684,1.454
1826,9,1826.708,25.474,1.840
1826,10,1826.792,25.522,2.195
1826,11,1826.875,26.585,1.140
1826,12,1826.958,27.284,1.550
1827,1,1827.042,26.418,2.381
1827,2,1827.125,26.994,2.328
1827,3,1827.208,27.053,1.857
1827,4,1827.292,27.346,1.927
1827,5,1827.375,26.790,1.659
1827,7,1827.542,26.831,0.773
1827,8,1827.625,25.897,1.419
1827,9,1827.708,25.406,0.924
1827,10,1827.792,25.602,1.010
1827,11,1827.875,26.787,0.815
1827,12,1827.958,26.409,2.706
1828,1,1828.042,26.109,2.306
1828,2,1828.125,26.235,1.018
1828,3,1828.208,26.363,0.906
1828,4,1828.292,26.448,2.009
1828,5,1828.375,26.629,1.914
1828,6,1828.458,26.987,1.876
1828,7,1828.542,26.704,0.795
1828,8,1828.625,26.487,1.074
1828,9,1828.708,25.380,1.312
1828,11,1828.875,26.891,2.170
1828,12,1828.958,26.674,4.327
1829,1,1829.042,25.818,2.914
1829,2,1829.125,25.513,2.464
1829,3,1829.208,26.028,1.147
1829,4,1829.292,26.328,1.393
1829,5,1829.375,26.433,2.709
1829,7,1829.542,26.517,1.020
1829,8,1829.625,26.092,1.471
1829,9,1829.708,25.595,1.092
1829,11,1829.875,25.919,1.641
1829,12,1829.958,26.154,3.127
1845,1,1845.042,26.274,1.292
1845,2,1845.125,24.763,1.525
1845,3,1845.208,25.671,0.893
1845,4,1845.292,25.980,0.932
