# Monthly average temperature data for Bulgaria.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1750,1,1750.042,9.925,2.277
1750,2,1750.125,9.508,2.474
1750,4,1750.292,10.996,2.190
1750,5,1750.375,9.106,2.211
1750,6,1750.458,10.751,2.241
1750,7,1750.542,11.364,2.288
1750,8,1750.625,11.400,2.233
1750,10,1750.792,9.546,2.191
1750,11,1750.875,6.208,2.235
1750,12,1750.958,7.533,2.314
1751,1,1751.042,8.910,2.311
1751,2,1751.125,7.434,2.318
1751,3,1751.208,11.897,2.229
1751,4,1751.292,9.185,2.179
1751,5,1751.375,9.779,2.210
1751,6,1751.458,10.034,2.246
1751,7,1751.542,12.201,2.266
1751,8,1751.625,11.552,2.193
1751,9,1751.708,10.433,2.171
1751,10,1751.792,9.022,2.169
1751,11,1751.875,7.010,2.204
1751,12,1751.958,8.156,2.410
1752,1,1752.042,8.563,2.372
1752,2,1752.125,12.210,2.256
1752,3,1752.208,11.466,2.136
1752,4,1752.292,9.518,2.167
1752,5,1752.375,10.168,2.143
1752,6,1752.458,11.906,2.119
1752,7,1752.542,11.834,2.188
1752,8,1752.625,9.664,2.280
1752,10,1752.792,10.198,2.155
1752,11,1752.875,10.036,2.186
1752,12,1752.958,9.214,2.311
1753,1,1753.042,9.715,2.228
1753,2,1753.125,9.100,2.225
1753,3,1753.208,12.048,2.166
1753,4,1753.292,10.697,2.232
1753,5,1753.375,10.903,2.095
1753,6,1753.458,11.273,2.220
1753,7,1753.542,11.095,2.260
1753,8,1753.625,9.952,2.167
1753,9,1753.708,9.949,2.131
1753,10,1753.792,10.454,2.131
1753,11,1753.875,8.875,2.133
1753,12,1753.958,7.187,2.433
1754,1,1754.042,9.946,2.205
1754,2,1754.125,7.766,2.214
1754,3,1754.208,8.868,2.110
1754,4,1754.292,12.756,2.199
1754,5,1754.375,11.486,2.144
1754,6,1754.458,11.698,2.171
1754,7,1754.542,11.014,2.302
1754,8,1754.625,10.097,2.207
1754,9,1754.708,9.627,2.132
1754,10,1754.792,11.477,2.229
1754,11,1754.875,10.406,2.573
1754,12,1754.958,10.233,2.235
1755,1,1755.042,8.705,2.243
1755,2,1755.125,7.095,2.437
1755,3,1755.208,9.978,2.200
1755,5,1755.375,11.182,2.123
1755,6,1755.458,12.551,2.311
1755,7,1755.542,11.476,2.597
1755,8,1755.625,9.283,2.240
1755,9,1755.708,9.434,2.116
1755,10,1755.792,11.939,2.080
1755,11,1755.875,8.713,2.438
1755,12,1755.958,9.409,2.266
1756,1,1756.042,11.312,2.378
1756,2,1756.125,12.701,3.984
1756,3,1756.208,11.176,2.939
1756,4,1756.292,10.900,2.574
1756,5,1756.375,11.089,4.364
1756,6,1756.458,12.051,2.338
1756,7,1756.542,10.804,6.136
1756,8,1756.625,10.554,2.508
1756,9,1756.708,10.381,2.292
1756,10,1756.792,10.132,6.484
1756,11,1756.875,7.909,2.141
1756,12,1756.958,8.116,2.209
1757,1,1757.042,8.576,2.253
1757,2,1757.125,11.658,2.671
1757,3,1757.208,10.612,3.557
1757,4,1757.292,11.492,2.595
1757,5,1757.375,11.552,2.646
1757,6,1757.458,13.245,2.249
1757,7,1757.542,13.738,2.823
1757,8,1757.625,12.597,3.858
1757,9,1757.708,10.955,5.307
1757,10,1757.792,7.005,4.281
1757,11,1757.875,8.398,6.281
1757,12,1757.958,7.932,2.284
1758,1,1758.042,6.309,4.810
1758,2,1758.125,7.458,2.456
1758,3,1758.208,10.032,2.242
1758,4,1758.292,9.874,3.348
1758,5,1758.375,8.796,4.172
1758,6,1758.458,10.673,3.562
1758,7,1758.542,9.598,3.410
1758,8,1758.625,8.486,4.767
1758,9,1758.708,8.511,2.446
1758,10,1758.792,7.746,2.166
1758,11,1758.875,9.577,2.190
1758,12,1758.958,9.607,2.202
1759,1,1759.042,12.420,2.240
1759,2,1759.125,11.900,4.888
1759,3,1759.208,10.811,3.476
1759,4,1759.292,9.555,4.581
1759,5,1759.375,8.966,3.553
1759,6,1759.458,11.375,3.684
1759,7,1759.542,10.267,4.021
1759,8,1759.625,10.646,2.215
1759,9,1759.708,10.304,2.666
1759,10,1759.792,9.632,4.715
1759,11,1759.875,6.831,5.071
1759,12,1759.958,7.118,2.631
1760,1,1760.042,7.871,5.110
1760,2,1760.125,9.489,6.412
1760,3,1760.208,8.517,2.814
1760,4,1760.292,10.408,2.161
1760,5,1760.375,10.160,3.053
1760,6,1760.458,10.470,2.315
1760,7,1760.542,9.756,2.228
1760,8,1760.625,9.767,5.068
1760,9,1760.708,9.310,2.341
1760,10,1760.792,9.539,2.367
1760,11,1760.875,9.421,5.212
1760,12,1760.958,8.487,2.998
1761,1,1761.042,8.633,2.296
1761,2,1761.125,9.187,3.769
1761,3,1761.208,11.880,2.264
1761,4,1761.292,10.055,2.224
1761,5,1761.375,12.201,2.614
1761,6,1761.458,13.113,2.645
1761,7,1761.542,14.209,2.207
1761,8,1761.625,11.408,2.919
1761,9,1761.708,11.384,3.284
1761,10,1761.792,8.034,2.894
1761,11,1761.875,8.991,6.318
1761,12,1761.958,5.333,2.275
1762,1,1762.042,12.233,6.819
1762,2,1762.125,10.839,2.656
1762,3,1762.208,8.929,4.690
1762,5,1762.375,10.532,3.808
1762,6,1762.458,10.361,2.980
1762,7,1762.542,10.877,2.984
1762,8,1762.625,10.765,2.680
1762,9,1762.708,9.632,3.328
1762,10,1762.792,9.050,3.817
1762,11,1762.875,10.262,2.665
1762,12,1762.958,7.384,2.798
1763,1,1763.042,7.238,5.602
1763,2,1763.125,9.408,5.433
1763,3,1763.208,8.014,3.059
1763,4,1763.292,9.827,3.540
1763,5,1763.375,9.263,4.402
1763,6,1763.458,9.484,5.275
1763,7,1763.542,12.489,2.500
1763,9,1763.708,9.598,3.909
1763,10,1763.792,8.152,2.303
1774,1,1774.042,9.042,5.137
1774,2,1774.125,11.169,5.693
1774,3,1774.208,11.335,2.674
1774,4,1774.292,12.676,4.916
1774,5,1774.375,14.521,2.627
1774,6,1774.458,12.682,7.471
1774,7,1774.542,12.570,6.950
1774,8,1774.625,11.309,2.852
1774,9,1774.708,9.870,2.586
1774,10,1774.792,9.801,5.117
1774,11,1774.875,6.341,3.993
1774,12,1774.958,6.976,5.249
1775,1,1775.042,10.787,5.138
1775,2,1775.125,12.794,2.411
1775,3,1775.208,12.697,2.245
1775,4,1775.292,8.701,3.247
1775,5,1775.375,8.997,5.143
1775,6,1775.458,10.325,4.720
1775,7,1775.542,11.170,3.322
1775,8,1775.625,11.810,4.171
1775,9,1775.708,10.696,4.098
1775,10,1775.792,12.289,2.629
1775,11,1775.875,11.868,2.775
1775,12,1775.958,8.238,2.669
1776,1,1776.042,7.129,2.590
1776,2,1776.125,11.591,3.628
1776,3,1776.208,10.711,3.187
1776,4,1776.292,9.240,3.124
1776,5,1776.375,8.974,4.676
1776,6,1776.458,10.702,2.395
1776,7,1776.542,10.236,3.744
1776,8,1776.625,11.199,3.009
1776,9,1776.708,9.157,3.234
1776,10,1776.792,8.971,4.296
1776,11,1776.875,8.743,2.927
1776,12,1776.958,9.521,3.131
1777,1,1777.042,11.216,4.891
1777,2,1777.125,10.741,3.016
1777,3,1777.208,10.938,2.522
1777,4,1777.292,7.966,3.666
1777,5,1777.375,10.212,2.691
1777,6,1777.458,9.822,3.490
1777,7,1777.542,8.961,2.792
1777,8,1777.625,9.739,2.636
1777,9,1777.708,9.485,4.498
1777,10,1777.792,8.621,4.120
1777,11,1777.875,9.987,3.172
1777,12,1777.958,9.662,2.369
1778,1,1778.042,12.381,4.298
1778,2,1778.125,10.768,3.074
1778,3,1778.208,10.482,2.969
1778,4,1778.292,12.925,2.992
1778,5,1778.375,10.728,2.682
1778,6,1778.458,9.279,6.031
1778,7,1778.542,11.795,2.868
1778,8,1778.625,9.933,3.763
1778,9,1778.708,10.740,2.428
1778,10,1778.792,9.645,4.017
1778,11,1778.875,8.759,4.777
1778,12,1778.958,10.863,2.397
1779,1,1779.042,8.530,6.764
1779,2,1779.125,12.439,8.542
1779,3,1779.208,11.969,3.008
1779,4,1779.292,12.327,4.071
1779,5,1779.375,13.023,2.643
1779,6,1779.458,8.633,4.211
1779,7,1779.542,9.065,2.571
1779,8,1779.625,9.886,2.830
1779,9,1779.708,11.172,2.684
1779,10,1779.792,11.243,4.000
1779,11,1779.875,10.571,3.134
1779,12,1779.958,12.164,4.470
1780,1,1780.042,10.178,5.045
1780,2,1780.125,8.950,5.646
1780,3,1780.208,12.239,2.858
1780,4,1780.292,12.040,2.535
1780,5,1780.375,12.758,3.770
1780,6,1780.458,10.868,5.981
1780,7,1780.542,11.100,4.592
1780,8,1780.625,9.174,6.112
1780,9,1780.708,8.101,3.781
1780,10,1780.792,12.037,2.260
1780,11,1780.875,10.930,2.409
1780,12,1780.958,8.032,3.205
1781,1,1781.042,10.083,5.265
1781,2,1781.125,9.686,7.036
1781,3,1781.208,10.697,2.153
1781,4,1781.292,10.382,3.642
1781,5,1781.375,10.972,3.105
1781,6,1781.458,10.353,2.252
1781,7,1781.542,11.475,2.313
1781,8,1781.625,12.657,2.128
1781,9,1781.708,11.112,4.727
1781,10,1781.792,9.280,2.298
1781,11,1781.875,11.928,2.778
1781,12,1781.958,9.604,5.646
1782,1,1782.042,9.876,3.066
1782,2,1782.125,6.599,5.823
1782,3,1782.208,9.897,4.787
1782,4,1782.292,10.426,2.687
1782,5,1782.375,10.710,2.648
1782,6,1782.458,11.048,2.537
1782,7,1782.542,11.996,2.549
1782,8,1782.625,12.096,2.633
1782,9,1782.708,10.601,2.444
1782,10,1782.792,9.992,4.219
1782,11,1782.875,8.369,3.752
1782,12,1782.958,9.035,4.144
1783,1,1783.042,9.497,2.827
1783,2,1783.125,13.172,3.230
1783,3,1783.208,10.438,2.275
1783,4,1783.292,10.042,2.356
1783,5,1783.375,12.206,4.357
1783,6,1783.458,12.226,4.593
1783,7,1783.542,10.066,2.552
1783,8,1783.625,11.423,2.405
1783,9,1783.708,10.357,4.479
1783,10,1783.792,10.536,4.777
1783,11,1783.875,7.281,5.386
1783,12,1783.958,7.406,2.965
1784,1,1784.042,9.189,6.948
1784,2,1784.125,7.995,6.640
1784,3,1784.208,10.624,3.701
1784,4,1784.292,9.727,2.632
1784,5,1784.375,10.529,2.373
1784,6,1784.458,10.949,3.353
1784,7,1784.542,11.478,3.072
1784,8,1784.625,12.640,3.443
1784,9,1784.708,10.576,4.109
1784,10,1784.792,8.495,2.314
1784,11,1784.875,9.228,4.385
1784,12,1784.958,10.661,2.929
1785,1,1785.042,9.493,2.546
1785,2,1785.125,8.720,4.954
1785,3,1785.208,5.258,5.007
1785,4,1785.292,8.373,3.480
1785,5,1785.375,9.904,2.006
1785,6,1785.458,10.557,4.098
1785,7,1785.542,10.451,2.654
1785,8,1785.625,11.100,2.021
1785,9,1785.708,11.046,2.452
1785,10,1785.792,9.640,4.958
1785,11,1785.875,10.621,2.222
1785,12,1785.958,9.311,2.479
1786,1,1786.042,9.457,2.774
1786,2,1786.125,8.906,3.297
1786,3,1786.208,12.124,3.167
1786,4,1786.292,11.544,2.420
1786,5,1786.375,9.926,2.998
1786,6,1786.458,10.347,3.182
1786,7,1786.542,10.985,2.214
1786,8,1786.625,9.993,2.079
1786,9,1786.708,10.455,2.160
1786,10,1786.792,8.389,3.496
1786,11,1786.875,7.982,3.288
1786,12,1786.958,7.886,3.615
1787,1,1787.042,10.505,6.308
1787,2,1787.125,10.413,4.425
1787,3,1787.208,10.821,2.760
1787,4,1787.292,9.251,2.904
1787,5,1787.375,9.680,2.385
1787,6,1787.458,11.884,2.979
1787,7,1787.542,10.869,3.717
1787,8,1787.625,11.182,2.303
1787,9,1787.708,8.969,2.678
1787,10,1787.792,10.607,2.132
1787,11,1787.875,10.422,3.813
1787,12,1787.958,11.438,2.674
1788,1,1788.042,10.721,4.261
1788,2,1788.125,10.566,3.664
1788,3,1788.208,12.347,4.464
1788,4,1788.292,9.996,4.495
1788,5,1788.375,10.206,2.443
1788,6,1788.458,12.088,2.013
1788,7,1788.542,13.766,3.300
1788,8,1788.625,9.951,2.845
1788,9,1788.708,11.342,3.255
1788,10,1788.792,10.585,3.316
1788,11,1788.875,9.227,3.158
1788,12,1788.958,4.738,4.764
1789,1,1789.042,10.027,3.805
1789,2,1789.125,10.369,2.417
1789,3,1789.208,9.506,5.142
1789,4,1789.292,10.789,2.825
1789,5,1789.375,12.837,4.452
1789,6,1789.458,10.028,2.140
1789,7,1789.542,11.960,2.811
1789,8,1789.625,10.423,2.158
1789,9,1789.708,11.442,2.160
1789,10,1789.792,11.054,2.719
1789,11,1789.875,10.531,4.102
1789,12,1789.958,9.213,3.686
1790,1,1790.042,10.622,2.233
1790,2,1790.125,11.548,4.143
1790,3,1790.208,10.329,3.289
1790,4,1790.292,8.804,2.354
1790,5,1790.375,10.374,3.821
1790,6,1790.458,11.789,2.407
1790,7,1790.542,10.160,2.324
1790,8,1790.625,10.768,2.121
1790,9,1790.708,10.241,2.357
1790,10,1790.792,10.652,2.400
1790,11,1790.875,9.700,2.227
1790,12,1790.958,11.726,4.912
1791,1,1791.042,13.446,4.175
1791,2,1791.125,11.079,2.901
1791,3,1791.208,11.770,3.216
1791,4,1791.292,11.949,2.413
1791,5,1791.375,10.088,1.972
1791,6,1791.458,10.432,3.134
1791,7,1791.542,10.469,2.466
1791,8,1791.625,11.751,2.294
1791,9,1791.708,9.649,2.202
1791,10,1791.792,10.079,1.984
1791,11,1791.875,10.864,2.605
1791,12,1791.958,11.579,2.027
1792,1,1792.042,10.629,3.588
1792,2,1792.125,10.135,3.730
1792,3,1792.208,10.730,2.533
1792,4,1792.292,10.539,2.141
1792,5,1792.375,10.556,2.362
1792,6,1792.458,11.947,1.907
1792,7,1792.542,11.456,2.711
1792,8,1792.625,9.793,2.313
1792,9,1792.708,11.302,2.549
1792,10,1792.792,9.812,2.267
1792,11,1792.875,8.879,2.798
1792,12,1792.958,9.977,2.400
1793,1,1793.042,8.760,3.010
1793,2,1793.125,11.826,2.437
1793,3,1793.208,10.208,2.367
1793,4,1793.292,9.280,3.399
1793,5,1793.375,9.650,2.019
1793,6,1793.458,9.996,3.042
1793,7,1793.542,11.506,2.409
1793,8,1793.625,10.634,2.685
1793,9,1793.708,10.972,3.515
1793,10,1793.792,10.840,2.855
1793,11,1793.875,10.109,4.388
1793,12,1793.958,10.702,3.303
1794,1,1794.042,12.849,3.126
1794,2,1794.125,11.563,4.956
1794,3,1794.208,11.943,2.109
1794,4,1794.292,12.585,3.309
1794,5,1794.375,12.288,2.686
1794,6,1794.458,10.687,3.610
1794,7,1794.542,11.309,5.313
1794,8,1794.625,10.021,2.728
1794,9,1794.708,9.993,1.941
1794,10,1794.792,10.328,2.038
1794,11,1794.875,10.100,2.714
1794,12,1794.958,8.831,3.880
1795,1,1795.042,7.799,3.024
1795,2,1795.125,11.274,3.165
1795,3,1795.208,12.364,2.178
1795,4,1795.292,12.321,4.003
1795,5,1795.375,11.381,2.786
1795,6,1795.458,11.214,2.875
1795,7,1795.542,10.291,2.539
1795,8,1795.625,10.779,2.689
1795,9,1795.708,9.296,2.149
1795,10,1795.792,11.680,3.545
1795,11,1795.875,9.121,3.564
1795,12,1795.958,11.326,3.623
1796,1,1796.042,13.855,3.268
1796,2,1796.125,11.174,3.826
1796,3,1796.208,8.093,2.863
1796,4,1796.292,8.481,2.743
1796,5,1796.375,10.921,1.940
1796,6,1796.458,11.220,3.425
1796,7,1796.542,11.114,2.682
1796,8,1796.625,11.531,4.212
1796,9,1796.708,11.650,3.887
1796,10,1796.792,11.334,2.122
1796,11,1796.875,9.681,3.100
1796,12,1796.958,8.828,3.813
1797,1,1797.042,12.250,5.448
1797,2,1797.125,12.346,4.218
1797,3,1797.208,9.682,5.110
1797,4,1797.292,11.179,4.761
1797,5,1797.375,12.308,3.740
1797,6,1797.458,11.955,3.174
1797,7,1797.542,11.506,2.198
1797,8,1797.625,11.913,4.035
1797,9,1797.708,12.029,3.345
1797,10,1797.792,11.723,2.416
1797,11,1797.875,9.850,2.514
1797,12,1797.958,10.854,3.225
1798,1,1798.042,11.819,2.661
1798,2,1798.125,12.057,2.800
1798,3,1798.208,12.794,2.669
1798,4,1798.292,10.700,2.253
1798,5,1798.375,10.553,2.570
1798,6,1798.458,10.740,2.241
1798,7,1798.542,11.552,2.340
1798,8,1798.625,11.629,3.770
1798,9,1798.708,11.519,2.450
1798,10,1798.792,9.707,2.573
1798,11,1798.875,9.789,3.060
1798,12,1798.958,7.215,2.660
1799,1,1799.042,7.108,2.360
1799,2,1799.125,8.059,2.118
1799,3,1799.208,9.491,3.471
1799,4,1799.292,11.074,2.958
1799,5,1799.375,10.775,2.160
1799,6,1799.458,10.278,2.659
1799,7,1799.542,10.881,2.264
1799,8,1799.625,11.351,2.471
1799,9,1799.708,10.743,2.813
1799,10,1799.792,11.884,1.942
1799,11,1799.875,10.033,2.041
1799,12,1799.958,7.697,3.086
1800,1,1800.042,11.183,2.241
1800,2,1800.125,10.892,3.357
1800,3,1800.208,8.647,2.274
1800,4,1800.292,14.063,2.000
1800,5,1800.375,11.326,2.044
1800,6,1800.458,10.116,2.087
1800,7,1800.542,9.776,2.612
1800,8,1800.625,10.797,2.463
1800,9,1800.708,9.976,2.261
1800,10,1800.792,10.742,2.553
1800,11,1800.875,10.951,2.888
1800,12,1800.958,10.420,2.191
1801,1,1801.042,11.835,2.642
1801,2,1801.125,10.565,3.542
1801,3,1801.208,13.466,2.083
1801,4,1801.292,10.846,2.104
1801,5,1801.375,12.729,2.663
1801,6,1801.458,10.056,2.900
1801,7,1801.542,11.732,2.448
1801,8,1801.625,9.171,2.347
1801,9,1801.708,11.445,2.181
1801,10,1801.792,12.531,4.383
1801,11,1801.875,11.759,2.207
1801,12,1801.958,12.042,2.795
1802,1,1802.042,12.113,4.120
1802,2,1802.125,11.485,4.216
1802,3,1802.208,12.593,2.877
1802,4,1802.292,10.782,3.001
1802,5,1802.375,9.715,3.027
1802,6,1802.458,11.727,3.082
1802,7,1802.542,12.164,2.514
1802,8,1802.625,11.715,2.925
1802,9,1802.708,10.792,1.940
1802,10,1802.792,12.693,2.566
1802,11,1802.875,10.648,2.775
1802,12,1802.958,11.426,1.967
1803,1,1803.042,9.459,2.856
1803,2,1803.125,7.527,3.253
1803,3,1803.208,10.492,3.573
1803,4,1803.292,12.873,2.434
1803,5,1803.375,10.582,2.240
1803,6,1803.458,10.493,1.883
1803,7,1803.542,11.158,2.500
1803,8,1803.625,11.472,2.952
1803,9,1803.708,10.106,2.118
1803,10,1803.792,10.565,3.658
1803,11,1803.875,10.794,2.470
1803,12,1803.958,9.672,2.455
1804,1,1804.042,12.736,3.979
1804,2,1804.125,9.474,2.261
1804,3,1804.208,9.315,2.636
1804,4,1804.292,11.547,2.145
1804,5,1804.375,10.794,2.472
1804,6,1804.458,10.758,2.365
1804,7,1804.542,12.123,2.427
1804,8,1804.625,10.574,2.750
1804,9,1804.708,11.399,2.983
1804,10,1804.792,10.802,1.993
1804,11,1804.875,8.910,3.493
1804,12,1804.958,8.867,3.611
1805,1,1805.042,10.647,2.159
1805,2,1805.125,10.119,1.943
1805,3,1805.208,10.421,2.176
1805,4,1805.292,8.772,2.597
1805,5,1805.375,9.514,2.324
1805,6,1805.458,10.923,2.117
1805,7,1805.542,10.408,2.284
1805,8,1805.625,10.197,2.552
1805,9,1805.708,10.689,3.257
1805,10,1805.792,8.033,2.395
1805,11,1805.875,6.888,3.942
1805,12,1805.958,10.711,2.602
1806,1,1806.042,12.499,2.722
1806,2,1806.125,11.354,3.121
