# Monthly average temperature data for Burkina Faso.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1873,7,1873.542,28.364,1.389
1873,8,1873.625,28.040,1.084
1873,9,1873.708,28.460,1.042
1873,10,1873.792,27.638,1.071
1873,12,1873.958,28.361,1.091
1874,1,1874.042,27.381,1.102
1874,2,1874.125,27.598,1.095
1874,3,1874.208,27.013,1.062
1874,4,1874.292,28.246,1.005
1874,5,1874.375,27.810,1.225
1874,7,1874.542,27.856,1.017
1874,8,1874.625,27.576,1.017
1874,9,1874.708,28.448,1.025
1874,10,1874.792,27.796,1.238
1874,11,1874.875,27.590,1.093
1874,12,1874.958,27.506,1.113
1875,1,1875.042,26.927,1.089
1875,2,1875.125,27.239,1.291
1875,3,1875.208,27.508,1.013
1875,4,1875.292,27.696,1.052
1875,5,1875.375,27.625,1.057
1875,6,1875.458,27.863,1.152
1875,7,1875.542,28.033,1.273
1875,8,1875.625,27.497,1.092
1875,9,1875.708,27.885,1.158
1875,10,1875.792,27.196,0.861
1875,11,1875.875,26.851,1.310
1875,12,1875.958,27.524,1.056
1876,1,1876.042,26.981,1.043
1876,2,1876.125,26.989,1.207
1876,3,1876.208,27.912,1.142
1876,5,1876.375,27.767,1.084
1876,6,1876.458,28.460,1.003
1876,10,1876.792,27.609,1.274
1876,11,1876.875,27.580,1.470
1876,12,1876.958,27.225,1.636
1877,1,1877.042,27.335,1.483
1877,2,1877.125,27.391,1.114
1877,3,1877.208,28.052,1.038
1877,4,1877.292,27.981,0.872
1877,5,1877.375,28.294,0.893
1877,6,1877.458,28.410,1.055
1877,7,1877.542,28.647,0.905
1877,8,1877.625,28.545,0.958
1877,9,1877.708,28.614,1.011
1877,10,1877.792,27.991,0.973
1877,11,1877.875,28.181,1.010
1877,12,1877.958,27.582,1.120
1878,1,1878.042,27.229,1.099
1878,2,1878.125,28.212,1.084
1878,3,1878.208,29.089,1.103
1878,4,1878.292,28.665,1.256
1878,5,1878.375,28.413,1.024
1878,6,1878.458,29.432,1.292
1878,7,1878.542,28.426,1.065
1878,8,1878.625,28.134,0.881
1878,9,1878.708,28.292,0.958
1878,10,1878.792,27.856,1.055
1878,11,1878.875,28.491,1.040
1878,12,1878.958,28.246,1.366
1879,1,1879.042,27.264,1.411
1879,2,1879.125,27.960,1.134
1879,3,1879.208,27.570,1.007
1879,4,1879.292,27.725,0.994
1879,5,1879.375,27.753,1.014
1879,6,1879.458,28.783,1.334
1879,7,1879.542,27.410,1.150
1879,8,1879.625,26.749,0.938
1879,9,1879.708,27.822,0.890
1879,10,1879.792,27.989,0.965
1879,11,1879.875,28.006,0.976
1879,12,1879.958,27.645,1.114
1880,1,1880.042,27.235,1.125
1880,2,1880.125,26.806,1.066
1880,3,1880.208,27.262,1.310
1880,4,1880.292,27.491,0.940
1880,5,1880.375,28.171,1.157
1880,6,1880.458,28.128,1.426
1880,7,1880.542,28.395,1.313
1880,8,1880.625,28.363,1.537
1880,9,1880.708,27.982,0.982
1880,10,1880.792,28.158,1.669
1880,11,1880.875,28.150,1.235
1880,12,1880.958,28.151,1.249
1881,1,1881.042,28.622,1.191
1881,2,1881.125,27.863,1.361
1881,3,1881.208,28.863,1.230
1881,4,1881.292,28.631,1.192
1881,5,1881.375,28.789,1.100
1881,7,1881.542,28.727,1.459
1881,9,1881.708,28.660,1.261
1881,10,1881.792,27.669,1.130
1881,11,1881.875,27.556,1.141
1881,12,1881.958,27.773,1.092
1882,1,1882.042,27.728,1.203
1882,2,1882.125,27.635,1.106
1882,3,1882.208,27.600,1.158
1882,4,1882.292,27.507,1.038
1882,5,1882.375,28.146,1.017
1882,7,1882.542,28.133,1.137
1882,8,1882.625,27.766,1.078
1882,9,1882.708,28.174,1.031
1882,10,1882.792,28.128,0.954
1882,11,1882.875,27.506,1.171
1883,3,1883.208,28.103,1.404
1883,4,1883.292,28.486,1.231
1883,5,1883.375,28.038,1.043
1883,6,1883.458,29.261,1.035
1883,10,1883.792,28.108,1.065
1883,11,1883.875,27.913,1.944
1884,2,1884.125,28.061,1.272
1884,3,1884.208,27.890,1.907
1884,4,1884.292,28.020,1.726
1884,5,1884.375,27.542,1.539
1886,1,1886.042,27.084,1.134
1886,2,1886.125,27.181,0.895
1886,3,1886.208,28.674,1.376
1886,4,1886.292,27.843,1.108
1886,5,1886.375,28.004,0.795
1886,6,1886.458,28.428,1.706
1886,7,1886.542,28.331,0.876
1886,8,1886.625,28.178,0.938
1886,9,1886.708,27.880,0.878
1886,10,1886.792,27.391,0.880
1886,11,1886.875,27.726,0.960
1886,12,1886.958,27.064,1.359
1887,1,1887.042,26.874,1.304
1887,2,1887.125,27.051,0.901
1887,3,1887.208,27.464,1.370
1887,4,1887.292,27.619,0.935
1887,5,1887.375,27.854,1.125
1887,6,1887.458,26.957,0.812
1887,7,1887.542,27.201,0.991
1887,8,1887.625,26.694,0.923
1887,9,1887.708,27.996,1.291
1887,10,1887.792,27.714,0.929
1887,11,1887.875,27.769,1.050
1887,12,1887.958,28.285,0.832
1888,1,1888.042,27.307,1.001
1888,2,1888.125,27.474,0.981
1888,3,1888.208,28.355,0.888
1888,4,1888.292,28.705,0.941
1888,5,1888.375,27.730,0.934
1888,6,1888.458,27.331,1.616
1888,7,1888.542,27.530,0.896
1888,8,1888.625,27.120,1.085
1888,9,1888.708,28.085,0.807
1888,10,1888.792,27.585,0.927
1888,11,1888.875,28.477,0.923
1888,12,1888.958,27.546,2.088
1889,1,1889.042,27.196,0.859
1889,2,1889.125,28.140,0.726
1889,3,1889.208,28.509,0.891
1889,4,1889.292,28.256,1.922
1889,5,1889.375,27.811,1.217
1889,6,1889.458,28.113,0.766
1889,7,1889.542,27.503,0.869
1889,8,1889.625,27.553,1.172
1889,9,1889.708,27.240,0.990
1889,10,1889.792,27.281,0.849
1889,11,1889.875,27.809,1.272
1889,12,1889.958,28.314,1.200
1890,1,1890.042,27.383,1.220
1890,2,1890.125,27.442,1.108
1890,3,1890.208,26.570,0.945
1890,4,1890.292,26.968,0.979
1890,5,1890.375,27.336,1.286
1890,6,1890.458,26.773,0.891
1890,7,1890.542,27.878,0.888
1890,8,1890.625,26.682,0.958
1890,9,1890.708,27.460,0.864
1890,10,1890.792,27.613,1.016
1890,11,1890.875,27.314,0.885
1890,12,1890.958,27.603,0.865
1891,1,1891.042,27.280,0.662
1891,2,1891.125,27.101,0.788
1891,3,1891.208,27.712,0.972
1891,4,1891.292,28.164,1.003
1891,5,1891.375,28.020,0.835
1891,6,1891.458,27.919,0.616
1891,7,1891.542,27.440,1.000
1891,8,1891.625,27.173,0.810
1891,9,1891.708,27.996,0.843
1891,10,1891.792,27.358,0.819
1891,11,1891.875,28.139,1.120
1891,12,1891.958,28.470,0.700
1892,1,1892.042,28.414,0.877
1892,2,1892.125,27.591,0.734
1892,3,1892.208,28.459,0.938
1892,4,1892.292,27.442,0.768
1892,5,1892.375,27.004,0.825
1892,6,1892.458,27.850,0.634
1892,7,1892.542,27.344,1.047
1892,8,1892.625,27.536,0.935
1892,9,1892.708,27.647,0.766
1892,10,1892.792,27.469,0.661
1892,11,1892.875,28.059,0.997
1892,12,1892.958,28.744,0.997
1893,1,1893.042,27.868,0.739
1893,2,1893.125,27.379,0.631
1893,3,1893.208,27.534,0.661
1893,4,1893.292,26.928,0.833
1893,5,1893.375,28.076,1.127
