# Monthly average temperature data for Burma.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1816,3,1816.208,23.126,1.587
1816,4,1816.292,22.691,2.549
1816,5,1816.375,23.370,1.694
1816,6,1816.458,23.017,1.026
1816,7,1816.542,21.944,1.678
1816,8,1816.625,22.763,1.173
1816,9,1816.708,21.948,0.969
1816,10,1816.792,20.784,4.543
1816,11,1816.875,21.465,4.460
1816,12,1816.958,21.376,3.053
1817,1,1817.042,22.722,3.333
1817,2,1817.125,23.270,3.064
1817,3,1817.208,22.441,2.517
1817,4,1817.292,23.404,1.553
1817,5,1817.375,21.907,1.334
1817,6,1817.458,21.909,1.302
1817,7,1817.542,21.943,1.134
1817,8,1817.625,23.236,1.355
1817,9,1817.708,21.043,1.788
1817,10,1817.792,21.424,2.713
1817,11,1817.875,22.304,1.975
1817,12,1817.958,21.203,2.567
1818,1,1818.042,22.368,2.773
1818,2,1818.125,21.823,1.600
1818,3,1818.208,23.207,2.648
1818,4,1818.292,24.095,4.798
1818,5,1818.375,23.501,2.489
1818,6,1818.458,23.653,3.192
1818,7,1818.542,22.488,1.683
1818,8,1818.625,23.037,1.706
1818,9,1818.708,21.720,1.542
1818,10,1818.792,21.490,2.188
1818,11,1818.875,22.036,3.534
1818,12,1818.958,22.288,1.228
1819,1,1819.042,21.138,2.074
1819,2,1819.125,22.198,1.850
1819,3,1819.208,22.310,4.312
1819,4,1819.292,21.988,1.509
1819,5,1819.375,22.362,1.913
1819,6,1819.458,22.913,2.401
1819,7,1819.542,22.567,1.458
1819,8,1819.625,22.372,1.615
1819,9,1819.708,22.339,1.833
1819,10,1819.792,23.096,1.770
1819,11,1819.875,22.653,1.675
1819,12,1819.958,21.802,1.909
1820,2,1820.125,21.684,1.341
1820,3,1820.208,23.048,1.963
1820,4,1820.292,23.517,1.895
1820,5,1820.375,23.695,0.966
1820,6,1820.458,23.517,1.254
1820,7,1820.542,22.780,1.351
1820,8,1820.625,22.411,1.204
1820,9,1820.708,22.811,1.235
1820,10,1820.792,22.211,1.699
1820,11,1820.875,22.245,1.040
1820,12,1820.958,21.706,1.546
1821,1,1821.042,23.753,2.402
1821,2,1821.125,24.387,3.444
1821,3,1821.208,23.821,1.233
1821,4,1821.292,23.403,1.627
1821,5,1821.375,23.718,1.434
1821,6,1821.458,23.810,2.266
1821,7,1821.542,22.939,1.404
1821,8,1821.625,23.174,2.103
1821,9,1821.708,21.916,1.118
1821,10,1821.792,22.750,2.068
1821,11,1821.875,23.239,1.166
1821,12,1821.958,23.208,1.414
1822,1,1822.042,24.475,2.846
1822,2,1822.125,25.313,1.099
1822,3,1822.208,26.155,1.260
1822,4,1822.292,23.285,1.854
1822,5,1822.375,23.504,1.312
1822,6,1822.458,23.625,1.500
1822,7,1822.542,23.619,1.451
1822,8,1822.625,23.153,1.512
1822,9,1822.708,22.530,1.780
1822,10,1822.792,22.227,1.109
1822,11,1822.875,22.106,1.173
1822,12,1822.958,21.801,1.810
1823,1,1823.042,23.374,1.855
1823,2,1823.125,23.515,1.872
1823,3,1823.208,23.651,1.766
1823,4,1823.292,23.941,1.454
1823,5,1823.375,23.250,1.606
1823,6,1823.458,24.140,2.494
1823,7,1823.542,23.235,1.219
1823,8,1823.625,22.769,1.805
1823,9,1823.708,21.782,1.568
1823,10,1823.792,22.631,1.535
1823,11,1823.875,22.081,1.903
1825,1,1825.042,24.046,2.297
1825,2,1825.125,23.637,1.323
1825,3,1825.208,23.790,1.419
1825,4,1825.292,24.198,1.983
1825,5,1825.375,23.532,1.164
1825,6,1825.458,24.291,1.087
1825,7,1825.542,23.657,2.289
1825,8,1825.625,23.247,2.217
1825,9,1825.708,22.982,1.374
1825,10,1825.792,22.763,1.454
1825,11,1825.875,23.791,2.523
1825,12,1825.958,23.241,1.466
1833,1,1833.042,22.985,2.345
1833,2,1833.125,23.262,1.782
1833,3,1833.208,23.475,2.597
1833,4,1833.292,22.790,2.144
1833,5,1833.375,22.384,1.545
1833,6,1833.458,24.106,1.264
1833,7,1833.542,23.476,1.536
1833,8,1833.625,23.162,1.313
1833,9,1833.708,22.965,1.391
1833,10,1833.792,22.651,1.356
1833,11,1833.875,23.835,2.325
1833,12,1833.958,22.698,2.865
1834,1,1834.042,21.480,1.211
1834,2,1834.125,22.907,2.090
1834,3,1834.208,23.784,1.787
1834,4,1834.292,22.895,1.422
1834,5,1834.375,23.602,1.158
1834,6,1834.458,23.042,1.067
1834,7,1834.542,23.726,1.618
1834,8,1834.625,23.191,1.354
1834,9,1834.708,22.896,1.677
1834,10,1834.792,22.559,1.457
1834,11,1834.875,23.426,1.587
1834,12,1834.958,23.238,2.048
1835,1,1835.042,22.860,2.635
1835,2,1835.125,23.172,2.730
1835,3,1835.208,22.424,1.748
1835,4,1835.292,22.338,1.549
1835,5,1835.375,21.922,1.731
1835,6,1835.458,22.435,1.255
1835,7,1835.542,22.391,1.348
1835,8,1835.625,22.179,1.174
1835,9,1835.708,21.515,1.128
1835,10,1835.792,22.205,1.343
1835,11,1835.875,21.659,1.866
1835,12,1835.958,21.338,2.870
1836,1,1836.042,22.236,2.406
1836,2,1836.125,22.649,1.341
1836,3,1836.208,23.432,1.645
1836,4,1836.292,22.672,1.529
1836,6,1836.458,23.478,1.157
1836,7,1836.542,23.201,1.243
1836,8,1836.625,22.976,2.196
1836,9,1836.708,22.765,1.398
1836,10,1836.792,23.271,1.811
1836,11,1836.875,22.030,2.709
1836,12,1836.958,23.299,1.781
1837,4,1837.292,22.998,1.985
1837,5,1837.375,23.328,2.480
1837,7,1837.542,23.153,1.275
1837,8,1837.625,22.938,1.639
1837,9,1837.708,22.905,1.031
1837,10,1837.792,22.635,1.626
1837,11,1837.875,22.375,2.042
1837,12,1837.958,23.045,2.284
1838,1,1838.042,22.031,2.782
1838,4,1838.292,23.264,1.675
1838,6,1838.458,23.575,1.098
1838,7,1838.542,23.770,1.227
1838,8,1838.625,23.524,1.058
1838,9,1838.708,22.947,1.464
1838,10,1838.792,23.176,1.369
1838,11,1838.875,23.128,1.636
1839,4,1839.292,23.021,1.152
1839,5,1839.375,22.851,1.272
