# Monthly average temperature data for Burundi.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1892,1,1892.042,18.571,1.979
1892,2,1892.125,19.451,0.698
1892,3,1892.208,19.661,1.243
1892,4,1892.292,19.880,0.849
1892,5,1892.375,19.975,0.958
1892,6,1892.458,20.567,1.085
1892,7,1892.542,20.121,0.679
1892,8,1892.625,19.800,0.681
1892,9,1892.708,19.985,0.717
1892,10,1892.792,19.922,0.722
1892,11,1892.875,19.669,0.830
1892,12,1892.958,19.622,0.867
1893,1,1893.042,18.541,0.884
1893,2,1893.125,18.974,0.769
1893,3,1893.208,19.582,0.802
1893,4,1893.292,20.050,0.783
1893,5,1893.375,18.535,2.542
1893,6,1893.458,19.011,2.789
1893,7,1893.542,19.504,1.952
1893,8,1893.625,19.307,1.693
1893,9,1893.708,19.645,1.086
1893,10,1893.792,20.026,0.589
1893,11,1893.875,19.715,0.462
1893,12,1893.958,20.363,1.471
1894,1,1894.042,19.539,0.613
1894,2,1894.125,20.397,1.220
1894,3,1894.208,19.425,1.066
1894,4,1894.292,19.367,0.635
1894,5,1894.375,19.976,0.685
1894,6,1894.458,19.433,0.799
1894,7,1894.542,19.820,0.582
1894,8,1894.625,20.255,1.001
1894,9,1894.708,20.266,1.286
1894,10,1894.792,20.331,0.639
1894,11,1894.875,20.353,1.388
1894,12,1894.958,20.192,1.377
1895,1,1895.042,20.021,1.687
1895,2,1895.125,19.217,0.943
1895,3,1895.208,19.861,0.532
1895,4,1895.292,19.716,0.727
1895,5,1895.375,20.039,0.766
1895,6,1895.458,19.654,0.773
1895,7,1895.542,20.367,0.765
1895,8,1895.625,20.282,1.119
1895,9,1895.708,19.650,0.646
1895,10,1895.792,19.998,0.878
1895,11,1895.875,20.090,0.961
1895,12,1895.958,19.788,0.702
1896,1,1896.042,20.064,0.705
1896,2,1896.125,19.748,0.748
1896,3,1896.208,19.416,0.794
1896,4,1896.292,19.908,1.048
1896,5,1896.375,19.910,0.700
1896,6,1896.458,20.051,0.823
1896,7,1896.542,20.174,0.641
1896,8,1896.625,19.956,0.659
1896,9,1896.708,19.791,0.859
1896,10,1896.792,19.930,0.699
1896,11,1896.875,19.359,1.079
1896,12,1896.958,19.641,1.289
1897,1,1897.042,19.801,0.781
1897,2,1897.125,19.681,0.794
1897,3,1897.208,19.617,0.644
1897,4,1897.292,19.620,0.581
1897,5,1897.375,19.659,0.608
1897,6,1897.458,19.672,0.631
1897,7,1897.542,19.844,0.740
1897,8,1897.625,19.872,0.931
1897,9,1897.708,20.082,0.741
1897,10,1897.792,20.057,0.812
1897,11,1897.875,20.732,0.953
1897,12,1897.958,19.714,1.314
1898,1,1898.042,20.333,0.742
1898,2,1898.125,19.548,0.873
1898,3,1898.208,19.551,0.851
1898,4,1898.292,20.194,1.427
1898,5,1898.375,20.476,0.912
1898,6,1898.458,20.405,0.562
1898,7,1898.542,19.758,0.612
1898,8,1898.625,19.078,1.082
1898,9,1898.708,19.548,1.070
1898,10,1898.792,19.968,0.684
1898,11,1898.875,19.807,0.848
1898,12,1898.958,20.533,0.699
1899,1,1899.042,19.965,1.752
1899,2,1899.125,19.437,0.519
1899,3,1899.208,19.787,0.543
1899,4,1899.292,20.357,0.662
1899,5,1899.375,19.760,1.289
1899,6,1899.458,19.947,0.929
1899,7,1899.542,20.584,1.221
1899,8,1899.625,20.070,0.743
1899,9,1899.708,20.428,0.699
1899,10,1899.792,20.412,0.739
1899,11,1899.875,20.611,0.806
1899,12,1899.958,19.848,1.096
1900,1,1900.042,20.303,1.056
1900,2,1900.125,20.698,1.130
1900,3,1900.208,20.457,0.710
1900,4,1900.292,20.409,0.624
1900,5,1900.375,20.268,0.673
1900,6,1900.458,19.894,0.739
1900,7,1900.542,20.155,0.670
1900,8,1900.625,20.539,0.941
1900,9,1900.708,20.275,0.813
1900,10,1900.792,20.941,0.724
1900,11,1900.875,20.302,0.684
1900,12,1900.958,20.262,0.743
1901,1,1901.042,20.776,1.139
1901,2,1901.125,20.125,0.645
1901,3,1901.208,20.215,0.751
1901,4,1901.292,20.074,0.343
1901,5,1901.375,20.022,0.669
1901,6,1901.458,19.854,0.707
1901,7,1901.542,20.412,0.332
1901,8,1901.625,20.364,0.517
1901,9,1901.708,20.967,1.379
1901,10,1901.792,20.780,2.444
1901,11,1901.875,21.015,2.090
1901,12,1901.958,20.784,1.231
1902,1,1902.042,20.506,0.816
1902,2,1902.125,20.157,0.571
1902,3,1902.208,20.238,0.757
1902,4,1902.292,20.647,0.430
1902,5,1902.375,20.625,1.810
1902,6,1902.458,20.772,0.728
1902,7,1902.542,21.071,0.685
1902,8,1902.625,20.808,0.501
1902,9,1902.708,20.153,1.539
1902,10,1902.792,19.676,0.355
1902,11,1902.875,19.852,0.572
1902,12,1902.958,19.023,1.793
1903,1,1903.042,20.076,0.689
1903,2,1903.125,20.434,0.743
1903,3,1903.208,20.221,1.110
1903,4,1903.292,20.571,0.916
1903,5,1903.375,20.264,1.444
1903,6,1903.458,20.489,1.353
1903,7,1903.542,20.393,0.885
1903,8,1903.625,21.033,1.286
1903,9,1903.708,19.976,2.070
1903,10,1903.792,20.874,0.772
1903,11,1903.875,20.710,1.216
1903,12,1903.958,19.436,0.563
1904,1,1904.042,19.473,0.744
1904,2,1904.125,19.355,0.671
1904,3,1904.208,18.792,0.634
1904,4,1904.292,19.471,0.976
1904,5,1904.375,19.552,0.562
1904,6,1904.458,20.064,0.627
1904,7,1904.542,20.232,1.448
1904,8,1904.625,20.164,1.950
1904,9,1904.708,19.620,1.275
1904,10,1904.792,19.637,0.418
1904,11,1904.875,19.506,1.109
1904,12,1904.958,18.641,1.108
1905,1,1905.042,19.724,0.573
1905,2,1905.125,20.041,0.484
1905,3,1905.208,19.690,0.299
1905,4,1905.292,19.748,0.713
1905,5,1905.375,19.543,0.963
1905,6,1905.458,20.798,0.758
1905,7,1905.542,20.237,0.773
1905,8,1905.625,20.477,0.997
1905,9,1905.708,20.628,0.756
1905,10,1905.792,20.190,1.254
1905,11,1905.875,20.069,1.322
1905,12,1905.958,19.390,1.678
1906,1,1906.042,20.558,0.815
1906,2,1906.125,19.439,1.575
1906,3,1906.208,19.213,0.631
1906,4,1906.292,19.539,0.824
1906,5,1906.375,19.741,0.517
1906,6,1906.458,19.516,0.598
1906,7,1906.542,19.519,0.740
1906,8,1906.625,19.324,0.403
1906,9,1906.708,19.601,0.578
1906,10,1906.792,19.797,0.416
1906,11,1906.875,20.461,1.084
1906,12,1906.958,20.042,0.858
1907,1,1907.042,20.091,0.748
1907,2,1907.125,19.694,0.625
1907,3,1907.208,20.097,0.474
1907,4,1907.292,19.741,0.725
1907,5,1907.375,19.753,0.821
1907,6,1907.458,19.214,0.540
1907,7,1907.542,19.218,0.786
1907,8,1907.625,19.273,0.841
1907,9,1907.708,19.510,0.601
1907,10,1907.792,20.108,0.632
1907,11,1907.875,20.303,0.528
1907,12,1907.958,20.294,1.048
1908,1,1908.042,20.432,0.700
1908,2,1908.125,19.531,1.239
1908,3,1908.208,19.841,1.337
1908,4,1908.292,20.006,0.448
1908,5,1908.375,19.196,0.454
1908,6,1908.458,19.785,0.963
1908,7,1908.542,19.153,1.122
1908,8,1908.625,19.549,0.879
1908,9,1908.708,19.683,1.040
1908,10,1908.792,19.517,0.751
1908,11,1908.875,19.735,0.387
1908,12,1908.958,19.492,0.760
1909,1,1909.042,19.305,0.913
1909,2,1909.125,19.660,1.395
1909,3,1909.208,19.696,0.513
1909,4,1909.292,19.236,0.665
1909,5,1909.375,19.542,0.619
1909,6,1909.458,19.552,0.825
1909,7,1909.542,19.647,0.937
1909,8,1909.625,19.452,0.986
1909,9,1909.708,19.617,0.600
1909,10,1909.792,19.838,0.852
1909,11,1909.875,19.717,0.892
1909,12,1909.958,19.196,1.086
1910,1,1910.042,19.336,0.584
1910,2,1910.125,19.447,0.478
1910,3,1910.208,19.773,0.922
1910,4,1910.292,19.884,0.899
1910,5,1910.375,19.250,0.535
1910,6,1910.458,19.795,0.660
1910,7,1910.542,19.989,0.417
1910,8,1910.625,19.991,0.443
1910,9,1910.708,19.746,0.476
1910,10,1910.792,19.299,0.557
1910,11,1910.875,19.084,0.509
1910,12,1910.958,19.026,0.649
1911,1,1911.042,18.888,1.461
1911,2,1911.125,19.679,0.523
1911,3,1911.208,18.987,0.500
1911,4,1911.292,19.107,0.739
1911,5,1911.375,19.400,1.069
1911,6,1911.458,19.588,0.631
1911,7,1911.542,19.621,0.408
1911,8,1911.625,19.683,0.537
1911,9,1911.708,19.844,0.532
1911,10,1911.792,19.745,0.364
1911,11,1911.875,19.448,0.604
1911,12,1911.958,20.384,0.668
1912,1,1912.042,20.153,0.681
1912,2,1912.125,19.596,0.626
1912,3,1912.208,19.884,0.471
1912,4,1912.292,20.492,0.901
1912,5,1912.375,20.736,0.510
1912,6,1912.458,20.546,0.678
1912,7,1912.542,19.907,0.392
1912,8,1912.625,19.963,0.865
1912,9,1912.708,19.790,0.493
1912,10,1912.792,19.328,0.563
1912,11,1912.875,19.572,0.641
1912,12,1912.958,18.764,0.794
1913,1,1913.042,19.473,0.998
1913,2,1913.125,19.660,0.465
1913,3,1913.208,19.023,0.710
1913,4,1913.292,19.578,0.371
1913,5,1913.375,19.810,0.714
1913,6,1913.458,19.398,0.485
1913,7,1913.542,20.283,0.768
1913,8,1913.625,20.326,1.253
1913,9,1913.708,20.500,1.621
1913,10,1913.792,19.925,1.070
1913,11,1913.875,19.838,1.103
1913,12,1913.958,20.230,1.813
1914,1,1914.042,20.386,1.382
1914,2,1914.125,19.901,1.338
1914,3,1914.208,20.124,1.323
1914,4,1914.292,20.538,0.647
1914,5,1914.375,20.674,1.006
1914,6,1914.458,20.414,0.613
1914,7,1914.542,20.138,0.720
1914,8,1914.625,19.986,0.766
1914,9,1914.708,19.807,0.329
1914,10,1914.792,19.893,0.481
1914,11,1914.875,19.802,0.430
1914,12,1914.958,19.629,0.873
1915,1,1915.042,20.363,0.778
1915,2,1915.125,20.598,0.590
1915,3,1915.208,20.233,0.560
1915,4,1915.292,20.837,0.512
1915,5,1915.375,20.115,0.807
1915,6,1915.458,20.471,0.488
1915,7,1915.542,21.270,0.655
1915,8,1915.625,20.660,0.664
1915,9,1915.708,19.822,0.795
1915,10,1915.792,19.808,0.818
1915,11,1915.875,19.974,0.555
1915,12,1915.958,19.624,0.475
1916,1,1916.042,19.560,0.847
1916,2,1916.125,19.516,0.489
1916,3,1916.208,19.552,0.624
1916,4,1916.292,19.736,0.337
1916,5,1916.375,19.660,0.457
1916,6,1916.458,19.952,0.564
1916,7,1916.542,20.167,0.950
1916,8,1916.625,19.885,1.057
1916,9,1916.708,19.913,0.986
1916,10,1916.792,20.428,0.712
1916,11,1916.875,20.226,0.804
1916,12,1916.958,19.907,0.756
1917,1,1917.042,19.338,0.393
1917,2,1917.125,18.706,0.507
1917,3,1917.208,19.629,0.688
1917,4,1917.292,19.240,0.515
1917,5,1917.375,19.443,0.661
1917,6,1917.458,19.635,0.679
1917,7,1917.542,20.669,0.726
1917,8,1917.625,20.226,0.768
1917,9,1917.708,19.568,0.840
1917,10,1917.792,19.542,0.424
1917,11,1917.875,20.359,0.697
1917,12,1917.958,19.920,1.000
1918,1,1918.042,19.601,0.487
1918,2,1918.125,18.985,0.462
1918,3,1918.208,19.744,0.679
1918,4,1918.292,19.068,0.990
1918,5,1918.375,19.494,0.529
1918,6,1918.458,19.609,0.587
1918,7,1918.542,20.400,0.552
1918,8,1918.625,19.764,0.708
1918,9,1918.708,20.233,0.600
1918,10,1918.792,20.301,0.794
1918,11,1918.875,20.255,1.076
1918,12,1918.958,20.263,0.711
1919,1,1919.042,20.688,0.750
1919,2,1919.125,19.887,0.861
1919,3,1919.208,19.967,0.552
1919,4,1919.292,20.146,0.707
1919,5,1919.375,19.412,0.939
1919,6,1919.458,19.511,0.591
1919,7,1919.542,19.423,1.748
1919,8,1919.625,20.304,0.649
1919,9,1919.708,20.249,0.781
1919,10,1919.792,20.041,0.638
1919,11,1919.875,20.232,0.946
1919,12,1919.958,20.423,1.146
1920,1,1920.042,20.318,0.577
1920,2,1920.125,20.533,0.843
1920,3,1920.208,19.847,0.823
1920,4,1920.292,19.105,0.573
