# Monthly average temperature data for Cambodia.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1840,1,1840.042,26.777,1.427
1840,2,1840.125,26.245,0.884
1840,3,1840.208,25.935,2.237
1840,4,1840.292,25.747,1.306
1840,5,1840.375,26.563,1.282
1840,6,1840.458,26.394,1.168
1840,7,1840.542,26.870,1.293
1840,8,1840.625,26.327,1.438
1840,9,1840.708,26.356,1.163
1840,10,1840.792,25.632,1.071
1840,11,1840.875,26.125,1.939
1840,12,1840.958,25.490,1.218
1841,1,1841.042,26.321,1.654
1841,2,1841.125,26.482,1.822
1841,3,1841.208,26.064,2.679
1841,4,1841.292,26.263,2.539
1841,5,1841.375,26.500,1.011
1841,6,1841.458,26.837,1.156
1841,7,1841.542,27.310,1.101
1841,8,1841.625,27.381,1.749
1841,9,1841.708,26.409,1.305
1841,10,1841.792,27.041,1.536
1841,11,1841.875,26.441,2.184
1841,12,1841.958,26.902,2.414
1842,1,1842.042,27.006,2.137
1842,2,1842.125,27.318,1.735
1842,3,1842.208,26.762,1.185
1842,4,1842.292,26.229,1.301
1842,5,1842.375,26.075,0.998
1842,6,1842.458,26.306,1.599
1842,7,1842.542,26.098,1.172
1842,8,1842.625,26.371,1.049
1842,9,1842.708,26.094,1.068
1842,10,1842.792,25.716,0.977
1842,11,1842.875,25.582,1.201
1842,12,1842.958,26.658,1.381
1843,1,1843.042,27.154,1.168
1843,2,1843.125,26.909,1.968
1843,3,1843.208,26.294,1.147
1843,4,1843.292,26.207,1.138
1843,5,1843.375,26.216,1.715
1843,6,1843.458,26.617,1.538
1843,7,1843.542,26.440,0.887
1843,8,1843.625,26.499,1.078
1843,9,1843.708,26.152,0.942
1843,10,1843.792,26.097,1.100
1843,11,1843.875,26.103,1.376
1843,12,1843.958,26.192,2.386
1844,1,1844.042,25.802,1.882
1844,2,1844.125,25.855,1.132
1844,3,1844.208,26.864,1.678
1844,4,1844.292,25.928,1.197
1844,5,1844.375,26.160,1.467
1844,6,1844.458,26.208,0.884
1844,7,1844.542,26.083,0.987
1844,8,1844.625,25.629,1.101
1844,9,1844.708,25.513,1.094
1844,10,1844.792,25.667,1.361
1844,11,1844.875,24.817,1.137
1844,12,1844.958,25.619,1.619
1845,1,1845.042,25.858,2.342
1845,2,1845.125,26.230,2.405
1845,3,1845.208,25.714,1.031
1845,4,1845.292,24.851,2.404
1845,5,1845.375,25.616,1.199
1845,6,1845.458,25.879,1.149
1845,8,1845.625,25.819,1.517
1845,10,1845.792,24.802,1.722
1845,11,1845.875,24.987,1.954
1845,12,1845.958,25.382,1.683
1846,1,1846.042,27.147,3.602
1846,2,1846.125,26.226,2.053
1846,3,1846.208,26.928,1.746
1846,4,1846.292,26.098,1.710
1846,5,1846.375,26.378,0.953
1846,6,1846.458,26.524,1.392
1846,7,1846.542,26.660,1.622
1846,8,1846.625,26.495,1.218
1846,9,1846.708,26.003,1.311
1846,10,1846.792,25.666,1.750
1846,11,1846.875,25.144,1.922
1846,12,1846.958,26.070,1.645
1847,1,1847.042,26.144,2.255
1847,2,1847.125,26.312,1.687
