# Monthly average temperature data for Cameroon.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1873,3,1873.208,24.132,0.796
1873,5,1873.375,24.359,0.902
1873,6,1873.458,25.126,1.316
1873,7,1873.542,25.066,1.351
1873,8,1873.625,24.686,0.961
1873,9,1873.708,24.422,1.251
1873,10,1873.792,24.082,0.923
1873,12,1873.958,24.345,0.799
1874,1,1874.042,24.726,0.884
1874,2,1874.125,24.160,0.825
1874,3,1874.208,23.724,1.096
1874,4,1874.292,24.245,0.693
1874,5,1874.375,24.125,1.139
1874,7,1874.542,24.467,0.735
1874,8,1874.625,24.199,0.733
1874,9,1874.708,24.410,0.734
1874,10,1874.792,24.260,0.795
1874,11,1874.875,23.745,0.805
1874,12,1874.958,24.016,0.858
1875,1,1875.042,23.549,0.803
1875,2,1875.125,23.734,0.992
1875,3,1875.208,23.613,0.909
1875,4,1875.292,23.907,0.874
1875,5,1875.375,24.201,1.144
1875,6,1875.458,24.613,1.120
1875,7,1875.542,24.796,0.981
1875,8,1875.625,24.418,1.047
1875,9,1875.708,23.881,0.912
1875,10,1875.792,23.615,0.822
1875,11,1875.875,23.004,1.092
1875,12,1875.958,23.419,0.821
1876,1,1876.042,23.404,1.195
1876,2,1876.125,23.270,1.353
1876,3,1876.208,23.265,1.738
1876,5,1876.375,23.750,0.789
1876,6,1876.458,24.227,0.745
1876,10,1876.792,24.536,0.968
1876,11,1876.875,23.954,1.218
1876,12,1876.958,23.710,1.411
1877,1,1877.042,24.205,1.050
1877,2,1877.125,23.987,0.864
1877,3,1877.208,24.310,0.849
1877,7,1877.542,24.828,0.826
1877,8,1877.625,24.956,0.813
1877,9,1877.708,24.473,0.832
1877,10,1877.792,24.570,0.798
1877,11,1877.875,24.559,0.857
1877,12,1877.958,24.211,1.166
1878,1,1878.042,24.115,0.938
1878,2,1878.125,24.743,0.845
1878,3,1878.208,25.461,1.062
1878,4,1878.292,24.932,0.840
1878,5,1878.375,24.085,0.818
1878,6,1878.458,24.700,0.839
1878,7,1878.542,24.478,1.506
1878,8,1878.625,24.071,1.472
1878,9,1878.708,24.143,1.005
1878,10,1878.792,24.253,0.910
1878,11,1878.875,24.228,1.220
1878,12,1878.958,23.968,1.090
1879,1,1879.042,23.694,1.380
1879,2,1879.125,23.755,0.737
1879,3,1879.208,23.544,0.940
1879,4,1879.292,23.598,0.753
1879,5,1879.375,23.579,0.732
1879,6,1879.458,23.729,0.801
1879,7,1879.542,23.701,0.867
1879,11,1879.875,23.717,0.690
1879,12,1879.958,23.398,0.935
1880,1,1880.042,23.454,0.903
1880,2,1880.125,23.140,0.917
1880,3,1880.208,23.162,0.756
1880,4,1880.292,23.480,0.845
1880,5,1880.375,23.592,0.832
1880,6,1880.458,23.626,0.681
1880,7,1880.542,24.426,0.823
1880,8,1880.625,24.255,0.868
1880,9,1880.708,23.818,0.876
1880,10,1880.792,23.902,0.805
1880,11,1880.875,24.091,0.798
1880,12,1880.958,24.176,0.803
1881,1,1881.042,24.180,0.879
1881,2,1881.125,24.139,1.164
1881,3,1881.208,24.322,1.312
1881,4,1881.292,24.409,0.903
1881,5,1881.375,24.186,0.847
1881,6,1881.458,23.511,0.831
1881,7,1881.542,24.211,0.917
1881,8,1881.625,23.933,1.144
