# Monthly average temperature data for Canada.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1811,8,1811.625,-5.141,2.835
1811,9,1811.708,-5.416,2.521
1811,10,1811.792,-8.075,2.462
1811,11,1811.875,-7.772,2.692
1811,12,1811.958,-4.269,2.830
1812,1,1812.042,-6.943,3.901
1812,2,1812.125,-9.527,2.385
1812,3,1812.208,-8.114,2.514
1812,4,1812.292,-7.519,2.233
1812,5,1812.375,-6.473,2.242
1812,6,1812.458,-6.636,2.152
1812,7,1812.542,-5.288,2.451
1812,10,1812.792,-7.087,2.481
1812,11,1812.875,-6.986,2.880
1812,12,1812.958,-5.249,4.081
1813,1,1813.042,-7.259,3.530
1813,2,1813.125,-6.019,2.636
1813,4,1813.292,-4.768,2.618
1813,5,1813.375,-3.963,3.280
1813,6,1813.458,-5.084,2.501
1813,7,1813.542,-4.778,2.309
1813,8,1813.625,-5.879,2.317
1813,9,1813.708,-3.304,2.487
1823,10,1823.792,-7.578,2.620
1823,11,1823.875,-6.715,3.066
1823,12,1823.958,-6.665,2.644
1824,1,1824.042,-3.598,2.707
1824,2,1824.125,-7.388,3.479
1824,3,1824.208,-5.216,2.468
1824,4,1824.292,-4.499,2.367
1824,5,1824.375,-4.792,2.234
1824,6,1824.458,-3.362,2.629
1824,7,1824.542,-3.703,2.433
1825,10,1825.792,-7.795,2.810
1825,11,1825.875,-7.107,3.275
1825,12,1825.958,-5.397,2.539
1826,1,1826.042,-4.812,2.705
1826,3,1826.208,-5.238,2.498
1826,10,1826.792,-6.944,2.542
1826,11,1826.875,-3.856,2.659
1826,12,1826.958,-2.785,2.827
1827,1,1827.042,-1.808,3.306
1827,3,1827.208,-5.203,2.748
1827,4,1827.292,-3.070,2.896
1827,5,1827.375,-3.264,2.626
1828,1,1828.042,-6.010,2.290
1828,2,1828.125,-5.346,2.383
1828,3,1828.208,-3.446,2.117
1828,4,1828.292,-3.624,2.233
1828,5,1828.375,-4.318,2.367
1828,10,1828.792,-6.069,2.205
1828,11,1828.875,-5.438,2.208
1828,12,1828.958,-6.153,2.916
1829,1,1829.042,-5.103,2.454
1829,2,1829.125,-6.510,2.456
1829,3,1829.208,-4.229,2.150
1829,4,1829.292,-5.193,2.325
1829,6,1829.458,-4.913,1.929
1829,7,1829.542,-5.352,2.047
1829,8,1829.625,-5.305,1.861
1829,10,1829.792,-5.996,1.895
1829,11,1829.875,-7.072,1.908
1829,12,1829.958,-5.687,2.192
1830,1,1830.042,-4.439,3.441
1830,2,1830.125,-3.247,3.145
1830,3,1830.208,-4.986,2.399
1830,4,1830.292,-3.120,2.444
1830,9,1830.708,-6.162,2.219
1830,10,1830.792,-5.410,2.270
1830,11,1830.875,-1.440,3.372
1830,12,1830.958,-2.260,2.776
1831,1,1831.042,-2.508,3.813
1831,2,1831.125,-4.073,4.988
1831,3,1831.208,-3.882,2.785
1831,4,1831.292,-5.095,2.276
1831,5,1831.375,-5.053,2.912
1831,10,1831.792,-6.435,2.339
1831,11,1831.875,-4.705,2.866
1831,12,1831.958,-7.459,3.914
1832,1,1832.042,-3.186,2.508
1832,2,1832.125,-8.957,2.210
1832,3,1832.208,-4.570,2.520
1832,4,1832.292,-6.204,2.168
1832,5,1832.375,-5.540,2.555
1832,10,1832.792,-6.025,2.204
1832,11,1832.875,-6.145,2.400
1832,12,1832.958,-6.418,2.089
1833,1,1833.042,-4.025,2.672
1833,2,1833.125,-6.236,2.177
1833,3,1833.208,-4.386,2.434
1833,4,1833.292,-4.827,2.054
1833,8,1833.625,-4.985,2.051
1833,9,1833.708,-5.018,2.124
1833,10,1833.792,-6.648,2.013
1833,11,1833.875,-4.320,2.616
1833,12,1833.958,-4.370,2.764
1834,1,1834.042,-6.357,2.563
1834,2,1834.125,-4.716,2.243
1834,3,1834.208,-4.323,2.103
1834,4,1834.292,-4.824,2.456
1834,5,1834.375,-5.436,2.107
1834,6,1834.458,-5.754,2.115
1834,7,1834.542,-5.111,2.060
1834,8,1834.625,-5.504,2.275
1834,9,1834.708,-5.259,2.218
1834,10,1834.792,-6.319,2.002
1834,11,1834.875,-3.973,2.037
1834,12,1834.958,-5.725,2.044
1835,1,1835.042,-3.484,2.163
1835,2,1835.125,-6.491,2.650
1835,3,1835.208,-5.259,2.377
1835,4,1835.292,-6.022,2.158
1835,5,1835.375,-5.708,2.176
1835,6,1835.458,-5.935,2.201
1835,7,1835.542,-6.396,2.179
1835,9,1835.708,-6.457,2.226
1835,10,1835.792,-6.976,2.251
1835,11,1835.875,-6.412,2.275
1835,12,1835.958,-6.569,2.925
1836,1,1836.042,-4.852,2.509
1836,2,1836.125,-5.999,2.137
1836,3,1836.208,-5.916,2.056
1836,4,1836.292,-7.116,2.257
1836,5,1836.375,-5.509,2.077
1836,6,1836.458,-5.585,2.142
1836,7,1836.542,-5.949,1.900
1836,8,1836.625,-6.632,2.975
1836,9,1836.708,-6.094,2.353
1836,10,1836.792,-6.920,2.567
1836,11,1836.875,-6.210,2.578
1836,12,1836.958,-5.851,2.247
1837,1,1837.042,-3.842,2.284
1837,2,1837.125,-5.781,2.278
1837,3,1837.208,-5.586,2.310
1837,4,1837.292,-6.921,1.958
1837,5,1837.375,-6.288,2.673
1837,6,1837.458,-6.061,2.301
1837,7,1837.542,-6.696,2.361
1837,8,1837.625,-6.074,2.092
1837,9,1837.708,-5.649,2.169
