# Monthly average temperature data for Cape Verde.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1849,1,1849.042,23.604,1.521
1849,2,1849.125,23.628,1.331
1849,3,1849.208,24.018,1.282
1849,4,1849.292,22.915,1.560
1849,5,1849.375,23.095,1.163
1849,6,1849.458,23.599,1.357
1849,7,1849.542,24.026,1.369
1849,8,1849.625,23.694,1.085
1849,9,1849.708,23.221,1.165
1849,10,1849.792,23.803,1.102
1849,11,1849.875,23.784,1.398
1849,12,1849.958,23.040,1.327
1850,1,1850.042,22.797,1.320
1850,2,1850.125,24.004,1.476
1850,3,1850.208,23.840,1.185
1850,4,1850.292,23.272,1.341
1850,5,1850.375,23.045,1.166
1850,6,1850.458,23.791,1.111
1850,7,1850.542,24.017,1.101
1850,8,1850.625,24.025,1.111
1850,9,1850.708,23.598,0.939
1850,10,1850.792,23.130,1.201
1850,11,1850.875,23.075,1.319
1850,12,1850.958,23.376,1.132
1851,1,1851.042,23.930,0.986
1851,2,1851.125,23.505,1.036
1851,3,1851.208,23.220,1.015
1851,4,1851.292,23.339,1.282
1851,5,1851.375,23.868,1.430
1851,6,1851.458,23.848,1.407
1851,7,1851.542,24.231,1.181
1851,8,1851.625,23.964,1.192
1851,9,1851.708,23.710,1.067
1851,10,1851.792,23.886,1.472
1851,11,1851.875,23.199,1.373
1851,12,1851.958,23.886,1.299
1856,1,1856.042,24.092,0.926
1856,2,1856.125,22.704,1.363
1856,3,1856.208,22.919,1.496
1856,4,1856.292,23.798,0.952
1856,5,1856.375,24.254,2.322
1856,6,1856.458,24.470,1.407
1856,7,1856.542,23.901,1.048
1856,8,1856.625,23.436,1.327
1856,9,1856.708,23.261,1.050
1856,10,1856.792,23.669,1.154
1856,11,1856.875,23.993,0.941
1856,12,1856.958,22.871,3.016
1857,1,1857.042,23.662,1.249
1857,3,1857.208,22.877,1.006
1857,4,1857.292,22.641,0.790
1857,5,1857.375,22.603,0.772
1857,6,1857.458,22.580,1.474
1857,7,1857.542,23.933,0.980
1857,8,1857.625,23.484,1.054
1857,9,1857.708,23.506,1.113
1857,10,1857.792,23.347,1.092
1857,11,1857.875,23.641,1.171
1857,12,1857.958,23.106,2.361
1858,1,1858.042,23.463,1.870
1858,2,1858.125,22.505,1.818
1858,3,1858.208,23.043,1.577
1858,4,1858.292,23.651,1.197
1858,5,1858.375,23.399,1.153
1858,6,1858.458,24.161,1.328
1858,7,1858.542,23.793,1.126
1858,8,1858.625,23.564,0.883
1858,9,1858.708,23.585,1.006
1858,10,1858.792,24.101,1.031
1858,11,1858.875,24.219,0.963
1858,12,1858.958,22.457,1.970
1859,1,1859.042,22.682,1.461
1859,2,1859.125,22.788,1.947
1859,3,1859.208,24.181,1.479
1859,4,1859.292,24.975,1.767
1859,5,1859.375,24.265,2.633
1859,6,1859.458,24.659,1.098
1859,7,1859.542,23.864,0.855
1859,8,1859.625,23.491,0.913
1859,9,1859.708,23.602,1.105
1859,10,1859.792,24.362,1.336
1859,11,1859.875,24.276,1.000
1859,12,1859.958,24.582,2.397
