# Monthly average temperature data for Cayman Islands.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1823,1,1823.042,25.984,1.913
1823,2,1823.125,24.943,2.362
1823,3,1823.208,26.400,2.197
1823,4,1823.292,25.953,2.469
1823,5,1823.375,26.535,1.482
1823,6,1823.458,26.721,2.337
1823,7,1823.542,26.535,1.254
1823,8,1823.625,25.818,1.603
1823,9,1823.708,25.348,2.121
1823,10,1823.792,25.162,2.125
1823,11,1823.875,25.288,2.077
1823,12,1823.958,25.175,1.887
1824,1,1824.042,27.010,1.197
1824,2,1824.125,25.967,2.263
1824,3,1824.208,27.456,1.700
1824,4,1824.292,26.750,1.990
1824,5,1824.375,27.132,1.751
1824,6,1824.458,27.275,2.071
1824,7,1824.542,27.626,1.496
1824,8,1824.625,26.321,2.379
1824,9,1824.708,26.168,1.728
1824,10,1824.792,25.954,1.094
1824,11,1824.875,26.454,1.927
1824,12,1824.958,27.379,2.633
1825,1,1825.042,26.619,2.702
1825,2,1825.125,26.913,1.757
1825,3,1825.208,26.793,1.514
1825,4,1825.292,27.271,1.964
1825,5,1825.375,26.944,1.489
1825,6,1825.458,27.102,1.015
1825,7,1825.542,26.396,2.712
1825,8,1825.625,25.885,2.278
1825,9,1825.708,25.677,1.502
1825,10,1825.792,26.093,1.385
1825,11,1825.875,27.105,3.153
1825,12,1825.958,25.636,1.582
1826,1,1826.042,25.361,2.356
1826,2,1826.125,27.266,2.280
1826,3,1826.208,27.774,2.497
1826,4,1826.292,27.981,2.682
1826,5,1826.375,27.379,1.225
1826,6,1826.458,26.408,2.012
1826,7,1826.542,27.067,1.450
1826,8,1826.625,25.902,1.580
1826,9,1826.708,26.254,1.622
1826,10,1826.792,25.972,2.148
1826,11,1826.875,26.574,1.587
1826,12,1826.958,27.158,1.962
1827,1,1827.042,26.458,2.786
1827,2,1827.125,29.063,2.229
1827,3,1827.208,28.020,1.759
1827,4,1827.292,28.391,2.026
1827,5,1827.375,27.592,1.602
1827,6,1827.458,27.220,1.039
1827,7,1827.542,27.523,1.121
1827,8,1827.625,26.912,1.650
1827,9,1827.708,26.046,1.237
1827,10,1827.792,26.014,0.936
1827,11,1827.875,27.392,1.274
1827,12,1827.958,27.435,2.997
1828,1,1828.042,27.700,4.128
1828,2,1828.125,28.094,2.440
1828,3,1828.208,26.519,1.790
1828,4,1828.292,26.882,1.859
1828,5,1828.375,26.793,2.000
1828,6,1828.458,27.333,2.135
1828,7,1828.542,26.953,1.148
1828,8,1828.625,26.560,1.456
1828,9,1828.708,25.321,1.427
1828,10,1828.792,25.969,1.644
1828,11,1828.875,26.706,2.156
1828,12,1828.958,28.030,5.797
1829,1,1829.042,25.999,2.925
1829,2,1829.125,26.184,1.709
1829,3,1829.208,25.075,3.033
1829,4,1829.292,26.507,1.464
1829,5,1829.375,26.642,2.330
1829,6,1829.458,26.475,2.252
1829,7,1829.542,26.688,1.269
1829,8,1829.625,26.519,1.520
1829,9,1829.708,25.933,1.622
1829,10,1829.792,26.246,2.068
1829,11,1829.875,24.864,1.697
1829,12,1829.958,26.726,3.420
1830,1,1830.042,27.027,2.156
