# Monthly average temperature data for Central African Republic.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1885,11,1885.875,24.470,0.931
1885,12,1885.958,25.307,0.946
1889,4,1889.292,25.156,0.950
1889,5,1889.375,24.976,1.160
1889,12,1889.958,24.829,0.962
1890,1,1890.042,24.550,0.985
1890,2,1890.125,24.537,0.954
1890,3,1890.208,23.999,0.956
1890,4,1890.292,24.409,0.904
1890,5,1890.375,24.324,1.143
1890,6,1890.458,24.617,1.029
1890,7,1890.542,24.935,1.167
1890,8,1890.625,24.596,0.931
1890,9,1890.708,24.638,0.889
1890,10,1890.792,24.662,0.937
1890,11,1890.875,24.119,1.101
1892,1,1892.042,24.611,0.860
1892,2,1892.125,24.753,0.849
1892,3,1892.208,24.625,0.905
1892,4,1892.292,25.002,1.068
1892,5,1892.375,24.681,0.868
1892,6,1892.458,25.127,0.968
1892,7,1892.542,24.881,0.815
1892,8,1892.625,25.070,1.007
1892,9,1892.708,24.840,0.838
1892,10,1892.792,24.891,0.792
1892,11,1892.875,24.456,0.930
1892,12,1892.958,24.766,0.967
1893,1,1893.042,23.943,0.837
1893,2,1893.125,23.884,0.868
1893,3,1893.208,24.592,0.980
1893,4,1893.292,24.623,1.162
1893,5,1893.375,24.164,2.039
1893,6,1893.458,24.422,1.160
1893,7,1893.542,24.991,0.834
1893,8,1893.625,24.969,0.851
1893,9,1893.708,24.713,0.763
1893,10,1893.792,24.802,0.862
1893,11,1893.875,24.897,0.783
1893,12,1893.958,24.932,1.050
1894,1,1894.042,24.645,0.867
1894,2,1894.125,25.028,0.980
1894,3,1894.208,24.995,0.831
1894,4,1894.292,24.781,0.895
1894,5,1894.375,24.830,0.934
1894,6,1894.458,24.775,0.871
1894,7,1894.542,25.034,0.868
1894,8,1894.625,25.257,0.747
1894,9,1894.708,24.981,0.813
1894,10,1894.792,25.039,0.801
1894,11,1894.875,25.045,0.801
1894,12,1894.958,25.371,0.937
1895,1,1895.042,24.665,0.815
1895,2,1895.125,24.448,0.850
1895,3,1895.208,24.561,0.862
1895,4,1895.292,24.972,0.873
1895,5,1895.375,25.071,0.797
1895,6,1895.458,24.917,0.826
1895,7,1895.542,24.987,0.930
1895,8,1895.625,24.875,0.788
1895,9,1895.708,24.738,0.821
1895,10,1895.792,25.073,0.905
1895,11,1895.875,25.164,0.918
1895,12,1895.958,25.263,0.871
1896,1,1896.042,25.143,0.910
1896,2,1896.125,24.677,0.999
1896,3,1896.208,23.899,1.211
1896,4,1896.292,24.426,1.246
1896,5,1896.375,24.903,0.676
1896,6,1896.458,24.489,1.212
1896,7,1896.542,24.706,1.082
1896,8,1896.625,24.604,1.011
1896,9,1896.708,24.311,1.765
1896,10,1896.792,24.897,1.080
1896,11,1896.875,24.966,0.735
1896,12,1896.958,24.629,1.522
1897,1,1897.042,25.243,0.705
1897,2,1897.125,24.581,0.808
1897,3,1897.208,24.360,0.740
1897,4,1897.292,25.030,0.747
1897,5,1897.375,25.114,0.948
1897,6,1897.458,24.923,0.664
1897,7,1897.542,24.459,1.838
1897,8,1897.625,24.772,1.482
1897,9,1897.708,24.667,2.124
1897,10,1897.792,24.539,2.378
1897,11,1897.875,25.807,1.775
1897,12,1897.958,24.814,1.546
1898,1,1898.042,24.822,2.024
1898,2,1898.125,24.377,0.736
1898,3,1898.208,24.307,0.763
1898,4,1898.292,24.678,1.171
1898,5,1898.375,25.293,0.971
1898,6,1898.458,26.171,1.671
1898,7,1898.542,25.001,0.673
1898,8,1898.625,24.605,0.678
1898,9,1898.708,24.481,0.702
1898,10,1898.792,25.351,1.238
1898,11,1898.875,25.172,0.940
1898,12,1898.958,25.280,0.819
1899,1,1899.042,26.137,1.121
1899,2,1899.125,25.138,0.994
1899,3,1899.208,25.660,1.536
1899,4,1899.292,25.970,2.023
1899,6,1899.458,25.017,0.801
1899,7,1899.542,25.844,1.511
1899,8,1899.625,26.099,1.852
1899,9,1899.708,25.664,0.810
1899,10,1899.792,25.512,1.149
1899,11,1899.875,25.917,1.308
1900,1,1900.042,24.420,0.850
1900,2,1900.125,26.243,2.885
1900,3,1900.208,26.070,1.050
1900,4,1900.292,25.041,0.954
1900,5,1900.375,25.869,0.979
1900,6,1900.458,24.417,1.495
1900,7,1900.542,24.822,1.236
1900,8,1900.625,25.354,0.783
1900,9,1900.708,24.910,0.747
1900,10,1900.792,25.480,0.711
1900,11,1900.875,25.097,0.795
1900,12,1900.958,25.252,0.852
1901,1,1901.042,25.445,0.815
1901,2,1901.125,25.303,1.271
1901,3,1901.208,25.396,0.890
1901,4,1901.292,25.475,0.717
1901,5,1901.375,25.476,0.916
1901,6,1901.458,25.372,0.869
1901,7,1901.542,25.901,0.919
1901,8,1901.625,25.853,0.858
1901,9,1901.708,26.032,1.180
1901,10,1901.792,25.757,1.620
1901,11,1901.875,25.531,1.330
1901,12,1901.958,25.401,1.128
1902,1,1902.042,25.355,1.350
1902,2,1902.125,25.168,1.098
