# Monthly average temperature data for Chad.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1888,9,1888.708,25.978,1.262
1889,4,1889.292,26.059,1.311
1889,5,1889.375,26.370,1.428
1889,12,1889.958,26.034,1.380
1890,1,1890.042,25.209,1.518
1890,2,1890.125,26.046,1.334
1890,3,1890.208,25.065,1.377
1890,4,1890.292,25.675,1.337
1890,5,1890.375,25.844,1.459
1890,6,1890.458,25.441,1.349
1890,7,1890.542,26.231,1.427
1890,8,1890.625,26.013,1.299
1890,10,1890.792,25.694,1.323
1890,11,1890.875,25.261,1.442
1891,1,1891.042,25.269,1.332
1891,2,1891.125,24.954,1.359
1891,3,1891.208,25.852,1.502
1891,4,1891.292,26.220,1.318
1891,5,1891.375,26.091,1.321
1891,6,1891.458,25.705,1.287
1891,7,1891.542,26.234,1.288
1891,8,1891.625,26.282,1.334
1891,9,1891.708,26.317,1.270
1891,10,1891.792,25.765,1.279
1891,11,1891.875,25.832,1.296
1891,12,1891.958,26.469,1.340
1892,1,1892.042,26.014,1.269
1892,2,1892.125,26.169,1.287
1892,3,1892.208,26.248,1.371
1892,4,1892.292,26.167,1.500
1892,5,1892.375,25.295,1.409
1892,6,1892.458,25.714,1.234
1892,7,1892.542,25.865,1.205
1892,8,1892.625,26.224,1.283
1892,9,1892.708,25.568,1.231
1892,10,1892.792,26.402,1.281
1892,11,1892.875,25.861,1.291
1892,12,1892.958,26.205,1.389
1893,1,1893.042,25.296,1.250
1893,2,1893.125,24.788,1.243
1893,3,1893.208,25.068,1.286
1893,4,1893.292,25.206,1.455
1893,5,1893.375,25.823,1.362
1893,6,1893.458,25.529,1.245
1893,7,1893.542,26.309,1.276
1893,8,1893.625,26.290,1.219
1893,9,1893.708,26.312,1.224
1893,10,1893.792,25.904,1.211
1893,11,1893.875,26.741,1.204
1893,12,1893.958,25.756,1.361
1894,1,1894.042,25.573,1.291
1894,2,1894.125,25.853,1.329
1894,3,1894.208,26.300,1.372
1894,4,1894.292,25.723,1.286
1894,5,1894.375,26.262,1.264
1894,6,1894.458,25.666,1.319
1894,7,1894.542,25.859,1.487
1894,8,1894.625,26.212,1.244
1894,9,1894.708,26.460,1.375
1894,10,1894.792,26.607,1.214
1894,11,1894.875,26.255,1.198
1894,12,1894.958,26.115,1.187
1895,1,1895.042,24.653,1.442
1895,2,1895.125,26.409,1.235
1895,3,1895.208,25.843,1.175
1895,4,1895.292,26.785,1.261
1895,5,1895.375,26.507,1.425
1895,6,1895.458,25.811,1.327
1895,7,1895.542,25.952,1.392
1895,8,1895.625,26.292,1.256
1895,9,1895.708,25.594,1.273
1895,10,1895.792,26.224,1.338
1895,11,1895.875,26.583,1.488
1895,12,1895.958,26.140,1.334
1896,1,1896.042,26.169,1.082
1896,2,1896.125,25.944,1.254
1896,3,1896.208,24.532,1.627
1896,4,1896.292,25.031,1.699
1896,5,1896.375,26.145,0.999
1896,6,1896.458,25.792,1.409
1896,7,1896.542,25.799,1.305
1896,8,1896.625,26.341,1.350
1896,9,1896.708,25.491,1.941
1896,10,1896.792,26.069,1.487
1896,11,1896.875,26.429,0.980
1896,12,1896.958,25.317,1.647
1897,1,1897.042,25.895,0.989
1897,2,1897.125,25.313,0.971
1897,3,1897.208,25.146,0.926
1897,4,1897.292,25.998,0.980
1897,5,1897.375,27.056,1.147
1897,6,1897.458,26.039,0.938
1897,7,1897.542,25.623,2.118
1897,8,1897.625,26.136,1.745
1897,9,1897.708,25.770,2.476
1897,10,1897.792,25.473,2.780
1897,11,1897.875,26.751,1.780
1897,12,1897.958,25.288,1.749
1898,1,1898.042,25.336,2.317
1898,2,1898.125,24.874,0.994
1898,3,1898.208,25.163,1.279
1898,4,1898.292,25.184,1.936
1898,5,1898.375,26.467,1.279
1898,6,1898.458,27.676,2.204
1898,7,1898.542,26.496,0.882
1898,8,1898.625,26.043,0.913
1898,9,1898.708,25.829,0.875
1898,10,1898.792,26.597,1.763
1898,11,1898.875,26.830,1.316
1898,12,1898.958,26.091,1.148
1899,1,1899.042,27.064,1.693
1899,2,1899.125,26.212,1.159
1899,3,1899.208,26.681,1.769
1899,4,1899.292,26.807,2.389
1899,6,1899.458,26.339,0.946
1899,7,1899.542,26.751,1.403
1899,8,1899.625,27.481,1.999
1899,9,1899.708,26.977,0.953
1899,10,1899.792,26.421,1.367
1899,11,1899.875,26.900,1.520
1899,12,1899.958,25.868,1.212
1900,1,1900.042,24.877,0.958
1900,2,1900.125,27.508,3.013
1900,3,1900.208,27.488,1.323
1900,4,1900.292,25.686,1.176
1900,5,1900.375,27.499,1.204
1900,6,1900.458,25.398,1.792
1900,7,1900.542,25.835,1.405
1900,8,1900.625,26.881,0.983
1900,9,1900.708,25.571,0.998
1900,10,1900.792,26.157,0.961
1900,11,1900.875,26.124,0.905
1900,12,1900.958,26.019,0.971
1901,1,1901.042,26.149,1.067
1901,2,1901.125,26.706,1.728
1901,3,1901.208,26.750,1.222
1901,4,1901.292,26.226,1.028
1901,5,1901.375,26.364,1.138
1901,6,1901.458,26.044,1.185
1901,7,1901.542,26.950,1.276
1901,8,1901.625,26.935,1.046
1901,9,1901.708,26.997,1.189
1901,10,1901.792,26.543,1.124
1901,11,1901.875,26.223,1.082
1901,12,1901.958,25.873,1.228
1902,1,1902.042,25.965,1.750
1902,2,1902.125,26.519,1.126
1902,3,1902.208,25.757,0.865
1902,4,1902.292,26.498,1.046
1902,5,1902.375,26.368,1.023
1902,6,1902.458,26.567,1.098
1902,7,1902.542,26.402,1.793
1902,8,1902.625,27.104,2.027
1902,9,1902.708,26.881,2.232
1902,10,1902.792,25.961,0.919
1902,11,1902.875,26.242,1.925
1902,12,1902.958,25.271,1.182
1903,1,1903.042,25.703,1.477
1903,2,1903.125,25.072,1.746
1903,3,1903.208,24.174,1.338
1903,4,1903.292,25.481,1.394
1903,5,1903.375,26.161,1.436
1903,6,1903.458,25.647,0.851
1903,7,1903.542,25.330,1.044
1903,8,1903.625,25.634,0.847
