# Monthly average temperature data for Chile.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1860,1,1860.042,9.211,1.195
1860,2,1860.125,8.859,0.991
1860,3,1860.208,7.613,1.421
1860,4,1860.292,9.159,1.271
1860,5,1860.375,8.618,1.239
1860,6,1860.458,9.087,1.067
1860,7,1860.542,9.812,1.338
1860,8,1860.625,9.857,1.639
1860,9,1860.708,9.517,1.108
1860,10,1860.792,8.747,1.429
1860,11,1860.875,7.919,0.990
1860,12,1860.958,7.227,1.145
1861,1,1861.042,7.388,1.618
1861,2,1861.125,8.447,1.378
1861,3,1861.208,8.336,1.720
1861,4,1861.292,9.273,1.728
1861,5,1861.375,8.051,1.138
1861,6,1861.458,8.726,1.138
1861,7,1861.542,8.522,1.425
1861,8,1861.625,9.867,1.215
1861,9,1861.708,8.747,0.996
1861,10,1861.792,7.496,0.958
1861,11,1861.875,8.785,1.183
1861,12,1861.958,8.905,1.875
1862,1,1862.042,8.419,1.748
1862,2,1862.125,8.022,1.365
1862,3,1862.208,8.654,1.426
1862,4,1862.292,9.022,1.935
1862,5,1862.375,9.070,1.222
1862,6,1862.458,9.312,1.363
1862,7,1862.542,8.372,1.136
1862,8,1862.625,7.725,1.085
1862,9,1862.708,8.026,0.871
1862,10,1862.792,8.190,1.306
1862,11,1862.875,7.687,1.422
1862,12,1862.958,7.695,1.724
1863,1,1863.042,8.719,1.354
1863,2,1863.125,8.529,1.978
1863,3,1863.208,8.014,1.242
1863,4,1863.292,8.667,1.313
1863,5,1863.375,7.870,1.206
1863,6,1863.458,8.156,1.797
1863,7,1863.542,8.222,1.175
1863,8,1863.625,7.913,1.102
1863,9,1863.708,8.382,1.202
1863,10,1863.792,8.524,1.129
1863,11,1863.875,8.628,1.077
1863,12,1863.958,8.748,2.106
1864,1,1864.042,7.697,1.481
1864,2,1864.125,8.332,1.834
1864,3,1864.208,8.470,1.358
1864,4,1864.292,8.560,1.751
1864,5,1864.375,8.812,1.759
1864,6,1864.458,9.920,1.257
1864,7,1864.542,9.229,1.339
1864,8,1864.625,8.321,1.628
1864,9,1864.708,8.639,1.000
1864,10,1864.792,8.728,1.036
1864,11,1864.875,8.537,1.295
1864,12,1864.958,8.099,0.952
1865,1,1865.042,8.932,1.201
1865,2,1865.125,8.886,0.963
1865,3,1865.208,8.540,0.906
1865,4,1865.292,8.619,1.285
1865,5,1865.375,8.344,1.432
1865,6,1865.458,9.237,1.550
1865,7,1865.542,9.523,1.199
1865,8,1865.625,8.560,1.579
1865,9,1865.708,9.015,1.181
1865,10,1865.792,9.849,0.953
1865,11,1865.875,9.341,1.015
1865,12,1865.958,9.059,1.234
1866,1,1866.042,9.813,1.339
1866,2,1866.125,8.064,1.609
1866,3,1866.208,8.558,2.163
1866,4,1866.292,8.981,1.514
1866,5,1866.375,9.049,1.136
1866,6,1866.458,8.455,1.186
1866,7,1866.542,10.007,1.199
1866,8,1866.625,8.803,1.037
1866,9,1866.708,9.370,1.110
1866,10,1866.792,8.665,1.087
1866,11,1866.875,8.454,1.095
1866,12,1866.958,9.271,1.460
1867,1,1867.042,8.866,2.050
1867,2,1867.125,8.753,1.496
1867,3,1867.208,8.921,1.020
1867,4,1867.292,8.505,1.104
1867,5,1867.375,8.700,0.987
1867,6,1867.458,9.121,0.910
1867,7,1867.542,8.412,1.559
1867,8,1867.625,8.061,1.891
1867,9,1867.708,8.762,1.086
1867,10,1867.792,9.189,1.063
1867,11,1867.875,10.009,1.503
1867,12,1867.958,9.387,1.406
1868,1,1868.042,8.558,1.114
1868,2,1868.125,8.201,1.396
1868,3,1868.208,8.561,1.449
1868,4,1868.292,8.582,1.499
1868,5,1868.375,9.147,1.482
1868,6,1868.458,9.679,0.932
1868,7,1868.542,8.749,1.185
1868,8,1868.625,9.604,1.001
1868,9,1868.708,8.736,1.030
1868,10,1868.792,9.267,1.307
1868,11,1868.875,8.409,0.995
1868,12,1868.958,8.521,1.432
1869,1,1869.042,9.486,1.545
1869,2,1869.125,8.670,1.714
1869,3,1869.208,8.197,1.621
1869,4,1869.292,8.859,1.378
1869,5,1869.375,8.899,1.446
1869,6,1869.458,8.327,2.171
1869,7,1869.542,8.392,1.016
1869,8,1869.625,9.167,1.137
1869,9,1869.708,9.439,1.162
1869,10,1869.792,8.635,0.933
1869,11,1869.875,8.684,1.051
1869,12,1869.958,8.625,1.301
1870,1,1870.042,8.269,1.422
1870,2,1870.125,8.530,1.580
1870,3,1870.208,8.758,1.117
1870,4,1870.292,8.441,1.142
1870,5,1870.375,8.491,1.832
1870,6,1870.458,8.836,1.501
1870,7,1870.542,9.382,1.023
1870,8,1870.625,8.069,0.989
1870,9,1870.708,9.167,0.901
1870,10,1870.792,8.442,1.447
1870,11,1870.875,8.373,1.132
1870,12,1870.958,8.480,1.053
1871,1,1871.042,8.593,1.294
1871,2,1871.125,8.308,1.532
1871,3,1871.208,8.846,1.646
1871,4,1871.292,8.540,0.867
1871,5,1871.375,8.164,0.951
1871,6,1871.458,8.596,0.781
1871,7,1871.542,8.402,0.980
1871,8,1871.625,8.449,1.023
1871,9,1871.708,7.920,1.131
1871,10,1871.792,8.760,0.934
1871,11,1871.875,9.323,1.530
1871,12,1871.958,8.670,1.162
1872,1,1872.042,8.497,1.346
1872,2,1872.125,8.471,0.883
1872,3,1872.208,8.214,1.319
1872,4,1872.292,8.152,1.106
1872,5,1872.375,8.010,0.825
1872,6,1872.458,8.652,0.964
1872,7,1872.542,8.234,0.997
1872,8,1872.625,8.792,0.895
1872,9,1872.708,8.632,0.679
1872,10,1872.792,9.270,0.877
1872,11,1872.875,8.396,1.258
1872,12,1872.958,8.588,1.269
1873,1,1873.042,9.218,1.184
1873,2,1873.125,8.785,1.201
1873,3,1873.208,8.818,0.930
1873,4,1873.292,9.614,2.121
1873,5,1873.375,9.425,1.223
1873,6,1873.458,9.338,0.805
1873,7,1873.542,8.631,1.068
1873,8,1873.625,9.216,0.984
1873,9,1873.708,9.392,0.968
1873,10,1873.792,9.155,1.314
1873,11,1873.875,9.451,1.224
1873,12,1873.958,8.890,1.402
1874,1,1874.042,9.179,1.093
1874,2,1874.125,9.356,1.129
1874,3,1874.208,7.591,1.378
1874,4,1874.292,8.744,1.039
1874,5,1874.375,8.094,1.343
1874,6,1874.458,8.529,1.002
1874,7,1874.542,9.046,0.893
1874,8,1874.625,9.037,0.833
1874,9,1874.708,8.791,1.003
1874,10,1874.792,8.652,0.994
1874,11,1874.875,8.777,1.384
1874,12,1874.958,9.171,1.330
1875,1,1875.042,9.418,1.486
1875,2,1875.125,9.579,1.408
1875,3,1875.208,8.610,0.958
1875,4,1875.292,8.569,0.825
1875,5,1875.375,8.570,0.927
1875,6,1875.458,7.451,1.211
1875,7,1875.542,8.853,0.836
1875,8,1875.625,7.914,1.469
1875,9,1875.708,8.645,0.958
1875,10,1875.792,8.818,1.051
1875,11,1875.875,8.561,1.375
1875,12,1875.958,8.175,0.810
1876,1,1876.042,8.416,0.878
1876,2,1876.125,8.964,0.710
1876,3,1876.208,8.627,1.038
1876,4,1876.292,9.332,1.507
1876,5,1876.375,9.861,0.809
1876,6,1876.458,8.914,0.688
1876,7,1876.542,9.983,0.778
1876,8,1876.625,8.516,0.880
1876,9,1876.708,9.650,0.734
1876,10,1876.792,8.911,1.131
1876,11,1876.875,8.497,1.964
1876,12,1876.958,8.772,2.542
1877,1,1877.042,10.134,1.258
1877,2,1877.125,9.486,2.174
1877,3,1877.208,10.173,1.707
1877,4,1877.292,9.286,1.761
1877,5,1877.375,8.696,1.272
1877,6,1877.458,9.510,1.042
1877,7,1877.542,10.241,0.959
1877,8,1877.625,10.034,1.096
1877,9,1877.708,9.613,0.975
1877,10,1877.792,9.789,0.898
1877,11,1877.875,8.939,1.529
1877,12,1877.958,8.302,1.098
1878,1,1878.042,8.899,2.511
1878,2,1878.125,9.221,1.288
1878,3,1878.208,9.699,0.899
1878,4,1878.292,9.343,1.028
1878,5,1878.375,8.513,1.465
1878,6,1878.458,9.227,1.489
1878,7,1878.542,10.067,1.413
1878,8,1878.625,9.115,1.053
1878,9,1878.708,8.956,1.294
1878,10,1878.792,9.423,1.396
1878,11,1878.875,9.319,1.134
1878,12,1878.958,8.434,1.436
1879,1,1879.042,8.384,1.195
1879,2,1879.125,9.374,1.167
1879,3,1879.208,9.262,1.126
1879,4,1879.292,9.118,1.346
1879,5,1879.375,8.714,1.137
1879,6,1879.458,9.035,1.285
1879,7,1879.542,9.980,1.160
1879,8,1879.625,8.714,1.116
1879,9,1879.708,9.333,2.128
1879,10,1879.792,9.377,1.021
1879,11,1879.875,9.175,0.955
1879,12,1879.958,8.660,1.488
1880,1,1880.042,8.670,1.142
1880,2,1880.125,8.581,1.076
1880,3,1880.208,8.516,1.342
1880,4,1880.292,8.794,1.552
1880,5,1880.375,9.186,0.903
1880,6,1880.458,10.269,0.993
1880,7,1880.542,9.807,0.894
1880,8,1880.625,9.564,1.156
1880,9,1880.708,8.187,1.236
1880,10,1880.792,8.769,1.159
1880,11,1880.875,8.864,1.263
1880,12,1880.958,8.900,1.112
1881,1,1881.042,8.592,1.568
1881,2,1881.125,8.893,1.174
1881,3,1881.208,9.139,1.279
1881,4,1881.292,9.127,1.490
1881,5,1881.375,9.043,1.064
1881,6,1881.458,8.660,1.500
1881,7,1881.542,8.561,1.007
1881,8,1881.625,8.740,1.165
1881,9,1881.708,9.104,1.267
1881,10,1881.792,8.489,0.746
1881,11,1881.875,8.218,1.108
1881,12,1881.958,9.436,1.178
1882,1,1882.042,9.222,1.217
1882,2,1882.125,9.231,0.957
1882,3,1882.208,8.682,1.038
1882,4,1882.292,7.996,1.112
1882,5,1882.375,9.147,0.897
1882,6,1882.458,8.596,1.030
1882,7,1882.542,8.830,0.910
1882,8,1882.625,9.330,0.673
1882,9,1882.708,9.710,0.646
1882,10,1882.792,9.444,0.788
1882,11,1882.875,8.516,1.100
1882,12,1882.958,8.246,1.081
1883,1,1883.042,8.844,1.069
1883,2,1883.125,8.586,1.393
1883,3,1883.208,8.555,1.058
1883,4,1883.292,8.671,0.656
1883,5,1883.375,8.465,1.582
1883,6,1883.458,9.010,1.207
1883,7,1883.542,8.251,0.960
1883,8,1883.625,9.110,1.169
1883,9,1883.708,8.924,0.821
1883,10,1883.792,9.324,1.123
1883,11,1883.875,8.446,1.370
1883,12,1883.958,8.917,0.907
1884,1,1884.042,9.802,1.017
1884,2,1884.125,8.656,0.781
1884,3,1884.208,7.939,0.979
1884,4,1884.292,8.484,1.066
1884,5,1884.375,7.421,1.179
1884,6,1884.458,7.450,1.097
1884,7,1884.542,8.689,1.716
1884,8,1884.625,9.833,1.290
1884,9,1884.708,8.662,0.948
1884,10,1884.792,8.696,0.864
1884,11,1884.875,8.519,1.280
1884,12,1884.958,8.580,1.526
1885,1,1885.042,8.062,1.259
1885,2,1885.125,7.531,1.853
1885,3,1885.208,8.534,0.912
1885,4,1885.292,7.301,0.955
1885,5,1885.375,7.848,0.873
1885,6,1885.458,8.317,0.923
1885,7,1885.542,8.303,0.897
1885,8,1885.625,8.923,0.966
1885,9,1885.708,9.865,0.945
1885,10,1885.792,8.896,0.845
1885,11,1885.875,8.852,1.172
1885,12,1885.958,8.450,1.141
1886,1,1886.042,8.590,0.827
1886,2,1886.125,8.305,0.870
1886,3,1886.208,8.674,1.086
1886,4,1886.292,8.660,0.748
1886,5,1886.375,8.639,0.895
1886,6,1886.458,8.182,0.935
1886,7,1886.542,8.714,0.709
1886,8,1886.625,8.503,0.651
1886,9,1886.708,8.749,0.837
1886,10,1886.792,8.968,0.847
1886,11,1886.875,8.769,0.824
1886,12,1886.958,9.181,1.109
1887,1,1887.042,7.973,0.889
1887,2,1887.125,8.691,1.400
1887,3,1887.208,8.608,1.119
1887,4,1887.292,8.889,0.873
1887,5,1887.375,8.921,1.115
1887,6,1887.458,9.145,1.175
1887,7,1887.542,9.309,0.917
1887,8,1887.625,9.251,1.406
1887,9,1887.708,8.773,1.321
1887,10,1887.792,8.549,0.838
1887,11,1887.875,8.384,0.955
1887,12,1887.958,7.774,0.930
1888,1,1888.042,9.291,1.338
1888,2,1888.125,9.084,0.757
1888,3,1888.208,8.856,0.684
1888,4,1888.292,9.137,0.815
1888,5,1888.375,8.244,0.739
