# Monthly average temperature data for China.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1841,1,1841.042,4.701,2.223
1841,3,1841.208,4.100,1.163
1841,4,1841.292,5.097,1.448
1841,5,1841.375,6.142,1.038
1841,6,1841.458,5.844,1.516
1841,7,1841.542,6.657,1.430
1841,8,1841.625,6.122,1.290
1841,9,1841.708,5.656,1.129
1841,10,1841.792,5.898,1.334
1841,11,1841.875,4.894,1.332
1841,12,1841.958,4.704,1.603
1842,1,1842.042,6.319,1.915
1842,2,1842.125,7.048,1.392
1842,3,1842.208,7.459,1.253
1842,4,1842.292,7.238,1.304
1842,5,1842.375,6.117,1.066
1842,6,1842.458,6.007,1.504
1842,7,1842.542,5.531,1.118
1842,8,1842.625,5.692,1.169
1842,9,1842.708,6.001,1.145
1842,10,1842.792,5.664,1.175
1842,11,1842.875,5.365,1.203
1842,12,1842.958,7.272,1.259
1843,1,1843.042,7.106,1.316
1843,2,1843.125,8.197,1.547
1843,3,1843.208,6.559,1.499
1843,4,1843.292,6.900,1.240
1843,5,1843.375,5.630,1.238
1843,6,1843.458,5.697,1.048
1843,7,1843.542,6.267,1.121
1843,8,1843.625,6.351,1.016
1843,9,1843.708,6.208,1.115
1843,10,1843.792,5.906,1.271
1843,11,1843.875,5.293,1.135
1843,12,1843.958,7.057,1.995
1844,1,1844.042,6.854,1.533
1844,2,1844.125,6.126,1.399
1844,3,1844.208,7.139,1.262
1844,4,1844.292,5.652,1.236
1844,5,1844.375,5.305,1.050
1844,6,1844.458,5.980,1.069
1844,7,1844.542,5.932,1.136
1844,8,1844.625,6.070,1.071
1844,9,1844.708,5.733,1.073
1844,10,1844.792,6.394,1.048
1844,11,1844.875,6.196,1.786
1844,12,1844.958,5.189,1.516
1845,1,1845.042,7.229,1.285
1845,2,1845.125,5.618,1.690
1845,3,1845.208,6.422,1.112
1845,4,1845.292,6.317,1.136
1845,5,1845.375,6.655,1.386
1845,6,1845.458,6.957,1.308
1845,7,1845.542,6.553,1.283
1845,8,1845.625,5.944,1.171
1845,9,1845.708,5.972,1.276
1845,10,1845.792,5.385,1.312
1845,11,1845.875,5.510,1.432
1845,12,1845.958,3.746,1.712
1846,1,1846.042,6.477,2.531
1846,2,1846.125,7.844,1.453
1846,3,1846.208,7.370,1.126
1846,4,1846.292,5.518,1.519
1846,5,1846.375,5.909,1.307
1846,6,1846.458,6.925,1.351
1846,7,1846.542,7.194,1.081
1846,8,1846.625,6.979,0.959
1846,9,1846.708,6.747,1.099
1846,10,1846.792,5.509,1.364
1846,11,1846.875,5.369,1.249
1846,12,1846.958,7.170,1.143
1847,1,1847.042,7.728,1.178
1847,2,1847.125,6.979,1.180
1847,3,1847.208,5.919,1.684
1847,4,1847.292,6.963,1.364
1847,5,1847.375,6.223,1.037
1847,6,1847.458,6.177,0.927
1847,7,1847.542,6.713,1.052
1847,8,1847.625,6.005,0.991
1847,9,1847.708,6.050,0.978
1847,10,1847.792,5.905,0.940
1847,11,1847.875,6.999,1.191
1847,12,1847.958,5.056,1.235
1848,1,1848.042,4.274,1.368
1848,2,1848.125,6.920,1.455
1848,3,1848.208,6.222,1.077
1848,4,1848.292,5.808,1.063
1848,5,1848.375,6.209,1.231
1848,6,1848.458,6.553,1.172
1848,7,1848.542,6.875,0.877
1848,8,1848.625,6.008,0.982
1848,9,1848.708,5.894,0.949
1848,10,1848.792,5.731,1.133
1848,11,1848.875,5.529,1.009
1848,12,1848.958,6.266,1.354
1849,1,1849.042,6.826,1.657
1849,2,1849.125,6.683,1.247
1849,3,1849.208,7.097,1.654
1849,4,1849.292,5.739,1.824
1849,5,1849.375,5.547,1.106
1849,6,1849.458,6.307,1.022
1849,7,1849.542,6.278,1.100
1849,8,1849.625,6.606,1.181
1849,9,1849.708,6.169,0.941
1849,10,1849.792,5.796,1.344
1849,11,1849.875,5.344,1.758
1849,12,1849.958,4.960,1.339
1850,1,1850.042,5.207,1.391
1850,2,1850.125,5.994,2.099
1850,3,1850.208,6.753,1.515
1850,4,1850.292,5.032,1.451
1850,5,1850.375,6.061,1.042
1850,6,1850.458,6.487,0.953
1850,7,1850.542,6.805,0.885
1850,8,1850.625,6.576,0.992
1850,9,1850.708,6.366,0.999
1850,10,1850.792,5.832,1.139
1850,11,1850.875,4.630,1.143
1850,12,1850.958,6.661,1.106
1851,1,1851.042,6.440,1.121
1851,2,1851.125,5.964,1.009
1851,3,1851.208,4.792,1.577
1851,4,1851.292,4.384,0.884
1851,5,1851.375,5.873,1.140
1851,6,1851.458,6.895,1.293
1851,7,1851.542,6.964,0.901
1851,8,1851.625,6.350,0.985
1851,9,1851.708,5.768,1.035
1851,10,1851.792,5.748,1.165
1851,11,1851.875,4.495,1.039
1851,12,1851.958,5.785,1.164
1852,1,1852.042,6.130,1.107
1852,2,1852.125,5.039,1.291
1852,3,1852.208,4.318,1.025
1852,4,1852.292,5.455,1.474
1852,5,1852.375,6.287,1.206
1852,6,1852.458,6.788,1.010
1852,7,1852.542,7.202,0.900
1852,8,1852.625,5.912,0.970
1852,9,1852.708,5.998,0.910
1852,10,1852.792,6.596,1.060
1852,11,1852.875,4.562,1.380
1852,12,1852.958,6.589,1.495
1853,1,1853.042,4.624,1.276
1853,2,1853.125,5.073,2.323
1853,3,1853.208,6.082,1.010
1853,4,1853.292,5.387,0.963
1853,5,1853.375,6.346,0.863
1853,6,1853.458,7.065,0.838
1853,7,1853.542,7.669,0.999
1853,8,1853.625,6.793,0.895
1853,9,1853.708,6.924,0.965
1853,10,1853.792,5.426,1.303
1853,11,1853.875,5.508,0.935
1853,12,1853.958,5.884,1.150
1854,1,1854.042,6.675,0.990
1854,2,1854.125,4.841,1.704
1854,3,1854.208,6.821,0.855
1854,4,1854.292,6.258,1.338
1854,5,1854.375,7.089,1.033
1854,6,1854.458,6.456,1.037
1854,7,1854.542,7.524,0.988
1854,8,1854.625,6.917,1.016
1854,9,1854.708,6.428,1.062
1854,10,1854.792,6.862,1.501
1854,11,1854.875,6.263,1.172
1854,12,1854.958,6.555,1.378
1855,1,1855.042,6.428,1.352
1855,2,1855.125,7.475,1.367
1855,3,1855.208,6.590,1.428
1855,4,1855.292,7.731,1.539
1855,5,1855.375,6.749,1.077
1855,6,1855.458,6.724,1.113
1855,7,1855.542,6.601,1.032
1855,8,1855.625,6.478,1.050
1855,9,1855.708,6.182,1.062
1855,10,1855.792,5.774,1.273
1855,11,1855.875,5.586,1.136
1855,12,1855.958,6.319,1.716
1856,1,1856.042,6.547,1.257
1856,2,1856.125,4.877,1.338
1856,3,1856.208,6.445,1.352
1856,4,1856.292,6.368,1.171
1856,5,1856.375,6.035,1.219
1856,6,1856.458,6.866,1.392
1856,7,1856.542,6.899,1.166
1856,8,1856.625,6.086,1.301
1856,9,1856.708,5.745,1.184
1856,10,1856.792,5.704,1.148
1856,11,1856.875,6.060,1.223
1856,12,1856.958,7.007,1.260
1857,1,1857.042,5.943,1.234
1857,2,1857.125,6.476,1.279
1857,3,1857.208,6.183,1.143
1857,4,1857.292,5.748,1.183
1857,5,1857.375,5.258,1.118
1857,6,1857.458,6.058,1.241
1857,7,1857.542,6.534,1.157
1857,8,1857.625,5.962,1.163
1857,9,1857.708,6.076,1.210
1857,10,1857.792,5.957,1.193
1858,1,1858.042,7.338,1.318
1858,2,1858.125,6.830,1.178
1858,3,1858.208,6.234,1.159
1858,4,1858.292,6.945,1.435
1858,5,1858.375,6.175,1.075
1858,6,1858.458,6.626,1.124
1858,7,1858.542,6.578,1.076
1858,8,1858.625,6.292,1.226
1858,9,1858.708,6.341,1.193
1858,10,1858.792,6.478,1.074
1858,11,1858.875,7.027,1.076
1858,12,1858.958,5.722,1.106
1859,1,1859.042,6.866,1.390
1859,2,1859.125,6.272,1.409
1859,3,1859.208,6.520,1.396
1859,4,1859.292,7.622,1.211
1859,5,1859.375,7.342,1.130
1859,6,1859.458,6.865,1.018
1859,7,1859.542,6.623,1.093
1859,8,1859.625,6.504,0.964
1859,9,1859.708,5.950,0.960
1859,10,1859.792,6.449,1.035
1859,11,1859.875,6.611,1.145
1859,12,1859.958,6.517,1.127
1860,1,1860.042,5.396,1.108
1860,2,1860.125,6.220,1.179
1860,3,1860.208,3.708,1.451
1860,4,1860.292,5.970,1.113
1860,5,1860.375,5.938,1.267
1860,6,1860.458,6.524,1.006
1860,7,1860.542,6.345,1.350
1860,8,1860.625,6.671,1.104
1860,9,1860.708,6.994,1.060
1860,10,1860.792,5.635,1.273
1860,11,1860.875,4.816,1.177
1860,12,1860.958,4.761,1.229
1861,1,1861.042,4.081,1.240
1861,2,1861.125,4.789,1.224
1861,3,1861.208,5.771,1.439
1861,4,1861.292,6.556,1.446
1861,5,1861.375,5.744,1.090
1861,6,1861.458,6.782,1.028
1861,7,1861.542,6.727,1.016
1861,8,1861.625,6.732,1.038
1861,9,1861.708,5.870,1.219
1861,10,1861.792,6.088,0.992
1861,11,1861.875,6.888,1.052
1861,12,1861.958,5.611,1.177
1862,1,1862.042,3.839,1.441
1862,2,1862.125,5.555,1.317
1862,3,1862.208,5.158,1.368
1863,1,1863.042,7.795,1.695
1863,10,1863.792,5.411,1.148
1863,11,1863.875,5.758,1.312
1863,12,1863.958,6.044,1.460
1864,1,1864.042,6.345,1.451
1864,2,1864.125,5.729,1.420
1864,3,1864.208,5.526,1.337
1864,4,1864.292,5.711,1.434
1864,5,1864.375,6.041,1.175
1864,6,1864.458,6.181,1.253
1864,7,1864.542,6.741,1.189
1864,8,1864.625,5.755,1.172
1864,9,1864.708,5.749,1.050
1864,10,1864.792,6.504,1.188
1864,11,1864.875,6.215,1.580
1864,12,1864.958,4.467,1.217
1865,1,1865.042,7.485,1.285
1865,2,1865.125,5.911,1.277
1865,3,1865.208,5.428,1.174
1865,4,1865.292,6.470,1.245
1865,5,1865.375,6.956,1.093
1865,6,1865.458,6.962,1.100
1865,8,1865.625,6.886,1.123
1865,9,1865.708,6.922,1.053
1865,10,1865.792,6.590,1.093
1865,11,1865.875,5.756,1.499
1865,12,1865.958,5.607,1.959
1866,1,1866.042,7.377,1.671
1866,2,1866.125,6.371,1.210
1866,3,1866.208,5.391,1.556
1866,4,1866.292,6.053,1.230
1866,5,1866.375,6.348,1.325
1866,6,1866.458,6.376,1.045
1866,7,1866.542,7.540,1.099
1866,8,1866.625,7.051,1.135
1866,9,1866.708,6.106,1.175
1866,10,1866.792,6.287,1.028
1866,11,1866.875,6.700,1.203
1866,12,1866.958,7.884,1.084
1867,1,1867.042,6.771,1.243
1867,2,1867.125,6.224,1.748
1867,3,1867.208,6.922,1.372
1867,4,1867.292,7.274,1.120
