# Monthly average temperature data for Christmas Island.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1825,1,1825.042,26.012,2.258
1825,2,1825.125,25.445,1.236
1825,3,1825.208,25.705,1.286
1825,4,1825.292,26.263,1.926
1825,5,1825.375,25.497,0.985
1825,6,1825.458,26.268,0.810
1825,7,1825.542,25.909,2.484
1825,8,1825.625,25.311,2.132
1825,9,1825.708,25.024,1.167
1825,10,1825.792,24.862,1.344
1825,11,1825.875,25.717,2.577
1825,12,1825.958,25.068,1.280
1839,4,1839.292,25.077,0.818
1839,5,1839.375,24.636,0.964
1839,6,1839.458,24.960,1.054
1839,7,1839.542,25.675,0.818
1839,8,1839.625,25.614,0.945
1839,9,1839.708,24.480,1.263
1839,10,1839.792,24.752,1.146
1839,11,1839.875,23.727,1.321
1839,12,1839.958,23.571,2.058
1840,1,1840.042,25.565,1.525
1840,2,1840.125,24.575,1.471
1840,3,1840.208,24.572,1.627
1840,11,1840.875,24.150,1.848
1841,1,1841.042,23.866,1.703
1841,2,1841.125,25.019,1.216
1850,1,1850.042,24.348,1.089
1850,2,1850.125,25.498,1.341
1850,3,1850.208,25.414,1.100
1850,4,1850.292,24.807,1.361
1850,5,1850.375,24.706,1.279
1850,6,1850.458,25.539,0.906
1850,7,1850.542,25.967,0.790
1850,8,1850.625,25.724,0.820
1850,9,1850.708,25.048,0.718
1850,10,1850.792,24.831,1.214
1850,11,1850.875,24.541,1.143
1850,12,1850.958,24.685,1.135
1851,1,1851.042,25.513,0.889
1851,2,1851.125,25.168,0.989
1851,3,1851.208,24.815,0.852
1851,4,1851.292,24.787,1.297
1851,5,1851.375,25.396,1.092
1851,6,1851.458,25.734,0.887
1851,7,1851.542,25.861,0.808
1851,8,1851.625,25.541,0.825
1851,9,1851.708,25.222,0.849
1851,10,1851.792,25.492,1.212
1851,11,1851.875,24.619,1.476
1851,12,1851.958,25.233,1.091
1852,1,1852.042,25.230,1.647
1852,2,1852.125,25.059,1.277
1852,3,1852.208,24.583,1.406
1852,4,1852.292,24.944,1.076
1852,5,1852.375,25.422,1.130
1852,6,1852.458,25.612,1.134
1852,7,1852.542,25.904,0.787
1852,8,1852.625,25.253,0.822
