# Monthly average temperature data for Colombia.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1881,3,1881.208,24.098,1.292
1881,4,1881.292,24.174,1.593
1881,5,1881.375,24.973,1.012
1881,6,1881.458,24.443,0.590
1881,7,1881.542,24.851,0.699
1881,8,1881.625,24.825,0.773
1881,9,1881.708,24.363,1.297
1881,10,1881.792,24.582,0.779
1881,11,1881.875,23.878,0.735
1881,12,1881.958,24.379,0.561
1882,1,1882.042,24.216,0.924
1882,2,1882.125,23.893,0.795
1882,3,1882.208,23.338,0.796
1882,4,1882.292,23.380,0.937
1882,5,1882.375,23.848,0.745
1882,6,1882.458,24.194,0.946
1882,7,1882.542,24.175,0.580
1882,8,1882.625,24.379,0.731
1882,9,1882.708,24.382,0.540
1882,10,1882.792,23.958,2.379
1882,11,1882.875,24.052,0.620
1882,12,1882.958,24.128,1.367
1883,1,1883.042,23.957,0.747
1883,2,1883.125,23.546,0.760
1883,3,1883.208,23.920,1.287
1883,4,1883.292,23.825,0.755
1883,5,1883.375,24.082,0.747
1883,6,1883.458,24.129,1.121
1883,7,1883.542,24.084,0.723
1883,8,1883.625,24.002,0.858
1883,9,1883.708,23.989,0.574
1883,10,1883.792,23.875,0.698
1883,11,1883.875,23.511,0.708
1883,12,1883.958,23.953,0.728
1884,1,1884.042,24.065,0.721
1884,2,1884.125,23.630,0.934
1884,3,1884.208,22.807,0.650
1884,4,1884.292,23.101,0.763
1884,5,1884.375,23.467,0.771
1884,6,1884.458,24.517,0.652
1884,7,1884.542,24.126,0.759
1884,8,1884.625,23.649,1.354
1884,10,1884.792,23.980,0.670
1884,11,1884.875,24.894,1.531
1884,12,1884.958,24.562,1.556
1886,1,1886.042,23.973,0.980
1886,2,1886.125,23.818,0.746
1886,3,1886.208,23.616,1.095
1886,4,1886.292,24.340,0.800
1886,5,1886.375,24.039,0.617
1886,6,1886.458,24.239,0.593
1886,7,1886.542,24.577,0.956
1886,8,1886.625,24.264,0.673
1886,9,1886.708,24.324,0.940
1886,10,1886.792,24.581,0.813
1886,11,1886.875,24.241,0.909
1886,12,1886.958,24.154,0.934
1887,1,1887.042,23.770,1.271
1887,2,1887.125,22.965,0.865
1887,3,1887.208,23.427,1.166
1887,4,1887.292,23.532,0.719
1887,5,1887.375,23.917,1.039
1887,8,1887.625,24.036,0.593
1887,9,1887.708,24.406,0.544
1887,10,1887.792,24.445,0.738
1887,11,1887.875,24.434,0.659
1887,12,1887.958,23.994,0.699
1888,1,1888.042,23.625,1.207
1888,2,1888.125,23.386,0.878
1888,3,1888.208,23.545,0.690
1888,4,1888.292,23.704,0.789
1888,5,1888.375,24.185,0.889
1888,6,1888.458,24.326,1.562
1888,7,1888.542,25.084,0.555
1888,8,1888.625,24.303,1.052
1891,1,1891.042,23.563,0.957
1891,2,1891.125,23.875,1.062
1891,3,1891.208,23.772,0.962
1891,4,1891.292,24.285,0.546
1891,5,1891.375,24.803,0.574
1891,6,1891.458,24.688,0.631
1891,7,1891.542,24.745,0.450
1891,8,1891.625,24.578,0.463
1891,9,1891.708,24.801,0.400
1891,10,1891.792,24.557,0.839
1891,11,1891.875,24.603,0.845
1891,12,1891.958,23.728,0.976
1892,1,1892.042,24.697,0.583
1892,2,1892.125,23.770,0.594
1892,3,1892.208,24.170,0.568
1892,4,1892.292,23.554,0.774
1892,5,1892.375,23.606,1.035
1892,6,1892.458,23.788,1.196
1892,7,1892.542,24.118,0.611
1892,8,1892.625,23.352,1.026
1892,9,1892.708,24.381,0.443
1892,10,1892.792,23.967,0.781
1892,11,1892.875,24.139,0.669
1892,12,1892.958,23.909,0.928
1893,1,1893.042,23.560,0.798
1893,2,1893.125,23.534,0.716
1893,3,1893.208,23.512,0.834
1893,4,1893.292,23.964,0.690
1893,5,1893.375,23.590,0.786
1893,6,1893.458,23.634,0.606
1893,7,1893.542,23.668,0.558
1893,8,1893.625,24.027,0.393
1893,9,1893.708,24.014,0.771
1893,10,1893.792,23.966,1.058
1893,11,1893.875,23.697,0.680
1893,12,1893.958,23.534,0.671
1894,1,1894.042,23.341,0.663
1894,2,1894.125,23.573,0.601
1894,3,1894.208,23.281,0.709
1894,4,1894.292,23.736,0.687
1894,5,1894.375,23.968,0.647
1894,6,1894.458,24.203,0.958
1894,7,1894.542,24.035,1.465
1894,8,1894.625,23.935,1.001
1894,9,1894.708,24.268,0.347
1894,10,1894.792,24.143,0.441
1894,11,1894.875,24.342,0.936
1894,12,1894.958,24.022,1.824
1895,1,1895.042,23.796,0.842
1895,2,1895.125,24.070,0.524
1895,3,1895.208,23.936,0.518
1895,4,1895.292,24.590,0.526
1895,5,1895.375,24.516,0.559
1895,6,1895.458,24.811,0.462
1895,7,1895.542,24.750,0.530
1895,8,1895.625,24.631,0.344
1895,9,1895.708,25.142,0.812
1895,10,1895.792,24.633,0.503
1895,11,1895.875,24.072,0.514
1895,12,1895.958,24.122,0.713
1896,1,1896.042,23.921,0.535
1896,2,1896.125,24.526,0.853
1896,3,1896.208,24.243,0.808
1896,4,1896.292,23.929,0.505
1896,5,1896.375,24.265,0.346
1896,6,1896.458,24.419,1.010
1896,7,1896.542,25.262,1.197
1896,8,1896.625,24.725,0.503
1896,9,1896.708,24.806,0.728
1896,10,1896.792,25.342,0.775
1896,11,1896.875,24.422,1.170
1896,12,1896.958,24.695,0.559
1897,1,1897.042,24.785,0.672
1897,2,1897.125,24.622,0.547
1897,3,1897.208,24.444,0.806
1897,4,1897.292,25.297,1.075
1897,5,1897.375,24.650,0.608
1897,6,1897.458,24.789,0.624
1897,7,1897.542,24.281,1.060
1897,8,1897.625,24.692,0.414
1897,9,1897.708,24.652,0.664
1897,10,1897.792,24.799,0.458
1897,11,1897.875,23.882,0.588
1897,12,1897.958,24.323,0.495
1898,1,1898.042,24.235,0.607
1898,2,1898.125,23.764,0.891
1898,3,1898.208,23.349,0.773
1898,4,1898.292,24.271,0.886
1898,5,1898.375,24.601,0.694
1898,6,1898.458,24.484,0.775
1898,7,1898.542,24.559,0.634
1898,8,1898.625,24.450,0.701
1898,9,1898.708,24.276,0.608
1898,10,1898.792,24.350,0.626
1898,11,1898.875,24.170,0.640
1898,12,1898.958,24.180,0.678
1899,1,1899.042,24.521,0.880
1899,2,1899.125,24.330,0.816
1899,3,1899.208,23.923,0.755
1899,4,1899.292,24.852,0.957
1899,5,1899.375,24.591,0.630
1899,6,1899.458,24.726,0.707
1899,7,1899.542,24.750,0.820
1899,8,1899.625,24.772,0.743
1899,9,1899.708,24.890,0.569
1899,10,1899.792,24.455,0.699
1899,11,1899.875,25.191,0.843
1899,12,1899.958,24.354,0.788
1900,1,1900.042,24.597,0.851
1900,2,1900.125,25.472,1.007
1900,3,1900.208,25.590,0.949
1900,4,1900.292,25.297,0.788
1900,5,1900.375,25.585,1.419
1900,6,1900.458,25.191,0.976
1900,7,1900.542,25.212,1.318
1900,8,1900.625,24.679,0.742
1900,9,1900.708,24.491,0.472
1900,10,1900.792,24.607,0.550
1900,11,1900.875,24.440,0.501
1900,12,1900.958,24.836,0.451
1901,1,1901.042,24.646,0.569
1901,2,1901.125,24.824,0.724
1901,3,1901.208,24.790,0.892
1901,4,1901.292,24.882,0.873
1901,5,1901.375,24.487,0.851
1901,6,1901.458,24.642,0.665
1901,7,1901.542,24.541,0.808
1901,8,1901.625,24.804,0.444
1901,9,1901.708,24.631,0.405
1901,10,1901.792,24.358,0.437
1901,11,1901.875,24.198,0.638
1901,12,1901.958,24.301,0.790
1902,1,1902.042,24.263,0.819
1902,2,1902.125,24.458,0.815
1902,3,1902.208,24.137,0.516
1902,4,1902.292,24.603,0.536
1902,5,1902.375,24.797,0.480
1902,6,1902.458,24.662,0.561
1902,7,1902.542,25.127,0.603
1902,8,1902.625,25.049,0.591
1902,9,1902.708,24.850,0.520
1902,10,1902.792,24.540,0.461
1902,11,1902.875,24.578,0.771
1902,12,1902.958,24.444,0.440
1903,1,1903.042,24.808,0.602
1903,2,1903.125,25.302,0.458
1903,3,1903.208,24.698,0.875
1903,4,1903.292,24.611,0.604
1903,5,1903.375,24.554,0.534
1903,6,1903.458,24.835,0.414
1903,7,1903.542,24.793,0.549
1903,8,1903.625,24.067,0.473
1903,9,1903.708,24.337,0.489
1903,10,1903.792,24.602,0.548
1903,11,1903.875,24.309,0.628
