# Monthly average temperature data for Comoros.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1889,1,1889.042,25.517,1.030
1889,2,1889.125,26.628,1.525
1889,3,1889.208,25.687,0.585
1889,4,1889.292,26.196,0.622
1889,5,1889.375,26.283,1.191
1889,6,1889.458,25.733,0.582
1889,7,1889.542,25.876,0.638
1889,8,1889.625,25.125,0.768
1889,9,1889.708,25.485,0.573
1889,10,1889.792,24.845,1.143
1889,11,1889.875,25.195,0.733
1889,12,1889.958,25.383,0.633
1890,1,1890.042,25.523,0.957
1890,2,1890.125,25.435,0.896
1890,3,1890.208,24.809,0.666
1890,4,1890.292,25.136,0.668
1890,7,1890.542,24.991,1.061
1890,8,1890.625,24.983,0.804
1890,9,1890.708,24.969,1.117
1890,10,1890.792,24.804,1.528
1890,11,1890.875,24.364,1.200
1890,12,1890.958,24.219,1.712
1891,1,1891.042,24.556,0.801
1891,2,1891.125,24.884,0.699
1891,3,1891.208,24.597,1.075
1891,4,1891.292,25.220,0.558
1891,5,1891.375,25.193,0.732
1891,6,1891.458,25.647,0.649
1891,7,1891.542,25.234,0.609
1891,8,1891.625,25.125,0.739
1891,9,1891.708,25.480,0.577
1891,10,1891.792,25.203,0.565
1891,11,1891.875,24.863,0.669
1891,12,1891.958,25.656,0.693
1892,1,1892.042,24.387,1.641
1892,2,1892.125,24.769,0.594
1892,3,1892.208,25.508,1.216
1892,4,1892.292,25.994,0.643
1892,5,1892.375,25.734,0.871
1892,6,1892.458,26.175,1.195
1892,7,1892.542,26.042,1.049
1892,8,1892.625,26.056,0.528
1892,9,1892.708,25.596,1.384
1892,10,1892.792,25.733,0.592
1892,11,1892.875,25.586,0.711
1892,12,1892.958,24.977,0.781
1893,1,1893.042,24.694,0.797
1893,2,1893.125,24.991,1.013
1893,3,1893.208,25.061,0.527
1893,4,1893.292,25.228,0.583
1893,5,1893.375,25.084,0.660
1893,6,1893.458,24.946,0.889
1893,7,1893.542,25.081,0.841
1893,8,1893.625,25.452,1.289
1893,9,1893.708,25.503,0.665
1893,10,1893.792,25.469,0.477
1893,11,1893.875,25.047,0.417
1893,12,1893.958,25.134,0.813
1894,1,1894.042,24.889,0.754
1894,2,1894.125,25.205,0.510
1894,3,1894.208,25.392,0.638
1894,4,1894.292,24.952,0.465
1894,5,1894.375,25.077,0.852
1894,6,1894.458,24.708,0.605
1894,7,1894.542,25.553,0.466
1894,8,1894.625,25.772,0.404
1894,9,1894.708,25.711,0.588
1894,10,1894.792,26.228,0.498
1894,11,1894.875,25.716,0.698
1894,12,1894.958,24.857,0.931
1895,1,1895.042,24.984,0.460
1895,2,1895.125,25.135,0.698
1895,3,1895.208,25.420,0.413
1895,4,1895.292,25.976,0.625
1895,5,1895.375,25.368,0.875
1895,6,1895.458,25.207,0.574
1895,7,1895.542,25.905,0.579
1895,8,1895.625,25.741,0.392
1895,9,1895.708,25.508,0.589
1895,10,1895.792,25.624,0.524
1895,11,1895.875,25.492,0.582
1895,12,1895.958,25.237,0.623
1896,1,1896.042,25.493,0.673
1896,2,1896.125,25.235,0.334
1896,3,1896.208,25.809,0.930
1896,4,1896.292,25.903,0.975
1896,5,1896.375,25.790,0.575
1896,6,1896.458,26.211,0.529
1896,7,1896.542,25.670,0.549
1896,8,1896.625,25.722,0.768
1896,9,1896.708,25.758,0.544
1896,10,1896.792,25.632,0.474
1896,11,1896.875,24.930,1.009
1896,12,1896.958,25.317,0.789
1897,1,1897.042,25.438,0.621
1897,2,1897.125,25.260,0.673
1897,3,1897.208,25.888,0.462
1897,4,1897.292,25.395,0.329
1897,5,1897.375,25.330,0.394
1897,6,1897.458,25.668,0.791
1897,7,1897.542,26.243,0.977
1897,8,1897.625,26.297,0.585
1897,9,1897.708,26.073,0.809
1897,10,1897.792,25.576,0.485
1897,11,1897.875,26.127,0.551
1897,12,1897.958,24.962,0.934
1898,1,1898.042,25.435,0.424
1898,2,1898.125,25.231,0.736
1898,3,1898.208,25.187,0.883
1898,4,1898.292,25.452,1.254
1898,5,1898.375,26.272,0.587
1898,6,1898.458,25.515,0.369
1898,7,1898.542,25.394,0.690
1898,8,1898.625,25.275,0.905
1898,9,1898.708,25.857,0.753
1898,10,1898.792,26.147,1.003
1898,11,1898.875,26.705,1.325
1898,12,1898.958,26.095,0.508
1899,1,1899.042,25.945,0.610
1899,2,1899.125,25.090,0.630
1899,3,1899.208,25.215,0.603
1899,4,1899.292,25.889,0.985
1899,5,1899.375,24.398,0.459
1899,6,1899.458,24.545,0.742
1899,7,1899.542,25.096,0.487
1899,8,1899.625,25.084,0.939
1899,9,1899.708,25.680,0.361
1899,10,1899.792,25.954,0.669
1899,11,1899.875,25.983,1.349
1899,12,1899.958,25.517,0.885
1900,1,1900.042,26.246,1.074
1900,2,1900.125,26.025,1.652
1900,3,1900.208,25.998,0.496
1900,4,1900.292,26.042,0.444
1900,5,1900.375,25.884,0.503
1900,6,1900.458,25.670,0.739
1900,7,1900.542,25.521,0.669
1900,8,1900.625,26.106,0.860
1900,9,1900.708,26.001,0.866
1900,10,1900.792,26.263,0.718
1900,11,1900.875,25.797,0.900
1900,12,1900.958,25.927,0.432
1901,1,1901.042,25.789,0.497
1901,2,1901.125,24.956,0.877
1901,3,1901.208,25.743,0.413
1901,4,1901.292,25.407,0.659
1901,5,1901.375,25.424,0.412
1901,6,1901.458,24.681,0.833
1901,7,1901.542,25.457,0.252
1901,8,1901.625,25.238,0.710
1901,9,1901.708,25.364,1.078
1901,10,1901.792,25.496,1.040
1901,11,1901.875,25.905,1.069
1901,12,1901.958,25.419,0.609
1902,1,1902.042,25.667,0.529
1902,2,1902.125,25.133,0.558
1902,3,1902.208,25.379,0.487
1902,4,1902.292,26.153,0.283
1902,5,1902.375,25.682,0.487
1902,6,1902.458,25.924,0.620
1902,7,1902.542,26.041,0.586
1902,8,1902.625,26.540,0.456
1902,9,1902.708,26.795,0.244
1902,10,1902.792,25.849,0.735
1902,11,1902.875,26.002,0.312
1902,12,1902.958,25.828,0.390
