# Monthly average temperature data for Congo (Democratic Republic Of The).
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1850,1,1850.042,22.341,0.968
1850,2,1850.125,23.568,1.266
1850,3,1850.208,23.456,1.015
1850,4,1850.292,22.865,1.170
1850,5,1850.375,22.427,1.007
1850,6,1850.458,23.560,0.914
1850,7,1850.542,23.973,0.776
1850,8,1850.625,23.818,0.819
1850,9,1850.708,23.147,0.781
1850,10,1850.792,22.652,1.020
1850,11,1850.875,22.379,1.103
1856,1,1856.042,23.873,0.873
1856,2,1856.125,22.975,1.979
1856,3,1856.208,23.101,1.114
1856,4,1856.292,23.159,0.878
1856,5,1856.375,22.783,0.921
1857,4,1857.292,22.403,0.775
1857,5,1857.375,22.384,0.825
1857,8,1857.625,22.741,0.906
1857,9,1857.708,22.633,0.773
1857,10,1857.792,22.442,0.862
1857,11,1857.875,22.861,0.833
1857,12,1857.958,23.194,1.023
1858,1,1858.042,23.691,1.257
1858,2,1858.125,23.021,0.931
1858,3,1858.208,23.066,0.796
1858,4,1858.292,23.809,0.965
1858,5,1858.375,23.106,0.937
1858,7,1858.542,22.755,1.014
1858,10,1858.792,23.008,0.912
1859,1,1859.042,23.901,0.959
1859,2,1859.125,23.269,1.054
1859,3,1859.208,23.665,1.101
1859,4,1859.292,23.825,0.900
1859,5,1859.375,23.716,0.828
1859,6,1859.458,23.497,0.737
1859,7,1859.542,23.303,0.788
1859,8,1859.625,23.096,0.702
1859,9,1859.708,22.747,0.644
1859,10,1859.792,23.111,0.795
1859,11,1859.875,23.126,1.027
1859,12,1859.958,23.606,1.390
1860,1,1860.042,24.077,1.377
1860,2,1860.125,23.960,1.336
1860,3,1860.208,23.036,1.983
1860,5,1860.375,23.458,0.752
1860,6,1860.458,23.695,0.742
1860,7,1860.542,23.652,0.774
1860,8,1860.625,23.567,0.802
1860,9,1860.708,23.587,0.759
