# Monthly average temperature data for Congo.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1856,1,1856.042,24.396,1.001
1856,2,1856.125,23.674,2.285
1856,3,1856.208,23.920,1.280
1856,4,1856.292,23.758,0.914
1856,5,1856.375,23.317,0.963
1857,4,1857.292,23.114,0.766
1857,5,1857.375,23.064,0.832
1857,8,1857.625,23.246,1.173
1857,9,1857.708,23.255,0.788
1857,10,1857.792,23.040,0.946
1857,11,1857.875,23.467,0.843
1857,12,1857.958,23.604,1.445
1858,1,1858.042,24.119,1.608
1858,2,1858.125,23.696,0.964
1858,3,1858.208,23.597,0.962
1858,4,1858.292,24.473,0.999
1858,5,1858.375,23.622,0.951
1858,7,1858.542,23.192,1.429
1858,10,1858.792,23.548,1.111
1859,1,1859.042,24.410,1.200
1859,4,1859.292,24.817,0.960
1859,5,1859.375,24.228,0.921
1859,6,1859.458,24.072,0.690
1859,7,1859.542,24.079,0.853
1859,8,1859.625,24.043,0.824
1859,9,1859.708,23.544,0.675
1859,10,1859.792,23.694,0.930
1859,11,1859.875,23.696,1.266
1859,12,1859.958,24.327,1.352
1860,1,1860.042,25.181,2.141
1860,2,1860.125,25.015,2.058
1860,3,1860.208,24.399,3.246
1860,5,1860.375,24.042,0.703
1860,6,1860.458,24.315,0.705
1860,7,1860.542,24.265,0.781
1860,8,1860.625,24.204,0.794
1860,9,1860.708,24.259,0.744
1860,10,1860.792,23.735,0.729
1860,11,1860.875,23.264,0.972
1860,12,1860.958,22.817,1.120
1861,1,1861.042,23.003,1.789
1861,2,1861.125,23.555,1.022
1861,3,1861.208,23.516,0.904
1861,4,1861.292,23.460,1.263
1861,5,1861.375,23.711,0.691
1861,6,1861.458,23.910,0.873
1861,7,1861.542,23.932,0.976
1861,8,1861.625,23.808,0.804
1861,11,1861.875,23.501,1.226
1861,12,1861.958,23.765,0.964
1862,1,1862.042,23.197,1.455
1862,2,1862.125,23.321,0.909
1862,3,1862.208,24.240,1.271
1862,4,1862.292,24.231,1.671
1873,3,1873.208,23.962,0.835
1873,5,1873.375,24.308,0.853
1873,6,1873.458,25.102,1.331
1873,7,1873.542,25.100,1.114
1873,8,1873.625,24.712,0.913
1873,9,1873.708,24.443,1.246
1873,10,1873.792,24.110,0.905
1873,12,1873.958,24.393,0.881
1874,1,1874.042,24.620,1.064
1874,2,1874.125,24.122,0.848
1874,3,1874.208,23.643,0.931
1874,4,1874.292,24.241,0.746
1874,5,1874.375,24.133,1.111
1874,7,1874.542,24.531,0.749
1874,8,1874.625,24.278,0.747
1874,9,1874.708,24.498,0.691
1874,10,1874.792,24.236,0.706
1874,11,1874.875,23.809,0.809
1874,12,1874.958,24.081,0.751
1875,1,1875.042,23.445,0.745
1875,2,1875.125,23.584,0.944
1875,3,1875.208,23.494,0.791
1875,4,1875.292,23.919,0.712
1875,5,1875.375,24.122,0.954
1875,6,1875.458,24.590,0.882
1875,7,1875.542,24.848,0.910
1875,8,1875.625,24.477,1.034
1875,9,1875.708,24.010,0.770
1875,10,1875.792,23.573,0.689
1875,11,1875.875,22.933,0.752
1875,12,1875.958,23.306,0.836
1876,1,1876.042,23.217,1.172
1876,2,1876.125,23.231,1.217
1876,3,1876.208,23.185,1.487
1876,5,1876.375,23.687,0.705
1876,6,1876.458,24.226,0.737
1876,10,1876.792,24.446,0.998
1876,11,1876.875,23.866,1.176
1876,12,1876.958,23.649,1.314
1877,1,1877.042,24.163,0.796
1877,2,1877.125,23.933,0.800
1877,3,1877.208,24.214,0.673
1877,4,1877.292,24.114,0.701
1877,5,1877.375,24.002,0.733
1877,6,1877.458,24.699,0.898
1877,7,1877.542,24.873,0.729
1877,8,1877.625,25.000,0.741
1877,9,1877.708,24.523,0.628
1877,10,1877.792,24.496,0.634
1877,11,1877.875,24.476,0.717
1877,12,1877.958,24.115,1.011
1878,1,1878.042,23.999,0.839
1878,2,1878.125,24.629,1.128
1878,3,1878.208,25.319,0.954
1878,4,1878.292,24.861,0.863
1878,5,1878.375,23.988,0.725
1878,6,1878.458,24.672,0.935
1878,7,1878.542,24.565,1.311
1878,8,1878.625,24.097,1.444
1878,9,1878.708,24.235,0.882
1878,10,1878.792,24.179,0.776
1878,11,1878.875,24.157,1.177
1878,12,1878.958,23.798,0.921
1879,1,1879.042,23.495,0.899
1879,2,1879.125,23.656,0.798
1879,3,1879.208,23.375,0.788
1879,4,1879.292,23.455,0.775
1879,5,1879.375,23.607,0.785
1879,6,1879.458,23.542,0.835
1879,7,1879.542,23.685,0.874
1879,8,1879.625,23.698,0.760
1879,9,1879.708,23.692,0.726
1879,10,1879.792,23.956,1.021
1879,11,1879.875,23.615,0.628
1879,12,1879.958,23.163,0.996
1880,1,1880.042,22.918,0.772
1880,2,1880.125,22.869,0.713
1880,3,1880.208,22.643,0.842
1880,4,1880.292,22.954,0.839
1880,5,1880.375,22.969,0.938
1880,6,1880.458,23.310,1.166
1880,7,1880.542,24.287,0.793
1880,8,1880.625,24.399,0.626
1880,9,1880.708,23.933,0.751
1880,10,1880.792,23.638,0.850
1880,11,1880.875,23.947,0.542
1880,12,1880.958,23.862,0.732
1881,1,1881.042,23.474,0.886
1881,2,1881.125,23.866,0.780
1881,3,1881.208,23.640,0.966
1881,4,1881.292,23.827,0.711
1881,5,1881.375,23.545,0.935
1881,6,1881.458,23.710,0.715
1881,7,1881.542,24.460,0.757
1881,8,1881.625,24.009,0.872
1881,9,1881.708,24.079,0.720
1881,10,1881.792,23.776,0.921
1881,11,1881.875,23.898,0.634
1881,12,1881.958,24.070,0.868
1882,1,1882.042,24.448,0.754
1882,2,1882.125,24.419,0.861
1882,3,1882.208,24.002,0.640
1882,4,1882.292,23.830,0.766
1882,5,1882.375,23.828,0.498
1882,6,1882.458,23.582,0.771
1882,7,1882.542,23.686,0.502
1882,8,1882.625,24.003,0.883
1882,9,1882.708,24.249,0.672
1882,10,1882.792,23.730,0.637
1882,11,1882.875,23.962,0.784
1882,12,1882.958,23.300,0.687
1883,1,1883.042,23.316,0.673
1883,2,1883.125,23.499,0.875
1883,3,1883.208,23.990,0.837
1883,4,1883.292,24.289,0.874
1883,5,1883.375,24.165,0.587
1883,6,1883.458,24.220,0.736
1883,7,1883.542,24.684,0.712
1883,8,1883.625,24.231,0.902
1883,9,1883.708,23.976,0.949
1883,10,1883.792,23.892,0.668
1883,11,1883.875,23.517,0.784
1883,12,1883.958,23.944,0.710
1884,1,1884.042,23.654,0.567
1884,2,1884.125,24.199,0.598
1884,3,1884.208,23.266,0.785
1884,4,1884.292,23.866,0.655
1884,5,1884.375,23.602,0.754
1884,6,1884.458,23.690,0.837
1884,7,1884.542,23.885,0.736
1884,8,1884.625,23.934,0.639
1884,9,1884.708,23.939,0.825
1884,10,1884.792,23.686,0.598
1884,11,1884.875,23.371,0.654
1884,12,1884.958,23.627,0.643
1885,1,1885.042,23.300,0.684
1885,2,1885.125,24.036,0.764
1885,3,1885.208,23.973,0.658
1885,4,1885.292,24.102,0.643
1885,5,1885.375,24.953,0.692
1885,6,1885.458,24.841,0.687
1885,7,1885.542,25.237,0.782
1885,8,1885.625,24.515,0.665
