# Monthly average temperature data for Costa Rica.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1857,2,1857.125,23.487,1.919
1857,3,1857.208,24.466,1.261
1857,4,1857.292,25.613,2.330
1857,5,1857.375,24.999,1.453
1857,6,1857.458,25.712,1.601
1857,7,1857.542,25.918,0.993
1857,8,1857.625,25.124,0.910
1857,9,1857.708,24.977,1.030
1857,10,1857.792,25.820,1.546
1857,11,1857.875,24.922,0.960
1857,12,1857.958,24.549,1.553
1858,1,1858.042,26.349,1.850
1858,2,1858.125,25.019,1.183
1858,3,1858.208,24.108,1.536
1858,4,1858.292,24.845,1.079
1858,5,1858.375,25.688,1.194
1858,6,1858.458,26.271,1.864
1858,7,1858.542,25.141,0.911
1858,8,1858.625,24.919,1.013
1858,9,1858.708,26.178,1.938
1858,10,1858.792,25.132,0.885
1858,11,1858.875,25.677,1.677
1858,12,1858.958,24.347,1.064
1859,1,1859.042,24.780,0.975
1859,2,1859.125,24.636,1.273
1859,3,1859.208,24.951,0.833
1859,4,1859.292,25.461,1.163
1859,5,1859.375,25.665,0.853
1859,6,1859.458,25.246,0.880
1859,7,1859.542,25.583,0.958
1859,8,1859.625,25.436,0.767
1859,9,1859.708,24.959,0.719
1859,10,1859.792,25.823,0.885
1859,11,1859.875,24.415,1.105
1859,12,1859.958,25.094,1.039
1860,1,1860.042,24.711,0.960
1860,2,1860.125,24.495,0.740
1860,3,1860.208,23.786,1.978
1860,4,1860.292,25.011,1.001
1860,5,1860.375,24.571,1.368
1860,6,1860.458,25.676,1.066
1860,7,1860.542,25.172,1.391
1860,8,1860.625,25.521,1.139
1860,9,1860.708,25.497,0.869
1860,10,1860.792,25.143,1.293
1860,11,1860.875,25.414,0.886
1860,12,1860.958,24.830,1.476
1863,1,1863.042,24.881,0.986
1863,2,1863.125,25.748,2.526
1863,3,1863.208,25.440,1.308
1863,4,1863.292,24.972,1.294
1863,5,1863.375,25.461,1.401
1863,6,1863.458,25.890,0.830
1863,7,1863.542,25.414,0.720
1863,8,1863.625,25.206,1.069
1863,9,1863.708,24.896,1.350
1863,10,1863.792,25.296,1.047
1863,11,1863.875,24.798,0.944
1863,12,1863.958,24.184,1.990
1866,3,1866.208,24.003,1.353
1866,4,1866.292,24.267,1.010
1866,5,1866.375,25.238,0.931
1866,7,1866.542,25.375,1.110
1866,8,1866.625,25.192,0.989
1866,9,1866.708,25.204,0.831
1866,10,1866.792,24.926,0.684
1866,11,1866.875,24.605,0.717
1866,12,1866.958,25.828,0.980
1867,1,1867.042,25.745,1.163
1867,2,1867.125,24.746,1.192
1867,3,1867.208,26.047,0.819
1867,4,1867.292,25.434,0.900
1867,5,1867.375,25.618,0.833
1867,6,1867.458,25.885,0.842
1867,7,1867.542,25.927,0.957
1867,8,1867.625,25.492,0.888
1867,9,1867.708,25.182,0.958
1867,10,1867.792,25.310,1.099
1867,11,1867.875,24.616,1.462
1867,12,1867.958,25.101,1.043
1868,1,1868.042,25.780,1.277
1868,2,1868.125,24.437,1.384
1868,3,1868.208,24.598,1.160
1868,4,1868.292,25.137,1.071
1868,5,1868.375,25.210,1.026
1868,6,1868.458,25.155,0.756
1868,7,1868.542,25.748,0.887
1868,8,1868.625,25.528,0.762
1868,9,1868.708,25.250,1.104
1868,10,1868.792,25.637,1.098
1868,11,1868.875,24.704,1.052
1868,12,1868.958,25.310,1.154
1869,1,1869.042,26.202,1.505
1869,2,1869.125,27.008,1.352
1869,3,1869.208,26.288,1.357
1869,4,1869.292,26.776,1.184
1869,5,1869.375,26.524,1.026
1878,5,1878.375,26.763,0.936
1878,7,1878.542,26.547,0.802
1881,3,1881.208,24.504,1.541
1881,4,1881.292,24.985,1.808
1881,5,1881.375,26.249,1.129
1881,6,1881.458,25.919,0.749
1881,7,1881.542,26.069,0.665
1881,8,1881.625,25.910,0.829
1881,9,1881.708,25.298,1.587
1881,10,1881.792,25.469,0.808
1881,11,1881.875,25.914,0.937
1881,12,1881.958,24.948,0.862
1882,1,1882.042,25.427,1.283
1882,2,1882.125,24.899,1.046
1882,3,1882.208,24.844,1.128
1882,4,1882.292,24.931,1.453
1882,5,1882.375,25.346,0.762
1882,6,1882.458,25.778,1.152
1882,7,1882.542,25.664,0.742
1882,8,1882.625,25.823,0.918
1882,9,1882.708,25.782,0.666
1882,10,1882.792,24.969,3.189
1882,11,1882.875,24.880,0.654
1882,12,1882.958,24.635,1.528
1883,1,1883.042,25.604,0.721
1883,2,1883.125,25.599,1.043
1883,3,1883.208,24.901,1.435
1883,4,1883.292,25.503,0.653
1883,5,1883.375,25.396,0.701
1883,6,1883.458,25.322,1.167
1883,7,1883.542,25.254,0.793
1883,8,1883.625,25.063,0.868
1883,9,1883.708,25.370,0.624
1883,10,1883.792,25.291,0.636
1883,11,1883.875,24.657,0.655
1883,12,1883.958,24.430,0.695
1884,1,1884.042,24.858,1.049
1884,2,1884.125,24.470,0.893
1884,3,1884.208,24.429,0.815
1884,4,1884.292,24.871,0.592
1884,5,1884.375,24.224,0.816
1884,6,1884.458,25.607,0.844
1884,7,1884.542,25.096,0.849
1884,8,1884.625,24.623,1.570
1884,10,1884.792,24.728,0.606
1884,11,1884.875,25.914,1.985
1884,12,1884.958,26.178,2.230
1886,1,1886.042,24.446,0.967
1886,2,1886.125,24.267,0.860
1886,3,1886.208,25.478,0.920
1886,4,1886.292,25.370,0.986
1886,5,1886.375,25.136,0.895
1886,6,1886.458,25.854,1.044
1886,7,1886.542,25.819,1.215
1886,8,1886.625,25.729,0.908
1886,9,1886.708,25.813,0.987
1886,10,1886.792,25.622,0.887
1886,11,1886.875,25.789,1.326
1886,12,1886.958,24.997,1.382
1887,1,1887.042,25.294,2.374
1887,2,1887.125,24.960,0.925
1887,3,1887.208,24.211,1.945
1887,4,1887.292,24.572,0.776
1887,5,1887.375,24.609,1.676
1887,8,1887.625,24.890,1.261
1887,9,1887.708,25.280,0.767
1887,10,1887.792,25.084,0.663
1887,11,1887.875,25.270,0.658
1887,12,1887.958,25.649,1.085
1888,1,1888.042,25.206,1.585
1888,2,1888.125,24.380,1.371
1888,3,1888.208,24.788,0.667
1888,4,1888.292,23.843,0.944
1888,5,1888.375,24.928,1.281
1888,6,1888.458,24.766,2.529
1888,7,1888.542,25.805,1.113
1888,8,1888.625,24.969,2.221
1890,1,1890.042,24.542,1.713
1890,2,1890.125,24.042,1.131
1890,3,1890.208,22.637,3.085
1890,4,1890.292,24.895,0.920
1890,5,1890.375,25.033,1.033
1890,6,1890.458,24.926,1.030
1890,7,1890.542,25.550,0.908
1890,8,1890.625,25.139,0.745
1890,9,1890.708,25.109,0.727
1890,10,1890.792,25.171,0.997
1890,11,1890.875,24.422,1.008
1890,12,1890.958,23.739,1.096
1891,1,1891.042,24.527,0.924
1891,2,1891.125,25.470,0.604
1891,3,1891.208,25.106,0.932
1891,4,1891.292,24.745,0.801
1891,5,1891.375,25.486,0.740
1891,6,1891.458,25.769,0.615
1891,7,1891.542,25.765,0.772
1891,8,1891.625,25.688,0.722
1891,9,1891.708,26.027,0.909
1891,10,1891.792,25.798,2.106
1891,11,1891.875,25.371,1.153
1891,12,1891.958,25.508,0.605
1892,1,1892.042,25.311,1.424
1892,2,1892.125,24.724,0.839
1892,3,1892.208,24.767,0.861
1892,4,1892.292,24.913,0.655
1892,5,1892.375,24.770,0.674
1892,6,1892.458,24.995,0.722
1892,7,1892.542,25.390,0.921
1892,8,1892.625,24.847,0.881
1892,9,1892.708,25.334,0.727
1892,10,1892.792,24.699,1.410
1892,11,1892.875,24.537,1.128
1892,12,1892.958,25.430,1.943
1893,1,1893.042,24.783,0.957
1893,2,1893.125,25.227,0.936
1893,3,1893.208,25.134,0.875
1893,4,1893.292,25.143,0.714
1893,5,1893.375,25.454,1.356
1893,6,1893.458,25.436,0.820
1893,7,1893.542,25.245,1.115
1893,8,1893.625,25.149,1.631
1893,9,1893.708,25.330,0.867
1893,10,1893.792,25.086,2.494
1893,11,1893.875,25.251,0.461
1893,12,1893.958,24.414,0.743
1894,1,1894.042,24.909,0.822
1894,2,1894.125,25.281,1.005
1894,3,1894.208,24.846,0.710
1894,4,1894.292,25.446,0.742
1894,5,1894.375,25.138,0.727
1894,6,1894.458,25.312,1.188
1894,7,1894.542,25.322,0.873
1894,8,1894.625,25.532,0.516
1894,9,1894.708,25.668,0.551
1894,10,1894.792,25.154,0.683
1894,11,1894.875,25.228,0.849
1894,12,1894.958,24.248,0.854
1895,1,1895.042,24.206,0.743
1895,2,1895.125,25.108,0.725
1895,3,1895.208,25.338,0.565
1895,4,1895.292,25.686,0.874
1895,5,1895.375,25.826,0.641
1895,6,1895.458,25.999,0.621
1895,7,1895.542,25.728,0.923
1895,8,1895.625,25.483,0.534
1895,9,1895.708,25.880,0.872
1895,10,1895.792,25.723,0.746
1895,11,1895.875,25.455,0.776
1895,12,1895.958,24.755,0.838
1896,1,1896.042,24.842,0.891
1896,2,1896.125,25.256,0.962
1896,3,1896.208,25.121,0.641
1896,4,1896.292,24.810,0.745
1896,5,1896.375,25.509,0.580
1896,6,1896.458,25.905,0.730
1896,7,1896.542,26.001,0.734
1896,8,1896.625,25.747,0.758
1896,9,1896.708,26.022,0.759
1896,10,1896.792,26.754,0.558
1896,11,1896.875,26.264,0.825
1896,12,1896.958,25.254,0.894
1897,1,1897.042,25.621,0.747
1897,2,1897.125,26.465,0.659
1897,3,1897.208,26.222,0.945
1897,4,1897.292,26.085,0.762
1897,5,1897.375,25.858,0.789
1897,6,1897.458,26.278,0.603
1897,7,1897.542,25.695,0.718
1897,8,1897.625,26.106,0.695
1897,9,1897.708,25.746,0.903
1897,10,1897.792,25.894,0.546
1897,11,1897.875,25.645,1.022
1897,12,1897.958,25.752,1.425
1898,1,1898.042,25.233,1.206
1898,2,1898.125,24.570,1.222
1898,3,1898.208,24.638,0.867
1898,4,1898.292,25.441,1.040
1898,5,1898.375,25.895,0.986
1898,6,1898.458,25.957,1.533
1898,7,1898.542,25.560,0.677
1898,8,1898.625,25.599,0.766
1898,9,1898.708,25.647,0.627
1898,10,1898.792,25.314,0.829
1898,11,1898.875,25.391,1.005
1898,12,1898.958,25.537,1.136
1899,1,1899.042,25.834,1.353
1899,2,1899.125,25.706,1.256
1899,3,1899.208,25.144,0.828
1899,4,1899.292,25.514,0.847
1899,5,1899.375,25.746,0.653
1899,6,1899.458,25.810,0.984
1899,7,1899.542,25.848,0.654
1899,8,1899.625,25.667,0.699
1899,9,1899.708,26.079,0.660
1899,10,1899.792,25.616,0.630
1899,11,1899.875,25.662,0.997
1899,12,1899.958,24.795,0.880
1900,1,1900.042,24.763,1.306
1900,2,1900.125,26.026,1.128
1900,3,1900.208,26.148,0.705
1900,4,1900.292,26.277,1.268
1900,5,1900.375,26.307,0.822
1900,6,1900.458,26.014,0.788
1900,7,1900.542,26.200,1.323
1900,8,1900.625,25.586,0.668
1900,9,1900.708,25.474,0.670
1900,10,1900.792,25.483,0.664
1900,11,1900.875,24.906,0.891
1900,12,1900.958,25.632,0.692
1901,1,1901.042,24.437,0.616
1901,2,1901.125,25.449,0.964
1901,3,1901.208,25.341,0.661
1901,4,1901.292,25.006,1.545
1901,5,1901.375,25.856,0.819
1901,6,1901.458,25.932,0.681
1901,7,1901.542,25.527,0.691
1901,8,1901.625,25.582,0.575
1901,9,1901.708,25.866,0.724
1901,10,1901.792,25.248,0.522
1901,11,1901.875,24.141,1.296
1901,12,1901.958,24.830,0.807
1902,1,1902.042,24.086,0.973
1902,2,1902.125,25.553,0.753
1902,3,1902.208,25.310,0.624
1902,4,1902.292,25.637,0.653
1902,5,1902.375,25.608,0.597
1902,6,1902.458,25.725,0.458
1902,7,1902.542,25.853,0.583
1902,8,1902.625,25.730,0.980
1902,9,1902.708,26.020,0.518
1902,10,1902.792,25.771,0.817
1902,11,1902.875,25.244,0.646
1902,12,1902.958,24.991,0.496
1903,1,1903.042,25.549,1.177
1903,2,1903.125,26.596,0.886
1903,3,1903.208,25.767,0.873
1903,4,1903.292,25.902,1.064
1903,5,1903.375,26.180,1.350
1903,6,1903.458,26.326,0.963
1903,7,1903.542,25.868,0.727
1903,8,1903.625,25.345,1.023
1903,9,1903.708,25.670,0.826
1903,10,1903.792,25.078,0.557
1903,11,1903.875,24.271,0.563
1903,12,1903.958,24.551,1.134
1904,1,1904.042,25.163,0.732
1904,2,1904.125,25.049,0.653
1904,3,1904.208,24.523,0.606
1904,4,1904.292,25.030,0.685
1904,5,1904.375,25.213,0.933
1904,6,1904.458,25.413,0.542
1904,7,1904.542,24.979,0.625
1904,8,1904.625,25.494,0.606
1904,9,1904.708,25.394,0.832
1904,10,1904.792,25.572,0.738
1904,11,1904.875,25.644,1.974
