# Monthly average temperature data for Croatia.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1750,1,1750.042,9.379,1.681
1750,2,1750.125,9.873,2.072
1750,3,1750.208,12.761,2.605
1750,4,1750.292,11.264,1.520
1750,5,1750.375,9.369,1.533
1750,6,1750.458,11.045,1.595
1750,7,1750.542,11.413,1.669
1750,8,1750.625,11.493,1.512
1750,9,1750.708,10.562,2.219
1750,10,1750.792,10.110,1.461
1750,11,1750.875,7.194,1.542
1750,12,1750.958,8.245,1.712
1751,1,1751.042,8.883,1.733
1751,2,1751.125,7.565,1.686
1751,3,1751.208,11.897,1.534
1751,4,1751.292,9.089,1.467
1751,5,1751.375,9.961,1.542
1751,6,1751.458,10.204,1.606
1751,7,1751.542,12.096,1.608
1751,8,1751.625,12.089,1.447
1751,9,1751.708,10.716,1.418
1751,10,1751.792,9.715,1.540
1751,11,1751.875,7.349,1.597
1751,12,1751.958,8.348,1.999
1752,1,1752.042,9.527,1.866
1752,2,1752.125,11.897,1.666
1752,3,1752.208,11.080,1.435
1752,4,1752.292,9.730,1.542
1752,5,1752.375,10.104,1.479
1752,6,1752.458,12.565,1.410
1752,7,1752.542,11.596,1.520
1752,8,1752.625,9.804,1.704
1752,10,1752.792,10.551,1.496
1752,11,1752.875,10.251,1.561
1752,12,1752.958,9.472,1.814
1753,1,1753.042,9.099,1.631
1753,2,1753.125,9.434,1.573
1753,3,1753.208,11.763,1.409
1753,4,1753.292,11.234,1.631
1753,5,1753.375,11.160,1.288
1753,6,1753.458,11.920,1.590
1753,7,1753.542,11.514,1.594
1753,8,1753.625,10.144,1.400
1753,9,1753.708,10.250,1.348
1753,10,1753.792,10.487,1.373
1753,11,1753.875,8.973,1.385
1753,12,1753.958,8.922,2.306
1754,1,1754.042,9.782,1.563
1754,2,1754.125,8.080,1.516
1754,3,1754.208,7.652,1.289
1754,4,1754.292,11.580,1.580
1754,5,1754.375,11.844,1.394
1754,6,1754.458,11.829,1.458
1754,7,1754.542,10.800,1.682
1754,8,1754.625,11.035,1.482
1754,9,1754.708,10.060,1.426
1754,10,1754.792,11.780,1.607
1754,11,1754.875,11.247,2.243
1754,12,1754.958,10.490,1.591
1755,1,1755.042,7.456,1.565
1755,2,1755.125,6.590,1.876
1755,3,1755.208,10.004,1.456
1755,4,1755.292,13.884,2.080
1755,5,1755.375,11.181,1.364
1755,6,1755.458,13.115,1.801
1755,7,1755.542,11.340,2.377
1755,8,1755.625,9.614,1.559
1755,9,1755.708,9.382,1.341
1755,10,1755.792,11.160,1.268
1755,11,1755.875,8.845,2.164
1755,12,1755.958,10.729,1.630
1756,1,1756.042,11.205,1.917
1756,2,1756.125,12.055,4.700
1756,3,1756.208,11.283,3.001
1756,4,1756.292,10.304,2.380
1756,5,1756.375,10.995,5.204
1756,6,1756.458,12.438,2.009
1756,7,1756.542,11.034,7.575
1756,8,1756.625,11.411,1.738
1756,9,1756.708,10.708,1.816
1756,10,1756.792,10.243,7.975
1756,11,1756.875,8.024,1.331
1756,12,1756.958,8.979,1.619
1757,1,1757.042,8.586,1.630
1757,2,1757.125,11.101,2.404
1757,3,1757.208,10.256,4.021
1757,4,1757.292,11.832,2.311
1757,5,1757.375,11.921,2.198
1757,6,1757.458,12.799,1.889
1757,7,1757.542,13.797,3.088
1757,8,1757.625,12.523,4.164
1757,9,1757.708,10.062,6.277
1757,10,1757.792,7.203,5.549
1757,11,1757.875,9.066,7.898
1757,12,1757.958,9.012,1.707
1758,1,1758.042,6.881,6.368
1758,2,1758.125,7.828,1.955
1758,3,1758.208,10.341,1.602
1758,4,1758.292,10.414,3.758
1758,5,1758.375,10.234,4.769
1758,6,1758.458,11.404,3.772
1758,7,1758.542,9.249,3.688
1758,8,1758.625,9.611,5.758
1758,9,1758.708,8.721,2.145
1758,10,1758.792,8.182,1.397
1758,11,1758.875,10.237,1.546
1758,12,1758.958,10.762,1.519
1759,1,1759.042,12.431,1.651
1759,2,1759.125,12.182,6.270
1759,3,1759.208,10.963,3.950
1759,4,1759.292,10.689,5.512
1759,5,1759.375,9.909,3.832
1759,6,1759.458,11.566,4.254
1759,7,1759.542,11.794,4.523
1759,8,1759.625,10.780,1.610
1759,9,1759.708,10.604,2.328
1759,10,1759.792,10.564,5.478
1759,11,1759.875,6.935,6.283
1759,12,1759.958,9.092,2.626
1760,1,1760.042,9.350,6.258
1760,2,1760.125,9.238,7.928
1760,3,1760.208,9.005,3.060
1760,4,1760.292,12.093,1.490
1760,5,1760.375,11.091,3.074
1760,6,1760.458,11.411,1.910
1760,7,1760.542,10.910,1.658
1760,8,1760.625,10.212,5.977
1760,9,1760.708,9.816,1.848
1760,10,1760.792,10.494,1.958
1760,11,1760.875,10.075,6.306
