# Monthly average temperature data for Cuba.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1824,3,1824.208,26.353,1.293
1824,4,1824.292,26.028,1.455
1824,11,1824.875,25.428,1.508
1824,12,1824.958,25.646,1.835
1825,1,1825.042,25.061,1.920
1825,2,1825.125,25.410,1.726
1825,3,1825.208,25.265,1.558
1825,4,1825.292,25.369,1.466
1825,5,1825.375,25.469,1.644
1825,6,1825.458,25.428,1.408
1825,7,1825.542,24.571,2.097
1825,8,1825.625,24.202,2.820
1825,9,1825.708,24.164,2.299
1825,10,1825.792,24.571,1.161
1825,11,1825.875,25.017,2.469
1825,12,1825.958,23.971,1.918
1826,1,1826.042,23.949,2.028
1826,2,1826.125,26.704,1.759
1826,3,1826.208,26.381,4.016
1826,4,1826.292,26.513,1.632
1826,5,1826.375,25.829,1.337
1826,6,1826.458,25.047,1.416
1826,7,1826.542,25.344,1.946
1826,8,1826.625,24.404,1.713
1826,9,1826.708,25.174,2.322
1826,10,1826.792,24.746,1.113
1826,11,1826.875,24.669,1.485
1826,12,1826.958,25.327,1.726
1827,1,1827.042,24.511,1.834
1827,2,1827.125,27.470,2.218
1827,3,1827.208,26.150,2.005
1827,4,1827.292,26.955,1.792
1827,5,1827.375,26.035,1.740
1827,6,1827.458,25.634,2.019
1827,7,1827.542,25.971,1.322
1827,8,1827.625,25.420,1.829
1827,9,1827.708,24.722,1.393
1827,10,1827.792,24.367,1.558
1827,11,1827.875,25.048,1.553
1827,12,1827.958,26.428,1.957
1828,1,1828.042,26.865,1.329
1828,2,1828.125,27.138,1.943
1828,3,1828.208,25.168,1.967
1828,4,1828.292,25.138,2.240
1828,5,1828.375,25.400,2.551
1828,6,1828.458,25.667,2.294
1828,7,1828.542,25.239,1.938
1828,8,1828.625,24.872,1.045
1828,9,1828.708,24.041,1.119
1828,11,1828.875,25.045,1.772
1828,12,1828.958,26.543,2.809
1829,1,1829.042,24.342,2.329
1829,2,1829.125,24.872,2.248
1829,3,1829.208,23.324,1.556
1829,4,1829.292,24.611,1.236
1829,5,1829.375,24.828,2.066
1829,6,1829.458,24.993,2.111
1829,7,1829.542,25.001,1.431
1829,8,1829.625,24.811,1.541
1829,9,1829.708,24.618,1.457
1829,10,1829.792,24.559,1.330
1829,11,1829.875,23.526,2.695
1829,12,1829.958,25.199,1.991
1830,1,1830.042,26.024,3.037
1830,2,1830.125,26.709,2.772
1830,3,1830.208,25.269,2.275
1830,4,1830.292,25.049,1.365
1830,5,1830.375,25.027,2.118
1830,6,1830.458,25.297,2.086
1830,7,1830.542,25.372,1.782
1830,8,1830.625,24.974,1.504
1830,9,1830.708,24.218,1.458
1830,10,1830.792,24.466,1.948
1830,11,1830.875,26.209,1.979
1830,12,1830.958,26.611,2.058
1831,1,1831.042,24.469,2.302
1831,2,1831.125,24.825,4.793
1831,3,1831.208,25.372,2.360
1831,4,1831.292,24.925,1.333
1831,5,1831.375,24.456,2.278
1831,6,1831.458,24.711,2.778
1831,7,1831.542,24.578,1.492
1831,8,1831.625,24.296,1.816
1831,9,1831.708,24.457,1.368
1831,10,1831.792,24.363,1.184
1831,11,1831.875,24.965,3.271
1831,12,1831.958,24.490,1.609
1832,1,1832.042,24.522,1.864
1832,2,1832.125,26.467,2.101
1832,3,1832.208,24.583,1.469
1832,4,1832.292,24.640,1.118
1832,5,1832.375,25.419,2.308
1832,6,1832.458,24.721,1.749
1832,7,1832.542,25.102,3.257
1832,8,1832.625,23.760,1.598
1832,9,1832.708,23.962,1.523
1832,10,1832.792,23.850,2.425
1832,11,1832.875,23.634,1.757
1832,12,1832.958,24.483,1.749
1833,12,1833.958,24.173,1.420
1834,1,1834.042,25.326,2.393
1834,2,1834.125,25.768,1.296
1834,3,1834.208,25.424,1.004
1834,4,1834.292,24.329,1.852
1834,5,1834.375,24.868,0.928
1834,6,1834.458,25.648,1.114
1834,7,1834.542,24.884,1.625
1834,8,1834.625,24.695,1.490
1834,9,1834.708,24.707,1.459
1834,10,1834.792,24.228,1.274
1834,11,1834.875,24.088,1.432
1834,12,1834.958,25.208,1.495
1835,1,1835.042,24.554,1.601
1835,2,1835.125,23.294,2.235
1835,3,1835.208,23.991,2.685
1835,4,1835.292,24.585,1.472
1835,5,1835.375,24.748,1.596
1835,6,1835.458,24.363,2.328
1835,7,1835.542,24.260,3.007
1835,8,1835.625,23.959,1.724
1835,9,1835.708,23.347,1.835
1835,10,1835.792,22.682,1.515
1835,11,1835.875,25.299,2.544
1835,12,1835.958,23.792,3.080
1836,1,1836.042,25.217,2.670
1836,2,1836.125,25.049,3.455
1836,3,1836.208,24.766,1.662
1836,7,1836.542,23.878,1.202
1836,8,1836.625,24.558,2.186
1836,9,1836.708,24.469,1.836
1837,1,1837.042,24.029,1.833
1837,2,1837.125,24.504,2.512
1837,3,1837.208,23.869,1.597
1837,4,1837.292,23.579,1.258
1837,5,1837.375,24.509,2.312
1837,6,1837.458,24.856,1.436
1837,7,1837.542,24.950,1.625
1837,8,1837.625,24.691,0.993
1837,9,1837.708,24.333,1.598
1837,10,1837.792,24.242,1.571
1837,11,1837.875,24.704,2.948
1837,12,1837.958,24.866,1.672
1838,1,1838.042,24.595,3.890
1838,2,1838.125,24.507,2.051
1838,3,1838.208,23.480,2.511
1838,4,1838.292,23.855,2.055
1838,5,1838.375,23.988,1.649
1838,6,1838.458,24.254,1.037
1838,7,1838.542,24.784,1.238
1838,8,1838.625,24.528,1.023
1838,9,1838.708,24.582,1.340
1838,10,1838.792,24.892,1.394
1838,11,1838.875,24.850,1.479
1838,12,1838.958,25.110,1.243
1839,1,1839.042,24.924,1.540
1839,2,1839.125,25.507,1.684
1839,3,1839.208,23.380,1.523
1839,4,1839.292,24.528,1.453
1839,5,1839.375,24.858,1.638
1839,6,1839.458,25.795,1.180
1839,7,1839.542,25.395,1.330
1839,8,1839.625,25.870,1.385
1839,9,1839.708,25.004,1.413
