# Monthly average temperature data for Cyprus.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1819,1,1819.042,16.964,3.185
1819,2,1819.125,18.807,1.768
1819,3,1819.208,18.925,7.482
1819,5,1819.375,18.173,2.513
1819,6,1819.458,17.287,1.737
1819,7,1819.542,17.321,1.302
1819,8,1819.625,17.719,1.845
1820,3,1820.208,19.143,1.606
1820,5,1820.375,19.204,2.047
1820,7,1820.542,18.504,1.669
1820,8,1820.625,18.308,2.261
1820,10,1820.792,15.995,2.733
1820,11,1820.875,18.503,1.855
1821,2,1821.125,19.421,3.824
1821,3,1821.208,20.171,2.977
1821,6,1821.458,16.976,2.887
1821,7,1821.542,17.185,2.750
1821,8,1821.625,17.366,1.553
1821,9,1821.708,17.333,2.100
1821,10,1821.792,17.664,1.727
1821,11,1821.875,17.458,1.894
1821,12,1821.958,18.608,1.949
1839,12,1839.958,17.656,1.880
1840,1,1840.042,18.082,1.764
1840,2,1840.125,17.802,1.780
1840,3,1840.208,16.879,2.243
1840,4,1840.292,16.537,1.619
1840,5,1840.375,18.692,1.601
1840,6,1840.458,17.871,1.465
1840,7,1840.542,20.489,1.427
1840,8,1840.625,18.636,1.669
1840,9,1840.708,18.756,1.391
1840,10,1840.792,18.404,1.394
1840,11,1840.875,18.564,1.614
1840,12,1840.958,16.692,1.809
1841,1,1841.042,18.269,2.007
1841,2,1841.125,18.551,2.400
1841,3,1841.208,16.455,1.774
1841,4,1841.292,17.941,2.727
1841,5,1841.375,18.140,1.835
1841,6,1841.458,18.744,1.494
1843,1,1843.042,19.604,1.540
1843,2,1843.125,21.271,1.741
1843,3,1843.208,18.975,1.327
1843,4,1843.292,18.120,1.059
1843,5,1843.375,17.421,1.299
1843,6,1843.458,17.556,0.846
1843,7,1843.542,18.843,1.063
1843,8,1843.625,18.006,0.769
1843,9,1843.708,17.261,1.094
1843,10,1843.792,18.823,1.396
1843,11,1843.875,17.767,1.264
1843,12,1843.958,17.003,2.118
1844,1,1844.042,17.878,1.884
1844,2,1844.125,19.319,1.038
1844,3,1844.208,19.305,1.688
1844,4,1844.292,16.712,1.498
1844,5,1844.375,17.829,1.747
1844,6,1844.458,18.167,1.335
1844,7,1844.542,19.230,1.125
1844,8,1844.625,18.493,1.713
1844,9,1844.708,18.203,1.520
1844,10,1844.792,18.501,1.173
1844,11,1844.875,18.383,0.964
1844,12,1844.958,17.209,1.647
1845,1,1845.042,17.233,2.014
1845,2,1845.125,18.742,2.419
1845,3,1845.208,19.994,1.013
1845,4,1845.292,18.406,1.499
1845,5,1845.375,18.610,1.225
1845,6,1845.458,18.460,1.607
1845,7,1845.542,19.744,1.312
1845,8,1845.625,19.033,1.403
1845,9,1845.708,17.780,1.740
1845,10,1845.792,18.490,1.807
1845,11,1845.875,17.702,1.444
1845,12,1845.958,18.274,2.165
1846,1,1846.042,19.829,4.013
1846,2,1846.125,18.895,2.206
1846,3,1846.208,19.838,1.285
1846,4,1846.292,19.284,2.199
1846,5,1846.375,19.258,1.400
1846,6,1846.458,18.135,2.075
1846,7,1846.542,19.623,1.864
1846,8,1846.625,19.685,1.315
1846,9,1846.708,19.421,1.443
1846,10,1846.792,19.485,2.139
1846,11,1846.875,16.526,1.808
1846,12,1846.958,20.780,1.748
1847,1,1847.042,18.015,1.832
1847,2,1847.125,19.888,1.977
