# Monthly average temperature data for Czech Republic.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1743,11,1743.875,8.681,1.927
1744,4,1744.292,9.039,2.362
1744,5,1744.375,6.805,1.860
1744,6,1744.458,5.838,1.656
1744,7,1744.542,6.655,1.672
1744,9,1744.708,7.066,1.882
1744,10,1744.792,7.214,1.918
1744,11,1744.875,7.667,1.751
1744,12,1744.958,6.977,1.895
1745,1,1745.042,5.833,1.939
1745,2,1745.125,5.815,2.056
1745,3,1745.208,6.033,1.969
1745,4,1745.292,6.828,1.997
1750,1,1750.042,8.369,2.825
1750,2,1750.125,10.111,3.893
1750,3,1750.208,10.060,2.400
1750,4,1750.292,7.913,2.423
1750,5,1750.375,7.462,2.534
1750,6,1750.458,7.248,2.992
1750,7,1750.542,8.864,3.672
1750,8,1750.625,7.658,4.460
1750,9,1750.708,6.867,2.956
1750,10,1750.792,4.647,2.305
1750,12,1750.958,6.483,3.223
1751,1,1751.042,7.093,2.792
1751,2,1751.125,4.608,3.620
1751,3,1751.208,9.128,3.444
1751,4,1751.292,6.284,2.433
1751,6,1751.458,8.163,3.208
1751,8,1751.625,8.421,4.359
1751,9,1751.708,6.412,2.812
1752,1,1752.042,6.307,2.696
1752,3,1752.208,8.454,2.862
1752,4,1752.292,7.072,2.751
1752,10,1752.792,7.176,2.202
1752,11,1752.875,8.344,1.839
1752,12,1752.958,8.320,1.848
1753,1,1753.042,5.326,4.035
1753,2,1753.125,5.837,8.259
1753,3,1753.208,8.428,6.265
1753,4,1753.292,7.862,3.535
1753,5,1753.375,7.666,2.177
1753,6,1753.458,8.654,3.759
1753,7,1753.542,8.321,3.133
1753,8,1753.625,7.101,6.262
1753,9,1753.708,7.915,3.489
1753,10,1753.792,7.681,4.110
1753,11,1753.875,5.522,2.733
1753,12,1753.958,4.573,8.150
1754,1,1754.042,5.887,7.419
1754,2,1754.125,4.262,8.144
1754,3,1754.208,4.064,5.505
1754,4,1754.292,7.236,2.674
1754,5,1754.375,8.498,7.348
1754,6,1754.458,7.964,4.888
1754,7,1754.542,6.754,3.155
1754,8,1754.625,7.551,3.700
1754,9,1754.708,6.823,3.352
1754,10,1754.792,8.215,3.889
1754,11,1754.875,7.614,3.102
1754,12,1754.958,7.238,2.633
1755,1,1755.042,2.311,6.877
1755,2,1755.125,1.996,9.194
1755,3,1755.208,6.331,5.543
1755,4,1755.292,10.343,3.881
1755,5,1755.375,7.908,3.003
1755,6,1755.458,9.981,8.954
1755,7,1755.542,7.877,2.357
1755,8,1755.625,6.641,2.394
1755,9,1755.708,6.436,3.509
1755,10,1755.792,6.549,7.146
1755,11,1755.875,6.442,6.605
1755,12,1755.958,7.809,5.694
1756,1,1756.042,9.611,5.823
1756,2,1756.125,9.531,6.194
1756,3,1756.208,7.992,6.343
1756,4,1756.292,6.877,3.802
1756,5,1756.375,8.052,7.466
1756,6,1756.458,9.911,5.374
1756,7,1756.542,8.597,2.198
1756,8,1756.625,7.051,6.283
1756,9,1756.708,8.631,4.111
1756,10,1756.792,6.706,4.757
1756,11,1756.875,4.685,4.694
1756,12,1756.958,5.142,10.150
1757,1,1757.042,5.168,6.139
1757,2,1757.125,8.007,5.219
1757,3,1757.208,7.675,6.159
1757,4,1757.292,8.269,5.639
1757,5,1757.375,7.882,5.458
1757,6,1757.458,9.825,6.488
1757,7,1757.542,11.421,8.085
1757,8,1757.625,8.986,9.642
1757,9,1757.708,6.402,6.840
1757,10,1757.792,3.563,3.670
1757,11,1757.875,6.728,6.318
1757,12,1757.958,4.775,10.559
1758,1,1758.042,3.353,8.761
1758,2,1758.125,6.353,4.939
1758,3,1758.208,7.101,5.054
1758,4,1758.292,6.209,4.041
1758,5,1758.375,8.602,3.432
1758,6,1758.458,8.535,4.523
1758,7,1758.542,6.340,8.498
1758,8,1758.625,7.498,4.329
1758,9,1758.708,5.526,3.125
1758,10,1758.792,4.618,5.065
1758,11,1758.875,7.214,9.370
1758,12,1758.958,7.374,4.759
1759,1,1759.042,9.926,5.765
1759,2,1759.125,8.966,8.574
1759,3,1759.208,7.963,4.199
1759,4,1759.292,6.880,4.964
1759,5,1759.375,6.646,2.486
1759,6,1759.458,8.519,5.113
1759,7,1759.542,9.414,4.626
1759,8,1759.625,8.330,5.739
1759,9,1759.708,7.631,6.586
1759,10,1759.792,7.779,4.271
1759,11,1759.875,3.765,5.798
1759,12,1759.958,3.807,10.235
1760,1,1760.042,5.493,4.312
1760,2,1760.125,6.133,5.588
1760,3,1760.208,5.675,3.876
1760,4,1760.292,7.964,7.425
1760,5,1760.375,8.117,2.657
1760,6,1760.458,8.422,2.713
1760,7,1760.542,8.078,4.278
1760,8,1760.625,7.817,4.939
1760,9,1760.708,8.246,4.087
1760,10,1760.792,7.096,3.203
1760,11,1760.875,6.921,3.372
1760,12,1760.958,9.168,2.513
1761,1,1761.042,6.613,9.101
1761,2,1761.125,8.997,5.014
1761,3,1761.208,9.639,2.858
1761,4,1761.292,6.969,4.159
1761,5,1761.375,9.688,4.649
1761,6,1761.458,9.774,6.628
1761,7,1761.542,8.531,4.793
1761,8,1761.625,9.364,3.175
1761,9,1761.708,9.336,6.419
1761,10,1761.792,4.973,4.613
1761,11,1761.875,6.398,4.686
1761,12,1761.958,3.401,4.474
1762,1,1762.042,9.379,4.448
1762,2,1762.125,7.553,10.056
1762,3,1762.208,4.585,7.684
1762,4,1762.292,9.793,3.817
1762,5,1762.375,8.654,7.698
1762,6,1762.458,8.371,4.886
1762,7,1762.542,8.700,4.525
1762,8,1762.625,6.424,2.472
1762,9,1762.708,6.822,6.222
1762,10,1762.792,4.617,3.534
1762,11,1762.875,6.364,3.860
1762,12,1762.958,4.061,7.684
1763,1,1763.042,3.369,7.825
1763,2,1763.125,9.844,3.604
1763,3,1763.208,5.916,6.331
1763,4,1763.292,6.662,2.029
1763,5,1763.375,6.864,3.252
1763,6,1763.458,7.229,5.135
1763,7,1763.542,8.727,2.137
1763,8,1763.625,8.847,5.258
1763,9,1763.708,6.103,2.113
1763,10,1763.792,4.855,7.409
1763,11,1763.875,5.975,2.698
1763,12,1763.958,9.149,2.704
1764,1,1764.042,9.736,4.485
1764,2,1764.125,10.791,2.496
1764,3,1764.208,6.353,3.037
1764,4,1764.292,6.820,5.283
1764,5,1764.375,9.637,2.290
1764,6,1764.458,6.768,3.346
1764,7,1764.542,8.961,5.559
1764,8,1764.625,6.509,1.964
1764,9,1764.708,5.814,5.676
1764,10,1764.792,5.978,2.839
1764,11,1764.875,6.115,2.644
1764,12,1764.958,7.269,4.606
1765,1,1765.042,9.844,10.875
1765,2,1765.125,4.926,4.229
1765,3,1765.208,9.240,2.693
1765,4,1765.292,8.266,2.109
1765,5,1765.375,6.253,2.630
1765,6,1765.458,7.566,8.048
1765,7,1765.542,5.922,6.101
1765,8,1765.625,8.191,2.858
1765,9,1765.708,6.609,2.122
1765,10,1765.792,7.445,2.254
1765,11,1765.875,6.968,3.976
1765,12,1765.958,5.931,2.341
1766,1,1766.042,4.414,9.246
1766,2,1766.125,6.076,2.968
1766,3,1766.208,7.992,2.777
