# Monthly average temperature data for Denmark.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1750,1,1750.042,9.172,1.747
1750,2,1750.125,11.801,2.829
1750,3,1750.208,10.920,3.293
1750,4,1750.292,8.988,1.514
1750,5,1750.375,7.517,1.082
1750,6,1750.458,7.666,1.267
1750,7,1750.542,9.226,1.561
1750,8,1750.625,8.393,1.324
1750,9,1750.708,7.960,1.814
1750,10,1750.792,4.510,1.013
1750,11,1750.875,2.579,1.132
1750,12,1750.958,5.550,1.460
1751,1,1751.042,7.294,1.590
1751,2,1751.125,4.669,1.900
1751,3,1751.208,9.592,1.539
1751,4,1751.292,7.256,1.106
1751,5,1751.375,6.927,1.162
1751,6,1751.458,6.971,1.210
1751,7,1751.542,8.118,1.608
1751,8,1751.625,8.020,0.960
1751,9,1751.708,6.951,0.919
1751,10,1751.792,6.655,1.607
1751,11,1751.875,5.783,1.486
1751,12,1751.958,7.393,1.986
1752,1,1752.042,7.316,1.542
1752,2,1752.125,8.567,1.733
1752,3,1752.208,8.813,1.305
1752,4,1752.292,7.496,1.643
1752,5,1752.375,6.771,1.259
1752,6,1752.458,8.628,0.965
1752,7,1752.542,9.304,1.315
1752,8,1752.625,8.413,1.600
1752,10,1752.792,7.612,1.471
1752,11,1752.875,8.485,1.383
1752,12,1752.958,8.158,1.680
1753,1,1753.042,6.471,2.015
1753,2,1753.125,7.990,2.404
1753,3,1753.208,9.907,1.949
1753,4,1753.292,8.840,2.351
1753,5,1753.375,7.582,1.038
1753,6,1753.458,7.167,2.371
1753,7,1753.542,7.485,2.120
1753,8,1753.625,6.954,1.468
1753,9,1753.708,7.698,1.188
1753,10,1753.792,8.180,1.413
1753,11,1753.875,6.031,1.314
1753,12,1753.958,3.864,3.205
1754,1,1754.042,7.512,1.825
1754,2,1754.125,7.323,2.165
1754,3,1754.208,5.229,1.351
1754,4,1754.292,7.649,1.440
1754,5,1754.375,9.028,1.088
1754,6,1754.458,7.303,1.971
1754,7,1754.542,6.216,2.755
1754,8,1754.625,6.953,2.026
1754,9,1754.708,6.572,1.838
1754,10,1754.792,8.095,1.305
1754,11,1754.875,7.406,2.377
1754,12,1754.958,7.680,1.528
1755,1,1755.042,4.562,2.158
1755,2,1755.125,4.013,3.118
1755,3,1755.208,6.506,2.205
1755,4,1755.292,9.851,1.431
1755,5,1755.375,7.705,1.408
1755,6,1755.458,9.376,1.810
1755,7,1755.542,8.642,2.465
1755,8,1755.625,6.312,1.395
1755,9,1755.708,6.290,1.121
1755,10,1755.792,7.053,1.413
1755,11,1755.875,6.590,2.096
1755,12,1755.958,8.063,1.708
1756,1,1756.042,10.267,1.859
1756,2,1756.125,10.998,4.845
1756,3,1756.208,8.687,3.020
1756,4,1756.292,6.315,2.799
1756,5,1756.375,6.027,5.896
1756,6,1756.458,9.161,1.766
