# Monthly average temperature data for Djibouti.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1880,8,1880.625,28.215,1.117
1880,9,1880.708,28.837,2.221
1880,10,1880.792,28.242,0.882
1880,11,1880.875,27.988,0.724
1880,12,1880.958,28.476,1.707
1881,1,1881.042,28.004,1.225
1881,2,1881.125,28.633,1.208
1881,3,1881.208,29.131,2.047
1881,4,1881.292,29.256,0.893
1881,5,1881.375,28.728,0.909
1881,6,1881.458,27.916,0.914
1881,7,1881.542,28.762,1.053
1881,9,1881.708,28.741,1.834
1881,10,1881.792,28.948,1.714
1881,11,1881.875,28.349,1.414
1881,12,1881.958,28.323,1.164
1882,1,1882.042,28.643,0.663
1882,2,1882.125,28.576,0.800
1882,3,1882.208,28.210,0.924
1882,4,1882.292,28.372,0.924
1882,5,1882.375,28.546,1.035
1882,6,1882.458,27.662,0.678
1882,7,1882.542,27.337,1.385
1882,8,1882.625,28.222,0.987
1882,9,1882.708,28.623,0.930
1882,10,1882.792,28.106,1.115
1882,11,1882.875,27.459,0.845
1882,12,1882.958,27.773,1.803
1883,1,1883.042,28.329,1.578
1883,2,1883.125,28.058,2.074
1883,3,1883.208,28.590,0.975
1883,4,1883.292,28.274,1.203
1883,5,1883.375,27.900,0.698
1883,6,1883.458,27.956,0.767
1883,7,1883.542,26.445,3.226
1883,8,1883.625,28.172,0.647
1883,9,1883.708,28.319,1.200
1883,10,1883.792,28.458,0.602
1883,11,1883.875,27.629,1.334
1883,12,1883.958,27.864,0.631
1884,1,1884.042,27.646,0.787
1884,2,1884.125,27.642,0.846
1884,3,1884.208,28.095,2.385
1884,4,1884.292,27.919,0.771
1884,5,1884.375,27.393,0.572
1884,6,1884.458,27.423,0.827
1884,7,1884.542,28.212,1.107
1884,8,1884.625,28.453,0.744
1884,9,1884.708,28.702,2.799
1884,10,1884.792,27.387,0.765
1884,11,1884.875,27.196,0.721
1884,12,1884.958,28.293,1.180
1885,1,1885.042,28.266,2.200
1885,2,1885.125,28.483,1.518
1885,3,1885.208,27.757,0.762
1885,4,1885.292,28.862,2.663
1885,5,1885.375,27.860,0.847
1885,11,1885.875,27.916,1.025
1885,12,1885.958,28.563,0.680
1886,1,1886.042,28.081,2.062
1886,2,1886.125,27.960,1.645
1886,3,1886.208,28.544,2.918
1886,4,1886.292,28.845,1.636
1886,5,1886.375,27.751,0.709
1886,6,1886.458,28.080,0.794
1886,7,1886.542,29.164,1.550
1886,8,1886.625,28.546,1.126
1886,9,1886.708,28.198,1.024
1886,10,1886.792,28.376,1.511
1886,11,1886.875,27.826,1.604
1886,12,1886.958,27.958,0.769
1887,1,1887.042,27.893,2.530
1887,2,1887.125,28.162,1.196
1887,3,1887.208,28.024,1.172
1887,4,1887.292,28.272,0.913
1887,5,1887.375,27.944,0.782
1887,6,1887.458,27.658,0.780
1887,7,1887.542,27.698,1.152
1887,8,1887.625,27.136,1.523
1887,9,1887.708,28.147,0.796
1887,10,1887.792,27.354,1.953
1887,11,1887.875,27.653,0.863
1887,12,1887.958,27.827,1.074
1888,1,1888.042,27.753,0.954
1888,2,1888.125,28.070,0.900
1888,3,1888.208,27.982,0.650
1888,4,1888.292,28.859,1.972
1888,5,1888.375,28.218,0.777
1888,6,1888.458,28.052,0.954
1888,7,1888.542,28.788,0.650
1888,8,1888.625,29.067,1.381
1888,9,1888.708,28.660,1.154
1888,10,1888.792,27.830,1.765
1888,11,1888.875,28.110,1.147
1888,12,1888.958,28.313,0.954
1889,1,1889.042,28.418,1.161
1889,2,1889.125,28.792,0.846
1889,3,1889.208,28.416,0.961
1889,4,1889.292,28.213,1.326
1889,5,1889.375,28.503,0.853
1889,6,1889.458,28.033,0.910
1889,7,1889.542,28.175,0.921
1889,8,1889.625,27.822,1.229
1889,9,1889.708,28.509,1.430
1889,10,1889.792,27.911,0.880
1889,11,1889.875,27.357,1.022
1889,12,1889.958,27.726,0.735
1890,1,1890.042,27.900,1.002
1890,2,1890.125,28.171,0.948
1890,3,1890.208,28.178,1.516
1890,4,1890.292,28.459,0.962
1890,5,1890.375,27.417,0.977
1890,6,1890.458,27.289,0.894
1890,7,1890.542,27.041,2.611
1890,8,1890.625,26.965,2.520
1890,9,1890.708,28.265,1.595
1890,10,1890.792,28.439,0.650
1890,11,1890.875,28.093,2.250
1890,12,1890.958,28.530,1.637
1891,1,1891.042,27.927,1.027
1891,2,1891.125,28.191,1.590
1891,3,1891.208,28.006,0.965
1891,4,1891.292,28.030,0.657
1891,5,1891.375,27.909,1.085
1891,6,1891.458,27.772,0.667
1891,7,1891.542,28.066,0.547
1891,8,1891.625,28.536,1.509
1891,9,1891.708,28.866,0.688
1891,10,1891.792,28.384,0.933
1891,11,1891.875,28.266,0.710
1891,12,1891.958,28.507,0.597
1892,1,1892.042,27.380,0.699
1892,2,1892.125,28.371,0.591
1892,3,1892.208,27.988,0.470
1892,4,1892.292,28.858,0.551
1892,5,1892.375,28.888,1.313
1892,6,1892.458,28.173,0.625
1892,7,1892.542,27.907,0.623
1892,8,1892.625,27.449,0.881
1892,9,1892.708,27.397,0.549
1892,10,1892.792,27.988,0.473
1892,11,1892.875,27.914,0.894
1892,12,1892.958,27.844,0.716
1893,1,1893.042,28.010,0.687
1893,2,1893.125,28.470,0.528
1893,3,1893.208,28.311,0.727
1893,4,1893.292,27.926,0.766
1893,5,1893.375,27.873,0.888
1893,6,1893.458,27.793,0.632
1893,7,1893.542,28.653,0.529
1893,8,1893.625,28.507,0.836
1893,9,1893.708,28.208,0.550
1893,10,1893.792,27.825,0.792
1893,11,1893.875,27.416,1.069
1893,12,1893.958,27.939,2.072
1894,1,1894.042,27.739,0.959
1894,2,1894.125,28.352,1.062
1894,3,1894.208,28.131,0.677
1894,4,1894.292,28.066,0.637
1894,5,1894.375,28.512,0.802
1894,6,1894.458,28.334,0.882
1894,7,1894.542,28.090,0.932
1894,8,1894.625,28.072,0.811
1894,9,1894.708,29.069,0.708
1894,10,1894.792,28.437,0.435
1894,11,1894.875,27.759,0.651
1894,12,1894.958,28.120,0.627
1895,1,1895.042,28.209,0.765
