# Monthly average temperature data for Dominica.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1824,1,1824.042,25.723,1.567
1824,2,1824.125,25.465,2.786
1824,3,1824.208,25.844,0.938
1824,4,1824.292,26.499,1.350
1824,5,1824.375,25.732,1.228
1824,6,1824.458,25.754,2.358
1824,7,1824.542,25.946,1.829
1824,8,1824.625,25.168,1.031
1824,9,1824.708,25.197,2.514
1824,10,1824.792,24.815,0.674
1824,11,1824.875,25.607,0.785
1824,12,1824.958,25.826,2.780
1825,1,1825.042,26.005,2.073
1825,2,1825.125,25.844,1.179
1825,3,1825.208,26.371,1.586
1825,4,1825.292,26.869,0.850
1825,5,1825.375,26.334,1.441
1825,6,1825.458,26.165,1.175
1825,7,1825.542,26.011,2.196
1825,8,1825.625,25.620,2.064
1825,9,1825.708,25.051,1.865
1825,10,1825.792,25.183,1.118
1825,11,1825.875,25.894,2.337
1825,12,1825.958,25.959,1.334
1826,1,1826.042,26.188,1.278
1826,2,1826.125,25.085,1.500
1826,3,1826.208,24.990,1.850
1826,4,1826.292,25.928,1.607
1826,5,1826.375,26.107,1.213
1826,6,1826.458,25.746,1.698
1826,7,1826.542,25.902,1.679
1826,8,1826.625,25.180,1.394
1826,9,1826.708,24.934,1.082
1826,10,1826.792,25.192,1.225
1826,11,1826.875,26.073,1.754
1826,12,1826.958,26.757,1.972
1827,1,1827.042,26.196,3.591
1827,2,1827.125,25.914,2.676
1827,3,1827.208,26.349,1.841
1827,4,1827.292,26.706,2.232
1827,5,1827.375,26.191,1.709
1827,7,1827.542,26.084,1.363
1827,8,1827.625,25.172,2.043
1827,9,1827.708,24.967,1.518
1827,10,1827.792,25.026,1.987
1827,11,1827.875,26.092,0.996
1827,12,1827.958,25.854,1.806
1828,1,1828.042,25.039,1.518
1828,2,1828.125,24.890,1.617
1828,3,1828.208,25.775,1.453
1828,4,1828.292,26.186,2.252
1828,5,1828.375,26.178,1.487
1828,6,1828.458,26.052,1.658
1828,7,1828.542,25.938,1.474
1828,8,1828.625,25.817,0.808
1828,9,1828.708,24.863,1.451
1828,11,1828.875,26.103,1.203
1828,12,1828.958,25.470,2.701
1829,1,1829.042,25.289,1.628
1829,2,1829.125,25.318,1.791
1829,3,1829.208,25.957,1.051
1829,4,1829.292,26.142,1.369
1829,5,1829.375,26.130,1.517
1829,6,1829.458,25.566,1.507
1829,7,1829.542,25.932,1.101
1829,8,1829.625,25.442,0.966
1829,9,1829.708,25.148,0.851
1829,11,1829.875,25.628,1.300
1829,12,1829.958,25.448,1.530
1846,1,1846.042,26.712,3.007
1846,2,1846.125,26.405,1.536
1846,3,1846.208,26.688,0.796
1846,4,1846.292,25.410,1.576
1846,5,1846.375,25.906,1.025
1846,6,1846.458,26.185,1.284
1846,7,1846.542,26.388,1.147
1846,8,1846.625,26.048,0.683
1846,9,1846.708,25.687,0.783
1846,10,1846.792,25.167,1.272
1846,11,1846.875,25.088,1.239
1846,12,1846.958,25.897,1.376
1847,1,1847.042,26.365,1.684
1847,2,1847.125,25.948,1.525
1847,3,1847.208,24.962,1.398
1847,4,1847.292,25.581,1.316
1847,5,1847.375,25.007,0.852
1847,6,1847.458,25.529,1.059
1847,7,1847.542,25.855,1.149
1847,8,1847.625,25.534,0.885
1847,9,1847.708,25.560,0.799
1847,10,1847.792,25.403,0.768
1847,11,1847.875,25.623,0.861
1847,12,1847.958,24.557,1.591
1848,1,1848.042,24.745,1.700
1848,2,1848.125,26.042,1.089
1848,3,1848.208,25.313,0.658
1848,4,1848.292,25.614,0.871
1848,5,1848.375,25.148,1.031
1848,6,1848.458,25.609,1.126
1848,7,1848.542,26.267,0.977
1848,8,1848.625,25.413,0.856
1848,9,1848.708,25.302,0.796
1848,10,1848.792,25.588,0.957
1848,11,1848.875,25.463,0.893
1848,12,1848.958,25.268,1.332
1849,1,1849.042,25.800,1.409
1849,2,1849.125,25.566,1.239
1849,3,1849.208,25.789,1.342
1849,4,1849.292,25.065,1.051
1849,5,1849.375,25.111,0.860
1849,6,1849.458,25.440,0.955
1849,7,1849.542,25.904,0.771
1849,8,1849.625,25.453,0.927
1849,9,1849.708,25.280,0.720
1849,10,1849.792,25.504,0.779
1849,11,1849.875,25.290,1.372
1849,12,1849.958,25.139,0.945
1850,1,1850.042,25.009,1.200
1850,2,1850.125,25.818,1.428
1850,3,1850.208,25.648,1.119
1850,4,1850.292,25.208,1.053
1850,5,1850.375,25.107,0.837
1850,6,1850.458,25.804,0.747
1850,7,1850.542,26.301,0.821
1850,8,1850.625,25.959,0.936
1850,9,1850.708,25.802,0.805
1850,10,1850.792,25.327,1.337
1850,11,1850.875,25.094,2.106
1850,12,1850.958,25.725,1.577
1851,1,1851.042,25.894,0.826
1851,2,1851.125,25.392,1.127
