# Monthly average temperature data for Dominican Republic.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1824,1,1824.042,25.855,1.428
1824,2,1824.125,24.855,2.383
1824,3,1824.208,25.955,1.080
1824,4,1824.292,26.095,0.985
1824,5,1824.375,25.792,1.214
1824,6,1824.458,25.771,2.044
1824,7,1824.542,25.865,1.580
1824,8,1824.625,24.648,1.212
1824,9,1824.708,24.649,2.289
1824,10,1824.792,24.480,0.833
1824,11,1824.875,25.444,0.930
1824,12,1824.958,25.661,2.056
1825,1,1825.042,25.669,1.842
1825,2,1825.125,25.646,1.236
1825,3,1825.208,25.571,1.279
1825,4,1825.292,25.823,1.029
1825,5,1825.375,25.627,1.170
1825,6,1825.458,25.658,1.251
1825,7,1825.542,25.228,1.862
1825,8,1825.625,24.632,2.227
1825,9,1825.708,24.499,2.030
1825,10,1825.792,24.463,0.944
1825,11,1825.875,25.145,2.044
1825,12,1825.958,24.769,1.197
1826,1,1826.042,24.848,1.349
1826,2,1826.125,25.603,1.680
1826,3,1826.208,25.575,2.835
1826,4,1826.292,26.088,1.544
1826,5,1826.375,25.784,1.007
1826,6,1826.458,25.234,1.334
1826,7,1826.542,25.625,1.721
1826,8,1826.625,24.737,1.489
1826,9,1826.708,25.057,1.791
1826,10,1826.792,24.769,1.031
1826,11,1826.875,25.050,1.632
1826,12,1826.958,26.072,1.391
1827,1,1827.042,25.364,2.408
1827,2,1827.125,26.375,2.399
1827,3,1827.208,26.081,1.860
1827,4,1827.292,26.598,1.912
1827,5,1827.375,26.313,1.606
1827,7,1827.542,26.074,1.463
1827,8,1827.625,25.270,1.816
1827,9,1827.708,24.555,1.523
1827,10,1827.792,24.702,1.746
1827,11,1827.875,25.281,1.315
1827,12,1827.958,25.618,1.920
1828,1,1828.042,25.628,1.208
1828,2,1828.125,25.722,1.678
1828,3,1828.208,25.410,1.488
1828,4,1828.292,25.539,2.236
1828,5,1828.375,25.633,2.021
1828,6,1828.458,25.827,1.938
1828,7,1828.542,25.647,1.748
1828,8,1828.625,25.361,0.857
1828,9,1828.708,24.452,1.061
1828,11,1828.875,25.360,1.485
1828,12,1828.958,25.739,2.549
1829,1,1829.042,24.547,2.002
1829,2,1829.125,25.020,1.769
1829,3,1829.208,24.683,1.057
1829,4,1829.292,25.376,0.910
1829,5,1829.375,25.323,1.778
1829,6,1829.458,25.193,1.790
1829,7,1829.542,25.599,1.094
1829,8,1829.625,25.242,1.313
1829,9,1829.708,24.796,1.146
1829,11,1829.875,24.563,1.807
1829,12,1829.958,24.853,1.499
1849,8,1849.625,25.334,0.906
1850,7,1850.542,25.946,1.142
1851,11,1851.875,24.778,1.399
1851,12,1851.958,24.546,1.359
1852,1,1852.042,23.808,1.212
1852,2,1852.125,24.364,1.375
1852,3,1852.208,24.018,0.938
1852,4,1852.292,24.858,0.782
1852,5,1852.375,25.558,0.896
1852,6,1852.458,25.606,0.908
1852,7,1852.542,25.290,1.186
1852,8,1852.625,25.071,1.107
1852,9,1852.708,24.963,0.837
1852,10,1852.792,24.138,1.580
1852,11,1852.875,24.529,1.175
1852,12,1852.958,25.399,1.244
1853,1,1853.042,24.773,1.440
1853,2,1853.125,23.749,2.707
1853,3,1853.208,25.469,1.798
1853,4,1853.292,25.557,1.160
1853,5,1853.375,25.259,0.599
1853,6,1853.458,25.421,1.205
1853,7,1853.542,26.032,0.838
1853,8,1853.625,24.995,1.683
1853,9,1853.708,24.868,0.542
1853,10,1853.792,25.307,0.833
1853,11,1853.875,24.957,1.742
1853,12,1853.958,25.127,1.989
1854,1,1854.042,25.742,1.427
1854,2,1854.125,24.682,0.988
1854,3,1854.208,25.541,0.691
1854,4,1854.292,24.485,1.010
1854,5,1854.375,25.189,0.740
1854,6,1854.458,25.295,0.783
1854,7,1854.542,25.533,0.829
1854,8,1854.625,24.803,0.830
1854,9,1854.708,24.515,0.758
1854,10,1854.792,25.231,0.717
1854,11,1854.875,24.314,0.716
1854,12,1854.958,25.431,3.689
1855,1,1855.042,24.999,1.025
1855,2,1855.125,24.687,1.710
1855,3,1855.208,25.071,1.466
1855,4,1855.292,24.810,0.789
1855,5,1855.375,25.091,0.849
1855,6,1855.458,25.937,0.865
1855,7,1855.542,25.062,0.633
1855,8,1855.625,25.976,0.954
1855,9,1855.708,25.273,0.550
1855,10,1855.792,25.054,1.552
1855,11,1855.875,25.642,0.801
1855,12,1855.958,25.868,1.724
1856,1,1856.042,26.379,0.765
1856,2,1856.125,25.601,1.497
1856,3,1856.208,25.886,1.007
1856,4,1856.292,25.128,0.675
1856,5,1856.375,25.857,0.556
1856,6,1856.458,26.083,1.812
1856,7,1856.542,26.084,1.165
1856,8,1856.625,25.280,0.923
1856,9,1856.708,24.915,0.754
1856,10,1856.792,25.105,0.690
1856,11,1856.875,25.817,0.675
1856,12,1856.958,25.422,1.449
1857,1,1857.042,24.324,1.018
1857,2,1857.125,24.182,1.372
1857,3,1857.208,24.956,0.858
1857,4,1857.292,24.253,0.733
1857,5,1857.375,24.498,0.626
1857,6,1857.458,25.364,0.856
1857,7,1857.542,25.346,0.690
