# Monthly average temperature data for Egypt.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1843,1,1843.042,23.135,1.825
1843,2,1843.125,23.474,2.148
1843,3,1843.208,22.624,1.623
1843,4,1843.292,21.880,1.553
1843,5,1843.375,21.467,1.713
1843,6,1843.458,21.186,1.471
1843,7,1843.542,22.846,1.555
1843,8,1843.625,21.876,1.444
1843,9,1843.708,21.742,1.599
1843,11,1843.875,21.551,1.703
1843,12,1843.958,21.281,2.172
1844,1,1844.042,21.779,1.970
1844,2,1844.125,21.396,1.736
1844,11,1844.875,21.774,1.552
1844,12,1844.958,22.049,1.896
1861,1,1861.042,22.004,2.032
1861,2,1861.125,21.884,1.955
1861,3,1861.208,21.833,2.135
1861,4,1861.292,22.294,2.030
1861,5,1861.375,21.562,1.549
1861,7,1861.542,22.712,1.682
1861,8,1861.625,22.995,1.450
1861,9,1861.708,22.297,1.447
1861,10,1861.792,22.010,1.396
1861,11,1861.875,22.950,1.610
1861,12,1861.958,21.339,1.788
1862,1,1862.042,21.577,2.075
1862,2,1862.125,21.755,1.490
1862,3,1862.208,22.312,1.827
1862,4,1862.292,22.792,2.190
1862,5,1862.375,23.287,1.459
1862,6,1862.458,23.162,1.624
1862,7,1862.542,22.451,1.438
1862,8,1862.625,21.809,1.576
1862,9,1862.708,21.449,1.899
1862,10,1862.792,20.898,1.675
1862,11,1862.875,22.644,1.544
1862,12,1862.958,21.205,1.929
1863,1,1863.042,22.080,2.055
1863,2,1863.125,20.331,2.159
1863,3,1863.208,22.776,1.989
1863,4,1863.292,21.741,1.511
1863,5,1863.375,23.770,2.250
1863,6,1863.458,22.515,1.448
1863,10,1863.792,22.480,1.598
1863,11,1863.875,23.504,1.547
1863,12,1863.958,22.421,2.512
1864,1,1864.042,21.459,1.656
1864,2,1864.125,23.206,2.108
1864,3,1864.208,24.022,1.655
1864,4,1864.292,21.797,2.149
1864,5,1864.375,23.187,1.681
1864,6,1864.458,22.534,1.556
1864,7,1864.542,23.249,1.441
1864,8,1864.625,22.451,1.438
1864,9,1864.708,22.528,1.744
1864,10,1864.792,23.848,2.658
1864,11,1864.875,24.397,2.299
1864,12,1864.958,22.361,1.604
1865,1,1865.042,23.942,1.498
1865,2,1865.125,22.577,1.351
1865,3,1865.208,24.104,1.431
1865,4,1865.292,21.571,1.516
1865,5,1865.375,21.953,1.395
1865,6,1865.458,23.648,2.174
1865,7,1865.542,23.318,1.519
1865,8,1865.625,23.520,1.637
1865,9,1865.708,21.984,1.496
1865,10,1865.792,23.807,1.675
1865,11,1865.875,22.810,1.563
1865,12,1865.958,22.320,1.565
1866,1,1866.042,22.241,1.638
1866,2,1866.125,22.520,2.030
1866,3,1866.208,23.506,1.849
1866,4,1866.292,22.636,1.699
1866,5,1866.375,23.410,1.380
1866,6,1866.458,21.828,1.465
1866,7,1866.542,24.554,1.414
