# Monthly average temperature data for El Salvador.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1857,2,1857.125,24.041,2.226
1857,3,1857.208,23.431,1.770
1857,4,1857.292,24.773,2.926
1857,5,1857.375,24.714,1.958
1857,6,1857.458,25.492,1.999
1857,7,1857.542,25.249,0.992
1857,8,1857.625,24.924,0.818
1857,9,1857.708,24.833,1.009
1857,10,1857.792,25.716,2.077
1857,11,1857.875,24.958,0.988
1857,12,1857.958,24.823,1.320
1858,1,1858.042,26.906,2.589
1858,2,1858.125,24.928,1.552
1858,3,1858.208,23.640,2.479
1858,4,1858.292,24.609,1.261
1858,5,1858.375,25.795,1.365
1858,6,1858.458,26.102,2.378
1858,7,1858.542,24.503,0.924
1858,8,1858.625,24.529,1.256
1858,9,1858.708,26.018,2.576
1858,10,1858.792,25.433,0.948
1858,11,1858.875,24.950,1.865
1858,12,1858.958,24.858,1.016
1859,1,1859.042,24.647,0.989
1859,2,1859.125,25.128,1.457
1859,3,1859.208,25.313,1.014
1859,4,1859.292,25.028,1.445
1859,5,1859.375,25.201,0.966
1859,6,1859.458,24.942,0.727
1859,7,1859.542,25.241,0.932
1859,8,1859.625,25.122,0.790
1859,9,1859.708,24.786,0.615
1859,10,1859.792,25.250,0.873
1859,11,1859.875,24.039,1.406
1859,12,1859.958,24.446,1.356
1860,1,1860.042,24.498,0.978
1860,2,1860.125,24.418,0.903
1860,3,1860.208,23.153,1.765
1860,4,1860.292,24.739,0.985
1860,5,1860.375,23.944,2.281
1860,6,1860.458,25.706,1.094
1860,7,1860.542,24.800,1.596
1860,8,1860.625,24.831,1.220
1860,9,1860.708,25.133,0.768
1860,10,1860.792,24.537,1.150
1860,11,1860.875,25.134,1.045
1860,12,1860.958,24.795,1.414
1863,1,1863.042,24.811,1.022
1863,2,1863.125,25.639,2.839
1863,3,1863.208,25.141,1.319
1863,4,1863.292,24.533,1.528
1863,5,1863.375,24.891,1.663
1863,6,1863.458,25.495,1.122
1863,7,1863.542,24.898,0.744
1863,8,1863.625,24.625,1.244
1863,9,1863.708,24.578,1.401
1863,10,1863.792,24.460,1.052
1863,11,1863.875,24.526,0.959
1863,12,1863.958,24.165,2.109
1866,3,1866.208,24.091,1.445
1866,4,1866.292,24.089,0.965
1866,5,1866.375,24.885,0.921
1866,7,1866.542,24.930,1.004
1866,8,1866.625,24.667,1.078
1866,9,1866.708,25.067,0.791
1866,10,1866.792,24.425,0.735
1866,11,1866.875,24.322,0.701
1866,12,1866.958,25.557,1.027
1867,1,1867.042,25.472,1.287
1867,2,1867.125,25.172,1.208
1867,3,1867.208,25.821,0.874
1867,4,1867.292,24.858,0.798
1867,5,1867.375,24.929,0.819
1867,6,1867.458,25.646,0.700
1867,7,1867.542,25.197,1.002
1867,8,1867.625,25.177,0.999
1867,9,1867.708,25.151,0.802
1867,10,1867.792,24.917,0.890
1867,11,1867.875,24.160,1.326
1867,12,1867.958,25.221,1.211
1868,1,1868.042,25.143,1.205
1868,2,1868.125,23.799,1.360
1868,3,1868.208,24.858,1.152
1868,4,1868.292,24.293,0.962
1868,5,1868.375,24.552,0.962
1868,6,1868.458,24.827,0.777
1868,7,1868.542,25.265,0.810
1868,8,1868.625,24.864,0.791
1868,9,1868.708,24.666,0.870
1868,10,1868.792,25.005,1.165
1868,11,1868.875,24.049,1.052
1868,12,1868.958,24.540,1.394
1869,1,1869.042,26.572,1.376
1869,2,1869.125,27.037,1.621
1869,3,1869.208,25.705,1.584
1869,4,1869.292,26.203,1.229
1869,5,1869.375,25.742,0.957
1877,9,1877.708,26.012,1.276
1877,10,1877.792,26.155,1.062
1877,11,1877.875,25.326,1.051
1877,12,1877.958,24.637,1.211
1878,1,1878.042,24.911,1.564
1878,2,1878.125,25.702,1.308
1878,3,1878.208,26.218,0.927
1878,4,1878.292,26.489,1.195
1878,5,1878.375,26.307,1.078
1878,6,1878.458,26.985,0.819
