# Monthly average temperature data for Equatorial Guinea.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1873,3,1873.208,24.649,0.696
1873,5,1873.375,24.938,0.918
1873,6,1873.458,25.818,1.655
1873,7,1873.542,25.744,1.604
1873,8,1873.625,25.371,1.033
1873,9,1873.708,25.061,1.581
1873,10,1873.792,24.405,0.964
1873,12,1873.958,24.638,0.687
1874,1,1874.042,25.256,0.864
1874,2,1874.125,24.610,0.751
1874,3,1874.208,24.333,1.262
1874,4,1874.292,24.609,0.508
1874,5,1874.375,24.383,1.355
1874,7,1874.542,24.965,0.560
1874,8,1874.625,24.640,0.628
1874,9,1874.708,24.794,0.534
1874,10,1874.792,24.647,0.655
1874,11,1874.875,24.087,0.700
1874,12,1874.958,24.342,0.726
1875,1,1875.042,23.997,0.658
1875,2,1875.125,24.249,0.956
1875,3,1875.208,24.090,0.834
1875,4,1875.292,24.391,0.822
1875,5,1875.375,24.789,1.286
1875,6,1875.458,25.200,1.225
1875,7,1875.542,25.386,1.100
1875,8,1875.625,25.114,1.228
1875,9,1875.708,24.367,0.944
1875,10,1875.792,23.982,0.793
1875,11,1875.875,23.433,1.081
1875,12,1875.958,23.640,0.741
1876,1,1876.042,23.634,1.471
1876,2,1876.125,23.538,1.642
1876,3,1876.208,23.436,2.153
1876,5,1876.375,24.163,0.634
1876,6,1876.458,24.690,0.583
1876,10,1876.792,25.099,1.082
1876,11,1876.875,24.462,1.436
1876,12,1876.958,24.282,1.856
1877,1,1877.042,24.657,0.986
1877,2,1877.125,24.438,0.716
1877,3,1877.208,24.686,0.784
1877,4,1877.292,24.505,0.602
1877,5,1877.375,24.515,0.668
1877,6,1877.458,25.229,1.058
1877,7,1877.542,25.273,0.748
1877,8,1877.625,25.589,0.741
1877,9,1877.708,24.861,0.694
1877,10,1877.792,25.018,0.648
1877,11,1877.875,24.950,0.746
1877,12,1877.958,24.755,1.321
1878,1,1878.042,24.673,0.867
1878,2,1878.125,25.148,0.776
1878,3,1878.208,25.763,1.195
1878,4,1878.292,25.250,0.776
1878,5,1878.375,24.470,0.736
1878,6,1878.458,24.937,0.812
1878,7,1878.542,24.652,1.919
1878,8,1878.625,24.285,1.951
1878,9,1878.708,24.424,1.119
1878,10,1878.792,24.633,0.928
1878,11,1878.875,24.397,1.519
1878,12,1878.958,24.142,1.281
1879,1,1879.042,23.888,1.628
1879,2,1879.125,24.214,0.595
1879,3,1879.208,23.726,1.030
1879,4,1879.292,23.889,0.671
1879,5,1879.375,23.927,0.610
1879,6,1879.458,23.917,0.758
1879,7,1879.542,23.831,0.959
1879,8,1879.625,24.118,0.635
1879,9,1879.708,23.963,0.565
1879,10,1879.792,24.296,1.262
1879,11,1879.875,24.044,0.497
1879,12,1879.958,23.659,0.912
1880,1,1880.042,23.764,0.900
1880,2,1880.125,23.677,0.967
1880,3,1880.208,23.423,0.643
1880,4,1880.292,23.746,0.868
1880,5,1880.375,23.772,0.849
1880,6,1880.458,23.834,0.545
1880,7,1880.542,24.918,0.719
1880,8,1880.625,24.787,0.814
1880,9,1880.708,24.230,0.864
1880,10,1880.792,24.349,0.677
1880,11,1880.875,24.442,0.633
1880,12,1880.958,24.521,0.679
1881,1,1881.042,24.442,0.909
1881,2,1881.125,24.759,1.384
1881,3,1881.208,24.734,1.608
1881,4,1881.292,24.643,0.928
1881,5,1881.375,24.531,0.906
1881,6,1881.458,23.727,0.940
1881,7,1881.542,24.571,0.972
1881,8,1881.625,24.362,1.302
1881,9,1881.708,24.434,0.520
1881,10,1881.792,24.658,1.294
1881,11,1881.875,24.491,0.634
1881,12,1881.958,24.913,1.199
1882,1,1882.042,25.188,0.720
1882,2,1882.125,24.958,0.881
1882,3,1882.208,24.661,0.737
1882,4,1882.292,24.233,0.924
1882,5,1882.375,24.316,0.819
1882,7,1882.542,24.277,0.597
1882,8,1882.625,24.222,1.006
1882,9,1882.708,24.564,0.783
1882,10,1882.792,24.373,0.458
1882,11,1882.875,24.335,0.578
1883,3,1883.208,25.057,1.357
1883,4,1883.292,25.190,1.180
1883,5,1883.375,24.852,0.748
1883,6,1883.458,24.893,0.590
1883,7,1883.542,25.256,0.714
1883,8,1883.625,25.231,1.269
1883,9,1883.708,24.711,1.400
1883,10,1883.792,24.757,0.792
1883,11,1883.875,24.305,0.904
1883,12,1883.958,24.495,0.592
1884,1,1884.042,24.396,0.598
1884,2,1884.125,25.134,1.107
1884,3,1884.208,24.319,1.385
1884,4,1884.292,24.418,0.448
1884,5,1884.375,24.395,1.086
1884,6,1884.458,24.555,1.048
1885,11,1885.875,24.087,0.736
1885,12,1885.958,24.543,0.793
1886,1,1886.042,24.441,0.798
1886,2,1886.125,24.597,0.568
1886,3,1886.208,24.288,0.775
1886,4,1886.292,24.751,0.279
1886,5,1886.375,24.562,0.621
1886,6,1886.458,25.172,0.513
1886,7,1886.542,24.888,0.608
1886,8,1886.625,24.744,0.537
1886,9,1886.708,24.900,0.643
1886,10,1886.792,24.559,0.524
1886,11,1886.875,24.428,0.673
1886,12,1886.958,23.811,0.969
1887,1,1887.042,23.587,0.615
1887,2,1887.125,24.059,0.609
1887,3,1887.208,24.094,0.618
1887,4,1887.292,24.163,0.687
1887,5,1887.375,23.888,0.449
1887,6,1887.458,23.337,0.657
1887,7,1887.542,23.754,1.396
1887,8,1887.625,23.534,1.120
1887,9,1887.708,23.966,0.488
1887,10,1887.792,24.048,0.517
1887,11,1887.875,24.468,0.724
1887,12,1887.958,23.914,0.472
1888,1,1888.042,24.267,0.709
1888,2,1888.125,24.615,0.760
1888,3,1888.208,25.189,0.961
1888,4,1888.292,24.459,1.018
1888,5,1888.375,24.401,0.493
1888,6,1888.458,24.145,0.772
1888,7,1888.542,23.971,0.638
1888,8,1888.625,24.024,0.762
1888,9,1888.708,24.422,0.416
1888,10,1888.792,24.290,0.589
1888,11,1888.875,24.914,0.568
1888,12,1888.958,24.711,1.193
1889,1,1889.042,24.524,0.696
1889,2,1889.125,25.151,0.689
1889,3,1889.208,25.338,0.341
1889,4,1889.292,24.915,0.435
1889,5,1889.375,25.030,0.858
1889,6,1889.458,25.483,0.728
1889,7,1889.542,25.286,0.864
1889,8,1889.625,25.101,0.849
1889,9,1889.708,24.565,0.659
1889,10,1889.792,24.529,0.718
1889,11,1889.875,24.565,1.066
1889,12,1889.958,24.508,0.585
1890,1,1890.042,24.046,0.430
1890,2,1890.125,23.762,0.717
1890,3,1890.208,23.496,0.803
1890,4,1890.292,23.593,0.611
1890,5,1890.375,24.154,1.235
1890,6,1890.458,23.889,0.855
1890,7,1890.542,24.033,1.141
1890,8,1890.625,24.045,0.626
1890,9,1890.708,23.802,0.478
1890,10,1890.792,23.834,0.837
1890,11,1890.875,23.931,0.880
1890,12,1890.958,24.310,0.797
1891,1,1891.042,24.209,0.767
