# Monthly average temperature data for Eritrea.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1880,8,1880.625,26.874,1.033
1880,9,1880.708,27.297,1.830
1880,10,1880.792,26.811,0.931
1880,11,1880.875,26.601,0.821
1880,12,1880.958,26.752,1.325
1881,1,1881.042,26.876,1.015
1881,2,1881.125,26.971,0.984
1881,3,1881.208,27.044,1.575
1881,4,1881.292,27.839,0.929
1881,5,1881.375,27.113,1.000
1881,6,1881.458,26.730,1.085
1881,7,1881.542,27.298,1.029
1881,9,1881.708,27.025,1.556
1881,10,1881.792,27.268,1.472
1881,11,1881.875,26.935,1.219
1881,12,1881.958,26.839,1.027
1882,1,1882.042,27.136,0.798
1882,2,1882.125,26.723,0.921
1882,3,1882.208,26.371,0.943
1882,4,1882.292,26.758,0.953
1882,5,1882.375,26.546,0.962
1882,6,1882.458,26.037,0.866
1882,7,1882.542,26.063,1.264
1882,8,1882.625,26.919,0.952
1882,9,1882.708,27.138,0.977
1882,10,1882.792,26.290,1.000
1882,11,1882.875,25.799,0.957
1882,12,1882.958,26.201,1.604
1883,1,1883.042,26.763,1.355
1883,2,1883.125,26.030,1.632
1883,3,1883.208,27.042,1.054
1883,4,1883.292,26.524,0.992
1883,5,1883.375,26.139,0.772
1883,6,1883.458,26.555,0.812
1883,7,1883.542,25.361,2.448
1883,8,1883.625,26.719,0.781
1883,9,1883.708,26.759,1.052
1883,10,1883.792,26.950,0.745
1883,11,1883.875,26.012,1.137
1883,12,1883.958,26.558,0.734
1884,1,1884.042,26.064,0.958
1884,2,1884.125,25.860,1.093
1884,3,1884.208,25.882,1.775
1884,4,1884.292,26.358,0.854
1884,5,1884.375,25.561,0.706
1884,6,1884.458,26.464,0.815
1884,7,1884.542,26.633,0.974
1884,8,1884.625,26.831,0.846
1884,9,1884.708,26.621,2.057
1884,10,1884.792,25.784,0.835
1884,11,1884.875,25.685,0.825
1884,12,1884.958,26.886,1.127
1885,1,1885.042,26.849,1.664
1885,2,1885.125,26.661,1.262
1885,3,1885.208,26.210,0.879
1885,4,1885.292,26.821,2.040
1885,5,1885.375,26.181,0.900
1885,11,1885.875,26.367,0.993
1885,12,1885.958,27.373,0.765
1886,1,1886.042,26.105,1.722
1886,2,1886.125,26.043,1.514
1886,3,1886.208,26.495,2.301
1886,4,1886.292,27.083,1.264
1886,5,1886.375,25.812,0.796
1886,6,1886.458,26.681,0.922
1886,7,1886.542,27.536,1.182
1886,8,1886.625,26.858,1.033
1886,9,1886.708,26.595,0.933
1886,10,1886.792,26.495,1.253
1886,11,1886.875,25.884,1.214
1886,12,1886.958,26.168,0.854
1887,1,1887.042,26.005,1.955
1887,2,1887.125,26.494,1.053
1887,3,1887.208,26.059,1.092
1887,4,1887.292,27.135,0.874
1887,5,1887.375,25.942,0.986
1887,6,1887.458,26.089,1.003
1887,7,1887.542,26.359,0.993
1887,8,1887.625,25.690,1.208
1887,9,1887.708,26.393,0.852
1887,10,1887.792,26.549,1.627
1887,11,1887.875,26.324,0.922
1887,12,1887.958,26.280,1.008
1888,1,1888.042,26.562,0.974
1888,2,1888.125,26.552,0.933
1888,3,1888.208,26.591,0.726
1888,4,1888.292,26.905,1.624
1888,5,1888.375,26.375,0.810
1888,6,1888.458,26.296,0.970
1888,7,1888.542,27.615,0.795
1888,8,1888.625,27.317,1.260
1888,9,1888.708,26.977,0.985
1888,10,1888.792,26.684,1.421
1888,11,1888.875,26.408,1.081
1888,12,1888.958,26.883,0.901
1889,1,1889.042,27.155,1.179
1889,2,1889.125,27.279,0.808
1889,3,1889.208,27.059,0.791
1889,4,1889.292,26.632,1.113
1889,5,1889.375,27.025,0.919
1889,6,1889.458,26.649,0.964
1889,7,1889.542,26.913,0.951
1889,8,1889.625,26.367,1.067
1889,9,1889.708,26.771,1.348
1889,10,1889.792,26.482,0.998
1889,11,1889.875,25.576,0.887
1889,12,1889.958,26.588,0.862
1890,1,1890.042,26.244,1.183
1890,2,1890.125,26.811,0.949
1890,3,1890.208,26.461,1.293
1890,4,1890.292,26.848,0.804
1890,5,1890.375,25.733,1.014
1890,6,1890.458,25.962,0.836
1890,7,1890.542,25.957,2.041
1890,8,1890.625,25.660,2.135
1890,9,1890.708,26.606,1.378
1890,10,1890.792,26.934,0.760
1890,11,1890.875,26.195,1.863
1890,12,1890.958,27.362,1.574
1891,1,1891.042,26.376,1.167
1891,2,1891.125,26.732,1.305
1891,3,1891.208,26.207,1.066
1891,4,1891.292,26.619,0.749
1891,5,1891.375,26.566,1.093
1891,6,1891.458,25.989,0.739
1891,7,1891.542,26.823,0.686
1891,8,1891.625,26.959,1.306
1891,9,1891.708,27.164,0.733
1891,10,1891.792,26.933,0.942
1891,11,1891.875,26.686,0.696
1891,12,1891.958,27.204,0.790
1892,1,1892.042,26.188,0.757
1892,2,1892.125,26.882,0.717
1892,3,1892.208,26.178,0.662
1892,4,1892.292,27.461,0.704
1892,5,1892.375,26.958,1.259
1892,6,1892.458,26.318,0.793
1892,7,1892.542,26.584,0.700
1892,8,1892.625,26.006,0.884
1892,9,1892.708,25.978,0.734
1892,10,1892.792,26.388,0.696
1892,11,1892.875,26.339,0.911
1892,12,1892.958,26.386,0.874
1893,1,1893.042,26.817,0.767
1893,2,1893.125,26.455,0.682
1893,3,1893.208,26.462,0.815
1893,4,1893.292,26.373,0.750
1893,5,1893.375,26.027,0.878
1893,6,1893.458,26.422,0.766
1893,7,1893.542,27.406,0.729
1893,8,1893.625,26.776,0.845
1893,9,1893.708,26.420,0.703
1893,10,1893.792,26.154,0.779
1893,11,1893.875,26.074,1.045
1893,12,1893.958,26.722,1.743
1894,1,1894.042,26.546,0.915
1894,2,1894.125,26.699,1.090
1894,3,1894.208,26.617,0.774
1894,4,1894.292,26.318,0.717
1894,5,1894.375,26.705,0.844
1894,6,1894.458,26.787,0.880
1894,7,1894.542,26.615,0.933
1894,8,1894.625,26.369,0.847
1894,9,1894.708,27.109,0.831
1894,10,1894.792,26.755,0.609
1894,11,1894.875,26.446,0.776
1894,12,1894.958,26.918,0.728
1895,1,1895.042,25.885,0.791
1895,2,1895.125,26.570,0.805
1895,3,1895.208,26.502,0.683
1895,4,1895.292,26.707,0.840
1895,5,1895.375,26.886,0.882
1895,6,1895.458,26.434,0.836
1895,7,1895.542,27.241,0.688
1895,8,1895.625,26.981,0.752
1895,9,1895.708,26.789,0.913
1895,10,1895.792,25.837,0.705
1895,11,1895.875,26.327,0.866
1895,12,1895.958,26.929,0.810
1896,1,1896.042,26.984,1.008
1896,2,1896.125,26.934,0.843
1896,3,1896.208,26.506,0.766
1896,4,1896.292,27.111,0.769
1896,5,1896.375,26.895,0.696
1896,6,1896.458,26.886,0.628
1896,7,1896.542,27.533,0.730
1896,8,1896.625,26.334,0.651
1896,9,1896.708,26.571,1.008
1896,10,1896.792,26.345,0.719
1896,11,1896.875,26.545,0.683
1896,12,1896.958,26.664,0.887
1897,1,1897.042,26.326,0.886
1897,2,1897.125,26.484,0.657
1897,3,1897.208,25.937,0.759
1897,4,1897.292,26.592,0.757
1897,5,1897.375,26.863,0.850
1897,6,1897.458,25.546,3.490
1897,7,1897.542,26.145,3.215
1897,8,1897.625,26.251,0.674
1897,9,1897.708,26.985,1.195
1897,10,1897.792,26.994,0.821
1897,11,1897.875,26.921,1.739
1897,12,1897.958,26.561,0.539
1898,1,1898.042,26.829,1.086
1898,2,1898.125,26.195,0.982
1898,3,1898.208,26.394,0.756
1898,4,1898.292,26.520,0.785
1898,5,1898.375,26.977,1.147
1898,6,1898.458,26.567,0.656
1898,7,1898.542,27.171,0.689
1898,8,1898.625,26.549,0.636
1898,9,1898.708,26.293,1.093
1898,10,1898.792,26.788,0.608
1898,11,1898.875,26.126,0.361
1898,12,1898.958,26.110,0.464
1899,1,1899.042,26.448,1.247
1899,2,1899.125,25.641,0.858
1899,3,1899.208,26.375,0.635
1899,4,1899.292,26.640,0.854
1899,5,1899.375,26.339,0.919
1899,6,1899.458,27.037,0.759
1899,7,1899.542,26.947,0.755
1899,8,1899.625,27.180,1.097
1899,9,1899.708,26.976,1.094
1899,10,1899.792,26.666,1.364
1899,11,1899.875,26.247,1.075
1899,12,1899.958,26.739,0.703
1900,1,1900.042,26.335,1.593
1900,2,1900.125,26.634,0.575
1900,3,1900.208,27.543,0.760
1900,4,1900.292,27.072,0.721
1900,5,1900.375,27.183,0.932
1900,6,1900.458,26.965,0.652
1900,7,1900.542,27.114,0.644
1900,8,1900.625,26.743,0.832
1900,9,1900.708,26.766,0.721
1900,10,1900.792,26.459,0.893
1900,11,1900.875,26.624,0.546
1900,12,1900.958,27.058,0.739
1901,1,1901.042,27.542,0.691
1901,2,1901.125,27.572,1.705
1901,3,1901.208,27.054,1.034
1901,4,1901.292,27.310,0.606
1901,5,1901.375,27.153,0.851
1901,6,1901.458,26.892,1.103
1901,7,1901.542,28.140,0.901
1901,8,1901.625,27.543,0.685
1901,9,1901.708,27.473,1.069
1901,10,1901.792,27.314,0.843
1901,11,1901.875,27.059,0.639
1901,12,1901.958,26.803,1.144
1902,1,1902.042,26.399,1.500
1902,2,1902.125,27.266,0.940
1902,3,1902.208,26.966,0.752
1902,4,1902.292,26.884,1.292
1902,5,1902.375,26.829,0.750
1902,6,1902.458,26.167,0.612
1902,7,1902.542,26.873,0.648
1902,8,1902.625,28.010,0.797
1902,9,1902.708,27.011,0.522
1902,10,1902.792,26.644,0.355
1902,11,1902.875,27.272,0.618
1902,12,1902.958,26.631,0.701
1903,1,1903.042,26.184,1.304
1903,2,1903.125,25.376,2.575
1903,3,1903.208,25.541,1.495
1903,4,1903.292,26.630,0.577
1903,5,1903.375,26.477,1.080
1903,6,1903.458,26.276,0.718
1903,7,1903.542,26.624,1.161
1903,8,1903.625,26.973,0.765
1903,9,1903.708,26.265,0.313
1903,10,1903.792,26.071,0.597
1903,11,1903.875,26.715,1.109
1903,12,1903.958,26.848,1.128
1904,1,1904.042,27.321,1.254
1904,2,1904.125,26.351,1.586
1904,3,1904.208,26.276,0.667
1904,4,1904.292,25.773,0.560
1904,5,1904.375,25.678,0.634
1904,6,1904.458,26.436,0.562
1904,7,1904.542,26.898,0.704
1904,8,1904.625,27.043,1.794
1904,9,1904.708,26.868,0.797
1904,10,1904.792,26.735,0.711
1904,11,1904.875,27.087,1.785
1904,12,1904.958,26.754,1.467
1905,1,1905.042,27.418,0.976
1905,2,1905.125,26.099,0.689
1905,3,1905.208,25.873,0.808
1905,4,1905.292,26.006,0.500
1905,5,1905.375,26.472,0.892
1905,6,1905.458,26.835,0.748
1905,7,1905.542,27.785,0.693
1905,8,1905.625,27.817,1.419
1905,9,1905.708,25.959,1.655
1905,10,1905.792,25.973,1.993
1905,11,1905.875,26.254,2.510
1905,12,1905.958,26.161,2.528
1906,1,1906.042,26.589,0.660
1906,2,1906.125,27.168,0.778
1906,3,1906.208,25.849,0.795
1906,4,1906.292,25.758,0.563
1906,5,1906.375,27.006,0.819
1906,6,1906.458,27.162,0.632
1906,7,1906.542,27.142,0.912
1906,8,1906.625,26.973,0.623
1906,9,1906.708,26.566,0.803
1906,10,1906.792,26.668,0.882
1906,11,1906.875,26.504,0.467
1906,12,1906.958,27.237,0.674
1907,1,1907.042,27.268,0.531
1907,2,1907.125,26.821,0.989
1907,3,1907.208,26.742,1.141
1907,4,1907.292,25.959,1.225
1907,5,1907.375,25.943,0.655
1907,6,1907.458,26.290,0.609
1907,7,1907.542,26.774,0.597
