# Monthly average temperature data for Estonia.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1750,1,1750.042,8.382,2.161
1750,2,1750.125,8.126,3.052
1750,3,1750.208,7.156,3.333
1750,4,1750.292,6.348,2.116
1750,5,1750.375,3.944,1.950
1750,6,1750.458,4.807,1.945
1750,7,1750.542,6.059,2.049
1750,8,1750.625,6.410,1.969
1750,9,1750.708,4.173,2.425
1750,10,1750.792,0.618,1.946
1750,11,1750.875,-2.205,2.072
1750,12,1750.958,0.789,2.258
1751,1,1751.042,4.401,2.168
1751,2,1751.125,0.681,2.388
1751,3,1751.208,6.854,2.210
1751,4,1751.292,5.259,1.902
1751,5,1751.375,4.096,1.915
1751,6,1751.458,3.129,1.984
1751,7,1751.542,5.676,2.108
1751,8,1751.625,5.133,1.904
1751,9,1751.708,4.088,1.869
1751,10,1751.792,3.081,1.681
1751,11,1751.875,2.648,1.446
1751,12,1751.958,4.738,1.812
1752,1,1752.042,2.864,1.866
1752,2,1752.125,6.443,1.778
1752,3,1752.208,6.982,1.415
1752,4,1752.292,5.469,1.764
1752,5,1752.375,4.832,1.270
1752,6,1752.458,4.367,1.055
1752,7,1752.542,7.701,1.312
1752,8,1752.625,6.383,1.608
1752,10,1752.792,4.437,1.458
1752,11,1752.875,6.131,1.359
1752,12,1752.958,5.667,1.580
1753,1,1753.042,5.212,1.776
1753,2,1753.125,4.981,2.121
1753,3,1753.208,7.230,2.124
1753,4,1753.292,5.746,1.967
1753,5,1753.375,4.787,1.085
1753,6,1753.458,3.537,1.572
1753,7,1753.542,4.449,1.686
1753,8,1753.625,4.467,1.360
1753,9,1753.708,5.092,1.232
1753,10,1753.792,5.712,1.378
1753,11,1753.875,4.460,1.236
1753,12,1753.958,-2.080,2.345
1754,1,1754.042,4.675,1.732
1754,2,1754.125,3.431,2.236
1754,3,1754.208,3.900,1.435
1754,4,1754.292,6.649,1.466
1754,5,1754.375,5.419,1.509
1754,6,1754.458,5.300,1.357
1754,7,1754.542,4.194,1.775
1754,8,1754.625,3.263,1.537
1754,9,1754.708,3.793,1.269
1754,10,1754.792,4.512,1.554
1754,11,1754.875,4.013,2.472
1754,12,1754.958,5.231,1.582
1755,1,1755.042,2.946,1.786
1755,2,1755.125,1.608,2.366
1755,3,1755.208,3.513,1.802
1755,4,1755.292,5.340,1.526
1755,5,1755.375,6.118,1.251
1755,6,1755.458,6.231,1.734
1755,7,1755.542,6.631,2.200
1755,8,1755.625,3.023,1.633
1755,9,1755.708,4.005,1.194
1755,10,1755.792,5.358,1.089
1755,11,1755.875,4.975,1.795
1755,12,1755.958,3.566,1.684
1756,1,1756.042,7.685,1.612
1756,2,1756.125,10.152,2.262
1756,3,1756.208,5.847,2.891
1756,4,1756.292,4.700,2.910
1756,5,1756.375,3.164,4.793
1756,6,1756.458,5.761,1.576
1756,7,1756.542,5.669,5.479
1756,8,1756.625,2.438,3.843
1756,9,1756.708,4.104,1.223
1756,10,1756.792,4.102,7.479
1756,11,1756.875,2.067,1.216
1756,12,1756.958,2.184,1.814
1757,1,1757.042,2.245,1.884
1757,2,1757.125,7.906,2.369
1757,3,1757.208,5.183,3.393
1757,4,1757.292,7.284,1.923
1757,5,1757.375,4.743,1.631
1757,6,1757.458,7.266,1.761
1757,7,1757.542,9.034,1.618
1757,8,1757.625,6.257,3.184
1757,9,1757.708,5.891,4.845
1757,10,1757.792,-0.188,3.898
1757,11,1757.875,5.027,5.889
1757,12,1757.958,1.192,4.951
1758,1,1758.042,0.454,3.630
1758,2,1758.125,3.386,3.589
1758,3,1758.208,3.567,1.886
1758,4,1758.292,3.874,3.366
1758,5,1758.375,4.338,5.513
1758,6,1758.458,3.894,3.372
1758,7,1758.542,4.407,4.000
1758,8,1758.625,3.614,5.166
1758,9,1758.708,2.288,1.833
1758,10,1758.792,1.442,1.346
1758,11,1758.875,3.954,1.594
1758,12,1758.958,2.685,1.432
1759,1,1759.042,8.310,2.772
1759,2,1759.125,8.687,5.773
1759,3,1759.208,5.764,2.922
1759,4,1759.292,4.286,3.862
1759,5,1759.375,2.258,3.058
1759,6,1759.458,5.713,3.436
1759,7,1759.542,5.171,4.464
1759,8,1759.625,6.127,1.692
1759,9,1759.708,3.793,2.566
1759,10,1759.792,2.957,5.591
1759,11,1759.875,2.198,6.092
1759,12,1759.958,-1.244,2.630
1760,1,1760.042,-2.381,2.113
1760,2,1760.125,6.036,6.669
1760,3,1760.208,2.343,2.070
1760,4,1760.292,2.304,2.098
1760,5,1760.375,4.469,2.208
1760,6,1760.458,4.516,1.381
1760,7,1760.542,4.767,1.518
1760,8,1760.625,3.766,4.953
1760,9,1760.708,5.482,1.973
1760,10,1760.792,1.926,1.724
1760,11,1760.875,3.938,5.314
1760,12,1760.958,2.436,3.344
1761,1,1761.042,4.964,1.881
1761,2,1761.125,5.244,2.887
1761,3,1761.208,7.968,1.578
1761,4,1761.292,4.719,2.804
1761,5,1761.375,5.517,3.395
1761,6,1761.458,6.917,2.973
1761,7,1761.542,6.335,1.387
1761,8,1761.625,6.455,1.991
1761,9,1761.708,6.356,4.001
1761,10,1761.792,1.262,2.830
1761,11,1761.875,4.104,9.257
1761,12,1761.958,-0.258,1.988
1762,1,1762.042,8.662,6.245
1762,2,1762.125,7.430,2.945
1762,3,1762.208,3.679,4.964
1762,4,1762.292,6.367,2.729
1762,5,1762.375,4.399,4.170
1762,6,1762.458,5.838,4.333
1762,7,1762.542,4.034,3.951
1762,8,1762.625,3.265,3.141
1762,9,1762.708,2.693,1.373
1762,10,1762.792,-0.468,6.578
1762,11,1762.875,5.607,2.304
1762,12,1762.958,3.422,1.503
1763,1,1763.042,3.091,7.209
1763,2,1763.125,3.762,5.907
1763,3,1763.208,1.374,1.668
1763,4,1763.292,3.484,4.210
1763,5,1763.375,4.871,5.606
1763,6,1763.458,3.858,4.973
1763,7,1763.542,7.133,2.455
1763,8,1763.625,4.778,4.436
1763,9,1763.708,3.307,5.558
1763,10,1763.792,2.120,2.209
1763,11,1763.875,3.320,3.709
1763,12,1763.958,4.043,3.667
1764,1,1764.042,5.071,3.415
1764,2,1764.125,9.197,3.686
1764,3,1764.208,6.341,3.543
1764,4,1764.292,4.836,6.594
1764,5,1764.375,4.512,2.179
1764,6,1764.458,2.284,5.328
1764,7,1764.542,6.590,4.939
1764,8,1764.625,4.109,1.751
1764,9,1764.708,4.097,4.969
1764,10,1764.792,4.145,2.732
1764,11,1764.875,3.323,3.586
1764,12,1764.958,4.275,2.868
1765,1,1765.042,6.044,9.385
1765,2,1765.125,4.468,4.556
1765,3,1765.208,7.171,2.260
1765,4,1765.292,6.002,1.864
1765,5,1765.375,3.557,2.198
1765,6,1765.458,3.178,5.123
1765,7,1765.542,4.488,3.677
1765,8,1765.625,4.733,3.297
1765,9,1765.708,3.529,1.497
1765,10,1765.792,3.853,1.594
1765,11,1765.875,5.398,3.131
1765,12,1765.958,4.044,2.174
1766,1,1766.042,2.538,7.171
1766,2,1766.125,4.916,3.218
1766,3,1766.208,6.757,2.610
1766,4,1766.292,6.925,3.625
1766,5,1766.375,5.349,3.827
1766,6,1766.458,5.267,6.572
1766,7,1766.542,5.799,3.396
