# Monthly average temperature data for Ethiopia.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1880,8,1880.625,22.573,0.997
1880,9,1880.708,23.032,1.693
1880,10,1880.792,22.726,0.874
1880,11,1880.875,22.602,0.800
1880,12,1880.958,22.959,1.325
1881,1,1881.042,22.625,1.067
1881,2,1881.125,22.985,1.039
1881,3,1881.208,23.300,1.494
1881,4,1881.292,23.673,0.815
1881,5,1881.375,23.093,0.884
1881,6,1881.458,22.375,0.841
1881,7,1881.542,23.083,0.935
1881,9,1881.708,23.013,1.359
1881,10,1881.792,23.258,1.304
1881,11,1881.875,22.740,1.114
1881,12,1881.958,22.811,0.934
1882,1,1882.042,23.338,0.717
1882,2,1882.125,23.143,0.807
1882,3,1882.208,22.572,0.922
1882,4,1882.292,22.797,0.846
1882,5,1882.375,22.911,0.917
1882,6,1882.458,22.208,0.728
1882,7,1882.542,22.031,1.070
1882,8,1882.625,22.630,0.818
1882,9,1882.708,22.992,0.838
1882,10,1882.792,22.526,0.899
1882,11,1882.875,22.025,0.831
1882,12,1882.958,22.111,1.376
1883,1,1883.042,22.585,1.208
1883,2,1883.125,22.311,1.571
1883,3,1883.208,22.879,0.904
1883,4,1883.292,22.750,0.975
1883,5,1883.375,22.407,0.720
1883,6,1883.458,22.611,0.787
1883,7,1883.542,21.470,2.314
1883,8,1883.625,22.464,0.715
1883,9,1883.708,22.682,1.022
1883,10,1883.792,22.951,0.705
1883,11,1883.875,22.141,1.056
1883,12,1883.958,22.547,0.715
1884,1,1884.042,22.387,0.783
1884,2,1884.125,22.300,0.846
1884,3,1884.208,22.248,1.679
1884,4,1884.292,22.383,0.780
1884,5,1884.375,21.791,0.681
1884,6,1884.458,21.984,0.812
1884,7,1884.542,22.569,0.974
1884,8,1884.625,22.619,0.766
1884,9,1884.708,22.871,1.984
1884,10,1884.792,22.055,0.759
1884,11,1884.875,21.871,0.752
1884,12,1884.958,22.749,1.010
1885,1,1885.042,22.477,1.638
1885,2,1885.125,22.745,1.221
1885,3,1885.208,22.180,0.780
1885,4,1885.292,23.135,1.930
1885,5,1885.375,22.228,0.861
1885,11,1885.875,22.446,0.897
1885,12,1885.958,23.113,0.725
1886,1,1886.042,22.374,1.571
1886,2,1886.125,22.168,1.236
1886,3,1886.208,22.682,2.164
1886,4,1886.292,23.266,1.236
1886,5,1886.375,22.251,0.770
1886,6,1886.458,22.484,0.809
1886,7,1886.542,23.416,1.138
1886,8,1886.625,22.721,0.953
1886,9,1886.708,22.621,0.875
1886,10,1886.792,22.709,1.197
1886,11,1886.875,22.380,1.213
1886,12,1886.958,22.719,0.741
1887,1,1887.042,22.143,1.897
1887,2,1887.125,22.461,1.067
1887,3,1887.208,22.356,1.016
1887,4,1887.292,22.756,0.861
1887,5,1887.375,22.435,0.828
1887,6,1887.458,22.170,0.830
1887,7,1887.542,22.274,1.005
1887,8,1887.625,21.601,1.179
1887,9,1887.708,22.698,0.822
1887,10,1887.792,22.117,1.469
1887,11,1887.875,22.256,0.792
1887,12,1887.958,22.407,1.013
1888,1,1888.042,22.389,0.864
1888,2,1888.125,22.421,0.836
1888,3,1888.208,22.298,0.735
1888,4,1888.292,23.265,1.660
1888,5,1888.375,22.579,0.798
1888,6,1888.458,22.500,0.869
1888,7,1888.542,23.151,0.711
1888,8,1888.625,23.169,1.177
1888,9,1888.708,22.912,1.022
1888,10,1888.792,22.537,1.314
1888,11,1888.875,22.722,1.012
1888,12,1888.958,22.857,0.815
1889,1,1889.042,22.780,0.928
1889,2,1889.125,23.443,0.816
1889,3,1889.208,22.829,0.883
1889,4,1889.292,22.981,1.051
1889,5,1889.375,22.919,0.782
1889,6,1889.458,22.617,0.862
1889,7,1889.542,22.819,0.868
1889,8,1889.625,22.229,0.985
1889,9,1889.708,22.878,1.179
1889,10,1889.792,22.437,0.791
1889,11,1889.875,21.966,0.840
1889,12,1889.958,22.258,0.739
1890,1,1890.042,22.428,0.947
1890,2,1890.125,22.626,0.891
1890,3,1890.208,22.441,1.278
1890,4,1890.292,23.024,0.899
1890,5,1890.375,21.979,1.045
1890,6,1890.458,21.992,0.885
1890,7,1890.542,21.878,1.830
1890,8,1890.625,21.607,1.811
1890,9,1890.708,22.770,1.318
1890,10,1890.792,23.020,0.725
1890,11,1890.875,22.470,1.675
1890,12,1890.958,22.791,1.235
1891,1,1891.042,22.258,0.832
1891,2,1891.125,22.292,1.265
1891,3,1891.208,22.435,0.936
1891,4,1891.292,22.559,0.749
1891,5,1891.375,22.357,0.976
1891,6,1891.458,22.363,0.728
1891,7,1891.542,22.576,0.674
1891,8,1891.625,22.780,1.169
1891,9,1891.708,23.148,0.732
1891,10,1891.792,22.740,0.856
1891,11,1891.875,22.634,0.750
1891,12,1891.958,23.054,0.663
1892,1,1892.042,21.769,1.144
1892,2,1892.125,22.773,0.656
1892,3,1892.208,22.442,0.606
1892,4,1892.292,23.245,0.556
1892,5,1892.375,23.130,1.012
1892,6,1892.458,22.838,0.789
1892,7,1892.542,22.488,0.622
1892,8,1892.625,21.952,0.728
1892,9,1892.708,22.034,0.637
1892,10,1892.792,22.554,0.585
1892,11,1892.875,22.418,0.893
1892,12,1892.958,22.445,0.750
1893,1,1893.042,22.129,0.728
1893,2,1893.125,22.466,0.570
1893,3,1893.208,22.680,0.799
1893,4,1893.292,22.600,0.663
1893,5,1893.375,22.167,0.720
1893,6,1893.458,22.271,0.745
1893,7,1893.542,22.835,0.588
1893,8,1893.625,22.564,0.813
1893,9,1893.708,22.728,0.599
1893,10,1893.792,22.575,0.640
1893,11,1893.875,22.234,0.822
1893,12,1893.958,22.697,1.499
1894,1,1894.042,22.191,0.827
1894,2,1894.125,22.833,0.811
1894,3,1894.208,22.626,0.704
1894,4,1894.292,22.477,0.569
1894,5,1894.375,22.962,0.684
1894,6,1894.458,22.551,0.848
1894,7,1894.542,22.478,0.774
1894,8,1894.625,22.584,0.686
1894,9,1894.708,23.390,0.719
1894,10,1894.792,23.004,0.499
1894,11,1894.875,22.483,0.614
1894,12,1894.958,22.753,0.626
1895,1,1895.042,22.484,0.637
1895,2,1895.125,22.405,0.856
1895,3,1895.208,22.974,0.528
1895,4,1895.292,22.730,0.764
1895,5,1895.375,22.939,0.931
1895,6,1895.458,22.607,0.723
1895,7,1895.542,23.087,0.565
1895,8,1895.625,22.876,0.663
1895,9,1895.708,22.792,0.711
1895,10,1895.792,22.794,0.615
1895,11,1895.875,22.747,0.745
1895,12,1895.958,22.777,0.587
1896,1,1896.042,22.840,0.860
1896,2,1896.125,23.087,0.785
1896,3,1896.208,22.927,0.680
1896,4,1896.292,23.088,0.931
1896,5,1896.375,22.948,0.667
1896,6,1896.458,23.179,0.667
1896,7,1896.542,23.223,0.744
1896,8,1896.625,22.342,0.504
1896,9,1896.708,22.770,0.824
1896,10,1896.792,22.669,0.667
1896,11,1896.875,22.517,0.588
1896,12,1896.958,22.103,0.811
1897,1,1897.042,22.200,0.654
1897,2,1897.125,22.937,0.593
1897,3,1897.208,22.448,0.719
1897,4,1897.292,22.992,0.785
1897,5,1897.375,22.935,0.624
1897,6,1897.458,22.111,2.911
1897,7,1897.542,22.128,2.726
1897,8,1897.625,22.552,0.536
1897,9,1897.708,23.143,1.151
1897,10,1897.792,22.732,0.722
1897,11,1897.875,22.980,1.423
1897,12,1897.958,22.847,0.630
1898,1,1898.042,23.418,0.820
1898,2,1898.125,22.743,1.098
1898,3,1898.208,22.701,1.330
1898,4,1898.292,22.765,1.521
1898,5,1898.375,23.517,1.503
1898,6,1898.458,22.822,0.706
1898,7,1898.542,22.884,0.883
1898,8,1898.625,22.555,0.870
1898,9,1898.708,22.263,1.542
1898,10,1898.792,22.641,0.467
1898,11,1898.875,22.365,0.399
1898,12,1898.958,22.688,0.649
1899,1,1899.042,22.698,0.999
1899,2,1899.125,22.320,0.708
1899,3,1899.208,22.580,0.603
1899,4,1899.292,22.996,0.852
1899,5,1899.375,22.341,0.909
1899,6,1899.458,22.908,0.762
1899,7,1899.542,22.777,0.654
1899,8,1899.625,23.116,0.905
1899,9,1899.708,23.081,0.955
1899,10,1899.792,22.697,1.023
1899,11,1899.875,22.699,0.739
1899,12,1899.958,22.759,0.791
1900,1,1900.042,22.314,0.973
1900,2,1900.125,22.944,0.518
1900,3,1900.208,23.149,0.679
1900,4,1900.292,22.951,0.578
1900,5,1900.375,23.115,0.804
1900,6,1900.458,23.077,0.622
1900,7,1900.542,22.908,0.607
1900,8,1900.625,22.586,0.737
1900,9,1900.708,23.074,0.669
1900,10,1900.792,22.843,0.650
1900,11,1900.875,22.839,0.473
1900,12,1900.958,23.194,0.584
1901,1,1901.042,23.569,0.680
1901,2,1901.125,22.763,0.954
1901,3,1901.208,22.669,0.747
1901,4,1901.292,23.054,0.475
1901,5,1901.375,23.301,0.665
1901,6,1901.458,22.825,0.810
1901,7,1901.542,23.820,0.616
1901,8,1901.625,23.477,0.620
1901,9,1901.708,23.523,0.754
1901,10,1901.792,22.973,0.896
1901,11,1901.875,23.127,0.847
1901,12,1901.958,22.644,1.061
1902,1,1902.042,22.491,0.667
1902,2,1902.125,22.533,1.345
1902,3,1902.208,22.507,1.017
1902,4,1902.292,22.459,1.845
1902,5,1902.375,22.299,1.409
1902,6,1902.458,22.737,0.464
1902,7,1902.542,23.266,1.084
1902,8,1902.625,23.870,0.626
1902,9,1902.708,23.056,0.670
1902,10,1902.792,22.897,0.393
1902,11,1902.875,23.004,0.389
1902,12,1902.958,22.969,0.582
1903,1,1903.042,23.056,1.626
1903,2,1903.125,22.484,1.555
1903,3,1903.208,22.378,0.980
1903,4,1903.292,22.946,0.441
1903,5,1903.375,22.607,0.523
1903,6,1903.458,22.531,0.544
1903,7,1903.542,23.070,0.459
1903,8,1903.625,22.999,0.743
1903,9,1903.708,22.810,0.949
1903,10,1903.792,22.879,0.777
1903,11,1903.875,22.389,0.841
1903,12,1903.958,22.719,0.383
1904,1,1904.042,22.224,0.510
1904,2,1904.125,22.460,0.635
1904,3,1904.208,22.452,0.721
1904,4,1904.292,22.232,0.464
1904,5,1904.375,22.517,0.684
1904,6,1904.458,23.033,0.818
1904,7,1904.542,22.842,0.753
1904,8,1904.625,23.143,1.087
1904,9,1904.708,23.423,1.049
1904,10,1904.792,22.395,0.398
1904,11,1904.875,22.592,0.788
1904,12,1904.958,22.554,0.554
1905,1,1905.042,22.853,0.635
1905,2,1905.125,22.332,0.718
1905,3,1905.208,22.617,0.465
1905,4,1905.292,22.411,0.637
1905,5,1905.375,22.686,0.630
1905,6,1905.458,22.977,0.437
1905,7,1905.542,23.198,0.584
1905,8,1905.625,23.167,1.292
1905,9,1905.708,22.447,0.356
1905,10,1905.792,23.056,0.619
1905,11,1905.875,23.265,0.850
1905,12,1905.958,23.238,1.110
1906,1,1906.042,22.732,0.715
1906,2,1906.125,23.386,0.619
1906,3,1906.208,22.218,0.511
1906,4,1906.292,22.512,0.727
1906,5,1906.375,23.477,0.630
1906,6,1906.458,23.293,0.655
1906,7,1906.542,22.836,0.494
1906,8,1906.625,22.771,0.795
1906,9,1906.708,22.747,0.680
1906,10,1906.792,22.712,0.480
1906,11,1906.875,22.261,0.315
1906,12,1906.958,22.232,0.764
1907,1,1907.042,22.377,0.577
1907,2,1907.125,22.496,0.907
1907,3,1907.208,22.491,0.851
1907,4,1907.292,22.250,1.106
1907,5,1907.375,22.462,0.874
1907,6,1907.458,22.588,0.647
1907,7,1907.542,22.648,0.398
1907,8,1907.625,22.279,0.603
1907,9,1907.708,22.721,0.769
1907,10,1907.792,22.668,0.639
1907,11,1907.875,22.347,0.514
1907,12,1907.958,21.734,0.844
1908,1,1908.042,22.116,0.421
1908,2,1908.125,21.551,1.019
1908,3,1908.208,22.431,0.407
1908,4,1908.292,22.942,1.478
1908,5,1908.375,23.502,1.795
1908,6,1908.458,23.027,0.851
1908,7,1908.542,22.619,0.826
1908,8,1908.625,22.337,1.057
1908,9,1908.708,22.746,1.015
1908,10,1908.792,23.169,1.411
1908,11,1908.875,22.342,0.934
1908,12,1908.958,21.894,0.416
1909,1,1909.042,21.971,0.326
1909,2,1909.125,22.502,0.836
1909,3,1909.208,22.514,0.631
1909,4,1909.292,21.759,0.457
1909,5,1909.375,22.415,0.553
1909,6,1909.458,21.990,0.846
1909,7,1909.542,22.280,0.727
1909,8,1909.625,22.236,0.435
1909,9,1909.708,22.500,0.639
1909,10,1909.792,22.714,0.731
1909,11,1909.875,22.678,0.511
1909,12,1909.958,22.989,1.840
1910,1,1910.042,22.496,1.073
1910,2,1910.125,22.751,0.829
1910,3,1910.208,22.551,0.929
1910,4,1910.292,23.179,0.752
1910,5,1910.375,23.539,1.292
1910,6,1910.458,23.195,0.467
1910,7,1910.542,23.295,0.534
1910,8,1910.625,22.906,0.543
1910,9,1910.708,22.770,0.426
1910,10,1910.792,23.581,1.183
1910,11,1910.875,23.316,0.621
1910,12,1910.958,23.317,1.547
1911,1,1911.042,22.835,1.125
1911,2,1911.125,22.660,0.866
1911,3,1911.208,23.051,1.172
1911,4,1911.292,22.887,0.489
1911,5,1911.375,23.133,1.420
1911,6,1911.458,22.974,0.719
1911,7,1911.542,22.462,1.198
1911,8,1911.625,22.642,0.904
1911,9,1911.708,22.698,0.825
1911,10,1911.792,22.858,0.876
1911,11,1911.875,22.562,0.292
1911,12,1911.958,22.507,0.706
1912,1,1912.042,22.354,0.866
1912,2,1912.125,21.420,0.966
1912,3,1912.208,21.388,0.900
1912,4,1912.292,22.347,0.961
1912,5,1912.375,23.223,1.067
1912,6,1912.458,22.350,0.827
1912,7,1912.542,22.312,0.867
1912,8,1912.625,22.372,0.904
1912,9,1912.708,22.342,1.297
1912,10,1912.792,22.799,0.885
1912,11,1912.875,22.164,0.667
1912,12,1912.958,22.762,1.220
1913,1,1913.042,21.985,0.668
1913,2,1913.125,22.295,1.439
1913,3,1913.208,21.403,1.167
1913,4,1913.292,22.112,0.686
1913,5,1913.375,22.215,0.886
1913,6,1913.458,22.529,0.678
1913,7,1913.542,22.837,0.819
1913,8,1913.625,22.878,0.749
1913,9,1913.708,23.039,1.423
1913,10,1913.792,22.707,0.509
1913,11,1913.875,22.333,0.539
1913,12,1913.958,22.042,0.491
1914,1,1914.042,22.980,1.061
1914,2,1914.125,22.868,1.372
1914,3,1914.208,21.876,1.036
1914,4,1914.292,22.514,0.905
1914,5,1914.375,22.986,0.629
1914,6,1914.458,23.292,1.174
1914,7,1914.542,22.640,1.343
1914,8,1914.625,23.448,1.431
1914,9,1914.708,23.184,1.218
1914,10,1914.792,22.823,1.041
1914,11,1914.875,22.925,0.536
1914,12,1914.958,23.003,0.487
1915,1,1915.042,22.856,0.881
1915,2,1915.125,22.637,1.137
1915,3,1915.208,22.351,0.884
1915,4,1915.292,23.119,0.985
1915,5,1915.375,23.290,0.792
1915,6,1915.458,23.007,0.757
1915,7,1915.542,23.782,0.907
1915,8,1915.625,23.688,0.808
1915,9,1915.708,23.796,1.114
1915,10,1915.792,23.776,0.884
1915,11,1915.875,23.394,0.778
1915,12,1915.958,22.589,0.588
1916,1,1916.042,22.309,0.557
1916,2,1916.125,22.275,0.552
1916,3,1916.208,21.634,1.414
1916,4,1916.292,22.624,0.953
1916,5,1916.375,22.513,0.415
1916,6,1916.458,22.928,0.414
1916,7,1916.542,21.704,1.192
1916,8,1916.625,22.353,0.362
1916,9,1916.708,22.536,0.495
1916,10,1916.792,22.183,0.837
1916,11,1916.875,22.168,0.812
1916,12,1916.958,22.249,0.637
1917,1,1917.042,22.361,0.690
1917,2,1917.125,22.024,0.584
1917,3,1917.208,21.610,0.566
1917,4,1917.292,22.268,0.429
1917,5,1917.375,21.452,0.521
1917,6,1917.458,22.170,0.594
1917,7,1917.542,22.295,1.269
1917,8,1917.625,22.745,0.694
1917,9,1917.708,22.952,0.706
1917,10,1917.792,22.447,0.513
1917,11,1917.875,22.272,0.757
1917,12,1917.958,22.374,0.427
1918,1,1918.042,21.837,0.585
1918,2,1918.125,22.235,0.563
1918,3,1918.208,22.530,0.412
1918,4,1918.292,22.125,0.414
1918,5,1918.375,22.523,0.443
1918,6,1918.458,22.288,0.762
1918,7,1918.542,22.498,1.148
1918,8,1918.625,22.523,1.031
1918,9,1918.708,22.329,0.996
1918,10,1918.792,22.552,0.997
1918,11,1918.875,23.089,1.079
1918,12,1918.958,23.302,1.330
1919,1,1919.042,23.889,0.737
1919,2,1919.125,24.336,1.893
1919,3,1919.208,22.884,0.748
1919,4,1919.292,23.481,1.061
1919,5,1919.375,22.972,1.060
1919,6,1919.458,23.161,0.961
1919,7,1919.542,22.587,0.465
1919,8,1919.625,23.394,0.569
1919,9,1919.708,23.131,0.926
1919,10,1919.792,23.235,0.553
1919,11,1919.875,23.648,1.367
1919,12,1919.958,23.168,0.771
1920,1,1920.042,23.339,0.545
1920,2,1920.125,23.293,1.147
1920,3,1920.208,22.920,0.419
1920,4,1920.292,22.800,0.434
1920,5,1920.375,21.878,0.839
1920,6,1920.458,22.590,0.503
1920,7,1920.542,22.906,0.372
1920,8,1920.625,22.907,0.506
